,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income
2010-01,-1.7068189396326492,-1.6941548416800432,-1.7218562712580228,-1.8011802125378495,-1.7307212986463956,-0.3160734190613341,-1.616472075891218,0.27136908361668594,-1.6029275467165276
2010-02,-1.7068189396326492,-1.6941548416800432,-1.7218562712580228,-1.8011802125378495,-1.7307212986463956,-0.3160734190613341,-1.616472075891218,0.27136908361668594,-1.6029275467165276
2010-03,-1.7068189396326492,-1.6941548416800432,-1.7218562712580228,-1.8011802125378495,-1.7307212986463956,-0.3160734190613341,-1.616472075891218,0.27136908361668594,-1.6029275467165276
2010-04,-1.7068189396326492,-1.6941548416800432,-1.7218562712580228,-1.8011802125378495,-1.7307212986463956,-0.3160734190613341,-1.616472075891218,0.27136908361668594,-1.6029275467165276
2010-05,-1.7068189396326492,-1.6941548416800432,-1.7218562712580228,-1.8011802125378495,-1.7307212986463956,-0.3160734190613341,-1.616472075891218,0.27136908361668594,-1.6029275467165276
2010-06,-1.7068189396326492,-1.6941548416800432,-1.7218562712580228,-1.8011802125378495,-1.7307212986463956,-0.3160734190613341,-1.616472075891218,0.27136908361668594,-1.6029275467165276
2010-07,-1.7068189396326492,-1.6941548416800432,-1.7218562712580228,-1.8011802125378495,-1.7307212986463956,-0.3160734190613341,-1.616472075891218,0.27136908361668594,-1.6029275467165276
2010-08,-1.7068189396326492,-1.6941548416800432,-1.7218562712580228,-1.8011802125378495,-1.7307212986463956,-0.3160734190613341,-1.616472075891218,0.27136908361668594,-1.6029275467165276
2010-09,-1.7068189396326492,-1.6941548416800432,-1.7218562712580228,-1.8011802125378495,-1.7307212986463956,-0.3160734190613341,-1.616472075891218,0.27136908361668594,-1.6029275467165276
2010-10,-1.7068189396326492,-1.6941548416800432,-1.7218562712580228,-1.8011802125378495,-1.7307212986463956,-0.3160734190613341,-1.616472075891218,0.27136908361668594,-1.6029275467165276
2010-11,-1.7068189396326492,-1.6941548416800432,-1.7218562712580228,-1.8011802125378495,-1.7307212986463956,-0.3160734190613341,-1.616472075891218,0.27136908361668594,-1.6029275467165276
2010-12,-1.7068189396326492,-1.6941548416800432,-1.7218562712580228,-1.8011802125378495,-1.7307212986463956,-0.3160734190613341,-1.616472075891218,0.27136908361668594,-1.6029275467165276
2011-01,-1.405169815302995,-1.4357095192297902,-1.368913470651361,-1.5297953747694146,-1.2802644264503689,0.03212684547511494,-1.3202499439881414,-0.47880477766023855,-1.4214384694753646
2011-02,-1.405169815302995,-1.4357095192297902,-1.368913470651361,-1.5297953747694146,-1.2802644264503689,0.03212684547511494,-1.3202499439881414,-0.47880477766023855,-1.4214384694753646
