year,month,Value
1990,1,53.8
1990,2,58.0
1990,3,60.6
1990,4,65.7
1990,5,73.6
1990,6,81.7
1990,7,81.2
1990,8,82.0
1990,9,78.7
1990,10,65.3
1990,11,60.1
1990,12,53.0
1991,1,47.7
1991,2,54.2
1991,3,60.7
1991,4,69.2
1991,5,75.5
1991,6,80.0
1991,7,82.0
1991,8,80.6
1991,9,75.8
1991,10,69.0
1991,11,53.5
1991,12,54.8
1992,1,48.2
1992,2,55.8
1992,3,60.1
1992,4,65.1
1992,5,71.5
1992,6,78.7
1992,7,81.8
1992,8,78.2
1992,9,76.4
1992,10,66.9
1992,11,54.3
1992,12,52.9
1993,1,50.8
1993,2,51.8
1993,3,56.2
1993,4,61.9
1993,5,71.1
1993,6,79.8
1993,7,82.8
1993,8,83.6
1993,9,77.9
1993,10,66.5
1993,11,54.4
1993,12,50.5
1994,1,47.0
1994,2,53.0
1994,3,59.1
1994,4,67.3
1994,5,72.0
1994,6,80.3
1994,7,80.6
1994,8,79.9
1994,9,75.4
1994,10,67.7
1994,11,62.1
1994,12,53.1
1995,1,50.4
1995,2,53.5
1995,3,60.6
1995,4,66.2
1995,5,75.0
1995,6,78.4
1995,7,82.5
1995,8,83.8
1995,9,77.3
1995,10,67.0
1995,11,56.1
1995,12,50.5
1996,1,49.0
1996,2,52.9
1996,3,54.4
1996,4,64.2
1996,5,76.6
1996,6,79.0
1996,7,82.1
1996,8,80.1
1996,9,75.7
1996,10,67.0
1996,11,58.8
1996,12,54.1
1997,1,49.2
1997,2,53.7
1997,3,63.6
1997,4,62.0
1997,5,72.2
1997,6,78.5
1997,7,82.9
1997,8,81.2
1997,9,78.3
1997,10,67.1
1997,11,54.8
1997,12,49.0
1998,1,53.3
1998,2,53.2
1998,3,57.8
1998,4,64.4
1998,5,76.8
1998,6,83.4
1998,7,85.4
1998,8,83.8
1998,9,80.6
1998,10,70.0
1998,11,61.4
1998,12,53.6
1999,1,54.1
1999,2,57.8
1999,3,58.4
1999,4,70.6
1999,5,73.6
1999,6,79.8
1999,7,82.1
1999,8,84.8
1999,9,75.8
1999,10,66.7
1999,11,59.6
1999,12,50.9
2000,1,52.6
2000,2,57.7
2000,3,63.6
2000,4,64.9
2000,5,76.6
2000,6,79.8
2000,7,83.2
2000,8,84.3
2000,9,77.7
2000,10,67.5
2000,11,55.3
2000,12,43.7
2001,1,45.6
2001,2,56.6
2001,3,55.3
2001,4,69.9
2001,5,74.3
2001,6,78.3
2001,7,82.4
2001,8,81.4
2001,9,75.4
2001,10,64.4
2001,11,61.9
2001,12,54.4
2002,1,51.4
2002,2,49.3
2002,3,58.1
2002,4,69.6
2002,5,73.9
2002,6,79.0
2002,7,82.3
2002,8,81.6
2002,9,78.6
2002,10,69.4
2002,11,55.7
2002,12,50.8
2003,1,45.6
2003,2,50.7
2003,3,58.6
2003,4,66.7
2003,5,76.4
2003,6,79.6
2003,7,81.3
2003,8,82.5
2003,9,76.0
2003,10,67.8
2003,11,61.9
2003,12,49.4
2004,1,50.2
2004,2,49.1
2004,3,63.2
2004,4,65.9
2004,5,73.9
2004,6,79.2
2004,7,81.4
2004,8,79.6
2004,9,77.8
2004,10,73.9
2004,11,61.8
2004,12,49.7
2005,1,53.9
2005,2,55.3
2005,3,57.8
2005,4,65.6
2005,5,72.6
2005,6,80.2
2005,7,82.5
2005,8,83.5
2005,9,81.3
2005,10,67.2
2005,11,61.0
2005,12,49.2
2006,1,55.4
2006,2,50.9
2006,3,61.8
2006,4,71.0
2006,5,74.2
2006,6,80.1
2006,7,82.2
2006,8,83.7
2006,9,75.9
2006,10,68.0
2006,11,58.0
2006,12,52.1
2007,1,49.6
2007,2,50.6
2007,3,63.4
2007,4,63.9
2007,5,73.9
2007,6,80.1
2007,7,80.2
2007,8,84.1
2007,9,78.6
2007,10,69.1
2007,11,59.7
2007,12,55.4
2008,1,48.4
2008,2,55.2
2008,3,60.0
2008,4,66.5
2008,5,73.8
2008,6,81.2
2008,7,82.9
2008,8,81.1
2008,9,75.4
2008,10,65.9
2008,11,56.8
2008,12,52.5
2009,1,50.5
2009,2,55.6
2009,3,60.4
2009,4,65.5
2009,5,74.3
2009,6,81.6
2009,7,82.6
2009,8,81.2
2009,9,77.4
2009,10,66.7
2009,11,58.3
2009,12,48.1
2010,1,45.6
2010,2,44.8
2010,3,55.1
2010,4,67.6
2010,5,77.3
2010,6,83.5
2010,7,83.4
2010,8,85.0
2010,9,79.8
2010,10,68.3
2010,11,59.0
2010,12,48.1
2011,1,46.9
2011,2,52.5
2011,3,62.0
2011,4,70.4
2011,5,73.7
2011,6,83.8
2011,7,84.1
2011,8,86.7
2011,9,76.0
2011,10,65.5
2011,11,59.7
2011,12,51.3
2012,1,55.2
2012,2,56.1
2012,3,67.4
2012,4,69.4
2012,5,76.3
2012,6,80.7
2012,7,82.3
2012,8,82.0
2012,9,77.4
2012,10,65.8
2012,11,57.0
2012,12,55.0
2013,1,52.5
2013,2,54.2
2013,3,55.3
2013,4,64.6
2013,5,71.7
2013,6,80.9
2013,7,80.7
2013,8,82.0
2013,9,79.9
2013,10,68.6
2013,11,55.0
2013,12,49.6
2014,1,43.4
2014,2,50.2
2014,3,55.0
2014,4,65.5
2014,5,71.8
2014,6,79.8
2014,7,80.0
2014,8,81.3
2014,9,78.1
2014,10,69.0
2014,11,53.1
2014,12,53.7
2015,1,47.2
2015,2,47.5
2015,3,60.5
2015,4,69.8
2015,5,74.8
2015,6,80.5
2015,7,84.2
2015,8,82.6
2015,9,78.5
2015,10,69.7
2015,11,62.7
2015,12,59.1
2016,1,48.8
2016,2,55.1
2016,3,63.8
2016,4,68.2
2016,5,73.3
2016,6,80.9
2016,7,83.7
2016,8,82.4
2016,9,80.2
2016,10,71.4
2016,11,62.4
2016,12,54.7
2017,1,56.8
2017,2,61.7
2017,3,64.4
2017,4,69.4
2017,5,71.8
2017,6,78.5
