year,state,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income,GEO_ID
2009,LA,570286.0,670363.0,683158.0,221192.0,544080.0,673747.0,735601.0,313119.0,4411546.0,2144999.0,2266547.0,2821956.0,1405639.0,24909.0,63304.0,1031.0,1644094.0,
2010,LA,564789.0,670005.0,704230.0,226432.0,540328.0,670073.0,743419.0,310664.0,4429940.0,2165456.0,2264484.0,2819074.0,1405685.0,27352.0,67210.0,1416.0,1641165.0,0400000US22
2011,LA,568305.0,680395.0,712647.0,232076.0,543428.0,680176.0,751379.0,316190.0,4484596.0,2193423.0,2291173.0,2838981.0,1429820.0,28154.0,69355.0,1719.0,1675097.0,0400000US22
2012,LA,569475.0,688369.0,718436.0,239393.0,545586.0,687923.0,757322.0,323101.0,4529605.0,2215673.0,2313932.0,2856883.0,1450992.0,28702.0,71460.0,1826.0,1696499.0,0400000US22
2013,LA,569138.0,698248.0,720071.0,247482.0,546680.0,694103.0,762225.0,330021.0,4567968.0,2234939.0,2333029.0,2874235.0,1463345.0,28466.0,73460.0,2141.0,1707852.0,0400000US22
2014,LA,568745.0,703142.0,722688.0,255676.0,546866.0,700815.0,764986.0,338131.0,4601049.0,2250251.0,2350798.0,2890570.0,1477781.0,28807.0,75409.0,1671.0,1718876.0,0400000US22
2015,LA,567973.0,707624.0,720632.0,264927.0,546623.0,704805.0,764927.0,347742.0,4625253.0,2261156.0,2364097.0,2902538.0,1484363.0,27238.0,77818.0,1824.0,1727919.0,0400000US22
2016,LA,567850.0,712778.0,715969.0,275087.0,546172.0,707911.0,761265.0,358638.0,4645670.0,2271684.0,2373986.0,2909290.0,1494201.0,26403.0,78719.0,1464.0,1731398.0,0400000US22
2017,LA,567087.0,717089.0,711162.0,285901.0,545646.0,707979.0,758650.0,369947.0,4663461.0,2281239.0,2382222.0,2909599.0,1500648.0,27094.0,80980.0,1401.0,1737645.0,0400000US22
2018,LA,564857.0,714071.0,705134.0,295906.0,543617.0,706065.0,753165.0,380801.0,4663616.0,2279968.0,2383648.0,2901106.0,1502916.0,26272.0,79872.0,1468.0,1736021.0,0400000US22
2019,LA,562411.0,711449.0,699370.0,305756.0,540939.0,704518.0,747657.0,392262.0,4664362.0,2278986.0,2385376.0,2892275.0,1502963.0,26361.0,80806.0,1406.0,1739497.0,0400000US22
2020,LA,558575.0,706967.0,695524.0,315866.0,538984.0,702222.0,742800.0,403678.0,4664616.0,2276932.0,2387684.0,2856904.0,1500633.0,25938.0,80930.0,1743.0,1751956.0,0400000US22
