,count,avgTemp,minTemp,maxTemp,precipitation,zindex,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income,1y,1m,2m,3m,3m_average,diff1-2,diff2-3,month_sin,month_cos
2010-01,0.0,45.6,35.2,37.6,3.5,-1.13,564789.0,670005.0,704230.0,226432.0,540328.0,670073.0,743419.0,310664.0,4429940.0,2165456.0,2264484.0,2819074.0,1405685.0,27352.0,67210.0,1416.0,1641165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,0.8660254037844387
2010-02,0.0,44.8,35.8,38.5,5.44,1.01,564789.0,670005.0,704230.0,226432.0,540328.0,670073.0,743419.0,310664.0,4429940.0,2165456.0,2264484.0,2819074.0,1405685.0,27352.0,67210.0,1416.0,1641165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844386,0.5000000000000001
2010-03,0.0,55.1,43.4,57.1,2.42,-1.88,564789.0,670005.0,704230.0,226432.0,540328.0,670073.0,743419.0,310664.0,4429940.0,2165456.0,2264484.0,2819074.0,1405685.0,27352.0,67210.0,1416.0,1641165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17
2010-04,0.0,67.6,55.8,74.0,1.29,-2.64,564789.0,670005.0,704230.0,226432.0,540328.0,670073.0,743419.0,310664.0,4429940.0,2165456.0,2264484.0,2819074.0,1405685.0,27352.0,67210.0,1416.0,1641165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844388,-0.4999999999999998
2010-05,0.0,77.3,66.7,78.1,3.24,-2.84,564789.0,670005.0,704230.0,226432.0,540328.0,670073.0,743419.0,310664.0,4429940.0,2165456.0,2264484.0,2819074.0,1405685.0,27352.0,67210.0,1416.0,1641165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,-0.8660254037844387
2010-06,0.0,83.5,74.0,87.8,4.31,-1.64,564789.0,670005.0,704230.0,226432.0,540328.0,670073.0,743419.0,310664.0,4429940.0,2165456.0,2264484.0,2819074.0,1405685.0,27352.0,67210.0,1416.0,1641165.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2246467991473532e-16,-1.0
2010-07,6.0,83.4,74.6,89.2,5.48,-0.97,564789.0,670005.0,704230.0,226432.0,540328.0,670073.0,743419.0,310664.0,4429940.0,2165456.0,2264484.0,2819074.0,1405685.0,27352.0,67210.0,1416.0,1641165.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5000000000000001,-0.8660254037844386
2010-08,5.0,85.0,75.5,89.8,6.08,0.36,564789.0,670005.0,704230.0,226432.0,540328.0,670073.0,743419.0,310664.0,4429940.0,2165456.0,2264484.0,2819074.0,1405685.0,27352.0,67210.0,1416.0,1641165.0,3.0,6.0,0.0,0.0,2.0,6.0,0.0,-0.8660254037844384,-0.5000000000000004
2010-09,6.0,79.8,68.4,83.9,1.3,-3.6,564789.0,670005.0,704230.0,226432.0,540328.0,670073.0,743419.0,310664.0,4429940.0,2165456.0,2264484.0,2819074.0,1405685.0,27352.0,67210.0,1416.0,1641165.0,1.0,5.0,6.0,0.0,3.6666666666666665,-1.0,6.0,-1.0,-1.8369701987210297e-16
2010-10,1.0,68.3,53.6,73.2,1.29,-2.1,564789.0,670005.0,704230.0,226432.0,540328.0,670073.0,743419.0,310664.0,4429940.0,2165456.0,2264484.0,2819074.0,1405685.0,27352.0,67210.0,1416.0,1641165.0,0.0,6.0,5.0,6.0,5.666666666666667,1.0,-1.0,-0.8660254037844386,0.5
