,count,avgTemp,minTemp,maxTemp,precipitation,zindex
2010-01,0.0,45.6,35.2,37.6,3.5,-1.13
2010-02,0.0,44.8,35.8,38.5,5.44,1.01
2010-03,0.0,55.1,43.4,57.1,2.42,-1.88
2010-04,0.0,67.6,55.8,74.0,1.29,-2.64
2010-05,0.0,77.3,66.7,78.1,3.24,-2.84
2010-06,0.0,83.5,74.0,87.8,4.31,-1.64
2010-07,6.0,83.4,74.6,89.2,5.48,-0.97
2010-08,5.0,85.0,75.5,89.8,6.08,0.36
2010-09,6.0,79.8,68.4,83.9,1.3,-3.6
2010-10,1.0,68.3,53.6,73.2,1.29,-2.1
2010-11,1.0,59.0,47.6,59.5,5.36,0.1
2010-12,1.0,48.1,36.6,36.2,2.05,-2.98
2011-01,0.0,46.9,36.7,38.4,4.75,-0.23
2011-02,0.0,52.5,41.4,49.6,2.1,-2.42
2011-03,0.0,62.0,50.4,57.9,3.88,-1.35
2011-04,0.0,70.4,58.9,70.7,2.5,-2.1
2011-05,0.0,73.7,62.6,74.6,1.51,-3.42
2011-06,0.0,83.8,72.7,85.3,3.3,-2.61
2011-07,2.0,84.1,74.6,89.9,6.16,-0.61
2011-08,2.0,86.7,75.1,87.7,1.71,-4.27
2011-09,2.0,76.0,64.4,77.0,7.0,2.23
2011-10,0.0,65.5,51.2,68.2,0.9,-1.67
2011-11,0.0,59.7,48.1,60.8,3.69,-1.09
2011-12,0.0,51.3,41.5,50.5,5.51,-0.26
2012-01,0.0,55.2,43.9,49.1,4.7,-0.73
2012-02,0.0,56.1,47.6,51.4,7.4,2.01
2012-03,0.0,67.4,57.3,70.5,8.02,1.54
2012-04,0.0,69.4,58.6,70.2,4.79,-0.25
2012-05,0.0,76.3,65.6,81.3,2.17,-2.97
2012-06,2.0,80.7,70.1,86.2,4.25,-1.11
2012-07,51.0,82.3,73.2,92.1,7.74,1.4
2012-08,66.0,82.0,72.8,86.6,8.86,4.02
2012-09,21.0,77.4,67.2,78.4,5.66,1.98
2012-10,11.0,65.8,53.8,66.2,1.63,-0.67
2012-11,4.0,57.0,43.8,56.2,1.68,-1.86
2012-12,0.0,55.0,44.3,51.7,5.98,0.17
