,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65
2010-01,732326.0,950954.0,1087073.0,361896.0,699622.0,975746.0,1154778.0,514701.0
2010-02,732326.0,950954.0,1087073.0,361896.0,699622.0,975746.0,1154778.0,514701.0
2010-03,732326.0,950954.0,1087073.0,361896.0,699622.0,975746.0,1154778.0,514701.0
2010-04,732326.0,950954.0,1087073.0,361896.0,699622.0,975746.0,1154778.0,514701.0
2010-05,732326.0,950954.0,1087073.0,361896.0,699622.0,975746.0,1154778.0,514701.0
2010-06,732326.0,950954.0,1087073.0,361896.0,699622.0,975746.0,1154778.0,514701.0
2010-07,732326.0,950954.0,1087073.0,361896.0,699622.0,975746.0,1154778.0,514701.0
2010-08,732326.0,950954.0,1087073.0,361896.0,699622.0,975746.0,1154778.0,514701.0
2010-09,732326.0,950954.0,1087073.0,361896.0,699622.0,975746.0,1154778.0,514701.0
2010-10,732326.0,950954.0,1087073.0,361896.0,699622.0,975746.0,1154778.0,514701.0
2010-11,732326.0,950954.0,1087073.0,361896.0,699622.0,975746.0,1154778.0,514701.0
2010-12,732326.0,950954.0,1087073.0,361896.0,699622.0,975746.0,1154778.0,514701.0
2011-01,727991.0,953001.0,1099168.0,369951.0,695171.0,978751.0,1166842.0,521352.0
2011-02,727991.0,953001.0,1099168.0,369951.0,695171.0,978751.0,1166842.0,521352.0
2011-03,727991.0,953001.0,1099168.0,369951.0,695171.0,978751.0,1166842.0,521352.0
2011-04,727991.0,953001.0,1099168.0,369951.0,695171.0,978751.0,1166842.0,521352.0
2011-05,727991.0,953001.0,1099168.0,369951.0,695171.0,978751.0,1166842.0,521352.0
2011-06,727991.0,953001.0,1099168.0,369951.0,695171.0,978751.0,1166842.0,521352.0
2011-07,727991.0,953001.0,1099168.0,369951.0,695171.0,978751.0,1166842.0,521352.0
2011-08,727991.0,953001.0,1099168.0,369951.0,695171.0,978751.0,1166842.0,521352.0
2011-09,727991.0,953001.0,1099168.0,369951.0,695171.0,978751.0,1166842.0,521352.0
2011-10,727991.0,953001.0,1099168.0,369951.0,695171.0,978751.0,1166842.0,521352.0
2011-11,727991.0,953001.0,1099168.0,369951.0,695171.0,978751.0,1166842.0,521352.0
2011-12,727991.0,953001.0,1099168.0,369951.0,695171.0,978751.0,1166842.0,521352.0
2012-01,724664.0,959099.0,1110549.0,380676.0,692134.0,983695.0,1179375.0,530403.0
2012-02,724664.0,959099.0,1110549.0,380676.0,692134.0,983695.0,1179375.0,530403.0
2012-03,724664.0,959099.0,1110549.0,380676.0,692134.0,983695.0,1179375.0,530403.0
2012-04,724664.0,959099.0,1110549.0,380676.0,692134.0,983695.0,1179375.0,530403.0
2012-05,724664.0,959099.0,1110549.0,380676.0,692134.0,983695.0,1179375.0,530403.0
2012-06,724664.0,959099.0,1110549.0,380676.0,692134.0,983695.0,1179375.0,530403.0
2012-07,724664.0,959099.0,1110549.0,380676.0,692134.0,983695.0,1179375.0,530403.0
2012-08,724664.0,959099.0,1110549.0,380676.0,692134.0,983695.0,1179375.0,530403.0
2012-09,724664.0,959099.0,1110549.0,380676.0,692134.0,983695.0,1179375.0,530403.0
2012-10,724664.0,959099.0,1110549.0,380676.0,692134.0,983695.0,1179375.0,530403.0
2012-11,724664.0,959099.0,1110549.0,380676.0,692134.0,983695.0,1179375.0,530403.0
2012-12,724664.0,959099.0,1110549.0,380676.0,692134.0,983695.0,1179375.0,530403.0
2013-01,719908.0,970033.0,1114876.0,392685.0,688142.0,991691.0,1186628.0,541095.0
2013-02,719908.0,970033.0,1114876.0,392685.0,688142.0,991691.0,1186628.0,541095.0
2013-03,719908.0,970033.0,1114876.0,392685.0,688142.0,991691.0,1186628.0,541095.0
2013-04,719908.0,970033.0,1114876.0,392685.0,688142.0,991691.0,1186628.0,541095.0
2013-05,719908.0,970033.0,1114876.0,392685.0,688142.0,991691.0,1186628.0,541095.0
2013-06,719908.0,970033.0,1114876.0,392685.0,688142.0,991691.0,1186628.0,541095.0
2013-07,719908.0,970033.0,1114876.0,392685.0,688142.0,991691.0,1186628.0,541095.0
2013-08,719908.0,970033.0,1114876.0,392685.0,688142.0,991691.0,1186628.0,541095.0
2013-09,719908.0,970033.0,1114876.0,392685.0,688142.0,991691.0,1186628.0,541095.0
2013-10,719908.0,970033.0,1114876.0,392685.0,688142.0,991691.0,1186628.0,541095.0
2013-11,719908.0,970033.0,1114876.0,392685.0,688142.0,991691.0,1186628.0,541095.0
2013-12,719908.0,970033.0,1114876.0,392685.0,688142.0,991691.0,1186628.0,541095.0
2014-01,716830.0,982526.0,1119473.0,405601.0,685782.0,1001621.0,1192459.0,552999.0
2014-02,716830.0,982526.0,1119473.0,405601.0,685782.0,1001621.0,1192459.0,552999.0
2014-03,716830.0,982526.0,1119473.0,405601.0,685782.0,1001621.0,1192459.0,552999.0
2014-04,716830.0,982526.0,1119473.0,405601.0,685782.0,1001621.0,1192459.0,552999.0
2014-05,716830.0,982526.0,1119473.0,405601.0,685782.0,1001621.0,1192459.0,552999.0
2014-06,716830.0,982526.0,1119473.0,405601.0,685782.0,1001621.0,1192459.0,552999.0
2014-07,716830.0,982526.0,1119473.0,405601.0,685782.0,1001621.0,1192459.0,552999.0
2014-08,716830.0,982526.0,1119473.0,405601.0,685782.0,1001621.0,1192459.0,552999.0
2014-09,716830.0,982526.0,1119473.0,405601.0,685782.0,1001621.0,1192459.0,552999.0
2014-10,716830.0,982526.0,1119473.0,405601.0,685782.0,1001621.0,1192459.0,552999.0
2014-11,716830.0,982526.0,1119473.0,405601.0,685782.0,1001621.0,1192459.0,552999.0
2014-12,716830.0,982526.0,1119473.0,405601.0,685782.0,1001621.0,1192459.0,552999.0
2015-01,713987.0,995473.0,1120932.0,419258.0,683642.0,1011734.0,1194400.0,566160.0
2015-02,713987.0,995473.0,1120932.0,419258.0,683642.0,1011734.0,1194400.0,566160.0
2015-03,713987.0,995473.0,1120932.0,419258.0,683642.0,1011734.0,1194400.0,566160.0
2015-04,713987.0,995473.0,1120932.0,419258.0,683642.0,1011734.0,1194400.0,566160.0
2015-05,713987.0,995473.0,1120932.0,419258.0,683642.0,1011734.0,1194400.0,566160.0
2015-06,713987.0,995473.0,1120932.0,419258.0,683642.0,1011734.0,1194400.0,566160.0
2015-07,713987.0,995473.0,1120932.0,419258.0,683642.0,1011734.0,1194400.0,566160.0
2015-08,713987.0,995473.0,1120932.0,419258.0,683642.0,1011734.0,1194400.0,566160.0
2015-09,713987.0,995473.0,1120932.0,419258.0,683642.0,1011734.0,1194400.0,566160.0
2015-10,713987.0,995473.0,1120932.0,419258.0,683642.0,1011734.0,1194400.0,566160.0
2015-11,713987.0,995473.0,1120932.0,419258.0,683642.0,1011734.0,1194400.0,566160.0
2015-12,713987.0,995473.0,1120932.0,419258.0,683642.0,1011734.0,1194400.0,566160.0
2016-01,710196.0,1008068.0,1116224.0,434883.0,680356.0,1020145.0,1190475.0,581796.0
2016-02,710196.0,1008068.0,1116224.0,434883.0,680356.0,1020145.0,1190475.0,581796.0
2016-03,710196.0,1008068.0,1116224.0,434883.0,680356.0,1020145.0,1190475.0,581796.0
2016-04,710196.0,1008068.0,1116224.0,434883.0,680356.0,1020145.0,1190475.0,581796.0
2016-05,710196.0,1008068.0,1116224.0,434883.0,680356.0,1020145.0,1190475.0,581796.0
2016-06,710196.0,1008068.0,1116224.0,434883.0,680356.0,1020145.0,1190475.0,581796.0
2016-07,710196.0,1008068.0,1116224.0,434883.0,680356.0,1020145.0,1190475.0,581796.0
2016-08,710196.0,1008068.0,1116224.0,434883.0,680356.0,1020145.0,1190475.0,581796.0
2016-09,710196.0,1008068.0,1116224.0,434883.0,680356.0,1020145.0,1190475.0,581796.0
2016-10,710196.0,1008068.0,1116224.0,434883.0,680356.0,1020145.0,1190475.0,581796.0
2016-11,710196.0,1008068.0,1116224.0,434883.0,680356.0,1020145.0,1190475.0,581796.0
2016-12,710196.0,1008068.0,1116224.0,434883.0,680356.0,1020145.0,1190475.0,581796.0
