,avgTemp,minTemp,maxTemp,precipitation,zindex,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income,1y,1m,2m,3m,3m_average,diff1-2,diff2-3,month_sin,month_cos,count
2010-01,-1.4528401245121847,-1.4020402638588603,-1.5549113957338074,-0.2696960377233732,-0.09814105729714681,1.6085052222896619,-1.4283544000890467,-1.8004051373567274,-1.5317765283407334,1.6388089516508384,-1.4503927740257228,-1.8627162531650523,-1.4971211657055308,-1.5905760470136137,-1.5876097174783974,-1.5933180820694146,-0.9271253852037519,-1.6003021768332022,-1.3622265330708976,-1.554070875714824,0.23681217350145803,-1.4591376597997068,-1.734723475976807e-17,-0.5745241760564299,-1.3877787807814457e-17,-2.949029909160572e-16,-0.7568313609706969,-0.027501521707428804,-0.02735977235439119,0.6812594871986655,1.2107528277522954,0.0
2010-02,-1.2411587366046666,-1.0897099376385742,-1.6695014536932173,0.4370085716375058,0.8784392367200582,1.6085052222896619,-1.4283544000890467,-1.8004051373567274,-1.5317765283407334,1.6388089516508384,-1.4503927740257228,-1.8627162531650523,-1.4971211657055308,-1.5905760470136137,-1.5876097174783974,-1.5933180820694146,-0.9271253852037519,-1.6003021768332022,-1.3622265330708976,-1.554070875714824,0.23681217350145803,-1.4591376597997068,-1.734723475976807e-17,-0.5745241760564299,-1.3877787807814457e-17,-2.949029909160572e-16,-0.7568313609706969,-0.027501521707428804,-0.02735977235439119,1.1855080170264962,0.7133708190395334,0.0
2010-03,-0.48985643906683896,-0.4665116856944991,-0.5338708659077567,2.448079000102406,2.429713284046371,1.6085052222896619,-1.4283544000890467,-1.8004051373567274,-1.5317765283407334,1.6388089516508384,-1.4503927740257228,-1.8627162531650523,-1.4971211657055308,-1.5905760470136137,-1.5876097174783974,-1.5933180820694146,-0.9271253852037519,-1.6003021768332022,-1.3622265330708976,-1.554070875714824,0.23681217350145803,-1.4591376597997068,-1.734723475976807e-17,-0.5745241760564299,-1.3877787807814457e-17,-2.949029909160572e-16,-0.7568313609706969,-0.027501521707428804,-0.02735977235439119,1.3687636129463088,0.015778040288952595,0.0
2010-04,0.07938029772929445,-0.05854766410691019,0.25269178346231513,-1.8295856838497473,-2.4204769711889957,1.6085052222896619,-1.4283544000890467,-1.8004051373567274,-1.5317765283407334,1.6388089516508384,-1.4503927740257228,-1.8627162531650523,-1.4971211657055308,-1.5905760470136137,-1.5876097174783974,-1.5933180820694146,-0.9271253852037519,-1.6003021768332022,-1.3622265330708976,-1.554070875714824,0.23681217350145803,-1.4591376597997068,-1.734723475976807e-17,-0.5745241760564299,-1.3877787807814457e-17,-2.949029909160572e-16,-0.7568313609706969,-0.027501521707428804,-0.02735977235439119,1.1855080170264976,-0.7053820354007986,0.0
2010-05,0.6778109681705942,0.5487539937663585,0.6770881332160634,-0.7429562124253364,-0.8676477530153929,1.6085052222896619,-1.4283544000890467,-1.8004051373567274,-1.5317765283407334,1.6388089516508384,-1.4503927740257228,-1.8627162531650523,-1.4971211657055308,-1.5905760470136137,-1.5876097174783974,-1.5933180820694146,-0.9271253852037519,-1.6003021768332022,-1.3622265330708976,-1.554070875714824,0.23681217350145803,-1.4591376597997068,-1.734723475976807e-17,-0.5745241760564299,-1.3877787807814457e-17,-2.949029909160572e-16,-0.7568313609706969,-0.027501521707428804,-0.02735977235439119,0.6812594871986655,-1.2502707088908618,0.0
2010-06,1.1270618397768222,1.1287145272331096,1.3491139442231725,-0.2696960377233732,-0.4645921568648253,1.6085052222896619,-1.4283544000890467,-1.8004051373567274,-1.5317765283407334,1.6388089516508384,-1.4503927740257228,-1.8627162531650523,-1.4971211657055308,-1.5905760470136137,-1.5876097174783974,-1.5933180820694146,-0.9271253852037519,-1.6003021768332022,-1.3622265330708976,-1.554070875714824,0.23681217350145803,-1.4591376597997068,-1.734723475976807e-17,-0.5745241760564299,-1.3877787807814457e-17,-2.949029909160572e-16,-0.7568313609706969,-0.027501521707428804,-0.02735977235439119,-0.016654033921809603,-1.453675654900248,0.0
2010-07,1.5263124129799626,1.5081533904227677,1.5976150056143068,-0.572559270689916,-0.9352919859450671,1.6085052222896619,-1.4283544000890467,-1.8004051373567274,-1.5317765283407334,1.6388089516508384,-1.4503927740257228,-1.8627162531650523,-1.4971211657055308,-1.5905760470136137,-1.5876097174783974,-1.5933180820694146,-0.9271253852037519,-1.6003021768332022,-1.3622265330708976,-1.554070875714824,0.23681217350145803,-1.4591376597997068,-1.734723475976807e-17,-0.5745241760564299,-1.3877787807814457e-17,-2.949029909160572e-16,-0.7568313609706969,-0.027501521707428804,-0.02735977235439119,-0.7262037136073767,-1.2502707088908604,0.0
2010-08,1.280703621404929,1.2831333169901913,1.322397983698622,0.07913954168491823,-0.37418356194747876,1.6085052222896619,-1.4283544000890467,-1.8004051373567274,-1.5317765283407334,1.6388089516508384,-1.4503927740257228,-1.8627162531650523,-1.4971211657055308,-1.5905760470136137,-1.5876097174783974,-1.5933180820694146,-0.9271253852037519,-1.6003021768332022,-1.3622265330708976,-1.554070875714824,0.23681217350145803,-1.4591376597997068,-1.734723475976807e-17,-0.5745241760564299,-1.3877787807814457e-17,-2.949029909160572e-16,-0.7568313609706969,-0.027501521707428804,-0.02735977235439119,-1.2538736295058936,-0.7053820354007986,3.0
2010-09,0.9425506737319514,0.9355521701977513,1.023866981906349,-1.0101001333250645,-1.260427207547487,1.6085052222896619,-1.4283544000890467,-1.8004051373567274,-1.5317765283407334,1.6388089516508384,-1.4503927740257228,-1.8627162531650523,-1.4971211657055308,-1.5905760470136137,-1.5876097174783974,-1.5933180820694146,-0.9271253852037519,-1.6003021768332022,-1.3622265330708976,-1.554070875714824,0.23681217350145803,-1.4591376597997068,-1.734723475976807e-17,2.029051236413928,-1.3877787807814457e-17,-2.949029909160572e-16,0.8555855173037138,1.2079392489069363,-0.02735977235439119,-1.4489158007263132,0.015778040288952595,1.0
2010-10,0.13497839559355687,0.14837856681436334,0.14473731362732392,1.3833307946049989,1.163528393039795,1.6085052222896619,-1.4283544000890467,-1.8004051373567274,-1.5317765283407334,1.6388089516508384,-1.4503927740257228,-1.8627162531650523,-1.4971211657055308,-1.5905760470136137,-1.5876097174783974,-1.5933180820694146,-0.9271253852037519,-1.6003021768332022,-1.3622265330708976,-1.554070875714824,0.23681217350145803,-1.4591376597997068,-1.734723475976807e-17,1.1014048838545216,4.85722573273506e-17,-2.949029909160572e-16,1.149893651140428,-0.8112657757470245,1.2080672910006445,-1.2538736295058936,0.7133708190395334,2.0
