year,month,Value
1990,1,40.6
1990,2,41.9
1990,3,46.8
1990,4,53.5
1990,5,61.0
1990,6,71.3
1990,7,76.1
1990,8,73.1
1990,9,65.8
1990,10,59.6
1990,11,48.4
1990,12,41.2
1991,1,34.6
1991,2,39.6
1991,3,45.6
1991,4,54.9
1991,5,68.8
1991,6,72.4
1991,7,77.5
1991,8,75.7
1991,9,66.9
1991,10,56.9
1991,11,45.5
1991,12,39.5
1992,1,35.2
1992,2,37.5
1992,3,41.4
1992,4,52.2
1992,5,59.2
1992,6,68.0
1992,7,75.4
1992,8,70.7
1992,9,66.4
1992,10,53.1
1992,11,45.9
1992,12,36.8
1993,1,36.9
1993,2,31.4
1993,3,39.2
1993,4,51.9
1993,5,64.0
1993,6,71.0
1993,7,78.3
1993,8,75.3
1993,9,67.7
1993,10,54.7
1993,11,45.6
1993,12,34.6
1994,1,26.0
1994,2,32.8
1994,3,41.7
1994,4,57.9
1994,5,59.3
1994,6,74.3
1994,7,77.4
1994,8,71.6
1994,9,65.6
1994,10,54.6
1994,11,50.1
1994,12,41.0
1995,1,36.6
1995,2,31.7
1995,3,45.7
1995,4,52.8
1995,5,61.9
1995,6,71.2
1995,7,77.6
1995,8,76.4
1995,9,66.9
1995,10,59.0
1995,11,40.9
1995,12,32.0
1996,1,30.6
1996,2,34.1
1996,3,38.7
1996,4,53.4
1996,5,60.4
1996,6,72.4
1996,7,73.5
1996,8,72.6
1996,9,67.2
1996,10,56.0
1996,11,40.4
1996,12,39.6
1997,1,33.3
1997,2,40.0
1997,3,44.9
1997,4,50.4
1997,5,59.1
1997,6,69.3
1997,7,75.7
1997,8,72.7
1997,9,66.3
1997,10,55.9
1997,11,43.2
1997,12,37.7
1998,1,40.3
1998,2,40.5
1998,3,44.9
1998,4,55.1
1998,5,65.3
1998,6,70.6
1998,7,75.4
1998,8,75.1
1998,9,71.5
1998,10,57.0
1998,11,46.7
1998,12,41.7
1999,1,36.1
1999,2,37.5
1999,3,41.0
1999,4,53.5
1999,5,63.2
1999,6,71.3
1999,7,78.9
1999,8,75.0
1999,9,67.4
1999,10,54.8
1999,11,50.7
1999,12,39.1
2000,1,32.5
2000,2,38.7
2000,3,48.4
2000,4,52.7
2000,5,64.9
2000,6,72.4
2000,7,72.0
2000,8,72.6
2000,9,65.7
2000,10,57.2
2000,11,43.3
2000,12,29.2
2001,1,32.2
2001,2,38.0
2001,3,40.4
2001,4,54.5
2001,5,62.6
2001,6,72.4
2001,7,72.3
2001,8,76.0
2001,9,65.6
2001,10,56.5
2001,11,50.8
2001,12,42.6
2002,1,39.0
2002,2,39.8
2002,3,45.4
2002,4,56.6
2002,5,62.0
2002,6,73.0
2002,7,77.6
2002,8,77.2
2002,9,69.4
2002,10,56.3
2002,11,44.7
2002,12,34.3
2003,1,28.6
2003,2,31.0
2003,3,44.4
2003,4,52.6
2003,5,59.7
2003,6,69.5
2003,7,75.5
2003,8,76.1
2003,9,67.8
2003,10,54.7
2003,11,50.6
2003,12,36.5
2004,1,28.1
2004,2,34.5
2004,3,45.6
2004,4,54.3
2004,5,69.3
2004,6,70.8
2004,7,75.5
2004,8,73.5
2004,9,68.7
2004,10,55.7
2004,11,48.3
2004,12,37.7
2005,1,33.9
2005,2,36.5
2005,3,39.7
2005,4,54.7
2005,5,58.7
2005,6,72.8
2005,7,77.6
2005,8,77.0
2005,9,71.1
2005,10,57.8
2005,11,48.5
2005,12,33.7
2006,1,41.1
2006,2,36.1
2006,3,44.3
2006,4,56.3
2006,5,62.1
2006,6,71.6
2006,7,77.6
2006,8,76.9
2006,9,65.3
2006,10,55.0
2006,11,49.1
2006,12,42.8
2007,1,38.5
2007,2,28.3
2007,3,44.9
2007,4,51.1
2007,5,64.6
2007,6,72.6
2007,7,75.4
2007,8,76.3
2007,9,69.6
2007,10,63.3
2007,11,45.6
2007,12,38.1
2008,1,35.7
2008,2,37.2
2008,3,44.8
2008,4,55.6
2008,5,60.4
2008,6,74.3
2008,7,76.2
2008,8,72.6
2008,9,68.8
2008,10,55.2
2008,11,44.4
2008,12,38.6
2009,1,29.3
2009,2,37.2
2009,3,43.1
2009,4,54.8
2009,5,63.4
2009,6,71.0
2009,7,73.5
2009,8,76.2
2009,9,66.4
2009,10,55.4
2009,11,49.6
2009,12,35.4
2010,1,32.2
2010,2,30.8
2010,3,47.4
2010,4,57.5
2010,5,65.7
2010,6,76.2
2010,7,79.1
2010,8,76.4
2010,9,70.2
2010,10,57.8
2010,11,46.1
2010,12,30.8
2011,1,29.6
2011,2,37.6
2011,3,43.7
2011,4,56.7
2011,5,65.8
2011,6,74.0
2011,7,79.6
2011,8,75.1
2011,9,69.0
2011,10,55.9
2011,11,49.5
2011,12,41.8
2012,1,37.4
2012,2,40.5
2012,3,52.7
2012,4,54.2
2012,5,67.7
2012,6,71.7
2012,7,79.8
2012,8,75.8
2012,9,67.8
2012,10,57.5
2012,11,42.6
2012,12,42.2
2013,1,36.3
2013,2,34.5
2013,3,39.7
2013,4,54.4
2013,5,62.8
2013,6,72.7
2013,7,77.8
2013,8,72.4
2013,9,66.0
2013,10,58.1
2013,11,43.3
2013,12,38.6
2014,1,27.8
2014,2,32.8
2014,3,38.2
2014,4,52.7
2014,5,64.2
2014,6,72.3
2014,7,74.7
2014,8,71.7
2014,9,68.0
2014,10,58.2
2014,11,42.7
2014,12,39.6
2015,1,30.7
2015,2,25.3
2015,3,39.4
2015,4,54.0
2015,5,67.6
2015,6,73.0
2015,7,75.9
2015,8,73.9
2015,9,70.8
2015,10,55.6
2015,11,50.5
2015,12,48.6
2016,1,32.1
2016,2,36.9
2016,3,49.4
2016,4,53.1
2016,5,60.9
2016,6,72.2
2016,7,78.4
2016,8,78.0
2016,9,71.5
2016,10,59.4
2016,11,47.7
2016,12,38.0
2017,1,38.3
2017,2,43.7
2017,3,43.1
2017,4,59.5
2017,5,62.2
2017,6,72.6
2017,7,77.4
2017,8,72.8
2017,9,68.3
2017,10,61.2
2017,11,45.8
2017,12,35.3
2018,1,31.0
2018,2,41.6
2018,3,39.3
2018,4,50.7
2018,5,68.8
2018,6,72.1
2018,7,76.2
2018,8,77.1
2018,9,72.7
2018,10,59.0
2018,11,43.4
2018,12,39.2
2019,1,34.0
2019,2,37.6
2019,3,42.1
2019,4,57.8
2019,5,67.3
2019,6,72.5
2019,7,78.6
2019,8,75.6
2019,9,71.4
2019,10,60.3
2019,11,42.6
2019,12,38.9
2020,1,39.1
2020,2,41.0
