year,month,Value
1990,1,0.5
1990,2,-1.65
1990,3,-1.6
1990,4,0.29
1990,5,3.43
1990,6,-1.16
1990,7,0.55
1990,8,1.67
1990,9,-1.25
1990,10,0.73
1990,11,-1.36
1990,12,1.78
1991,1,0.59
1991,2,-2.51
1991,3,0.94
1991,4,-1.56
1991,5,-3.37
1991,6,-2.49
1991,7,-1.96
1991,8,-1.81
1991,9,-0.48
1991,10,-1.7
1991,11,-3.3
1991,12,-0.24
1992,1,-1.92
1992,2,-0.46
1992,3,1.0
1992,4,-1.43
1992,5,0.34
1992,6,-0.69
1992,7,1.39
1992,8,0.41
1992,9,1.77
1992,10,-0.83
1992,11,1.29
1992,12,1.72
1993,1,-0.69
1993,2,-0.3
1993,3,4.69
1993,4,2.26
1993,5,-1.38
1993,6,-0.82
1993,7,-3.1
1993,8,-1.69
1993,9,0.38
1993,10,-0.19
1993,11,0.39
1993,12,1.55
1994,1,1.58
1994,2,2.19
1994,3,5.48
1994,4,-1.73
1994,5,-0.36
1994,6,-1.83
1994,7,0.69
1994,8,0.97
1994,9,-0.07
1994,10,-2.23
1994,11,-1.18
1994,12,-2.0
1995,1,0.5
1995,2,-1.16
1995,3,-2.43
1995,4,-1.42
1995,5,0.66
1995,6,0.04
1995,7,-1.1
1995,8,-3.21
1995,9,-1.01
1995,10,2.64
1995,11,2.09
1995,12,-0.47
1996,1,3.17
1996,2,-0.44
1996,3,0.61
1996,4,0.18
1996,5,2.18
1996,6,2.01
1996,7,4.45
1996,8,0.41
1996,9,3.56
1996,10,2.22
1996,11,1.27
1996,12,3.7
1997,1,-1.01
1997,2,-0.76
1997,3,1.33
1997,4,-0.76
1997,5,-1.2
1997,6,-0.58
1997,7,-1.61
1997,8,-0.77
1997,9,-1.34
1997,10,-1.02
1997,11,2.67
1997,12,-0.63
1998,1,3.24
1998,2,3.59
1998,3,1.94
1998,4,0.17
1998,5,0.4
1998,6,1.65
1998,7,-1.8
1998,8,-2.4
1998,9,-2.89
1998,10,-2.39
1998,11,-4.17
1998,12,-3.81
1999,1,1.21
1999,2,-0.6
1999,3,0.86
1999,4,-0.65
1999,5,-2.78
1999,6,-2.26
1999,7,-3.15
1999,8,-0.95
1999,9,6.54
1999,10,0.7
1999,11,-0.87
1999,12,-0.52
2000,1,-0.01
2000,2,-1.07
2000,3,0.78
2000,4,0.98
2000,5,-1.14
2000,6,1.28
2000,7,3.29
2000,8,0.56
2000,9,2.52
2000,10,-2.86
2000,11,-1.0
2000,12,-0.07
2001,1,-0.5
2001,2,-1.13
2001,3,1.68
2001,4,-2.0
2001,5,0.47
2001,6,0.99
2001,7,1.12
2001,8,0.13
2001,9,-0.89
2001,10,-2.79
2001,11,-3.79
2001,12,-3.48
2002,1,-2.37
2002,2,-3.75
2002,3,0.2
2002,4,-0.28
2002,5,-0.67
2002,6,-1.33
2002,7,-2.3
2002,8,-2.54
2002,9,-0.48
2002,10,2.95
2002,11,1.91
2002,12,1.65
2003,1,-1.12
2003,2,4.21
2003,3,0.23
2003,4,-0.45
2003,5,3.19
2003,6,4.06
2003,7,1.77
2003,8,1.06
2003,9,5.0
2003,10,1.98
2003,11,2.06
2003,12,2.26
2004,1,-1.12
2004,2,-0.52
2004,3,-1.82
2004,4,2.11
2004,5,-1.16
2004,6,0.81
2004,7,2.24
2004,8,1.6
2004,9,2.15
2004,10,-1.07
2004,11,1.96
2004,12,-0.14
2005,1,0.88
2005,2,-1.34
2005,3,1.2
2005,4,-0.16
2005,5,0.29
2005,6,-0.92
2005,7,1.22
2005,8,-1.66
2005,9,-3.92
2005,10,4.44
2005,11,0.41
2005,12,0.5
2006,1,0.0
2006,2,-1.67
2006,3,-4.2
2006,4,-1.02
2006,5,-1.79
2006,6,6.44
2006,7,-0.51
2006,8,-3.41
2006,9,3.35
2006,10,2.65
2006,11,2.88
2006,12,-1.59
2007,1,-0.52
2007,2,-0.5
2007,3,-0.37
2007,4,1.44
2007,5,-3.17
2007,6,-1.73
2007,7,-2.61
2007,8,-1.58
2007,9,-3.34
2007,10,-0.05
2007,11,-2.58
2007,12,-0.05
2008,1,-2.04
2008,2,0.75
2008,3,-1.16
2008,4,1.09
2008,5,3.44
2008,6,0.64
2008,7,0.28
2008,8,-2.19
2008,9,0.87
2008,10,-2.02
2008,11,-0.58
2008,12,1.47
2009,1,-0.82
2009,2,-3.37
2009,3,-1.7
2009,4,1.17
2009,5,1.99
2009,6,2.12
2009,7,-0.59
2009,8,1.5
2009,9,0.53
2009,10,3.31
2009,11,1.97
2009,12,4.67
2010,1,-0.48
2010,2,0.9
2010,3,0.95
2010,4,-2.69
2010,5,-1.71
2010,6,-2.95
2010,7,-2.03
2010,8,-1.17
2010,9,0.76
2010,10,1.38
2010,11,-1.08
2010,12,-0.69
2011,1,-0.96
2011,2,-1.01
2011,3,1.44
2011,4,0.98
2011,5,-1.35
2011,6,-1.87
2011,7,-2.33
2011,8,3.74
2011,9,4.9
2011,10,1.19
2011,11,0.78
2011,12,0.42
2012,1,-1.38
2012,2,-1.49
2012,3,-3.1
2012,4,-1.43
2012,5,-1.11
2012,6,-0.98
2012,7,-1.6
2012,8,-0.27
2012,9,-0.42
2012,10,4.94
2012,11,-1.64
2012,12,0.64
2013,1,0.16
2013,2,-0.86
2013,3,-0.26
2013,4,-0.75
2013,5,-0.9
2013,6,4.22
2013,7,0.77
2013,8,0.43
2013,9,-1.77
