,count,avgTemp,minTemp,maxTemp,precipitation,zindex,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income
2000-01,0.0,32.5,23.0,23.7,3.15,-0.01,,,,,,,,,,,,,,,,,
2000-02,0.0,38.7,28.1,29.7,2.3,-1.07,,,,,,,,,,,,,,,,,
2000-03,0.0,48.4,36.7,42.7,4.95,0.78,,,,,,,,,,,,,,,,,
2000-04,0.0,52.7,42.4,48.1,4.28,0.98,,,,,,,,,,,,,,,,,
2000-05,0.0,64.9,53.7,60.4,3.27,-1.14,,,,,,,,,,,,,,,,,
2000-06,0.0,72.4,62.4,71.0,4.98,1.28,,,,,,,,,,,,,,,,,
2000-07,0.0,72.0,62.5,73.7,6.39,3.29,,,,,,,,,,,,,,,,,
2000-08,0.0,72.6,63.4,73.5,4.1,0.56,,,,,,,,,,,,,,,,,
2000-09,0.0,65.7,55.7,65.6,5.28,2.52,,,,,,,,,,,,,,,,,
2000-10,0.0,57.2,45.1,54.8,0.35,-2.86,,,,,,,,,,,,,,,,,
2000-11,0.0,43.3,33.3,41.4,2.05,-1.0,,,,,,,,,,,,,,,,,
2000-12,0.0,29.2,20.5,26.0,2.82,-0.07,,,,,,,,,,,,,,,,,
2001-01,0.0,32.2,23.7,24.9,2.75,-0.5,,,,,,,,,,,,,,,,,
2001-02,0.0,38.0,28.1,27.2,2.2,-1.13,,,,,,,,,,,,,,,,,
2001-03,0.0,40.4,30.9,34.4,4.95,1.68,,,,,,,,,,,,,,,,,
2001-04,0.0,54.5,42.6,49.1,2.06,-2.0,,,,,,,,,,,,,,,,,
2001-05,0.0,62.6,51.3,68.4,4.44,0.47,,,,,,,,,,,,,,,,,
2001-06,0.0,72.4,62.0,74.3,4.65,0.99,,,,,,,,,,,,,,,,,
2001-07,0.0,72.3,61.6,75.2,4.48,1.12,,,,,,,,,,,,,,,,,
