,count,avgTemp,minTemp,maxTemp,precipitation,zindex
2010-01,0.0,32.2,24.3,28.2,2.77,-0.48
2010-02,0.0,30.8,23.4,30.6,3.43,0.9
2010-03,0.0,47.4,37.4,44.4,4.99,0.95
2010-04,0.0,57.5,45.0,55.8,1.87,-2.69
2010-05,0.0,65.7,54.8,67.4,3.11,-1.71
2010-06,0.0,76.2,65.6,71.4,2.1,-2.95
2010-07,1.0,79.1,67.8,79.6,3.79,-2.03
2010-08,7.0,76.4,66.3,77.0,4.34,-1.17
2010-09,6.0,70.2,58.5,67.5,5.24,0.76
2010-10,3.0,57.8,47.3,53.8,4.83,1.38
2010-11,0.0,46.1,35.9,42.3,2.14,-1.08
2010-12,0.0,30.8,23.6,30.5,2.28,-0.69
2011-01,0.0,29.6,22.0,24.6,2.38,-0.96
2011-02,0.0,37.6,27.0,26.8,2.27,-1.01
2011-03,0.0,43.7,33.6,37.0,5.04,1.44
2011-04,0.0,56.7,46.3,49.0,4.77,0.98
2011-05,0.0,65.8,55.4,61.1,3.2,-1.35
2011-06,0.0,74.0,63.2,71.0,2.54,-1.87
2011-07,1.0,79.6,68.5,79.1,3.29,-2.33
2011-08,3.0,75.1,64.9,74.8,8.86,3.74
2011-09,6.0,69.0,61.0,69.2,8.03,4.9
2011-10,0.0,55.9,46.1,55.5,3.67,1.19
2011-11,0.0,49.5,38.8,48.5,3.42,0.78
2011-12,0.0,41.8,32.2,35.0,3.64,0.42
2012-01,0.0,37.4,27.8,27.4,2.27,-1.38
2012-02,0.0,40.5,30.7,31.6,2.11,-1.49
2012-03,0.0,52.7,41.4,45.1,2.14,-3.1
2012-04,0.0,54.2,42.4,53.4,2.49,-1.43
2012-05,0.0,67.7,57.3,64.2,3.69,-1.11
2012-06,0.0,71.7,60.3,70.7,2.99,-0.98
2012-07,2.0,79.8,69.4,79.2,3.68,-1.6
2012-08,12.0,75.8,66.1,78.2,4.86,-0.27
2012-09,11.0,67.8,57.0,67.3,3.62,-0.42
2012-10,0.0,57.5,47.8,57.0,7.94,4.94
2012-11,0.0,42.6,33.4,41.0,0.75,-1.64
2012-12,0.0,42.2,33.9,32.2,3.86,0.64
2013-01,0.0,36.3,27.9,26.0,3.45,0.16
2013-02,0.0,34.5,26.5,28.8,2.22,-0.86
2013-03,0.0,39.7,31.1,38.2,3.25,-0.26
2013-04,0.0,54.4,43.0,50.0,3.07,-0.75
2013-05,0.0,62.8,52.2,64.4,3.2,-0.9
2013-06,0.0,72.7,63.0,71.3,7.46,4.22
2013-07,0.0,77.8,69.0,78.8,4.77,0.77
2013-08,6.0,72.4,63.2,74.7,4.22,0.43
2013-09,4.0,66.0,54.5,66.9,1.53,-1.77
2013-10,1.0,58.1,48.3,57.6,5.06,1.77
2013-11,0.0,43.3,33.5,40.6,2.73,0.33
2013-12,0.0,38.6,29.9,24.6,5.08,2.33
2014-01,0.0,27.8,17.5,23.6,2.65,-0.63
2014-02,0.0,32.8,23.6,26.5,4.17,1.89
2014-03,0.0,38.2,27.5,29.9,3.75,0.46
2014-04,0.0,52.7,41.2,49.4,4.93,1.77
2014-05,0.0,64.2,53.0,62.2,5.18,1.05
2014-06,0.0,72.3,62.0,73.2,3.64,-0.2
2014-07,0.0,74.7,64.6,77.9,3.87,-0.09
2014-08,3.0,71.7,61.6,75.2,3.93,-0.23
2014-09,3.0,68.0,58.0,68.1,2.64,-1.18
2014-10,0.0,58.2,48.5,56.9,3.38,-0.34
2014-11,0.0,42.7,33.2,39.4,3.09,-0.27
2014-12,0.0,39.6,32.0,32.5,3.53,0.35
2015-01,0.0,30.7,22.6,22.7,3.79,0.79
2015-02,0.0,25.3,15.3,16.1,2.03,-1.01
2015-03,0.0,39.4,28.5,33.0,4.26,0.96
2015-04,0.0,54.0,42.5,48.5,3.63,-0.01
2015-05,0.0,67.6,56.3,68.7,2.46,-2.44
2015-06,0.0,73.0,64.0,67.5,9.39,6.07
2015-07,0.0,75.9,66.5,75.5,3.93,0.07
2015-08,20.0,73.9,63.1,77.5,2.61,-1.53
2015-09,10.0,70.8,60.7,73.7,3.86,-0.31
2015-10,1.0,55.6,45.1,53.2,3.71,0.4
2015-11,0.0,50.5,40.2,45.3,2.62,-1.2
2015-12,0.0,48.6,40.0,37.4,4.57,0.59
2016-01,0.0,32.1,22.5,28.7,3.0,-0.19
2016-02,0.0,36.9,27.9,32.3,4.04,1.45
2016-03,0.0,49.4,38.3,38.6,1.77,-3.11
2016-04,0.0,53.1,41.1,49.1,2.13,-1.71
2016-05,1.0,60.9,52.0,64.4,5.93,2.36
2016-06,0.0,72.2,61.9,72.0,4.17,0.45
2016-07,1.0,78.4,68.5,77.7,4.82,0.53
