,count,avgTemp,minTemp,maxTemp,precipitation,zindex,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income
2000-01,0.0,21.6,4.6,63.4,3.62,0.62,,,,,,,,,,,,,,,,,
2000-02,0.0,32.5,6.8,70.0,3.11,0.48,,,,,,,,,,,,,,,,,
2000-03,0.0,43.1,22.5,75.1,3.6,0.5,,,,,,,,,,,,,,,,,
2000-04,0.0,49.4,30.0,76.4,5.74,3.5,,,,,,,,,,,,,,,,,
2000-05,0.0,62.8,38.5,86.4,4.62,1.65,,,,,,,,,,,,,,,,,
2000-06,0.0,67.7,47.9,89.5,2.65,-1.28,,,,,,,,,,,,,,,,,
2000-07,0.0,72.2,52.3,94.2,4.17,0.95,,,,,,,,,,,,,,,,,
2000-08,0.0,72.7,52.7,96.4,2.61,-1.18,,,,,,,,,,,,,,,,,
2000-09,0.0,64.6,43.4,89.5,2.27,-2.05,,,,,,,,,,,,,,,,,
2000-10,0.0,54.8,34.4,80.6,3.37,-1.0,,,,,,,,,,,,,,,,,
2000-11,0.0,32.2,29.7,65.1,2.99,-2.09,,,,,,,,,,,,,,,,,
2000-12,0.0,10.0,9.1,53.6,4.4,0.95,,,,,,,,,,,,,,,,,
2001-01,0.0,20.8,3.0,55.4,1.33,-2.56,,,,,,,,,,,,,,,,,
2001-02,0.0,18.1,4.8,67.3,2.69,-0.19,,,,,,,,,,,,,,,,,
2001-03,0.0,30.2,14.1,65.4,3.71,0.79,,,,,,,,,,,,,,,,,
2001-04,0.0,52.7,27.0,80.3,1.0,-3.5,,,,,,,,,,,,,,,,,
2001-05,0.0,60.9,40.4,85.4,2.06,-2.34,,,,,,,,,,,,,,,,,
2001-06,0.0,68.3,51.8,87.5,3.76,-0.97,,,,,,,,,,,,,,,,,
2001-07,0.0,75.1,53.3,91.8,3.76,-0.08,,,,,,,,,,,,,,,,,
2001-08,0.0,72.5,54.4,90.4,1.53,-3.52,,,,,,,,,,,,,,,,,
2001-09,0.0,61.2,45.9,85.1,3.7,-1.15,,,,,,,,,,,,,,,,,
2001-10,0.0,50.2,36.0,76.9,1.96,-3.33,,,,,,,,,,,,,,,,,
2001-11,0.0,48.0,29.9,74.5,2.23,-4.4,,,,,,,,,,,,,,,,,
2001-12,0.0,30.7,21.2,65.1,2.1,-2.85,,,,,,,,,,,,,,,,,
2002-01,0.0,28.6,12.9,62.2,2.66,-0.72,,,,,,,,,,,,,,,,,
2002-02,0.0,29.8,10.2,60.9,3.25,0.71,,,,,,,,,,,,,,,,,
2002-03,0.0,31.0,17.3,69.4,3.52,0.5,,,,,,,,,,,,,,,,,
2002-04,0.0,48.9,30.8,79.4,4.42,1.34,,,,,,,,,,,,,,,,,
2002-05,0.0,56.8,37.1,84.5,3.4,0.23,,,,,,,,,,,,,,,,,
2002-06,0.0,72.4,47.0,88.8,4.17,1.08,,,,,,,,,,,,,,,,,
2002-07,0.0,76.5,54.5,92.0,3.96,0.56,,,,,,,,,,,,,,,,,
2002-08,0.0,70.9,54.1,91.2,0.98,-3.76,,,,,,,,,,,,,,,,,
2002-09,0.0,65.3,47.2,87.5,4.25,-0.54,,,,,,,,,,,,,,,,,
2002-10,0.0,46.2,32.5,77.1,3.06,-1.01,,,,,,,,,,,,,,,,,
2002-11,0.0,34.7,23.6,66.4,4.21,-0.06,,,,,,,,,,,,,,,,,
2002-12,0.0,28.9,12.4,61.2,3.1,-0.73,,,,,,,,,,,,,,,,,
2003-01,0.0,19.1,-0.1,56.3,1.31,-2.59,,,,,,,,,,,,,,,,,
2003-02,0.0,20.4,1.8,59.9,2.66,-0.24,,,,,,,,,,,,,,,,,
2003-03,0.0,35.1,12.7,69.0,3.51,0.48,,,,,,,,,,,,,,,,,
2003-04,0.0,50.4,24.6,78.2,1.92,-1.63,,,,,,,,,,,,,,,,,
2003-05,0.0,57.9,38.7,86.0,3.49,0.22,,,,,,,,,,,,,,,,,
