year,month,Value
1990,1,0.66
1990,2,1.14
1990,3,-0.31
1990,4,-1.75
1990,5,2.08
1990,6,1.68
1990,7,0.19
1990,8,0.14
1990,9,0.8
1990,10,3.55
1990,11,2.54
1990,12,1.04
1991,1,-0.94
1991,2,-1.55
1991,3,2.16
1991,4,1.45
1991,5,0.02
1991,6,-3.01
1991,7,1.98
1991,8,-1.86
1991,9,-0.98
1991,10,3.99
1991,11,3.02
1991,12,0.23
1992,1,-0.38
1992,2,-0.19
1992,3,0.03
1992,4,1.33
1992,5,-3.06
1992,6,-1.66
1992,7,4.12
1992,8,0.45
1992,9,2.26
1992,10,0.95
1992,11,5.0
1992,12,0.95
1993,1,1.52
1993,2,-1.55
1993,3,-1.9
1993,4,2.74
1993,5,-0.43
1993,6,2.92
1993,7,0.18
1993,8,1.17
1993,9,2.25
1993,10,1.7
1993,11,0.77
1993,12,-1.35
1994,1,0.68
1994,2,-0.61
1994,3,-1.1
1994,4,0.43
1994,5,-1.7
1994,6,1.06
1994,7,3.75
1994,8,3.93
1994,9,-0.82
1994,10,-0.37
1994,11,1.57
1994,12,-1.54
1995,1,0.87
1995,2,-1.24
1995,3,-1.0
1995,4,1.74
1995,5,-0.35
1995,6,-2.74
1995,7,0.12
1995,8,0.19
1995,9,-1.86
1995,10,1.17
1995,11,1.85
1995,12,-0.13
1996,1,0.87
1996,2,0.13
1996,3,-1.29
1996,4,2.46
1996,5,0.06
1996,6,2.75
1996,7,2.2
1996,8,-1.29
1996,9,0.54
1996,10,1.29
1996,11,0.35
1996,12,2.3
1997,1,2.75
1997,2,2.56
1997,3,0.36
1997,4,-2.36
1997,5,2.5
1997,6,-1.98
1997,7,-0.24
1997,8,1.39
1997,9,-0.31
1997,10,-1.14
1997,11,-2.15
1997,12,-2.47
1998,1,2.19
1998,2,-0.39
1998,3,3.6
1998,4,-1.41
1998,5,-3.07
1998,6,-1.08
1998,7,-2.75
1998,8,-1.46
1998,9,-3.08
1998,10,-1.44
1998,11,-3.32
1998,12,-2.85
1999,1,2.31
1999,2,-0.11
1999,3,-2.4
1999,4,0.49
1999,5,-0.7
1999,6,0.39
1999,7,3.51
1999,8,-0.68
1999,9,-1.26
1999,10,-1.17
1999,11,-4.13
1999,12,-1.63
2000,1,-0.28
2000,2,-0.17
2000,3,-2.17
2000,4,-0.41
2000,5,2.18
2000,6,1.3
2000,7,1.83
2000,8,-0.14
2000,9,1.2
2000,10,-1.46
2000,11,0.07
2000,12,1.42
2001,1,-1.03
2001,2,2.48
2001,3,-2.63
2001,4,0.1
2001,5,2.17
2001,6,-0.35
2001,7,-1.49
2001,8,-0.79
2001,9,1.12
2001,10,4.42
2001,11,0.13
2001,12,0.36
2002,1,-1.26
2002,2,1.38
2002,3,1.25
2002,4,1.56
2002,5,2.25
2002,6,-1.0
2002,7,-0.08
2002,8,-0.11
2002,9,-3.3
2002,10,0.28
2002,11,-2.31
2002,12,-2.51
2003,1,-1.96
2003,2,-0.96
2003,3,-0.03
2003,4,0.53
2003,5,1.87
2003,6,-1.73
2003,7,0.74
2003,8,-1.59
2003,9,-0.65
2003,10,-0.9
2003,11,2.13
2003,12,0.29
2004,1,0.64
2004,2,-0.65
2004,3,1.96
2004,4,-1.47
2004,5,6.28
2004,6,0.17
2004,7,1.43
2004,8,0.68
2004,9,-4.56
2004,10,0.82
2004,11,-0.33
2004,12,2.15
2005,1,2.52
2005,2,0.62
2005,3,-1.62
2005,4,-3.29
2005,5,-1.85
2005,6,-2.1
2005,7,0.16
2005,8,-2.21
2005,9,-1.25
2005,10,-2.92
2005,11,-0.17
2005,12,-0.82
2006,1,2.67
2006,2,0.66
2006,3,0.4
2006,4,-2.15
2006,5,2.27
2006,6,-1.79
2006,7,0.98
2006,8,-0.62
2006,9,-0.14
2006,10,2.66
2006,11,0.23
2006,12,2.02
2007,1,0.98
2007,2,-1.18
2007,3,0.53
2007,4,0.84
2007,5,-2.15
2007,6,-2.07
2007,7,-2.56
2007,8,0.31
2007,9,-2.16
2007,10,-0.33
2007,11,-3.07
2007,12,-0.52
2008,1,3.06
2008,2,2.32
2008,3,-1.0
2008,4,0.57
2008,5,-0.6
2008,6,2.13
2008,7,2.07
2008,8,-2.34
2008,9,2.53
2008,10,0.02
2008,11,0.08
2008,12,4.62
2009,1,-0.84
2009,2,1.97
2009,3,0.69
2009,4,2.32
2009,5,-0.14
2009,6,0.54
2009,7,-0.02
2009,8,2.86
2009,9,-2.68
2009,10,4.4
2009,11,-1.84
2009,12,1.06
2010,1,-1.61
2010,2,-1.0
2010,3,-3.74
2010,4,-2.51
2010,5,-0.15
2010,6,4.26
2010,7,2.43
2010,8,-1.71
2010,9,2.45
2010,10,-0.62
2010,11,-0.67
2010,12,-0.66
2011,1,-0.61
2011,2,0.07
2011,3,0.47
2011,4,5.4
2011,5,1.86
2011,6,0.42
2011,7,-0.11
2011,8,-0.71
2011,9,0.2
2011,10,0.64
2011,11,0.52
2011,12,0.17
2012,1,1.04
2012,2,-0.41
2012,3,-1.49
2012,4,-1.72
2012,5,-1.21
2012,6,-1.27
2012,7,-0.09
2012,8,-1.61
2012,9,-1.88
2012,10,2.27
2012,11,-2.69
2012,12,0.33
2013,1,3.29
2013,2,1.71
2013,3,-1.29
2013,4,6.48
2013,5,0.37
2013,6,0.55
2013,7,1.54
2013,8,-0.23
2013,9,-2.63
2013,10,1.21
2013,11,2.51
2013,12,0.78
2014,1,1.02
2014,2,0.18
2014,3,-1.22
2014,4,2.52
2014,5,0.68
2014,6,0.52
2014,7,1.98
2014,8,1.09
2014,9,1.14
2014,10,3.04
2014,11,3.67
2014,12,-0.02
2015,1,-0.92
2015,2,-1.16
2015,3,-2.3
2015,4,-0.49
2015,5,1.18
2015,6,1.48
2015,7,-0.25
2015,8,0.17
2015,9,-1.91
2015,10,-0.88
2015,11,-0.93
2015,12,2.6
2016,1,0.02
2016,2,0.81
2016,3,2.61
2016,4,0.69
2016,5,-1.07
2016,6,-1.86
2016,7,1.03
2016,8,2.29
2016,9,0.0
2016,10,0.65
2016,11,-1.71
2016,12,0.66
2017,1,2.21
2017,2,1.14
2017,3,1.97
2017,4,2.24
2017,5,0.72
2017,6,2.11
2017,7,0.16
2017,8,0.95
2017,9,-3.58
2017,10,5.06
2017,11,1.99
2017,12,0.19
2018,1,0.04
2018,2,3.2
2018,3,-1.76
2018,4,2.27
2018,5,0.73
2018,6,-1.03
2018,7,-0.92
2018,8,1.22
2018,9,-0.73
2018,10,3.73
2018,11,1.88
2018,12,0.1
2019,1,1.18
2019,2,3.13
2019,3,-0.36
2019,4,1.91
2019,5,3.38
2019,6,1.61
2019,7,0.26
2019,8,-1.27
2019,9,2.15
2019,10,5.16
2019,11,2.23
2019,12,3.09
2020,1,2.33
2020,2,-1.02
2020,3,1.15
2020,4,1.21
2020,5,1.9
2020,6,-0.94
2020,7,1.27
2020,8,0.62
2020,9,-0.56
2020,10,2.02
2020,11,-0.67
2020,12,-0.17
2021,1,-1.4
2021,2,-0.48
2021,3,-1.77
2021,4,-1.64
2021,5,-1.81
2021,6,1.89
2021,7,2.65
2021,8,0.91
2021,9,0.09
2021,10,1.06
2021,11,-0.76
2021,12,1.44
2022,1,-1.61
2022,2,1.14
2022,3,2.88
2022,4,2.18
2022,5,-0.47
2022,6,-1.56
