,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income
2010-01,5241914.0,2601448.0,2640466.0,4539826.0,257165.0,55370.0,204202.0,2135.0,2085917.0
2010-02,5241914.0,2601448.0,2640466.0,4539826.0,257165.0,55370.0,204202.0,2135.0,2085917.0
2010-03,5241914.0,2601448.0,2640466.0,4539826.0,257165.0,55370.0,204202.0,2135.0,2085917.0
2010-04,5241914.0,2601448.0,2640466.0,4539826.0,257165.0,55370.0,204202.0,2135.0,2085917.0
2010-05,5241914.0,2601448.0,2640466.0,4539826.0,257165.0,55370.0,204202.0,2135.0,2085917.0
2010-06,5241914.0,2601448.0,2640466.0,4539826.0,257165.0,55370.0,204202.0,2135.0,2085917.0
2010-07,5241914.0,2601448.0,2640466.0,4539826.0,257165.0,55370.0,204202.0,2135.0,2085917.0
2010-08,5241914.0,2601448.0,2640466.0,4539826.0,257165.0,55370.0,204202.0,2135.0,2085917.0
2010-09,5241914.0,2601448.0,2640466.0,4539826.0,257165.0,55370.0,204202.0,2135.0,2085917.0
2010-10,5241914.0,2601448.0,2640466.0,4539826.0,257165.0,55370.0,204202.0,2135.0,2085917.0
2010-11,5241914.0,2601448.0,2640466.0,4539826.0,257165.0,55370.0,204202.0,2135.0,2085917.0
2010-12,5241914.0,2601448.0,2640466.0,4539826.0,257165.0,55370.0,204202.0,2135.0,2085917.0
2011-01,5278190.0,2620590.0,2657600.0,4556910.0,264751.0,57271.0,208315.0,2129.0,2094265.0
2011-02,5278190.0,2620590.0,2657600.0,4556910.0,264751.0,57271.0,208315.0,2129.0,2094265.0
2011-03,5278190.0,2620590.0,2657600.0,4556910.0,264751.0,57271.0,208315.0,2129.0,2094265.0
2011-04,5278190.0,2620590.0,2657600.0,4556910.0,264751.0,57271.0,208315.0,2129.0,2094265.0
2011-05,5278190.0,2620590.0,2657600.0,4556910.0,264751.0,57271.0,208315.0,2129.0,2094265.0
2011-06,5278190.0,2620590.0,2657600.0,4556910.0,264751.0,57271.0,208315.0,2129.0,2094265.0
2011-07,5278190.0,2620590.0,2657600.0,4556910.0,264751.0,57271.0,208315.0,2129.0,2094265.0
2011-08,5278190.0,2620590.0,2657600.0,4556910.0,264751.0,57271.0,208315.0,2129.0,2094265.0
2011-09,5278190.0,2620590.0,2657600.0,4556910.0,264751.0,57271.0,208315.0,2129.0,2094265.0
2011-10,5278190.0,2620590.0,2657600.0,4556910.0,264751.0,57271.0,208315.0,2129.0,2094265.0
2011-11,5278190.0,2620590.0,2657600.0,4556910.0,264751.0,57271.0,208315.0,2129.0,2094265.0
2011-12,5278190.0,2620590.0,2657600.0,4556910.0,264751.0,57271.0,208315.0,2129.0,2094265.0
2012-01,5313081.0,2638499.0,2674582.0,4570137.0,271953.0,56770.0,216159.0,2087.0,2101875.0
2012-02,5313081.0,2638499.0,2674582.0,4570137.0,271953.0,56770.0,216159.0,2087.0,2101875.0
2012-03,5313081.0,2638499.0,2674582.0,4570137.0,271953.0,56770.0,216159.0,2087.0,2101875.0
2012-04,5313081.0,2638499.0,2674582.0,4570137.0,271953.0,56770.0,216159.0,2087.0,2101875.0
2012-05,5313081.0,2638499.0,2674582.0,4570137.0,271953.0,56770.0,216159.0,2087.0,2101875.0
2012-06,5313081.0,2638499.0,2674582.0,4570137.0,271953.0,56770.0,216159.0,2087.0,2101875.0
2012-07,5313081.0,2638499.0,2674582.0,4570137.0,271953.0,56770.0,216159.0,2087.0,2101875.0
2012-08,5313081.0,2638499.0,2674582.0,4570137.0,271953.0,56770.0,216159.0,2087.0,2101875.0
2012-09,5313081.0,2638499.0,2674582.0,4570137.0,271953.0,56770.0,216159.0,2087.0,2101875.0
2012-10,5313081.0,2638499.0,2674582.0,4570137.0,271953.0,56770.0,216159.0,2087.0,2101875.0
2012-11,5313081.0,2638499.0,2674582.0,4570137.0,271953.0,56770.0,216159.0,2087.0,2101875.0
2012-12,5313081.0,2638499.0,2674582.0,4570137.0,271953.0,56770.0,216159.0,2087.0,2101875.0
2013-01,5347740.0,2655658.0,2692082.0,4575991.0,279944.0,57479.0,222761.0,2259.0,2107232.0
2013-02,5347740.0,2655658.0,2692082.0,4575991.0,279944.0,57479.0,222761.0,2259.0,2107232.0
2013-03,5347740.0,2655658.0,2692082.0,4575991.0,279944.0,57479.0,222761.0,2259.0,2107232.0
2013-04,5347740.0,2655658.0,2692082.0,4575991.0,279944.0,57479.0,222761.0,2259.0,2107232.0
2013-05,5347740.0,2655658.0,2692082.0,4575991.0,279944.0,57479.0,222761.0,2259.0,2107232.0
2013-06,5347740.0,2655658.0,2692082.0,4575991.0,279944.0,57479.0,222761.0,2259.0,2107232.0
2013-07,5347740.0,2655658.0,2692082.0,4575991.0,279944.0,57479.0,222761.0,2259.0,2107232.0
2013-08,5347740.0,2655658.0,2692082.0,4575991.0,279944.0,57479.0,222761.0,2259.0,2107232.0
2013-09,5347740.0,2655658.0,2692082.0,4575991.0,279944.0,57479.0,222761.0,2259.0,2107232.0
2013-10,5347740.0,2655658.0,2692082.0,4575991.0,279944.0,57479.0,222761.0,2259.0,2107232.0
2013-11,5347740.0,2655658.0,2692082.0,4575991.0,279944.0,57479.0,222761.0,2259.0,2107232.0
2013-12,5347740.0,2655658.0,2692082.0,4575991.0,279944.0,57479.0,222761.0,2259.0,2107232.0
2014-01,5383661.0,2674354.0,2709307.0,4585781.0,290545.0,56490.0,230798.0,2166.0,2115337.0
2014-02,5383661.0,2674354.0,2709307.0,4585781.0,290545.0,56490.0,230798.0,2166.0,2115337.0
2014-03,5383661.0,2674354.0,2709307.0,4585781.0,290545.0,56490.0,230798.0,2166.0,2115337.0
2014-04,5383661.0,2674354.0,2709307.0,4585781.0,290545.0,56490.0,230798.0,2166.0,2115337.0
2014-05,5383661.0,2674354.0,2709307.0,4585781.0,290545.0,56490.0,230798.0,2166.0,2115337.0
2014-06,5383661.0,2674354.0,2709307.0,4585781.0,290545.0,56490.0,230798.0,2166.0,2115337.0
2014-07,5383661.0,2674354.0,2709307.0,4585781.0,290545.0,56490.0,230798.0,2166.0,2115337.0
2014-08,5383661.0,2674354.0,2709307.0,4585781.0,290545.0,56490.0,230798.0,2166.0,2115337.0
2014-09,5383661.0,2674354.0,2709307.0,4585781.0,290545.0,56490.0,230798.0,2166.0,2115337.0
2014-10,5383661.0,2674354.0,2709307.0,4585781.0,290545.0,56490.0,230798.0,2166.0,2115337.0
2014-11,5383661.0,2674354.0,2709307.0,4585781.0,290545.0,56490.0,230798.0,2166.0,2115337.0
2014-12,5383661.0,2674354.0,2709307.0,4585781.0,290545.0,56490.0,230798.0,2166.0,2115337.0
2015-01,5419171.0,2692166.0,2727005.0,4594367.0,299176.0,56561.0,240786.0,1970.0,2124745.0
2015-02,5419171.0,2692166.0,2727005.0,4594367.0,299176.0,56561.0,240786.0,1970.0,2124745.0
2015-03,5419171.0,2692166.0,2727005.0,4594367.0,299176.0,56561.0,240786.0,1970.0,2124745.0
2015-04,5419171.0,2692166.0,2727005.0,4594367.0,299176.0,56561.0,240786.0,1970.0,2124745.0
2015-05,5419171.0,2692166.0,2727005.0,4594367.0,299176.0,56561.0,240786.0,1970.0,2124745.0
2015-06,5419171.0,2692166.0,2727005.0,4594367.0,299176.0,56561.0,240786.0,1970.0,2124745.0
2015-07,5419171.0,2692166.0,2727005.0,4594367.0,299176.0,56561.0,240786.0,1970.0,2124745.0
2015-08,5419171.0,2692166.0,2727005.0,4594367.0,299176.0,56561.0,240786.0,1970.0,2124745.0
2015-09,5419171.0,2692166.0,2727005.0,4594367.0,299176.0,56561.0,240786.0,1970.0,2124745.0
2015-10,5419171.0,2692166.0,2727005.0,4594367.0,299176.0,56561.0,240786.0,1970.0,2124745.0
2015-11,5419171.0,2692166.0,2727005.0,4594367.0,299176.0,56561.0,240786.0,1970.0,2124745.0
2015-12,5419171.0,2692166.0,2727005.0,4594367.0,299176.0,56561.0,240786.0,1970.0,2124745.0
2016-01,5450868.0,2710157.0,2740711.0,4597525.0,310853.0,56904.0,246819.0,1969.0,2135310.0
2016-02,5450868.0,2710157.0,2740711.0,4597525.0,310853.0,56904.0,246819.0,1969.0,2135310.0
2016-03,5450868.0,2710157.0,2740711.0,4597525.0,310853.0,56904.0,246819.0,1969.0,2135310.0
2016-04,5450868.0,2710157.0,2740711.0,4597525.0,310853.0,56904.0,246819.0,1969.0,2135310.0
2016-05,5450868.0,2710157.0,2740711.0,4597525.0,310853.0,56904.0,246819.0,1969.0,2135310.0
2016-06,5450868.0,2710157.0,2740711.0,4597525.0,310853.0,56904.0,246819.0,1969.0,2135310.0
2016-07,5450868.0,2710157.0,2740711.0,4597525.0,310853.0,56904.0,246819.0,1969.0,2135310.0
2016-08,5450868.0,2710157.0,2740711.0,4597525.0,310853.0,56904.0,246819.0,1969.0,2135310.0
2016-09,5450868.0,2710157.0,2740711.0,4597525.0,310853.0,56904.0,246819.0,1969.0,2135310.0
2016-10,5450868.0,2710157.0,2740711.0,4597525.0,310853.0,56904.0,246819.0,1969.0,2135310.0
2016-11,5450868.0,2710157.0,2740711.0,4597525.0,310853.0,56904.0,246819.0,1969.0,2135310.0
2016-12,5450868.0,2710157.0,2740711.0,4597525.0,310853.0,56904.0,246819.0,1969.0,2135310.0
2017-01,5490726.0,2731831.0,2758895.0,4598252.0,326953.0,57566.0,255935.0,1976.0,2153202.0
2017-02,5490726.0,2731831.0,2758895.0,4598252.0,326953.0,57566.0,255935.0,1976.0,2153202.0
2017-03,5490726.0,2731831.0,2758895.0,4598252.0,326953.0,57566.0,255935.0,1976.0,2153202.0
2017-04,5490726.0,2731831.0,2758895.0,4598252.0,326953.0,57566.0,255935.0,1976.0,2153202.0
2017-05,5490726.0,2731831.0,2758895.0,4598252.0,326953.0,57566.0,255935.0,1976.0,2153202.0
2017-06,5490726.0,2731831.0,2758895.0,4598252.0,326953.0,57566.0,255935.0,1976.0,2153202.0
2017-07,5490726.0,2731831.0,2758895.0,4598252.0,326953.0,57566.0,255935.0,1976.0,2153202.0
2017-08,5490726.0,2731831.0,2758895.0,4598252.0,326953.0,57566.0,255935.0,1976.0,2153202.0
2017-09,5490726.0,2731831.0,2758895.0,4598252.0,326953.0,57566.0,255935.0,1976.0,2153202.0
2017-10,5490726.0,2731831.0,2758895.0,4598252.0,326953.0,57566.0,255935.0,1976.0,2153202.0
2017-11,5490726.0,2731831.0,2758895.0,4598252.0,326953.0,57566.0,255935.0,1976.0,2153202.0
2017-12,5490726.0,2731831.0,2758895.0,4598252.0,326953.0,57566.0,255935.0,1976.0,2153202.0
2018-01,5527358.0,2751748.0,2775610.0,4606044.0,342186.0,58982.0,262359.0,2187.0,2167801.0
2018-02,5527358.0,2751748.0,2775610.0,4606044.0,342186.0,58982.0,262359.0,2187.0,2167801.0
2018-03,5527358.0,2751748.0,2775610.0,4606044.0,342186.0,58982.0,262359.0,2187.0,2167801.0
2018-04,5527358.0,2751748.0,2775610.0,4606044.0,342186.0,58982.0,262359.0,2187.0,2167801.0
2018-05,5527358.0,2751748.0,2775610.0,4606044.0,342186.0,58982.0,262359.0,2187.0,2167801.0
2018-06,5527358.0,2751748.0,2775610.0,4606044.0,342186.0,58982.0,262359.0,2187.0,2167801.0
2018-07,5527358.0,2751748.0,2775610.0,4606044.0,342186.0,58982.0,262359.0,2187.0,2167801.0
2018-08,5527358.0,2751748.0,2775610.0,4606044.0,342186.0,58982.0,262359.0,2187.0,2167801.0
2018-09,5527358.0,2751748.0,2775610.0,4606044.0,342186.0,58982.0,262359.0,2187.0,2167801.0
2018-10,5527358.0,2751748.0,2775610.0,4606044.0,342186.0,58982.0,262359.0,2187.0,2167801.0
