year,month,Value
1990,1,27.9
1990,2,28.7
1990,3,36.7
1990,4,41.6
1990,5,50.6
1990,6,63.4
1990,7,65.9
1990,8,64.1
1990,9,58.9
1990,10,41.3
1990,11,37.9
1990,12,22.7
1991,1,18.8
1991,2,27.8
1991,3,36.2
1991,4,46.7
1991,5,59.2
1991,6,64.6
1991,7,66.1
1991,8,63.5
1991,9,56.2
1991,10,44.8
1991,11,29.5
1991,12,28.4
1992,1,26.2
1992,2,31.0
1992,3,35.4
1992,4,42.9
1992,5,50.4
1992,6,58.9
1992,7,65.5
1992,8,58.7
1992,9,54.2
1992,10,43.0
1992,11,35.1
1992,12,25.4
1993,1,21.1
1993,2,21.1
1993,3,31.2
1993,4,41.0
1993,5,52.7
1993,6,61.7
1993,7,68.9
1993,8,66.8
1993,9,52.7
1993,10,42.2
1993,11,31.0
1993,12,26.3
1994,1,18.0
1994,2,21.9
1994,3,33.0
1994,4,43.2
1994,5,50.2
1994,6,64.5
1994,7,64.1
1994,8,61.6
1994,9,54.0
1994,10,46.5
1994,11,38.4
1994,12,29.5
1995,1,20.8
1995,2,24.8
1995,3,34.3
1995,4,41.4
1995,5,51.5
1995,6,61.4
1995,7,66.2
1995,8,68.7
1995,9,53.3
1995,10,43.7
1995,11,28.6
1995,12,24.4
1996,1,17.6
1996,2,23.3
1996,3,26.4
1996,4,39.6
1996,5,55.6
1996,6,62.4
1996,7,64.4
1996,8,64.2
1996,9,53.6
1996,10,44.4
1996,11,30.3
1996,12,24.2
1997,1,16.0
1997,2,29.5
1997,3,34.3
1997,4,38.6
1997,5,47.3
1997,6,61.5
1997,7,66.3
1997,8,63.1
1997,9,57.0
1997,10,45.6
1997,11,33.1
1997,12,27.4
1998,1,27.7
1998,2,33.1
1998,3,32.8
1998,4,43.1
1998,5,58.1
1998,6,63.2
1998,7,68.8
1998,8,66.3
1998,9,62.0
1998,10,47.0
1998,11,38.3
1998,12,26.5
1999,1,22.1
1999,2,32.6
1999,3,31.4
1999,4,47.0
1999,5,52.4
1999,6,62.7
1999,7,69.0
1999,8,63.0
1999,9,52.6
1999,10,42.6
1999,11,38.6
1999,12,26.8
2000,1,23.0
2000,2,31.5
2000,3,36.7
2000,4,41.4
2000,5,56.0
2000,6,61.0
2000,7,66.4
2000,8,68.2
2000,9,55.3
2000,10,48.4
2000,11,30.4
2000,12,12.1
2001,1,20.3
2001,2,24.2
2001,3,29.2
2001,4,48.8
2001,5,54.9
2001,6,61.2
2001,7,68.9
2001,8,65.8
2001,9,54.4
2001,10,43.7
2001,11,39.7
2001,12,28.7
2002,1,24.3
2002,2,26.5
2002,3,28.7
2002,4,45.6
2002,5,50.1
2002,6,64.0
2002,7,68.1
2002,8,65.9
2002,9,58.2
2002,10,42.9
2002,11,31.4
2002,12,25.5
2003,1,17.6
2003,2,21.8
2003,3,32.7
2003,4,44.9
2003,5,52.4
2003,6,58.4
2003,7,66.8
2003,8,66.8
2003,9,53.0
2003,10,44.8
2003,11,36.8
2003,12,27.7
2004,1,20.4
2004,2,22.8
2004,3,37.8
2004,4,44.7
2004,5,56.6
2004,6,60.6
2004,7,64.6
2004,8,59.9
2004,9,55.7
2004,10,47.8
2004,11,39.4
2004,12,24.5
2005,1,25.4
2005,2,30.7
2005,3,31.7
2005,4,45.4
2005,5,50.3
2005,6,63.6
2005,7,66.2
2005,8,67.1
2005,9,60.4
2005,10,44.9
2005,11,35.7
2005,12,22.3
2006,1,31.0
2006,2,22.3
2006,3,34.7
2006,4,47.9
2006,5,53.9
2006,6,61.9
2006,7,67.5
2006,8,67.3
2006,9,53.1
2006,10,42.2
2006,11,35.8
2006,12,28.5
2007,1,22.7
2007,2,19.8
2007,3,41.5
2007,4,40.7
2007,5,57.6
2007,6,63.1
2007,7,65.1
2007,8,69.4
2007,9,58.7
2007,10,48.4
2007,11,33.5
2007,12,24.6
2008,1,20.0
2008,2,22.2
2008,3,31.6
2008,4,41.3
2008,5,51.1
2008,6,63.4
2008,7,66.4
2008,8,63.3
2008,9,56.8
2008,10,43.8
2008,11,33.6
2008,12,20.2
2009,1,17.3
2009,2,26.9
2009,3,35.2
2009,4,42.7
2009,5,53.3
2009,6,64.2
2009,7,62.6
2009,8,61.9
2009,9,56.5
2009,10,41.8
2009,11,39.7
2009,12,22.4
2010,1,17.8
2010,2,19.7
2010,3,34.8
2010,4,48.1
2010,5,54.2
2010,6,66.9
2010,7,69.3
2010,8,67.2
2010,9,57.7
2010,10,44.1
2010,11,34.7
2010,12,21.2
2011,1,17.2
2011,2,23.3
2011,3,35.2
2011,4,45.2
2011,5,52.4
2011,6,65.2
2011,7,71.8
2011,8,66.4
2011,9,52.8
2011,10,43.6
2011,11,37.8
2011,12,28.2
2012,1,25.0
2012,2,30.1
2012,3,46.3
2012,4,46.9
2012,5,57.2
2012,6,61.9
2012,7,70.3
2012,8,62.4
2012,9,55.4
2012,10,43.0
2012,11,32.8
2012,12,29.2
2013,1,23.6
2013,2,24.9
2013,3,29.0
2013,4,40.7
2013,5,52.6
2013,6,62.8
2013,7,64.1
2013,8,64.3
2013,9,58.6
2013,10,44.4
2013,11,31.3
2013,12,20.3
2014,1,13.8
2014,2,16.2
2014,3,26.3
2014,4,42.9
2014,5,54.1
2014,6,64.6
2014,7,61.6
2014,8,65.9
2014,9,55.8
2014,10,46.3
2014,11,27.6
2014,12,30.2
2015,1,20.7
2015,2,15.7
2015,3,32.8
2015,4,46.2
2015,5,54.8
2015,6,65.2
2015,7,68.2
2015,8,62.8
2015,9,60.3
2015,10,45.8
2015,11,38.5
2015,12,33.2
2016,1,21.7
2016,2,28.5
2016,3,39.1
2016,4,45.5
2016,5,51.7
2016,6,65.7
2016,7,68.4
2016,8,67.2
2016,9,60.6
2016,10,50.6
2016,11,39.3
2016,12,22.9
2017,1,26.7
2017,2,33.0
2017,3,37.5
2017,4,47.7
2017,5,52.6
2017,6,62.0
2017,7,67.9
2017,8,61.3
2017,9,57.9
2017,10,47.2
2017,11,35.1
2017,12,24.4
2018,1,17.6
2018,2,24.8
2018,3,33.9
2018,4,36.1
2018,5,60.9
2018,6,66.5
2018,7,66.8
2018,8,65.8
2018,9,60.9
2018,10,45.7
2018,11,28.5
2018,12,28.0
2019,1,22.9
2019,2,23.7
2019,3,30.9
2019,4,44.9
2019,5,54.6
2019,6,62.2
2019,7,67.6
2019,8,65.6
2019,9,64.1
2019,10,43.3
2019,11,29.4
2019,12,29.0
2020,1,26.6
2020,2,26.0
2020,3,38.8
2020,4,41.4
2020,5,52.3
2020,6,64.1
2020,7,69.1
2020,8,63.4
2020,9,56.4
2020,10,42.1
2020,11,37.8
2020,12,25.5
2021,1,26.5
2021,2,15.7
2021,3,38.6
2021,4,42.9
2021,5,52.4
2021,6,64.3
2021,7,66.8
2021,8,66.8
2021,9,59.0
2021,10,50.2
2021,11,33.8
2021,12,33.6
2022,1,17.4
2022,2,20.4
2022,3,34.1
2022,4,41.7
2022,5,55.6
2022,6,64.1
2022,7,68.4
2022,8,65.5
2022,9,57.0
2022,10,41.9
2022,11,32.9
2022,12,24.1
