year,month,Value
1990,1,25.6
1990,2,23.8
1990,3,33.4
1990,4,42.3
1990,5,48.8
1990,6,58.9
1990,7,65.6
1990,8,66.1
1990,9,60.3
1990,10,42.6
1990,11,33.1
1990,12,13.2
1991,1,15.6
1991,2,33.9
1991,3,32.1
1991,4,40.6
1991,5,49.8
1991,6,58.2
1991,7,66.3
1991,8,68.6
1991,9,55.6
1991,10,40.4
1991,11,27.2
1991,12,27.0
1992,1,28.0
1992,2,32.3
1992,3,38.7
1992,4,43.8
1992,5,53.5
1992,6,60.9
1992,7,59.9
1992,8,61.4
1992,9,53.4
1992,10,44.7
1992,11,29.7
1992,12,15.4
1993,1,12.2
1993,2,15.1
1993,3,34.4
1993,4,41.5
1993,5,53.7
1993,6,55.8
1993,7,57.2
1993,8,59.7
1993,9,51.6
1993,10,43.0
1993,11,25.2
1993,12,26.3
1994,1,20.8
1994,2,15.2
1994,3,35.9
1994,4,42.6
1994,5,53.6
1994,6,59.3
1994,7,65.9
1994,8,66.6
1994,9,58.6
1994,10,42.5
1994,11,27.5
1994,12,23.9
1995,1,22.4
1995,2,27.8
1995,3,29.9
1995,4,38.0
1995,5,48.4
1995,6,57.9
1995,7,64.1
1995,8,64.4
1995,9,54.5
1995,10,41.3
1995,11,31.4
1995,12,20.8
1996,1,11.3
1996,2,23.1
1996,3,24.2
1996,4,41.7
1996,5,45.9
1996,6,60.5
1996,7,66.0
1996,8,66.5
1996,9,52.6
1996,10,41.8
1996,11,22.3
1996,12,15.0
1997,1,14.3
1997,2,26.0
1997,3,31.8
1997,4,36.0
1997,5,51.0
1997,6,60.6
1997,7,64.4
1997,8,64.8
1997,9,58.1
1997,10,43.4
1997,11,30.4
1997,12,25.8
1998,1,19.0
1998,2,30.4
1998,3,28.9
1998,4,43.7
1998,5,52.7
1998,6,54.4
1998,7,69.1
1998,8,68.1
1998,9,61.4
1998,10,44.2
1998,11,33.1
1998,12,21.2
1999,1,22.2
1999,2,30.2
1999,3,35.2
1999,4,40.0
1999,5,48.7
1999,6,57.0
1999,7,64.0
1999,8,66.4
1999,9,51.6
1999,10,44.7
1999,11,39.0
1999,12,29.5
2000,1,22.1
2000,2,26.9
2000,3,35.5
2000,4,43.2
2000,5,51.5
2000,6,58.0
2000,7,68.4
2000,8,66.8
2000,9,54.4
2000,10,43.5
2000,11,22.1
2000,12,15.8
2001,1,24.6
2001,2,16.5
2001,3,33.8
2001,4,41.1
2001,5,53.3
2001,6,58.4
2001,7,67.1
2001,8,68.9
2001,9,58.7
2001,10,42.7
2001,11,36.3
2001,12,22.4
2002,1,22.7
2002,2,26.4
2002,3,19.8
2002,4,37.6
2002,5,47.5
2002,6,59.5
2002,7,69.6
2002,8,61.3
2002,9,55.7
2002,10,36.6
2002,11,33.8
2002,12,26.8
2003,1,24.7
2003,2,21.4
2003,3,29.8
2003,4,44.1
2003,5,50.1
2003,6,58.4
2003,7,70.3
2003,8,70.0
2003,9,54.6
2003,10,47.5
2003,11,24.0
2003,12,25.1
2004,1,17.0
2004,2,24.1
2004,3,37.5
2004,4,44.3
2004,5,48.1
2004,6,56.1
2004,7,66.1
2004,8,62.4
2004,9,54.1
2004,10,43.1
2004,11,33.6
2004,12,27.4
2005,1,18.1
2005,2,28.9
2005,3,34.6
2005,4,42.7
2005,5,49.0
2005,6,57.7
2005,7,67.6
2005,8,63.9
2005,9,55.4
2005,10,45.1
2005,11,33.2
2005,12,20.5
2006,1,31.4
2006,2,23.4
2006,3,30.6
2006,4,44.9
2006,5,52.9
2006,6,61.6
2006,7,71.2
2006,8,65.5
2006,9,54.8
2006,10,40.4
2006,11,30.3
2006,12,25.5
2007,1,21.8
2007,2,22.0
2007,3,38.9
2007,4,40.9
2007,5,52.1
2007,6,60.7
2007,7,73.3
2007,8,65.8
2007,9,55.0
2007,10,44.6
2007,11,31.6
2007,12,21.6
2008,1,18.1
2008,2,24.2
2008,3,31.2
2008,4,37.6
2008,5,49.6
2008,6,56.7
2008,7,66.5
2008,8,65.6
2008,9,53.6
2008,10,43.7
2008,11,35.8
2008,12,14.0
2009,1,21.1
2009,2,25.1
2009,3,28.3
2009,4,39.8
2009,5,50.5
2009,6,56.6
2009,7,64.6
2009,8,63.4
2009,9,60.7
2009,10,36.4
2009,11,35.2
2009,12,12.0
2010,1,20.6
2010,2,21.1
2010,3,36.2
2010,4,41.6
2010,5,46.3
2010,6,57.5
2010,7,64.3
2010,8,63.8
2010,9,54.1
2010,10,47.6
2010,11,26.6
2010,12,19.0
2011,1,19.1
2011,2,16.4
2011,3,28.6
2011,4,37.7
2011,5,47.1
2011,6,56.3
2011,7,66.6
2011,8,66.8
2011,9,58.3
2011,10,45.9
2011,11,30.0
2011,12,26.2
2012,1,25.1
2012,2,24.9
2012,3,39.4
2012,4,44.8
2012,5,49.5
2012,6,60.2
2012,7,70.7
2012,8,66.7
2012,9,58.2
2012,10,41.0
2012,11,32.4
2012,12,21.5
2013,1,21.7
2013,2,27.4
2013,3,30.5
2013,4,36.9
2013,5,51.9
2013,6,59.0
2013,7,67.5
2013,8,67.3
2013,9,58.8
2013,10,40.8
2013,11,30.4
2013,12,16.4
2014,1,24.5
2014,2,14.7
2014,3,29.4
2014,4,41.0
2014,5,51.1
2014,6,56.5
2014,7,67.6
2014,8,64.8
2014,9,55.1
2014,10,47.9
2014,11,25.3
2014,12,25.0
2015,1,24.7
2015,2,26.9
2015,3,39.5
2015,4,42.8
2015,5,49.6
2015,6,63.8
2015,7,66.2
2015,8,65.9
2015,9,57.3
2015,10,48.0
2015,11,30.0
2015,12,23.6
2016,1,23.4
2016,2,33.6
2016,3,37.4
2016,4,45.0
2016,5,51.0
2016,6,62.4
2016,7,65.9
2016,8,64.4
2016,9,54.8
2016,10,44.3
2016,11,39.1
2016,12,14.2
2017,1,15.2
2017,2,25.4
2017,3,35.8
2017,4,42.1
2017,5,52.3
2017,6,60.6
2017,7,71.6
2017,8,65.5
2017,9,55.2
2017,10,42.6
2017,11,30.7
2017,12,21.1
2018,1,21.7
2018,2,11.4
2018,3,28.3
2018,4,37.9
2018,5,55.7
2018,6,59.2
2018,7,66.8
2018,8,64.5
2018,9,53.0
2018,10,41.6
2018,11,30.2
2018,12,25.0
2019,1,24.7
2019,2,5.1
2019,3,25.2
2019,4,41.9
2019,5,47.7
2019,6,58.6
2019,7,65.0
2019,8,64.8
2019,9,55.0
2019,10,35.4
2019,11,29.3
2019,12,25.8
2020,1,23.4
2020,2,25.6
2020,3,31.6
2020,4,38.3
2020,5,50.6
2020,6,59.3
2020,7,65.6
2020,8,67.4
2020,9,57.0
2020,10,39.3
2020,11,32.8
2020,12,28.5
2021,1,26.7
2021,2,13.7
2021,3,36.1
2021,4,40.5
2021,5,48.6
2021,6,65.3
2021,7,72.5
2021,8,64.7
2021,9,58.3
2021,10,45.6
2021,11,36.3
2021,12,19.3
2022,1,22.9
2022,2,22.4
2022,3,33.5
2022,4,35.1
2022,5,48.6
2022,6,58.5
2022,7,69.1
2022,8,69.7
2022,9,60.7
2022,10,47.2
2022,11,22.6
2022,12,14.6
