year,month,Value
1990,1,60.4
1990,2,65.3
1990,3,68.6
1990,4,74.7
1990,5,80.8
1990,6,90.3
1990,7,90.8
1990,8,93.3
1990,9,89.8
1990,10,76.9
1990,11,71.2
1990,12,61.4
1991,1,53.0
1991,2,61.4
1991,3,69.0
1991,4,75.8
1991,5,82.1
1991,6,88.2
1991,7,91.6
1991,8,90.0
1991,9,85.7
1991,10,78.4
1991,11,62.2
1991,12,60.8
1992,1,54.3
1992,2,63.8
1992,3,67.7
1992,4,74.9
1992,5,81.9
1992,6,86.6
1992,7,90.4
1992,8,86.5
1992,9,83.5
1992,10,76.8
1992,11,62.3
1992,12,56.4
1993,1,56.6
1993,2,58.7
1993,3,63.0
1993,4,70.7
1993,5,80.0
1993,6,88.6
1993,7,92.7
1993,8,92.0
1993,9,86.3
1993,10,74.9
1993,11,63.4
1993,12,56.5
1994,1,50.6
1994,2,60.6
1994,3,68.8
1994,4,78.3
1994,5,80.8
1994,6,88.8
1994,7,88.0
1994,8,88.9
1994,9,84.8
1994,10,74.5
1994,11,68.9
1994,12,58.8
1995,1,56.1
1995,2,59.8
1995,3,69.0
1995,4,76.4
1995,5,83.3
1995,6,87.5
1995,7,92.1
1995,8,93.2
1995,9,87.0
1995,10,77.1
1995,11,63.1
1995,12,55.8
1996,1,56.0
1996,2,59.3
1996,3,63.1
1996,4,73.8
1996,5,85.6
1996,6,88.0
1996,7,91.0
1996,8,88.7
1996,9,83.9
1996,10,76.2
1996,11,64.4
1996,12,61.2
1997,1,54.8
1997,2,60.3
1997,3,72.5
1997,4,70.9
1997,5,80.4
1997,6,85.1
1997,7,91.5
1997,8,89.2
1997,9,87.9
1997,10,76.6
1997,11,60.5
1997,12,54.6
1998,1,58.1
1998,2,60.2
1998,3,65.6
1998,4,73.8
1998,5,85.8
1998,6,92.3
1998,7,92.9
1998,8,92.6
1998,9,89.6
1998,10,80.8
1998,11,69.3
1998,12,59.2
1999,1,61.0
1999,2,65.2
1999,3,65.8
1999,4,79.5
1999,5,83.5
1999,6,88.3
1999,7,91.8
1999,8,95.3
1999,9,87.6
1999,10,77.7
1999,11,70.8
1999,12,59.3
2000,1,58.0
2000,2,66.6
2000,3,72.3
2000,4,73.5
2000,5,85.6
2000,6,89.2
2000,7,94.9
2000,8,96.6
2000,9,87.6
2000,10,80.2
2000,11,62.6
2000,12,48.9
2001,1,51.3
2001,2,63.8
2001,3,62.1
2001,4,78.3
2001,5,84.2
2001,6,87.0
2001,7,91.2
2001,8,89.4
2001,9,83.6
2001,10,74.9
2001,11,73.2
2001,12,62.1
2002,1,58.5
2002,2,58.2
2002,3,67.0
2002,4,77.7
2002,5,82.6
2002,6,88.8
2002,7,91.4
2002,8,90.5
2002,9,87.7
2002,10,75.2
2002,11,62.8
2002,12,57.4
2003,1,51.8
2003,2,56.3
2003,3,67.4
2003,4,76.7
2003,5,83.2
2003,6,86.4
2003,7,89.3
2003,8,90.7
2003,9,84.8
2003,10,76.9
2003,11,70.8
2003,12,56.9
2004,1,56.4
2004,2,54.9
2004,3,71.9
2004,4,75.1
2004,5,83.0
2004,6,86.4
2004,7,89.5
2004,8,87.8
2004,9,86.1
2004,10,80.4
2004,11,68.2
2004,12,57.5
2005,1,60.0
2005,2,60.8
2005,3,65.2
2005,4,75.3
2005,5,82.0
2005,6,88.2
2005,7,90.7
2005,8,93.0
2005,9,89.6
2005,10,78.0
2005,11,70.1
2005,12,56.1
2006,1,63.3
2006,2,56.9
2006,3,69.2
2006,4,81.2
2006,5,83.2
2006,6,91.4
2006,7,93.6
2006,8,94.6
2006,9,85.4
2006,10,76.6
2006,11,66.4
2006,12,60.2
2007,1,55.6
2007,2,57.8
2007,3,75.4
2007,4,73.5
2007,5,84.8
2007,6,91.3
2007,7,88.7
2007,8,96.4
2007,9,87.5
2007,10,78.5
2007,11,67.5
2007,12,63.0
2008,1,54.0
2008,2,62.3
2008,3,69.4
2008,4,75.2
2008,5,82.4
2008,6,90.4
2008,7,93.2
2008,8,88.0
2008,9,83.8
2008,10,75.3
2008,11,64.8
2008,12,59.1
2009,1,56.1
2009,2,63.3
2009,3,68.7
2009,4,75.4
2009,5,81.2
2009,6,91.9
2009,7,90.1
2009,8,89.1
2009,9,84.8
2009,10,72.5
2009,11,66.8
2009,12,53.3
2010,1,51.1
2010,2,50.5
2010,3,64.1
2010,4,78.7
2010,5,85.3
2010,6,92.6
2010,7,92.8
2010,8,94.2
2010,9,90.7
2010,10,81.3
2010,11,68.2
2010,12,53.7
2011,1,52.3
2011,2,61.3
2011,3,70.1
2011,4,79.5
2011,5,82.7
2011,6,94.2
2011,7,93.1
2011,8,94.8
2011,9,83.9
2011,10,75.6
2011,11,67.8
2011,12,58.2
2012,1,62.8
2012,2,61.7
2012,3,76.8
2012,4,78.1
2012,5,86.3
2012,6,90.0
2012,7,92.0
2012,8,89.6
2012,9,85.6
2012,10,74.4
2012,11,65.8
2012,12,62.2
2013,1,58.4
2013,2,59.5
2013,3,62.8
2013,4,73.9
2013,5,79.8
2013,6,89.1
2013,7,88.5
2013,8,90.0
2013,9,88.8
2013,10,76.4
2013,11,62.4
2013,12,56.7
2014,1,51.3
2014,2,56.7
2014,3,64.2
2014,4,74.8
2014,5,82.2
2014,6,87.8
2014,7,87.8
2014,8,90.5
2014,9,87.2
2014,10,79.3
2014,11,61.1
2014,12,59.8
2015,1,54.8
2015,2,52.8
2015,3,67.9
2015,4,77.0
2015,5,83.3
2015,6,89.3
2015,7,92.9
2015,8,91.6
2015,9,88.4
2015,10,78.7
2015,11,69.0
2015,12,66.8
2016,1,54.4
2016,2,62.6
2016,3,71.6
2016,4,76.4
2016,5,81.6
2016,6,90.8
2016,7,92.7
2016,8,91.4
2016,9,91.1
2016,10,84.0
2016,11,72.5
2016,12,59.6
2017,1,62.5
2017,2,69.1
2017,3,71.6
2017,4,79.6
2017,5,81.3
2017,6,85.7
2017,7,90.8
2017,8,88.1
2017,9,85.6
2017,10,78.7
2017,11,68.9
2017,12,57.2
2018,1,51.0
2018,2,66.8
2018,3,68.8
2018,4,71.8
2018,5,87.6
2018,6,90.8
2018,7,91.7
2018,8,90.6
2018,9,87.9
2018,10,78.1
2018,11,60.2
2018,12,58.2
2019,1,55.9
2019,2,64.9
2019,3,66.4
2019,4,74.6
2019,5,84.7
2019,6,88.5
2019,7,90.4
2019,8,91.6
2019,9,93.7
2019,10,77.2
2019,11,62.9
2019,12,60.7
2020,1,59.8
2020,2,60.7
2020,3,73.9
2020,4,74.5
2020,5,81.5
2020,6,88.1
2020,7,91.3
2020,8,90.4
2020,9,84.7
2020,10,77.2
2020,11,70.9
2020,12,58.8
2021,1,56.3
2021,2,54.5
2021,3,71.8
2021,4,74.2
2021,5,80.5
2021,6,87.6
2021,7,89.5
2021,8,90.4
2021,9,85.2
2021,10,79.4
2021,11,65.7
2021,12,69.1
2022,1,56.6
2022,2,61.7
2022,3,71.0
2022,4,76.6
2022,5,86.5
2022,6,92.7
2022,7,93.1
2022,8,89.3
2022,9,87.3
2022,10,78.0
2022,11,66.6
2022,12,59.8
