year,month,Value
1990,1,17.2
1990,2,12.4
1990,3,21.2
1990,4,29.6
1990,5,36.8
1990,6,45.5
1990,7,50.4
1990,8,51.3
1990,9,43.6
1990,10,29.6
1990,11,22.2
1990,12,2.1
1991,1,6.0
1991,2,23.5
1991,3,20.3
1991,4,30.2
1991,5,38.6
1991,6,46.1
1991,7,51.0
1991,8,52.8
1991,9,41.4
1991,10,26.9
1991,11,17.7
1991,12,17.0
1992,1,17.3
1992,2,20.0
1992,3,25.3
1992,4,30.9
1992,5,38.8
1992,6,47.5
1992,7,47.6
1992,8,46.2
1992,9,39.0
1992,10,32.2
1992,11,21.8
1992,12,5.6
1993,1,2.1
1993,2,4.0
1993,3,23.6
1993,4,30.0
1993,5,40.2
1993,6,44.2
1993,7,46.6
1993,8,46.7
1993,9,37.6
1993,10,30.2
1993,11,15.1
1993,12,17.8
1994,1,11.9
1994,2,4.2
1994,3,23.6
1994,4,29.9
1994,5,40.4
1994,6,45.5
1994,7,50.0
1994,8,50.5
1994,9,42.5
1994,10,31.8
1994,11,18.0
1994,12,14.6
1995,1,12.8
1995,2,16.8
1995,3,18.4
1995,4,26.8
1995,5,36.3
1995,6,45.2
1995,7,50.2
1995,8,48.4
1995,9,40.2
1995,10,30.5
1995,11,21.5
1995,12,11.1
1996,1,1.1
1996,2,12.2
1996,3,13.7
1996,4,30.2
1996,5,36.0
1996,6,46.4
1996,7,50.2
1996,8,49.6
1996,9,39.8
1996,10,29.1
1996,11,13.9
1996,12,6.3
1997,1,4.3
1997,2,16.9
1997,3,20.4
1997,4,24.6
1997,5,37.5
1997,6,48.1
1997,7,50.8
1997,8,49.9
1997,9,43.0
1997,10,31.9
1997,11,20.2
1997,12,16.4
1998,1,9.1
1998,2,20.4
1998,3,18.4
1998,4,31.1
1998,5,38.4
1998,6,43.2
1998,7,54.5
1998,8,52.4
1998,9,46.5
1998,10,32.0
1998,11,25.8
1998,12,12.1
1999,1,12.8
1999,2,21.2
1999,3,22.8
1999,4,28.1
1999,5,36.6
1999,6,44.6
1999,7,48.1
1999,8,51.6
1999,9,37.4
1999,10,31.2
1999,11,27.2
1999,12,20.2
2000,1,12.1
2000,2,16.2
2000,3,23.8
2000,4,29.7
2000,5,38.8
2000,6,44.4
2000,7,52.7
2000,8,50.3
2000,9,40.5
2000,10,31.2
2000,11,12.5
2000,12,5.9
2001,1,15.0
2001,2,5.8
2001,3,22.6
2001,4,29.3
2001,5,38.5
2001,6,45.8
2001,7,52.7
2001,8,51.8
2001,9,43.6
2001,10,30.7
2001,11,24.9
2001,12,12.6
2002,1,13.5
2002,2,14.9
2002,3,9.0
2002,4,25.1
2002,5,34.5
2002,6,46.4
2002,7,54.2
2002,8,47.0
2002,9,41.8
2002,10,24.6
2002,11,23.3
2002,12,17.2
2003,1,14.5
2003,2,11.4
2003,3,18.9
2003,4,32.1
2003,5,38.0
2003,6,45.4
2003,7,53.6
2003,8,54.1
2003,9,40.4
2003,10,34.0
2003,11,13.8
2003,12,15.9
2004,1,8.0
2004,2,14.2
2004,3,25.6
2004,4,30.5
2004,5,36.1
2004,6,43.4
2004,7,51.4
2004,8,48.2
2004,9,41.0
2004,10,31.2
2004,11,22.4
2004,12,17.6
2005,1,7.7
2005,2,16.1
2005,3,23.1
2005,4,30.0
2005,5,36.8
2005,6,46.1
2005,7,51.5
2005,8,48.0
2005,9,41.0
2005,10,33.3
2005,11,23.9
2005,12,12.0
2006,1,23.0
2006,2,12.5
2006,3,20.0
2006,4,32.3
2006,5,39.1
2006,6,47.9
2006,7,54.6
2006,8,49.2
2006,9,41.0
2006,10,29.0
2006,11,20.0
2006,12,15.3
2007,1,11.3
2007,2,12.9
2007,3,26.7
2007,4,29.2
2007,5,39.1
2007,6,47.0
2007,7,57.2
2007,8,50.0
2007,9,40.5
2007,10,32.7
2007,11,20.9
2007,12,12.0
2008,1,6.6
2008,2,13.4
2008,3,19.5
2008,4,24.1
2008,5,37.9
2008,6,43.6
2008,7,50.7
2008,8,49.5
2008,9,39.2
2008,10,31.1
2008,11,26.0
2008,12,4.1
2009,1,11.1
2009,2,15.2
2009,3,16.7
2009,4,28.2
2009,5,36.5
2009,6,43.3
2009,7,49.8
2009,8,49.1
2009,9,44.0
2009,10,27.2
2009,11,23.6
2009,12,2.6
2010,1,11.8
2010,2,11.2
2010,3,24.3
2010,4,29.2
2010,5,34.8
2010,6,45.5
2010,7,49.7
2010,8,49.2
2010,9,41.2
2010,10,34.2
2010,11,16.8
2010,12,10.2
2011,1,10.3
2011,2,6.0
2011,3,19.0
2011,4,27.0
2011,5,37.0
2011,6,44.3
2011,7,51.4
2011,8,50.7
2011,9,41.9
2011,10,34.4
2011,11,19.2
2011,12,16.4
2012,1,14.9
2012,2,14.5
2012,3,26.8
2012,4,31.8
2012,5,36.4
2012,6,46.4
2012,7,54.9
2012,8,49.7
2012,9,41.7
2012,10,30.1
2012,11,22.8
2012,12,12.8
2013,1,12.2
2013,2,18.1
2013,3,18.5
2013,4,25.2
2013,5,39.1
2013,6,46.0
2013,7,52.4
2013,8,52.2
2013,9,46.1
2013,10,29.3
2013,11,19.8
2013,12,6.6
2014,1,14.5
2014,2,4.3
2014,3,19.1
2014,4,28.5
2014,5,38.0
2014,6,44.3
2014,7,52.1
2014,8,51.6
2014,9,41.5
2014,10,35.2
2014,11,15.0
2014,12,16.5
2015,1,14.8
2015,2,16.2
2015,3,26.4
2015,4,29.2
2015,5,37.4
2015,6,49.5
2015,7,51.7
2015,8,50.1
2015,9,42.6
2015,10,35.6
2015,11,19.9
2015,12,15.0
2016,1,14.8
2016,2,23.2
2016,3,25.3
2016,4,32.6
2016,5,38.4
2016,6,47.2
2016,7,51.1
2016,8,48.9
2016,9,42.6
2016,10,34.0
2016,11,28.2
2016,12,5.4
2017,1,5.8
2017,2,16.0
2017,3,25.3
2017,4,30.7
2017,5,38.1
2017,6,46.4
2017,7,54.8
2017,8,49.5
2017,9,41.8
2017,10,30.0
2017,11,21.2
2017,12,12.2
2018,1,12.1
2018,2,0.2
2018,3,18.0
2018,4,25.8
2018,5,43.2
2018,6,46.9
2018,7,51.4
2018,8,49.1
2018,9,40.1
2018,10,30.0
2018,11,21.0
2018,12,16.1
2019,1,15.1
2019,2,-5.0
2019,3,13.0
2019,4,31.0
2019,5,36.2
2019,6,45.4
2019,7,50.8
2019,8,50.2
2019,9,43.4
2019,10,24.1
2019,11,19.5
2019,12,17.0
2020,1,14.6
2020,2,15.0
2020,3,20.4
2020,4,25.5
2020,5,38.2
2020,6,46.7
2020,7,50.2
2020,8,50.9
2020,9,41.6
2020,10,27.5
2020,11,22.1
2020,12,18.8
2021,1,17.4
2021,2,3.8
2021,3,23.2
2021,4,27.5
2021,5,35.9
2021,6,49.4
2021,7,56.3
2021,8,50.4
2021,9,42.6
2021,10,33.2
2021,11,25.4
2021,12,9.3
2022,1,12.5
2022,2,11.1
2022,3,21.5
2022,4,23.6
2022,5,36.7
2022,6,45.6
2022,7,53.4
2022,8,53.7
2022,9,45.4
2022,10,35.0
2022,11,13.0
2022,12,5.7
