year,month,Value
1990,1,1.16
1990,2,0.18
1990,3,0.69
1990,4,0.25
1990,5,1.39
1990,6,-1.63
1990,7,0.01
1990,8,0.44
1990,9,-3.49
1990,10,0.32
1990,11,0.21
1990,12,-0.48
1991,1,-1.01
1991,2,-1.96
1991,3,-0.85
1991,4,2.37
1991,5,1.78
1991,6,3.01
1991,7,-0.12
1991,8,-0.61
1991,9,0.4
1991,10,-0.24
1991,11,0.85
1991,12,-0.96
1992,1,-1.58
1992,2,-2.14
1992,3,-4.29
1992,4,-0.95
1992,5,-2.98
1992,6,-0.25
1992,7,1.25
1992,8,-0.38
1992,9,-0.68
1992,10,-0.19
1992,11,-0.21
1992,12,-0.23
1993,1,-0.92
1993,2,-1.24
1993,3,-1.74
1993,4,0.32
1993,5,-1.53
1993,6,1.85
1993,7,9.7
1993,8,5.56
1993,9,1.07
1993,10,1.1
1993,11,0.94
1993,12,0.92
1994,1,1.63
1994,2,1.85
1994,3,-0.79
1994,4,0.76
1994,5,-1.27
1994,6,-0.86
1994,7,-0.97
1994,8,-2.86
1994,9,-2.7
1994,10,3.09
1994,11,0.36
1994,12,-0.61
1995,1,-0.85
1995,2,-0.85
1995,3,0.6
1995,4,1.74
1995,5,1.49
1995,6,2.09
1995,7,3.62
1995,8,1.92
1995,9,0.11
1995,10,2.13
1995,11,2.74
1995,12,1.42
1996,1,3.02
1996,2,2.63
1996,3,2.09
1996,4,0.33
1996,5,3.59
1996,6,-1.81
1996,7,-1.49
1996,8,-2.68
1996,9,0.69
1996,10,-0.1
1996,11,1.44
1996,12,3.41
1997,1,1.65
1997,2,1.03
1997,3,2.33
1997,4,1.99
1997,5,0.25
1997,6,0.24
1997,7,3.54
1997,8,1.72
1997,9,-1.02
1997,10,0.83
1997,11,-0.79
1997,12,-1.61
1998,1,-0.36
1998,2,-1.5
1998,3,-0.3
1998,4,-1.14
1998,5,-0.99
1998,6,2.64
1998,7,1.32
1998,8,-0.13
1998,9,-1.84
1998,10,0.67
1998,11,1.36
1998,12,1.06
1999,1,0.77
1999,2,1.51
1999,3,-0.34
1999,4,1.02
1999,5,0.59
1999,6,0.12
1999,7,0.19
1999,8,1.08
1999,9,-0.42
1999,10,-0.78
1999,11,-1.57
1999,12,-1.14
2000,1,-1.18
2000,2,-0.52
2000,3,-2.42
2000,4,-1.72
2000,5,-1.14
2000,6,-1.76
2000,7,-1.37
2000,8,-3.45
2000,9,-0.28
2000,10,0.07
2000,11,-1.0
2000,12,-1.79
2001,1,-3.14
2001,2,-2.66
2001,3,-4.39
2001,4,-1.34
2001,5,-4.33
2001,6,0.42
2001,7,-0.14
2001,8,-4.0
2001,9,-2.29
2001,10,0.04
2001,11,-2.65
2001,12,-2.51
2002,1,-2.22
2002,2,-2.44
2002,3,-2.37
2002,4,-0.99
2002,5,-0.37
2002,6,0.34
2002,7,-1.11
2002,8,0.73
2002,9,-0.5
2002,10,-0.04
2002,11,-1.84
2002,12,-1.9
2003,1,-1.2
2003,2,-0.94
2003,3,0.7
2003,4,0.4
2003,5,0.24
2003,6,-0.84
2003,7,-2.09
2003,8,-3.2
2003,9,-1.34
2003,10,-0.79
2003,11,-0.71
2003,12,-0.6
2004,1,-1.06
2004,2,-1.83
2004,3,-4.5
2004,4,-3.02
2004,5,0.88
2004,6,-1.54
2004,7,-1.55
2004,8,0.62
2004,9,-0.01
2004,10,0.59
2004,11,-1.92
2004,12,-1.54
2005,1,-2.35
2005,2,-3.51
2005,3,-3.18
2005,4,-0.95
2005,5,0.51
2005,6,3.26
2005,7,-1.24
2005,8,-0.34
2005,9,-0.54
2005,10,1.29
2005,11,0.89
2005,12,0.12
2006,1,0.4
2006,2,0.08
2006,3,0.76
2006,4,1.89
2006,5,-1.37
2006,6,-1.34
2006,7,-3.05
2006,8,-2.74
2006,9,0.46
2006,10,2.06
2006,11,1.16
2006,12,-0.78
2007,1,-1.44
2007,2,0.31
2007,3,-2.14
2007,4,0.18
2007,5,2.99
2007,6,-1.3
2007,7,-1.69
2007,8,-2.7
2007,9,-0.52
2007,10,0.47
2007,11,-1.06
2007,12,-0.98
2008,1,-1.18
2008,2,-1.05
2008,3,-1.92
2008,4,-1.01
2008,5,3.27
2008,6,0.72
2008,7,0.32
2008,8,-0.39
2008,9,0.42
2008,10,0.15
2008,11,-0.48
2008,12,0.96
2009,1,0.09
2009,2,-0.57
2009,3,1.32
2009,4,1.47
2009,5,-1.77
2009,6,-0.89
2009,7,0.98
2009,8,1.28
2009,9,-2.63
2009,10,3.52
2009,11,-1.62
2009,12,-0.41
2010,1,-0.57
2010,2,-1.46
2010,3,-2.93
2010,4,0.31
2010,5,3.89
2010,6,2.01
2010,7,1.53
2010,8,3.11
2010,9,1.51
2010,10,-1.2
2010,11,2.15
2010,12,1.72
2011,1,2.39
2011,2,2.63
2011,3,2.59
2011,4,3.18
2011,5,7.43
2011,6,1.69
2011,7,1.13
2011,8,-0.65
2011,9,-2.62
2011,10,1.24
2011,11,-0.29
2011,12,-1.25
2012,1,-0.78
2012,2,-0.86
2012,3,-1.9
2012,4,-0.41
2012,5,0.22
2012,6,-1.79
2012,7,-1.57
2012,8,-3.03
2012,9,-3.79
2012,10,1.63
2012,11,0.28
2012,12,-0.14
2013,1,-0.87
2013,2,-1.62
2013,3,-1.66
2013,4,0.41
2013,5,3.26
2013,6,0.81
2013,7,0.55
2013,8,0.08
2013,9,1.75
2013,10,0.41
2013,11,-0.63
2013,12,0.25
2014,1,-0.34
2014,2,1.45
2014,3,3.35
2014,4,0.19
2014,5,-0.77
2014,6,1.16
2014,7,-0.84
2014,8,4.71
2014,9,-0.47
2014,10,-1.41
2014,11,1.81
2014,12,0.4
2015,1,0.12
2015,2,0.09
2015,3,-1.92
2015,4,-1.5
2015,5,0.2
2015,6,-2.82
2015,7,-0.45
2015,8,-1.6
2015,9,-1.05
2015,10,-0.63
2015,11,-0.09
2015,12,0.23
2016,1,-1.33
2016,2,-1.6
2016,3,-2.37
2016,4,0.03
2016,5,1.19
2016,6,-2.88
2016,7,0.3
2016,8,-1.08
2016,9,1.98
2016,10,4.81
2016,11,-1.99
2016,12,0.72
2017,1,-0.47
2017,2,1.8
2017,3,1.74
2017,4,1.35
2017,5,-1.76
2017,6,-2.35
2017,7,-3.99
2017,8,-4.01
2017,9,0.69
2017,10,-0.25
2017,11,0.56
2017,12,0.64
2018,1,-0.7
2018,2,2.09
2018,3,1.47
2018,4,2.39
2018,5,-0.01
2018,6,1.5
2018,7,-0.43
2018,8,-0.95
2018,9,-0.76
2018,10,0.53
2018,11,0.47
2018,12,-0.73
2019,1,-0.93
2019,2,1.55
2019,3,-0.76
2019,4,1.35
2019,5,1.4
2019,6,-0.11
2019,7,2.1
2019,8,1.09
2019,9,4.79
2019,10,2.22
2019,11,1.0
2019,12,0.32
2020,1,1.13
2020,2,1.93
2020,3,0.99
2020,4,0.12
2020,5,0.43
2020,6,1.24
2020,7,0.42
2020,8,-2.01
2020,9,-1.67
2020,10,2.66
2020,11,0.14
2020,12,-1.17
2021,1,-1.45
2021,2,0.18
2021,3,-2.86
2021,4,-1.61
2021,5,0.33
2021,6,-4.97
2021,7,-4.97
2021,8,-0.45
2021,9,-3.37
2021,10,-0.09
2021,11,-2.11
2021,12,-0.45
2022,1,-2.16
2022,2,-2.22
2022,3,-3.46
2022,4,0.9
2022,5,0.31
2022,6,0.04
2022,7,0.47
2022,8,-1.82
2022,9,-2.02
2022,10,0.02
2022,11,-0.09
2022,12,0.11
