year,state,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income,GEO_ID
2009,MT,112518.0,138935.0,165412.0,60731.0,107181.0,130811.0,166628.0,74041.0,956257.0,477596.0,478661.0,856153.0,5283.0,59001.0,6333.0,825.0,372947.0,
2010,MT,114544.0,137860.0,171528.0,64027.0,108495.0,129140.0,172289.0,75856.0,973739.0,487959.0,485780.0,874571.0,4325.0,60135.0,6091.0,609.0,401328.0,0400000US30
2011,MT,114315.0,139771.0,172387.0,66195.0,108894.0,130968.0,172963.0,77361.0,982854.0,492668.0,490186.0,881905.0,4403.0,61399.0,5999.0,664.0,403495.0,0400000US30
2012,MT,114355.0,141669.0,172457.0,68660.0,108695.0,132062.0,173575.0,79312.0,990785.0,497141.0,493644.0,887924.0,4145.0,62398.0,6034.0,674.0,405508.0,0400000US30
2013,MT,114896.0,143253.0,171971.0,71429.0,108399.0,133696.0,173378.0,81532.0,998554.0,501549.0,497005.0,893032.0,4038.0,64426.0,6246.0,676.0,405525.0,0400000US30
2014,MT,114788.0,145605.0,170843.0,74300.0,108881.0,136229.0,171840.0,83884.0,1006370.0,505536.0,500834.0,899503.0,4563.0,65110.0,6651.0,699.0,407797.0,0400000US30
2015,MT,115180.0,147633.0,169716.0,77634.0,109210.0,138235.0,170444.0,86647.0,1014699.0,510163.0,504536.0,904977.0,4757.0,65693.0,7187.0,848.0,409394.0,0400000US30
2016,MT,115600.0,148629.0,168925.0,81037.0,109420.0,140015.0,169934.0,89831.0,1023391.0,514191.0,509200.0,911907.0,4260.0,67222.0,7481.0,841.0,412653.0,0400000US30
2017,MT,116298.0,150041.0,167588.0,83933.0,109860.0,141468.0,168469.0,92205.0,1029862.0,517860.0,512002.0,916664.0,4438.0,66865.0,7448.0,571.0,419975.0,0400000US30
2018,MT,117021.0,152865.0,166499.0,87835.0,110571.0,143148.0,167805.0,95988.0,1041732.0,524220.0,517512.0,925642.0,4630.0,67289.0,7947.0,757.0,423240.0,0400000US30
2019,MT,117520.0,154085.0,165790.0,91178.0,110866.0,144324.0,167353.0,99533.0,1050649.0,528573.0,522076.0,930204.0,5303.0,66839.0,8259.0,807.0,427871.0,0400000US30
2020,MT,117530.0,155971.0,165826.0,94801.0,111059.0,145468.0,167732.0,103318.0,1061705.0,534128.0,527577.0,932157.0,5919.0,65523.0,8664.0,595.0,436048.0,0400000US30
