year,month,Value
1990,1,46.5
1990,2,49.4
1990,3,53.3
1990,4,57.8
1990,5,66.1
1990,6,73.7
1990,7,78.0
1990,8,76.5
1990,9,70.0
1990,10,62.0
1990,11,52.4
1990,12,47.3
1991,1,41.6
1991,2,45.4
1991,3,52.2
1991,4,60.6
1991,5,70.5
1991,6,74.0
1991,7,79.0
1991,8,75.6
1991,9,69.9
1991,10,59.8
1991,11,48.4
1991,12,45.6
1992,1,41.9
1992,2,45.8
1992,3,48.8
1992,4,57.3
1992,5,62.1
1992,6,70.5
1992,7,78.7
1992,8,73.4
1992,9,70.3
1992,10,56.8
1992,11,51.0
1992,12,41.9
1993,1,43.6
1993,2,40.0
1993,3,46.5
1993,4,55.4
1993,5,67.1
1993,6,74.4
1993,7,80.7
1993,8,76.3
1993,9,71.7
1993,10,58.9
1993,11,50.2
1993,12,39.8
1994,1,36.3
1994,2,43.2
1994,3,51.2
1994,4,61.3
1994,5,62.9
1994,6,75.5
1994,7,77.6
1994,8,74.0
1994,9,67.6
1994,10,58.1
1994,11,53.8
1994,12,46.6
1995,1,41.2
1995,2,40.0
1995,3,51.7
1995,4,59.4
1995,5,66.6
1995,6,72.2
1995,7,78.1
1995,8,77.6
1995,9,68.7
1995,10,61.4
1995,11,45.9
1995,12,38.3
1996,1,38.2
1996,2,41.8
1996,3,45.2
1996,4,57.4
1996,5,67.4
1996,6,73.9
1996,7,76.6
1996,8,74.3
1996,9,69.2
1996,10,59.4
1996,11,45.5
1996,12,44.4
1997,1,40.5
1997,2,46.0
1997,3,54.4
1997,4,54.5
1997,5,62.4
1997,6,70.3
1997,7,77.5
1997,8,74.2
1997,9,69.6
1997,10,59.3
1997,11,46.8
1997,12,41.6
1998,1,44.3
1998,2,45.6
1998,3,49.4
1998,4,58.5
1998,5,68.4
1998,6,75.8
1998,7,78.4
1998,8,76.5
1998,9,73.2
1998,10,61.0
1998,11,51.8
1998,12,47.0
1999,1,45.0
1999,2,44.8
1999,3,46.6
1999,4,60.4
1999,5,65.2
1999,6,72.4
1999,7,78.6
1999,8,77.8
1999,9,68.6
1999,10,58.7
1999,11,54.5
1999,12,43.4
2000,1,38.8
2000,2,45.6
2000,3,53.4
2000,4,56.9
2000,5,69.1
2000,6,75.0
2000,7,75.4
2000,8,75.0
2000,9,69.1
2000,10,59.7
2000,11,47.5
2000,12,35.1
2001,1,39.3
2001,2,46.4
2001,3,47.2
2001,4,59.8
2001,5,66.3
2001,6,74.3
2001,7,74.6
2001,8,76.7
2001,9,67.6
2001,10,57.7
2001,11,54.8
2001,12,48.0
2002,1,42.6
2002,2,44.4
2002,3,51.1
2002,4,62.5
2002,5,65.3
2002,6,75.2
2002,7,78.7
2002,8,77.0
2002,9,72.2
2002,10,62.1
2002,11,48.1
2002,12,40.5
2003,1,36.4
2003,2,41.4
2003,3,52.8
2003,4,57.6
2003,5,65.8
2003,6,72.5
2003,7,76.6
2003,8,77.3
2003,9,69.4
2003,10,58.9
2003,11,55.7
2003,12,40.3
2004,1,37.9
2004,2,40.4
2004,3,51.8
2004,4,58.8
2004,5,71.1
2004,6,74.4
2004,7,77.3
2004,8,73.9
2004,9,70.2
2004,10,61.6
2004,11,52.8
2004,12,41.9
2005,1,43.0
2005,2,43.8
2005,3,47.2
2005,4,57.6
2005,5,63.3
2005,6,73.5
2005,7,79.2
2005,8,78.1
2005,9,73.6
2005,10,61.7
2005,11,52.1
2005,12,40.0
2006,1,46.6
2006,2,42.1
2006,3,49.8
2006,4,61.7
2006,5,64.2
2006,6,73.1
2006,7,77.6
2006,8,78.3
2006,9,68.1
2006,10,57.7
2006,11,51.5
2006,12,47.1
2007,1,44.2
2007,2,39.1
2007,3,53.8
2007,4,57.3
2007,5,66.0
2007,6,74.1
2007,7,75.8
2007,8,80.6
2007,9,72.4
2007,10,65.4
2007,11,49.5
2007,12,47.5
2008,1,40.1
2008,2,46.2
2008,3,51.0
2008,4,58.7
2008,5,64.8
2008,6,77.1
2008,7,76.6
2008,8,75.5
2008,9,70.8
2008,10,57.8
2008,11,47.2
2008,12,46.1
2009,1,38.7
2009,2,42.8
2009,3,49.3
2009,4,58.7
2009,5,67.5
2009,6,75.1
2009,7,75.2
2009,8,77.4
2009,9,69.6
2009,10,58.9
2009,11,52.7
2009,12,40.7
2010,1,36.6
2010,2,36.9
2010,3,49.5
2010,4,61.3
2010,5,69.5
2010,6,78.8
2010,7,79.4
2010,8,78.6
2010,9,73.1
2010,10,60.9
2010,11,50.0
2010,12,33.6
2011,1,36.2
2011,2,45.7
2011,3,50.6
2011,4,61.4
2011,5,67.6
2011,6,77.0
2011,7,80.0
2011,8,77.7
2011,9,71.0
2011,10,58.2
2011,11,52.4
2011,12,46.9
2012,1,43.9
2012,2,45.8
2012,3,58.7
2012,4,59.2
2012,5,69.6
2012,6,72.3
2012,7,80.3
2012,8,75.6
2012,9,69.8
2012,10,59.5
2012,11,46.3
2012,12,47.6
2013,1,44.1
2013,2,41.8
2013,3,44.0
2013,4,58.7
2013,5,65.1
2013,6,74.3
2013,7,77.0
2013,8,74.4
2013,9,69.4
2013,10,60.7
2013,11,47.8
2013,12,45.4
2014,1,35.3
2014,2,43.0
2014,3,45.5
2014,4,59.2
2014,5,68.5
2014,6,75.2
2014,7,75.7
2014,8,74.3
2014,9,71.2
2014,10,61.4
2014,11,45.8
2014,12,45.1
2015,1,39.4
2015,2,34.9
2015,3,50.7
2015,4,60.0
2015,5,68.6
2015,6,77.3
2015,7,78.5
2015,8,76.1
2015,9,71.6
2015,10,60.0
2015,11,54.4
2015,12,54.7
2016,1,38.4
2016,2,43.2
2016,3,56.2
2016,4,58.7
2016,5,65.8
2016,6,75.3
2016,7,80.1
2016,8,79.2
2016,9,74.3
2016,10,63.2
2016,11,51.7
2016,12,44.0
2017,1,45.4
2017,2,50.7
2017,3,50.0
2017,4,63.9
2017,5,67.7
2017,6,73.8
2017,7,78.7
2017,8,75.8
2017,9,70.5
2017,10,62.8
2017,11,50.3
2017,12,42.4
2018,1,35.9
2018,2,51.9
2018,3,46.3
2018,4,56.1
2018,5,71.6
2018,6,76.8
2018,7,77.2
2018,8,77.3
2018,9,76.2
2018,10,62.5
2018,11,48.4
2018,12,45.0
2019,1,42.0
2019,2,48.1
2019,3,48.8
2019,4,61.1
2019,5,72.2
2019,6,74.2
2019,7,79.0
2019,8,77.0
2019,9,74.9
2019,10,64.6
2019,11,47.4
2019,12,46.6
2020,1,46.0
2020,2,47.0
2020,3,55.9
2020,4,57.4
2020,5,63.6
2020,6,73.2
2020,7,79.6
2020,8,77.5
2020,9,69.7
2020,10,63.0
2020,11,54.8
2020,12,42.2
2021,1,40.8
2021,2,42.2
2021,3,53.1
2021,4,58.6
2021,5,65.5
2021,6,73.8
2021,7,77.1
2021,8,77.8
2021,9,70.6
2021,10,64.4
2021,11,48.1
2021,12,50.8
2022,1,38.7
2022,2,46.1
2022,3,53.5
2022,4,58.8
2022,5,68.9
2022,6,75.2
2022,7,79.1
2022,8,76.6
2022,9,70.4
2022,10,57.6
2022,11,53.4
2022,12,41.9
