,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65
2010-01,1146267.0,1393753.0,1488572.0,490697.0,1091943.0,1396123.0,1586748.0,677075.0
2010-02,1146267.0,1393753.0,1488572.0,490697.0,1091943.0,1396123.0,1586748.0,677075.0
2010-03,1146267.0,1393753.0,1488572.0,490697.0,1091943.0,1396123.0,1586748.0,677075.0
2010-04,1146267.0,1393753.0,1488572.0,490697.0,1091943.0,1396123.0,1586748.0,677075.0
2010-05,1146267.0,1393753.0,1488572.0,490697.0,1091943.0,1396123.0,1586748.0,677075.0
2010-06,1146267.0,1393753.0,1488572.0,490697.0,1091943.0,1396123.0,1586748.0,677075.0
2010-07,1146267.0,1393753.0,1488572.0,490697.0,1091943.0,1396123.0,1586748.0,677075.0
2010-08,1146267.0,1393753.0,1488572.0,490697.0,1091943.0,1396123.0,1586748.0,677075.0
2010-09,1146267.0,1393753.0,1488572.0,490697.0,1091943.0,1396123.0,1586748.0,677075.0
2010-10,1146267.0,1393753.0,1488572.0,490697.0,1091943.0,1396123.0,1586748.0,677075.0
2010-11,1146267.0,1393753.0,1488572.0,490697.0,1091943.0,1396123.0,1586748.0,677075.0
2010-12,1146267.0,1393753.0,1488572.0,490697.0,1091943.0,1396123.0,1586748.0,677075.0
2011-01,1157658.0,1404100.0,1518368.0,508453.0,1104759.0,1413226.0,1616486.0,695686.0
2011-02,1157658.0,1404100.0,1518368.0,508453.0,1104759.0,1413226.0,1616486.0,695686.0
2011-03,1157658.0,1404100.0,1518368.0,508453.0,1104759.0,1413226.0,1616486.0,695686.0
2011-04,1157658.0,1404100.0,1518368.0,508453.0,1104759.0,1413226.0,1616486.0,695686.0
2011-05,1157658.0,1404100.0,1518368.0,508453.0,1104759.0,1413226.0,1616486.0,695686.0
2011-06,1157658.0,1404100.0,1518368.0,508453.0,1104759.0,1413226.0,1616486.0,695686.0
