,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income
2010-01,9271178.0,4519289.0,4751889.0,6453727.0,1980942.0,106026.0,194993.0,5170.0,3626179.0
2010-02,9271178.0,4519289.0,4751889.0,6453727.0,1980942.0,106026.0,194993.0,5170.0,3626179.0
2010-03,9271178.0,4519289.0,4751889.0,6453727.0,1980942.0,106026.0,194993.0,5170.0,3626179.0
2010-04,9271178.0,4519289.0,4751889.0,6453727.0,1980942.0,106026.0,194993.0,5170.0,3626179.0
2010-05,9271178.0,4519289.0,4751889.0,6453727.0,1980942.0,106026.0,194993.0,5170.0,3626179.0
2010-06,9271178.0,4519289.0,4751889.0,6453727.0,1980942.0,106026.0,194993.0,5170.0,3626179.0
2010-07,9271178.0,4519289.0,4751889.0,6453727.0,1980942.0,106026.0,194993.0,5170.0,3626179.0
2010-08,9271178.0,4519289.0,4751889.0,6453727.0,1980942.0,106026.0,194993.0,5170.0,3626179.0
2010-09,9271178.0,4519289.0,4751889.0,6453727.0,1980942.0,106026.0,194993.0,5170.0,3626179.0
2010-10,9271178.0,4519289.0,4751889.0,6453727.0,1980942.0,106026.0,194993.0,5170.0,3626179.0
2010-11,9271178.0,4519289.0,4751889.0,6453727.0,1980942.0,106026.0,194993.0,5170.0,3626179.0
2010-12,9271178.0,4519289.0,4751889.0,6453727.0,1980942.0,106026.0,194993.0,5170.0,3626179.0
2011-01,9418736.0,4588579.0,4830157.0,6560948.0,2016228.0,108960.0,202815.0,4725.0,3664119.0
2011-02,9418736.0,4588579.0,4830157.0,6560948.0,2016228.0,108960.0,202815.0,4725.0,3664119.0
2011-03,9418736.0,4588579.0,4830157.0,6560948.0,2016228.0,108960.0,202815.0,4725.0,3664119.0
2011-04,9418736.0,4588579.0,4830157.0,6560948.0,2016228.0,108960.0,202815.0,4725.0,3664119.0
2011-05,9418736.0,4588579.0,4830157.0,6560948.0,2016228.0,108960.0,202815.0,4725.0,3664119.0
2011-06,9418736.0,4588579.0,4830157.0,6560948.0,2016228.0,108960.0,202815.0,4725.0,3664119.0
2011-07,9418736.0,4588579.0,4830157.0,6560948.0,2016228.0,108960.0,202815.0,4725.0,3664119.0
2011-08,9418736.0,4588579.0,4830157.0,6560948.0,2016228.0,108960.0,202815.0,4725.0,3664119.0
2011-09,9418736.0,4588579.0,4830157.0,6560948.0,2016228.0,108960.0,202815.0,4725.0,3664119.0
2011-10,9418736.0,4588579.0,4830157.0,6560948.0,2016228.0,108960.0,202815.0,4725.0,3664119.0
2011-11,9418736.0,4588579.0,4830157.0,6560948.0,2016228.0,108960.0,202815.0,4725.0,3664119.0
2011-12,9418736.0,4588579.0,4830157.0,6560948.0,2016228.0,108960.0,202815.0,4725.0,3664119.0
2012-01,9544249.0,4649769.0,4894480.0,6659867.0,2047092.0,110171.0,211708.0,4424.0,3693221.0
2012-02,9544249.0,4649769.0,4894480.0,6659867.0,2047092.0,110171.0,211708.0,4424.0,3693221.0
2012-03,9544249.0,4649769.0,4894480.0,6659867.0,2047092.0,110171.0,211708.0,4424.0,3693221.0
2012-04,9544249.0,4649769.0,4894480.0,6659867.0,2047092.0,110171.0,211708.0,4424.0,3693221.0
2012-05,9544249.0,4649769.0,4894480.0,6659867.0,2047092.0,110171.0,211708.0,4424.0,3693221.0
2012-06,9544249.0,4649769.0,4894480.0,6659867.0,2047092.0,110171.0,211708.0,4424.0,3693221.0
2012-07,9544249.0,4649769.0,4894480.0,6659867.0,2047092.0,110171.0,211708.0,4424.0,3693221.0
2012-08,9544249.0,4649769.0,4894480.0,6659867.0,2047092.0,110171.0,211708.0,4424.0,3693221.0
2012-09,9544249.0,4649769.0,4894480.0,6659867.0,2047092.0,110171.0,211708.0,4424.0,3693221.0
2012-10,9544249.0,4649769.0,4894480.0,6659867.0,2047092.0,110171.0,211708.0,4424.0,3693221.0
2012-11,9544249.0,4649769.0,4894480.0,6659867.0,2047092.0,110171.0,211708.0,4424.0,3693221.0
2012-12,9544249.0,4649769.0,4894480.0,6659867.0,2047092.0,110171.0,211708.0,4424.0,3693221.0
2013-01,9651380.0,4702565.0,4948815.0,6727690.0,2068726.0,111733.0,221392.0,5390.0,3715565.0
2013-02,9651380.0,4702565.0,4948815.0,6727690.0,2068726.0,111733.0,221392.0,5390.0,3715565.0
2013-03,9651380.0,4702565.0,4948815.0,6727690.0,2068726.0,111733.0,221392.0,5390.0,3715565.0
2013-04,9651380.0,4702565.0,4948815.0,6727690.0,2068726.0,111733.0,221392.0,5390.0,3715565.0
2013-05,9651380.0,4702565.0,4948815.0,6727690.0,2068726.0,111733.0,221392.0,5390.0,3715565.0
2013-06,9651380.0,4702565.0,4948815.0,6727690.0,2068726.0,111733.0,221392.0,5390.0,3715565.0
2013-07,9651380.0,4702565.0,4948815.0,6727690.0,2068726.0,111733.0,221392.0,5390.0,3715565.0
