,count,avgTemp,minTemp,maxTemp,precipitation,zindex,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income
2000-01,0.0,19.2,2.1,49.3,0.26,-0.6,,,,,,,,,,,,,,,,,
2000-02,0.0,25.9,11.3,58.2,1.03,2.19,,,,,,,,,,,,,,,,,
2000-03,0.0,37.9,23.8,66.5,0.74,-0.35,,,,,,,,,,,,,,,,,
2000-04,0.0,42.6,28.7,68.5,1.29,-0.06,,,,,,,,,,,,,,,,,
2000-05,0.0,56.4,42.1,81.8,2.39,0.32,,,,,,,,,,,,,,,,,
2000-06,0.0,63.5,48.5,85.8,4.13,2.19,,,,,,,,,,,,,,,,,
2000-07,0.0,64.8,57.5,85.0,3.18,2.1,,,,,,,,,,,,,,,,,
2000-08,0.0,65.4,55.0,85.0,2.5,1.36,,,,,,,,,,,,,,,,,
2000-09,0.0,58.3,43.6,78.5,1.4,-0.26,,,,,,,,,,,,,,,,,
2000-10,0.0,48.8,33.9,74.0,1.61,1.17,,,,,,,,,,,,,,,,,
2000-11,0.0,36.3,14.1,59.1,2.33,5.58,,,,,,,,,,,,,,,,,
2000-12,0.0,19.4,-6.4,45.4,0.45,0.6,,,,,,,,,,,,,,,,,
2001-01,0.0,22.4,7.5,50.7,0.23,-0.2,,,,,,,,,,,,,,,,,
2001-02,0.0,24.7,-4.9,58.0,0.37,0.38,,,,,,,,,,,,,,,,,
2001-03,0.0,28.0,17.5,58.3,0.15,-0.82,,,,,,,,,,,,,,,,,
2001-04,0.0,44.4,31.1,72.7,1.74,0.9,,,,,,,,,,,,,,,,,
2001-05,0.0,57.0,42.8,79.0,1.89,-0.53,,,,,,,,,,,,,,,,,
2001-06,0.0,64.8,51.4,84.5,4.2,2.07,,,,,,,,,,,,,,,,,
2001-07,0.0,65.9,58.4,84.2,4.66,5.37,,,,,,,,,,,,,,,,,
2001-08,0.0,70.0,55.7,86.9,0.93,-1.54,,,,,,,,,,,,,,,,,
2001-09,0.0,59.4,45.2,78.4,1.12,-1.17,,,,,,,,,,,,,,,,,
2001-10,0.0,50.1,30.3,71.9,0.95,0.1,,,,,,,,,,,,,,,,,
2001-11,0.0,43.1,25.6,69.0,0.24,-2.15,,,,,,,,,,,,,,,,,
2001-12,0.0,33.4,8.8,59.4,0.34,-0.62,,,,,,,,,,,,,,,,,
2002-01,0.0,29.1,7.7,54.2,0.32,-0.89,,,,,,,,,,,,,,,,,
2002-02,0.0,29.1,13.0,57.0,0.14,-1.36,,,,,,,,,,,,,,,,,
2002-03,0.0,33.2,5.9,63.5,0.58,-1.17,,,,,,,,,,,,,,,,,
