,count,avgTemp,minTemp,maxTemp,precipitation,zindex,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income,1y,1m,2m,3m,3m_average,diff1-2,diff2-3,month_sin,month_cos
2010-01,0.0,40.6,12.8,29.5,0.37,0.89,230970.0,269651.0,287237.0,102700.0,222361.0,259643.0,288477.0,138086.0,1799125.0,890558.0,908567.0,1587857.0,77986.0,15651.0,29624.0,1209.0,711771.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,0.8660254037844387
2010-02,0.0,40.7,13.5,31.0,0.73,1.71,230970.0,269651.0,287237.0,102700.0,222361.0,259643.0,288477.0,138086.0,1799125.0,890558.0,908567.0,1587857.0,77986.0,15651.0,29624.0,1209.0,711771.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844386,0.5000000000000001
2010-03,0.0,52.3,29.3,48.1,1.69,1.72,230970.0,269651.0,287237.0,102700.0,222361.0,259643.0,288477.0,138086.0,1799125.0,890558.0,908567.0,1587857.0,77986.0,15651.0,29624.0,1209.0,711771.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17
2010-04,0.0,65.1,38.8,53.9,2.97,1.9,230970.0,269651.0,287237.0,102700.0,222361.0,259643.0,288477.0,138086.0,1799125.0,890558.0,908567.0,1587857.0,77986.0,15651.0,29624.0,1209.0,711771.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844388,-0.4999999999999998
2010-05,0.0,74.4,44.3,57.7,3.03,0.75,230970.0,269651.0,287237.0,102700.0,222361.0,259643.0,288477.0,138086.0,1799125.0,890558.0,908567.0,1587857.0,77986.0,15651.0,29624.0,1209.0,711771.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,-0.8660254037844387
2010-06,0.0,82.2,57.5,69.6,7.4,6.02,230970.0,269651.0,287237.0,102700.0,222361.0,259643.0,288477.0,138086.0,1799125.0,890558.0,908567.0,1587857.0,77986.0,15651.0,29624.0,1209.0,711771.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2246467991473532e-16,-1.0
2010-07,1.0,82.7,62.5,78.9,4.03,3.56,230970.0,269651.0,287237.0,102700.0,222361.0,259643.0,288477.0,138086.0,1799125.0,890558.0,908567.0,1587857.0,77986.0,15651.0,29624.0,1209.0,711771.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5000000000000001,-0.8660254037844386
2010-08,6.0,83.8,61.6,78.4,2.85,2.23,230970.0,269651.0,287237.0,102700.0,222361.0,259643.0,288477.0,138086.0,1799125.0,890558.0,908567.0,1587857.0,77986.0,15651.0,29624.0,1209.0,711771.0,7.0,1.0,0.0,0.0,0.3333333333333333,1.0,0.0,-0.8660254037844384,-0.5000000000000004
2010-09,3.0,77.0,48.7,67.0,2.04,0.6,230970.0,269651.0,287237.0,102700.0,222361.0,259643.0,288477.0,138086.0,1799125.0,890558.0,908567.0,1587857.0,77986.0,15651.0,29624.0,1209.0,711771.0,3.0,6.0,1.0,0.0,2.3333333333333335,5.0,1.0,-1.0,-1.8369701987210297e-16
2010-10,0.0,65.0,38.9,61.1,0.92,-0.65,230970.0,269651.0,287237.0,102700.0,222361.0,259643.0,288477.0,138086.0,1799125.0,890558.0,908567.0,1587857.0,77986.0,15651.0,29624.0,1209.0,711771.0,0.0,3.0,6.0,1.0,3.3333333333333335,-3.0,5.0,-0.8660254037844386,0.5
2010-11,0.0,55.7,24.3,36.4,0.67,-0.05,230970.0,269651.0,287237.0,102700.0,222361.0,259643.0,288477.0,138086.0,1799125.0,890558.0,908567.0,1587857.0,77986.0,15651.0,29624.0,1209.0,711771.0,0.0,0.0,3.0,6.0,3.0,-3.0,-3.0,-0.5000000000000004,0.8660254037844384
2010-12,0.0,42.3,15.0,27.8,0.37,-0.25,230970.0,269651.0,287237.0,102700.0,222361.0,259643.0,288477.0,138086.0,1799125.0,890558.0,908567.0,1587857.0,77986.0,15651.0,29624.0,1209.0,711771.0,0.0,0.0,0.0,3.0,1.0,0.0,-3.0,-2.4492935982947064e-16,1.0
2011-01,0.0,42.2,9.7,28.0,0.93,1.38,232450.0,271689.0,289560.0,104615.0,222792.0,261974.0,290598.0,139383.0,1813061.0,898314.0,914747.0,1600661.0,79828.0,15858.0,30637.0,1263.0,715703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,0.8660254037844387
2011-02,0.0,49.8,12.6,26.8,0.64,0.48,232450.0,271689.0,289560.0,104615.0,222792.0,261974.0,290598.0,139383.0,1813061.0,898314.0,914747.0,1600661.0,79828.0,15858.0,30637.0,1263.0,715703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844386,0.5000000000000001
2011-03,0.0,57.8,25.7,38.2,0.88,-0.54,232450.0,271689.0,289560.0,104615.0,222792.0,261974.0,290598.0,139383.0,1813061.0,898314.0,914747.0,1600661.0,79828.0,15858.0,30637.0,1263.0,715703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17
2011-04,0.0,67.0,35.7,48.3,2.8,1.54,232450.0,271689.0,289560.0,104615.0,222792.0,261974.0,290598.0,139383.0,1813061.0,898314.0,914747.0,1600661.0,79828.0,15858.0,30637.0,1263.0,715703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844388,-0.4999999999999998
2011-05,0.0,70.6,43.8,57.2,5.43,4.11,232450.0,271689.0,289560.0,104615.0,222792.0,261974.0,290598.0,139383.0,1813061.0,898314.0,914747.0,1600661.0,79828.0,15858.0,30637.0,1263.0,715703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,-0.8660254037844387
2011-06,0.0,82.2,55.6,68.3,3.99,1.15,232450.0,271689.0,289560.0,104615.0,222792.0,261974.0,290598.0,139383.0,1813061.0,898314.0,914747.0,1600661.0,79828.0,15858.0,30637.0,1263.0,715703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2246467991473532e-16,-1.0
2011-07,0.0,82.9,65.9,81.8,3.71,2.69,232450.0,271689.0,289560.0,104615.0,222792.0,261974.0,290598.0,139383.0,1813061.0,898314.0,914747.0,1600661.0,79828.0,15858.0,30637.0,1263.0,715703.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5000000000000001,-0.8660254037844386
2011-08,9.0,83.0,61.6,82.8,3.56,2.84,232450.0,271689.0,289560.0,104615.0,222792.0,261974.0,290598.0,139383.0,1813061.0,898314.0,914747.0,1600661.0,79828.0,15858.0,30637.0,1263.0,715703.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844384,-0.5000000000000004
2011-09,4.0,72.5,45.6,74.8,0.88,-1.24,232450.0,271689.0,289560.0,104615.0,222792.0,261974.0,290598.0,139383.0,1813061.0,898314.0,914747.0,1600661.0,79828.0,15858.0,30637.0,1263.0,715703.0,3.0,9.0,0.0,0.0,3.0,9.0,0.0,-1.0,-1.8369701987210297e-16
2011-10,1.0,61.3,38.3,57.3,1.92,1.31,232450.0,271689.0,289560.0,104615.0,222792.0,261974.0,290598.0,139383.0,1813061.0,898314.0,914747.0,1600661.0,79828.0,15858.0,30637.0,1263.0,715703.0,0.0,4.0,9.0,0.0,4.333333333333333,-5.0,9.0,-0.8660254037844386,0.5
2011-11,0.0,56.1,24.1,40.7,0.48,-0.65,232450.0,271689.0,289560.0,104615.0,222792.0,261974.0,290598.0,139383.0,1813061.0,898314.0,914747.0,1600661.0,79828.0,15858.0,30637.0,1263.0,715703.0,0.0,1.0,4.0,9.0,4.666666666666667,-3.0,-5.0,-0.5000000000000004,0.8660254037844384
2011-12,0.0,48.0,16.9,36.0,0.59,0.21,232450.0,271689.0,289560.0,104615.0,222792.0,261974.0,290598.0,139383.0,1813061.0,898314.0,914747.0,1600661.0,79828.0,15858.0,30637.0,1263.0,715703.0,0.0,0.0,1.0,4.0,1.6666666666666667,-1.0,-3.0,-2.4492935982947064e-16,1.0
2012-01,0.0,50.8,16.5,35.3,0.16,-0.76,233894.0,274720.0,290662.0,106867.0,224031.0,263954.0,292502.0,140676.0,1827306.0,906143.0,921163.0,1612538.0,82341.0,16461.0,32302.0,1075.0,721026.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,-1.0,0.49999999999999994,0.8660254037844387
2012-02,0.0,52.2,17.9,35.4,1.34,1.91,233894.0,274720.0,290662.0,106867.0,224031.0,263954.0,292502.0,140676.0,1827306.0,906143.0,921163.0,1612538.0,82341.0,16461.0,32302.0,1075.0,721026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844386,0.5000000000000001
2012-03,0.0,65.4,35.3,52.0,0.57,-3.86,233894.0,274720.0,290662.0,106867.0,224031.0,263954.0,292502.0,140676.0,1827306.0,906143.0,921163.0,1612538.0,82341.0,16461.0,32302.0,1075.0,721026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17
