year,month,Value
1990,1,31.9
1990,2,30.9
1990,3,43.1
1990,4,51.7
1990,5,53.9
1990,6,65.4
1990,7,73.5
1990,8,69.9
1990,9,65.5
1990,10,52.2
1990,11,39.2
1990,12,23.3
1991,1,29.7
1991,2,41.2
1991,3,37.2
1991,4,44.0
1991,5,50.5
1991,6,62.2
1991,7,73.6
1991,8,71.3
1991,9,63.9
1991,10,53.6
1991,11,39.6
1991,12,31.9
1992,1,30.8
1992,2,39.3
1992,3,43.6
1992,4,52.9
1992,5,61.8
1992,6,64.8
1992,7,70.4
1992,8,72.1
1992,9,63.7
1992,10,54.3
1992,11,35.7
1992,12,26.9
1993,1,26.4
1993,2,30.4
1993,3,44.0
1993,4,47.0
1993,5,58.3
1993,6,61.0
1993,7,67.6
1993,8,68.6
1993,9,62.3
1993,10,51.3
1993,11,35.3
1993,12,31.3
1994,1,34.2
1994,2,32.3
1994,3,44.9
1994,4,48.6
1994,5,57.2
1994,6,67.9
1994,7,75.2
1994,8,73.3
1994,9,63.7
1994,10,49.1
1994,11,31.0
1994,12,31.8
1995,1,34.1
1995,2,42.8
1995,3,40.0
1995,4,44.7
1995,5,51.6
1995,6,59.8
1995,7,70.3
1995,8,71.1
1995,9,64.3
1995,10,51.7
1995,11,45.6
1995,12,35.1
1996,1,34.2
1996,2,37.4
1996,3,42.0
1996,4,48.4
1996,5,56.0
1996,6,66.9
1996,7,75.3
1996,8,72.5
1996,9,60.9
1996,10,50.0
1996,11,40.7
1996,12,34.2
1997,1,32.0
1997,2,34.8
1997,3,44.5
1997,4,45.4
1997,5,60.5
1997,6,64.0
1997,7,70.1
1997,8,71.8
1997,9,63.3
1997,10,49.9
1997,11,41.0
1997,12,29.7
1998,1,35.2
1998,2,33.5
1998,3,40.3
1998,4,43.9
1998,5,50.0
1998,6,59.7
1998,7,73.8
1998,8,73.2
1998,9,62.9
1998,10,47.9
1998,11,39.5
1998,12,30.4
1999,1,34.5
1999,2,35.7
1999,3,41.2
1999,4,42.5
1999,5,54.0
1999,6,64.1
1999,7,71.5
1999,8,69.4
1999,9,62.8
1999,10,54.1
1999,11,44.6
1999,12,32.5
2000,1,35.0
2000,2,38.3
2000,3,41.0
2000,4,51.5
2000,5,58.6
2000,6,68.1
2000,7,72.4
2000,8,72.3
2000,9,62.2
2000,10,50.0
2000,11,33.8
2000,12,34.6
2001,1,29.7
2001,2,32.0
2001,3,43.8
2001,4,45.7
2001,5,61.8
2001,6,67.1
2001,7,72.0
2001,8,74.2
2001,9,65.5
2001,10,54.7
2001,11,41.6
2001,12,30.6
2002,1,30.8
2002,2,35.2
2002,3,38.2
2002,4,49.5
2002,5,55.7
2002,6,67.6
2002,7,76.3
2002,8,70.3
2002,9,63.2
2002,10,49.1
2002,11,40.2
2002,12,33.5
2003,1,40.7
2003,2,34.1
2003,3,42.7
2003,4,44.2
2003,5,57.0
2003,6,67.8
2003,7,77.0
2003,8,72.4
2003,9,64.8
2003,10,57.0
2003,11,35.9
2003,12,33.3
2004,1,30.4
2004,2,32.3
2004,3,47.9
2004,4,49.4
2004,5,56.8
2004,6,67.0
2004,7,73.8
2004,8,70.1
2004,9,61.5
2004,10,49.5
