year,month,Value
1990,1,1.41
1990,2,0.48
1990,3,-1.59
1990,4,-0.16
1990,5,2.67
1990,6,0.48
1990,7,-0.74
1990,8,5.71
1990,9,-0.67
1990,10,4.04
1990,11,-0.76
1990,12,2.1
1991,1,-0.76
1991,2,-1.99
1991,3,0.48
1991,4,-0.94
1991,5,-0.83
1991,6,-1.62
1991,7,-1.95
1991,8,5.69
1991,9,2.91
1991,10,1.23
1991,11,-0.32
1991,12,-0.01
1992,1,-0.78
1992,2,-1.16
1992,3,0.8
1992,4,-1.25
1992,5,-2.33
1992,6,-0.23
1992,7,1.02
1992,8,0.68
1992,9,0.12
1992,10,-0.17
1992,11,0.89
1992,12,-1.42
1993,1,-0.82
1993,2,0.15
1993,3,1.23
1993,4,0.49
1993,5,-2.85
1993,6,-1.22
1993,7,-1.04
1993,8,-1.3
1993,9,0.56
1993,10,0.03
1993,11,-0.07
1993,12,0.62
1994,1,1.75
1994,2,-2.23
1994,3,1.99
1994,4,-0.44
1994,5,0.88
1994,6,-1.15
1994,7,0.26
1994,8,0.3
1994,9,1.43
1994,10,-2.63
1994,11,-1.72
1994,12,0.37
1995,1,0.59
1995,2,-0.46
1995,3,-1.04
1995,4,-1.79
1995,5,-0.68
1995,6,-3.07
1995,7,-0.08
1995,8,-2.01
1995,9,-1.41
1995,10,5.17
1995,11,2.08
1995,12,-0.73
1996,1,2.51
1996,2,0.58
1996,3,-1.52
1996,4,4.83
1996,5,2.16
1996,6,-0.4
1996,7,5.31
1996,8,-3.28
1996,9,-0.43
1996,10,5.06
1996,11,-1.03
1996,12,3.45
1997,1,0.34
1997,2,-0.79
1997,3,1.01
1997,4,1.31
1997,5,0.0
1997,6,-2.03
1997,7,1.04
1997,8,1.87
1997,9,-1.09
1997,10,-1.9
1997,11,2.29
1997,12,-1.13
1998,1,2.44
1998,2,0.58
1998,3,0.65
1998,4,-1.99
1998,5,-1.19
1998,6,7.78
1998,7,-0.21
1998,8,-0.75
1998,9,-1.44
1998,10,0.46
1998,11,-1.26
1998,12,-2.45
1999,1,3.74
1999,2,-1.48
1999,3,2.18
1999,4,-4.29
1999,5,-0.62
1999,6,-2.13
1999,7,-0.88
1999,8,-1.28
1999,9,5.74
1999,10,1.28
1999,11,-1.69
1999,12,-2.23
2000,1,0.68
2000,2,0.94
2000,3,-0.09
2000,4,3.89
2000,5,0.96
2000,6,-0.05
2000,7,2.2
2000,8,-0.17
2000,9,-0.33
2000,10,-0.45
2000,11,-0.42
2000,12,1.06
2001,1,-2.1
2001,2,0.41
2001,3,3.47
2001,4,-3.58
2001,5,-2.46
2001,6,0.32
2001,7,-0.12
2001,8,-3.26
2001,9,-0.25
2001,10,-2.78
2001,11,-3.78
2001,12,-1.87
2002,1,-0.84
2002,2,0.17
2002,3,0.66
2002,4,0.76
2002,5,1.31
2002,6,2.85
2002,7,-2.28
2002,8,-3.18
2002,9,-1.2
2002,10,-0.41
2002,11,0.56
2002,12,-0.21
2003,1,-1.19
2003,2,-0.34
2003,3,-0.31
2003,4,-0.53
2003,5,0.89
2003,6,-1.34
2003,7,-1.15
2003,8,2.55
2003,9,1.88
2003,10,3.95
2003,11,-0.59
2003,12,3.79
2004,1,-2.89
2004,2,-2.48
2004,3,-2.22
2004,4,2.56
2004,5,1.46
2004,6,-1.36
2004,7,1.13
2004,8,2.85
2004,9,1.42
2004,10,-1.33
2004,11,-0.02
2004,12,0.85
2005,1,-0.21
2005,2,-0.23
2005,3,0.72
2005,4,2.3
2005,5,2.12
2005,6,1.21
2005,7,0.09
2005,8,0.25
2005,9,-0.69
2005,10,11.45
2005,11,1.72
2005,12,0.63
2006,1,1.27
2006,2,-0.85
2006,3,-2.66
2006,4,-1.46
2006,5,5.91
2006,6,6.33
2006,7,1.86
2006,8,1.69
2006,9,-0.73
2006,10,5.44
2006,11,0.1
2006,12,-0.06
2007,1,-0.19
2007,2,-1.34
2007,3,0.14
2007,4,5.55
2007,5,-0.51
2007,6,-0.68
2007,7,1.68
2007,8,-1.11
2007,9,-0.73
2007,10,0.85
2007,11,0.6
2007,12,1.27
2008,1,-0.9
2008,2,7.54
2008,3,2.3
2008,4,-0.1
2008,5,-2.82
2008,6,2.06
2008,7,4.16
2008,8,3.49
2008,9,3.72
2008,10,0.97
2008,11,0.41
2008,12,3.03
2009,1,-0.34
2009,2,-0.89
2009,3,-0.78
2009,4,-0.77
2009,5,0.93
2009,6,3.17
2009,7,5.53
2009,8,2.17
2009,9,-1.64
2009,10,3.27
2009,11,-0.47
2009,12,0.9
2010,1,-0.66
2010,2,1.77
2010,3,4.53
2010,4,-2.13
2010,5,-2.26
2010,6,0.29
2010,7,-1.08
2010,8,-0.48
2010,9,-1.66
2010,10,4.37
2010,11,-0.59
2010,12,0.74
2011,1,-0.91
2011,2,0.75
2011,3,1.9
2011,4,2.3
2011,5,1.02
2011,6,0.64
2011,7,-1.77
2011,8,6.88
2011,9,2.85
2011,10,3.35
2011,11,-1.32
2011,12,0.64
2012,1,-0.14
2012,2,-2.79
2012,3,-2.97
2012,4,-1.1
2012,5,1.58
2012,6,1.83
2012,7,-1.4
2012,8,0.76
2012,9,1.41
2012,10,2.34
2012,11,-3.83
2012,12,2.14
2013,1,-1.62
2013,2,0.21
2013,3,-1.51
2013,4,-1.86
2013,5,1.58
2013,6,3.72
2013,7,2.26
2013,8,-0.02
2013,9,1.85
2013,10,-2.07
2013,11,-0.06
2013,12,-0.03
2014,1,0.16
2014,2,1.12
2014,3,0.9
2014,4,-0.96
2014,5,0.68
2014,6,-0.12
2014,7,4.39
2014,8,0.42
2014,9,-2.07
2014,10,1.89
2014,11,-0.82
2014,12,2.19
2015,1,0.03
2015,2,-0.82
2015,3,-2.36
2015,4,-1.11
2015,5,-2.95
2015,6,3.84
2015,7,-0.11
2015,8,-0.39
2015,9,1.12
2015,10,1.07
2015,11,-2.51
2015,12,1.81
2016,1,-1.63
2016,2,2.72
2016,3,-0.43
2016,4,-1.43
2016,5,-1.83
2016,6,-1.65
2016,7,-1.2
2016,8,-0.48
2016,9,-2.85
2016,10,0.1
2016,11,-1.97
2016,12,0.6
2017,1,-0.61
2017,2,0.26
2017,3,-0.43
2017,4,0.38
2017,5,3.17
2017,6,1.57
2017,7,0.19
2017,8,0.28
2017,9,-1.37
2017,10,3.88
2017,11,-2.37
2017,12,-0.29
2018,1,0.98
2018,2,0.74
2018,3,-0.89
2018,4,1.98
2018,5,-3.06
2018,6,-0.86
2018,7,0.56
2018,8,2.03
2018,9,0.92
2018,10,1.77
2018,11,4.73
2018,12,-0.25
2019,1,2.51
2019,2,-0.03
2019,3,-2.25
2019,4,2.74
2019,5,1.04
2019,6,1.79
2019,7,-0.6
2019,8,0.32
2019,9,-1.67
2019,10,2.11
2019,11,-0.12
2019,12,1.65
2020,1,-0.7
2020,2,0.61
2020,3,-0.78
2020,4,1.89
2020,5,-1.31
