year,month,Unnamed: 0,fips,state,count,avgTemp,minTemp,maxTemp,precipitation,zindex,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income
2000,1,2000-01,34,,0,30.0,20.9,26.9,3.1,-0.27,,,,,,,,,,,,,,,,,
2000,2,2000-02,34,,0,35.3,26.0,33.6,2.16,-1.26,,,,,,,,,,,,,,,,,
2000,3,2000-03,34,,0,45.6,34.4,46.7,4.61,0.15,,,,,,,,,,,,,,,,,
2000,4,2000-04,34,,0,49.8,39.8,50.9,3.33,-0.51,,,,,,,,,,,,,,,,,
2000,5,2000-05,34,,0,62.0,51.3,64.5,3.82,-0.39,,,,,,,,,,,,,,,,,
2000,6,2000-06,34,,0,70.3,60.2,72.9,4.38,0.67,,,,,,,,,,,,,,,,,
2000,7,2000-07,34,,0,71.0,61.3,74.8,5.76,1.93,,,,,,,,,,,,,,,,,
2000,8,2000-08,34,,4,71.0,62.2,74.4,5.33,1.52,,,,,,,,,,,,,,,,,
2000,9,2000-09,34,,1,64.4,54.1,68.0,5.23,1.94,,,,,,,,,,,,,,,,,
2000,10,2000-10,34,,0,54.9,43.0,57.6,0.77,-2.19,,,,,,,,,,,,,,,,,
2000,11,2000-11,34,,0,43.0,33.6,43.4,3.15,-0.48,,,,,,,,,,,,,,,,,
2000,12,2000-12,34,,0,29.0,20.2,28.6,3.61,0.33,,,,,,,,,,,,,,,,,
2001,1,2001-01,34,,0,29.8,20.8,29.2,3.03,-0.35,,,,,,,,,,,,,,,,,
2001,2,2001-02,34,,0,35.0,25.8,31.7,2.62,-0.6,,,,,,,,,,,,,,,,,
2001,3,2001-03,34,,0,38.2,29.6,36.1,5.95,2.43,,,,,,,,,,,,,,,,,
2001,4,2001-04,34,,0,51.4,39.9,53.5,1.83,-2.39,,,,,,,,,,,,,,,,,
