,count,avgTemp,minTemp,maxTemp,precipitation,zindex,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income,1y,1m,2m,3m,3m_average,diff1-2,diff2-3,month_sin,month_cos
2010-01,0.0,31.2,23.2,29.4,2.64,-0.79,1065113.0,1243864.0,1458250.0,477275.0,1016427.0,1227055.0,1555297.0,678296.0,8721577.0,4244502.0,4477075.0,6074010.0,1176241.0,19683.0,697788.0,2303.0,3176069.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,0.8660254037844387
2010-02,0.0,31.1,24.4,31.9,4.62,2.28,1065113.0,1243864.0,1458250.0,477275.0,1016427.0,1227055.0,1555297.0,678296.0,8721577.0,4244502.0,4477075.0,6074010.0,1176241.0,19683.0,697788.0,2303.0,3176069.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844386,0.5000000000000001
2010-03,0.0,46.2,36.2,47.0,8.66,4.63,1065113.0,1243864.0,1458250.0,477275.0,1016427.0,1227055.0,1555297.0,678296.0,8721577.0,4244502.0,4477075.0,6074010.0,1176241.0,19683.0,697788.0,2303.0,3176069.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17
2010-04,0.0,55.5,42.9,59.0,2.51,-2.19,1065113.0,1243864.0,1458250.0,477275.0,1016427.0,1227055.0,1555297.0,678296.0,8721577.0,4244502.0,4477075.0,6074010.0,1176241.0,19683.0,697788.0,2303.0,3176069.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844388,-0.4999999999999998
2010-05,0.0,64.0,52.7,70.3,3.35,-1.11,1065113.0,1243864.0,1458250.0,477275.0,1016427.0,1227055.0,1555297.0,678296.0,8721577.0,4244502.0,4477075.0,6074010.0,1176241.0,19683.0,697788.0,2303.0,3176069.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,-0.8660254037844387
2010-06,0.0,73.9,62.7,74.2,2.24,-2.41,1065113.0,1243864.0,1458250.0,477275.0,1016427.0,1227055.0,1555297.0,678296.0,8721577.0,4244502.0,4477075.0,6074010.0,1176241.0,19683.0,697788.0,2303.0,3176069.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2246467991473532e-16,-1.0
2010-07,0.0,78.3,67.3,82.1,4.07,-1.59,1065113.0,1243864.0,1458250.0,477275.0,1016427.0,1227055.0,1555297.0,678296.0,8721577.0,4244502.0,4477075.0,6074010.0,1176241.0,19683.0,697788.0,2303.0,3176069.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5000000000000001,-0.8660254037844386
2010-08,9.0,74.9,64.6,77.6,2.51,-2.94,1065113.0,1243864.0,1458250.0,477275.0,1016427.0,1227055.0,1555297.0,678296.0,8721577.0,4244502.0,4477075.0,6074010.0,1176241.0,19683.0,697788.0,2303.0,3176069.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844384,-0.5000000000000004
2010-09,5.0,69.2,57.9,70.9,3.18,-1.57,1065113.0,1243864.0,1458250.0,477275.0,1016427.0,1227055.0,1555297.0,678296.0,8721577.0,4244502.0,4477075.0,6074010.0,1176241.0,19683.0,697788.0,2303.0,3176069.0,1.0,9.0,0.0,0.0,3.0,9.0,0.0,-1.0,-1.8369701987210297e-16
2010-10,1.0,56.0,45.7,56.1,5.38,1.18,1065113.0,1243864.0,1458250.0,477275.0,1016427.0,1227055.0,1555297.0,678296.0,8721577.0,4244502.0,4477075.0,6074010.0,1176241.0,19683.0,697788.0,2303.0,3176069.0,0.0,5.0,9.0,0.0,4.666666666666667,-4.0,9.0,-0.8660254037844386,0.5
2010-11,0.0,45.0,35.2,44.6,2.17,-1.83,1065113.0,1243864.0,1458250.0,477275.0,1016427.0,1227055.0,1555297.0,678296.0,8721577.0,4244502.0,4477075.0,6074010.0,1176241.0,19683.0,697788.0,2303.0,3176069.0,0.0,1.0,5.0,9.0,5.0,-4.0,-4.0,-0.5000000000000004,0.8660254037844384
2010-12,0.0,30.8,23.3,30.6,3.27,-0.25,1065113.0,1243864.0,1458250.0,477275.0,1016427.0,1227055.0,1555297.0,678296.0,8721577.0,4244502.0,4477075.0,6074010.0,1176241.0,19683.0,697788.0,2303.0,3176069.0,0.0,0.0,1.0,5.0,2.0,-1.0,-4.0,-2.4492935982947064e-16,1.0
