,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income
2010-01,-1.8212409942891143,-1.8193832706736652,-1.8262797022431103,-1.869529044024176,-1.959016175736815,-1.4791400233355874,-1.115834614954081,-1.7291616840475985,-1.7131272807670117
2010-02,-1.8212409942891143,-1.8193832706736652,-1.8262797022431103,-1.869529044024176,-1.959016175736815,-1.4791400233355874,-1.115834614954081,-1.7291616840475985,-1.7131272807670117
2010-03,-1.8212409942891143,-1.8193832706736652,-1.8262797022431103,-1.869529044024176,-1.959016175736815,-1.4791400233355874,-1.115834614954081,-1.7291616840475985,-1.7131272807670117
2010-04,-1.8212409942891143,-1.8193832706736652,-1.8262797022431103,-1.869529044024176,-1.959016175736815,-1.4791400233355874,-1.115834614954081,-1.7291616840475985,-1.7131272807670117
2010-05,-1.8212409942891143,-1.8193832706736652,-1.8262797022431103,-1.869529044024176,-1.959016175736815,-1.4791400233355874,-1.115834614954081,-1.7291616840475985,-1.7131272807670117
2010-06,-1.8212409942891143,-1.8193832706736652,-1.8262797022431103,-1.869529044024176,-1.959016175736815,-1.4791400233355874,-1.115834614954081,-1.7291616840475985,-1.7131272807670117
2010-07,-1.8212409942891143,-1.8193832706736652,-1.8262797022431103,-1.869529044024176,-1.959016175736815,-1.4791400233355874,-1.115834614954081,-1.7291616840475985,-1.7131272807670117
2010-08,-1.8212409942891143,-1.8193832706736652,-1.8262797022431103,-1.869529044024176,-1.959016175736815,-1.4791400233355874,-1.115834614954081,-1.7291616840475985,-1.7131272807670117
2010-09,-1.8212409942891143,-1.8193832706736652,-1.8262797022431103,-1.869529044024176,-1.959016175736815,-1.4791400233355874,-1.115834614954081,-1.7291616840475985,-1.7131272807670117
2010-10,-1.8212409942891143,-1.8193832706736652,-1.8262797022431103,-1.869529044024176,-1.959016175736815,-1.4791400233355874,-1.115834614954081,-1.7291616840475985,-1.7131272807670117
2010-11,-1.8212409942891143,-1.8193832706736652,-1.8262797022431103,-1.869529044024176,-1.959016175736815,-1.4791400233355874,-1.115834614954081,-1.7291616840475985,-1.7131272807670117
2010-12,-1.8212409942891143,-1.8193832706736652,-1.8262797022431103,-1.869529044024176,-1.959016175736815,-1.4791400233355874,-1.115834614954081,-1.7291616840475985,-1.7131272807670117
2011-01,-1.5956825597837165,-1.6222455266843974,-1.5624592528772625,-1.0668160927790005,-1.2586493676531185,-1.3343933466285116,-1.2576431796667071,-1.3394927803485661,-0.8441244938564173
2011-02,-1.5956825597837165,-1.6222455266843974,-1.5624592528772625,-1.0668160927790005,-1.2586493676531185,-1.3343933466285116,-1.2576431796667071,-1.3394927803485661,-0.8441244938564173
2011-03,-1.5956825597837165,-1.6222455266843974,-1.5624592528772625,-1.0668160927790005,-1.2586493676531185,-1.3343933466285116,-1.2576431796667071,-1.3394927803485661,-0.8441244938564173
2011-04,-1.5956825597837165,-1.6222455266843974,-1.5624592528772625,-1.0668160927790005,-1.2586493676531185,-1.3343933466285116,-1.2576431796667071,-1.3394927803485661,-0.8441244938564173
2011-05,-1.5956825597837165,-1.6222455266843974,-1.5624592528772625,-1.0668160927790005,-1.2586493676531185,-1.3343933466285116,-1.2576431796667071,-1.3394927803485661,-0.8441244938564173
2011-06,-1.5956825597837165,-1.6222455266843974,-1.5624592528772625,-1.0668160927790005,-1.2586493676531185,-1.3343933466285116,-1.2576431796667071,-1.3394927803485661,-0.8441244938564173
2011-07,-1.5956825597837165,-1.6222455266843974,-1.5624592528772625,-1.0668160927790005,-1.2586493676531185,-1.3343933466285116,-1.2576431796667071,-1.3394927803485661,-0.8441244938564173
