,count,avgTemp,minTemp,maxTemp,precipitation,zindex,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income
2000-01,0.0,28.6,24.7,40.7,1.43,-0.14,,,,,,,,,,,,,,,,,
2000-02,0.0,35.0,28.8,47.7,2.28,1.93,,,,,,,,,,,,,,,,,
2000-03,0.0,41.9,28.6,54.6,0.97,-0.57,,,,,,,,,,,,,,,,,
2000-04,0.0,48.7,36.8,63.9,0.69,-1.66,,,,,,,,,,,,,,,,,
2000-05,0.0,61.6,43.8,75.1,1.06,-1.21,,,,,,,,,,,,,,,,,
2000-06,0.0,67.6,51.8,82.0,0.25,-2.61,,,,,,,,,,,,,,,,,
2000-07,0.0,75.2,55.3,88.0,0.04,-3.04,,,,,,,,,,,,,,,,,
2000-08,0.0,76.4,56.4,90.2,1.03,0.74,,,,,,,,,,,,,,,,,
2000-09,0.0,64.5,46.1,80.0,0.33,-1.0,,,,,,,,,,,,,,,,,
2000-10,0.0,52.7,37.1,65.9,1.65,2.67,,,,,,,,,,,,,,,,,
2000-11,0.0,28.2,22.2,38.4,0.39,-0.66,,,,,,,,,,,,,,,,,
2000-12,0.0,18.7,22.3,28.6,0.36,-2.2,,,,,,,,,,,,,,,,,
2001-01,0.0,27.5,18.5,38.4,1.14,-0.28,,,,,,,,,,,,,,,,,
2001-02,0.0,22.0,21.8,31.3,1.09,0.08,,,,,,,,,,,,,,,,,
2001-03,0.0,35.8,31.7,46.1,1.0,-1.31,,,,,,,,,,,,,,,,,
2001-04,0.0,50.6,32.7,63.5,1.19,0.76,,,,,,,,,,,,,,,,,
2001-05,0.0,59.8,45.5,71.9,0.16,-3.59,,,,,,,,,,,,,,,,,
2001-06,0.0,68.5,50.4,81.8,0.13,-3.58,,,,,,,,,,,,,,,,,
2001-07,0.0,77.1,56.2,89.2,0.81,-1.13,,,,,,,,,,,,,,,,,
2001-08,0.0,73.9,57.2,87.4,0.27,-2.14,,,,,,,,,,,,,,,,,
2001-09,0.0,63.6,48.8,76.9,0.25,-1.6,,,,,,,,,,,,,,,,,
2001-10,0.0,51.0,39.2,65.3,0.28,-1.99,,,,,,,,,,,,,,,,,
2001-11,0.0,43.9,29.5,57.7,1.24,0.26,,,,,,,,,,,,,,,,,
2001-12,0.0,30.3,21.5,41.9,1.37,0.97,,,,,,,,,,,,,,,,,
2002-01,0.0,29.5,20.1,42.2,0.67,-0.83,,,,,,,,,,,,,,,,,
2002-02,0.0,31.8,22.0,45.8,0.57,-1.22,,,,,,,,,,,,,,,,,
2002-03,0.0,30.1,24.8,42.3,0.53,-1.23,,,,,,,,,,,,,,,,,
2002-04,0.0,49.9,35.3,64.3,0.86,-0.88,,,,,,,,,,,,,,,,,
2002-05,0.0,56.0,40.2,69.8,0.4,-2.59,,,,,,,,,,,,,,,,,
2002-06,0.0,73.9,51.1,87.9,0.26,-2.95,,,,,,,,,,,,,,,,,
2002-07,0.0,78.3,59.6,92.6,0.31,-2.81,,,,,,,,,,,,,,,,,
2002-08,0.0,73.0,53.4,86.2,0.06,-2.67,,,,,,,,,,,,,,,,,
2002-09,0.0,64.3,47.4,77.6,0.47,-0.62,,,,,,,,,,,,,,,,,
2002-10,0.0,44.4,34.1,55.3,0.36,-1.0,,,,,,,,,,,,,,,,,
2002-11,0.0,37.1,27.2,49.1,0.94,-0.27,,,,,,,,,,,,,,,,,
2002-12,0.0,31.8,23.1,44.5,0.81,-0.8,,,,,,,,,,,,,,,,,
2003-01,0.0,26.9,28.8,39.2,0.52,-3.25,,,,,,,,,,,,,,,,,
2003-02,0.0,25.0,22.9,36.4,1.05,-0.62,,,,,,,,,,,,,,,,,
2003-03,0.0,38.7,30.2,52.0,0.8,-1.85,,,,,,,,,,,,,,,,,
2003-04,0.0,50.5,32.4,63.1,1.68,2.15,,,,,,,,,,,,,,,,,
2003-05,0.0,57.4,42.6,69.6,0.9,-0.73,,,,,,,,,,,,,,,,,
2003-06,0.0,66.1,51.7,78.2,0.1,-3.65,,,,,,,,,,,,,,,,,
2003-07,0.0,76.4,60.0,90.7,0.5,-2.57,,,,,,,,,,,,,,,,,
2003-08,2.0,75.5,57.2,89.3,1.15,1.03,,,,,,,,,,,,,,,,,
2003-09,0.0,61.1,48.5,76.1,0.31,-1.33,,,,,,,,,,,,,,,,,
2003-10,0.0,54.6,40.8,70.3,0.12,-2.79,,,,,,,,,,,,,,,,,
2003-11,0.0,34.7,25.5,45.8,0.98,0.57,,,,,,,,,,,,,,,,,
2003-12,0.0,30.5,23.7,40.8,1.71,1.8,,,,,,,,,,,,,,,,,
2004-01,0.0,24.0,19.4,35.7,0.53,-0.97,,,,,,,,,,,,,,,,,
2004-02,0.0,26.3,22.9,37.4,1.65,2.08,,,,,,,,,,,,,,,,,
2004-03,0.0,43.1,33.6,55.8,0.34,-3.28,,,,,,,,,,,,,,,,,
2004-04,0.0,50.5,36.1,65.0,1.02,-0.83,,,,,,,,,,,,,,,,,
2004-05,0.0,60.4,41.8,73.9,0.59,-1.55,,,,,,,,,,,,,,,,,
2004-06,1.0,65.2,51.0,77.6,0.34,-1.76,,,,,,,,,,,,,,,,,
2004-07,12.0,71.7,57.8,84.2,0.54,-1.24,,,,,,,,,,,,,,,,,
2004-08,8.0,68.5,54.8,82.0,0.82,0.33,,,,,,,,,,,,,,,,,
2004-09,4.0,66.2,45.5,80.1,0.45,-0.46,,,,,,,,,,,,,,,,,
2004-10,0.0,52.3,37.6,64.6,2.36,4.83,,,,,,,,,,,,,,,,,
2004-11,0.0,38.7,27.3,49.8,1.4,1.57,,,,,,,,,,,,,,,,,
2004-12,0.0,30.8,23.3,42.7,1.31,1.17,,,,,,,,,,,,,,,,,
2005-01,0.0,23.1,23.8,32.8,2.25,3.96,,,,,,,,,,,,,,,,,
2005-02,0.0,34.4,26.0,46.5,1.43,2.29,,,,,,,,,,,,,,,,,
2005-03,0.0,39.4,29.5,52.7,1.26,1.26,,,,,,,,,,,,,,,,,
2005-04,0.0,49.7,32.7,62.3,1.34,1.76,,,,,,,,,,,,,,,,,
2005-05,0.0,57.8,43.2,71.5,1.99,4.58,,,,,,,,,,,,,,,,,
2005-06,0.0,70.0,46.5,81.7,0.51,3.54,,,,,,,,,,,,,,,,,
2005-07,2.0,75.9,59.1,89.9,0.37,3.68,,,,,,,,,,,,,,,,,
2005-08,5.0,72.6,55.3,85.5,0.59,0.23,,,,,,,,,,,,,,,,,
2005-09,6.0,67.5,43.7,82.2,0.37,-0.48,,,,,,,,,,,,,,,,,
2005-10,1.0,51.9,37.4,66.1,0.86,0.17,,,,,,,,,,,,,,,,,
2005-11,0.0,41.1,29.0,54.9,0.74,-1.13,,,,,,,,,,,,,,,,,
2005-12,0.0,25.0,23.7,35.3,1.84,1.8,,,,,,,,,,,,,,,,,
2006-01,0.0,37.1,23.8,50.0,1.47,0.98,,,,,,,,,,,,,,,,,
2006-02,0.0,28.1,22.0,41.1,0.79,-0.35,,,,,,,,,,,,,,,,,
2006-03,0.0,36.8,24.8,48.1,1.74,2.53,,,,,,,,,,,,,,,,,
2006-04,0.0,53.3,35.3,67.9,1.77,2.26,,,,,,,,,,,,,,,,,
2006-05,0.0,61.2,44.0,75.8,0.54,-0.11,,,,,,,,,,,,,,,,,
2006-06,0.0,71.8,52.8,86.0,0.29,-0.16,,,,,,,,,,,,,,,,,
2006-07,11.0,77.5,60.4,91.5,0.68,-0.21,,,,,,,,,,,,,,,,,
2006-08,23.0,72.9,53.3,85.2,0.06,-2.29,,,,,,,,,,,,,,,,,
2006-09,0.0,58.8,45.1,71.7,0.2,-1.37,,,,,,,,,,,,,,,,,
2006-10,0.0,48.0,35.3,61.0,0.86,0.4,,,,,,,,,,,,,,,,,
2006-11,0.0,37.6,27.3,51.2,0.61,-1.14,,,,,,,,,,,,,,,,,
2006-12,0.0,30.2,19.2,42.0,0.66,-1.14,,,,,,,,,,,,,,,,,
2007-01,0.0,21.6,14.6,31.8,0.33,-2.36,,,,,,,,,,,,,,,,,
2007-02,0.0,23.1,25.1,32.9,1.01,-1.17,,,,,,,,,,,,,,,,,
2007-03,0.0,45.6,31.6,58.4,0.59,-3.25,,,,,,,,,,,,,,,,,
2007-04,0.0,46.4,35.5,58.4,0.9,-1.76,,,,,,,,,,,,,,,,,
2007-05,0.0,62.1,43.0,74.8,0.28,-4.7,,,,,,,,,,,,,,,,,
2007-06,0.0,69.2,50.7,81.7,0.34,-4.03,,,,,,,,,,,,,,,,,
2007-07,0.0,76.1,60.4,88.8,0.39,-3.43,,,,,,,,,,,,,,,,,
2007-08,1.0,75.6,56.8,87.5,0.57,-1.19,,,,,,,,,,,,,,,,,
2007-09,0.0,64.7,45.8,78.7,0.87,0.96,,,,,,,,,,,,,,,,,
2007-10,0.0,53.6,35.8,67.0,0.61,-0.37,,,,,,,,,,,,,,,,,
2007-11,1.0,39.5,28.4,54.2,0.32,-2.3,,,,,,,,,,,,,,,,,
2007-12,0.0,22.0,19.3,31.9,1.38,0.76,,,,,,,,,,,,,,,,,
2008-01,0.0,21.3,17.6,32.3,1.48,1.05,,,,,,,,,,,,,,,,,
2008-02,0.0,26.2,23.4,37.9,1.1,0.32,,,,,,,,,,,,,,,,,
2008-03,0.0,37.4,27.2,50.3,0.38,-1.69,,,,,,,,,,,,,,,,,
2008-04,0.0,44.6,30.5,57.7,0.23,-1.61,,,,,,,,,,,,,,,,,
2008-05,0.0,56.3,40.3,69.2,1.01,-0.42,,,,,,,,,,,,,,,,,
2008-06,0.0,67.5,48.9,80.6,0.25,-1.82,,,,,,,,,,,,,,,,,
2008-07,3.0,75.0,57.6,88.3,0.32,-1.81,,,,,,,,,,,,,,,,,
2008-08,2.0,71.4,56.6,83.7,0.17,-2.3,,,,,,,,,,,,,,,,,
2008-09,3.0,62.2,47.0,75.7,0.14,-1.84,,,,,,,,,,,,,,,,,
2008-10,1.0,50.2,36.5,63.1,0.37,-1.35,,,,,,,,,,,,,,,,,
2008-11,0.0,38.9,32.3,50.3,1.12,-0.59,,,,,,,,,,,,,,,,,
2008-12,0.0,21.3,18.3,33.1,1.12,0.15,,,,,,,,,,,,,,,,,
2009-01,0.0,25.5,22.8,38.0,0.87,-0.95,338517.0,412829.0,410389.0,134155.0,320043.0,376527.0,400987.0,152316.0,2545763.0,1295890.0,1249873.0,1909349.0,190093.0,30501.0,157280.0,12409.0,944178.0
