,count,avgTemp,minTemp,maxTemp,precipitation,zindex,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income,1y,1m,2m,3m,3m_average,diff1-2,diff2-3,month_sin,month_cos
2010-01,0.0,22.1,23.4,31.5,1.45,0.78,336986.0,420819.0,430712.0,143108.0,320126.0,397803.0,423846.0,159931.0,2633331.0,1331625.0,1301706.0,1938033.0,207567.0,28403.0,183979.0,15526.0,979621.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,0.8660254037844387
2010-02,0.0,23.0,25.9,32.4,1.03,-0.15,336986.0,420819.0,430712.0,143108.0,320126.0,397803.0,423846.0,159931.0,2633331.0,1331625.0,1301706.0,1938033.0,207567.0,28403.0,183979.0,15526.0,979621.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844386,0.5000000000000001
2010-03,0.0,39.7,27.7,50.1,0.94,-0.38,336986.0,420819.0,430712.0,143108.0,320126.0,397803.0,423846.0,159931.0,2633331.0,1331625.0,1301706.0,1938033.0,207567.0,28403.0,183979.0,15526.0,979621.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17
2010-04,0.0,51.7,30.9,64.4,1.27,1.46,336986.0,420819.0,430712.0,143108.0,320126.0,397803.0,423846.0,159931.0,2633331.0,1331625.0,1301706.0,1938033.0,207567.0,28403.0,183979.0,15526.0,979621.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844388,-0.4999999999999998
2010-05,0.0,56.3,35.8,68.3,1.07,1.67,336986.0,420819.0,430712.0,143108.0,320126.0,397803.0,423846.0,159931.0,2633331.0,1331625.0,1301706.0,1938033.0,207567.0,28403.0,183979.0,15526.0,979621.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,-0.8660254037844387
2010-06,0.0,69.6,49.7,81.6,0.2,-0.77,336986.0,420819.0,430712.0,143108.0,320126.0,397803.0,423846.0,159931.0,2633331.0,1331625.0,1301706.0,1938033.0,207567.0,28403.0,183979.0,15526.0,979621.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2246467991473532e-16,-1.0
2010-07,0.0,74.5,57.7,86.5,0.35,-0.85,336986.0,420819.0,430712.0,143108.0,320126.0,397803.0,423846.0,159931.0,2633331.0,1331625.0,1301706.0,1938033.0,207567.0,28403.0,183979.0,15526.0,979621.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5000000000000001,-0.8660254037844386
2010-08,0.0,74.8,53.3,88.0,0.25,-1.55,336986.0,420819.0,430712.0,143108.0,320126.0,397803.0,423846.0,159931.0,2633331.0,1331625.0,1301706.0,1938033.0,207567.0,28403.0,183979.0,15526.0,979621.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844384,-0.5000000000000004
2010-09,0.0,63.6,45.9,78.4,0.26,-1.34,336986.0,420819.0,430712.0,143108.0,320126.0,397803.0,423846.0,159931.0,2633331.0,1331625.0,1301706.0,1938033.0,207567.0,28403.0,183979.0,15526.0,979621.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16
2010-10,0.0,54.0,40.7,69.1,2.23,3.99,336986.0,420819.0,430712.0,143108.0,320126.0,397803.0,423846.0,159931.0,2633331.0,1331625.0,1301706.0,1938033.0,207567.0,28403.0,183979.0,15526.0,979621.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844386,0.5
2010-11,0.0,36.7,26.0,49.0,1.19,0.97,336986.0,420819.0,430712.0,143108.0,320126.0,397803.0,423846.0,159931.0,2633331.0,1331625.0,1301706.0,1938033.0,207567.0,28403.0,183979.0,15526.0,979621.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5000000000000004,0.8660254037844384
2010-12,0.0,26.1,27.1,37.3,2.82,4.6,336986.0,420819.0,430712.0,143108.0,320126.0,397803.0,423846.0,159931.0,2633331.0,1331625.0,1301706.0,1938033.0,207567.0,28403.0,183979.0,15526.0,979621.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4492935982947064e-16,1.0
