,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income
2010-01,-1.6106849047200194,-1.6183736256655812,-1.6037145592178523,0.16047432217289795,-1.5744900843712497,-1.4938547708152667,-1.5883574884369398,-1.6630508549207996,-1.4180811820430244
2010-02,-1.6106849047200194,-1.6183736256655812,-1.6037145592178523,0.16047432217289795,-1.5744900843712497,-1.4938547708152667,-1.5883574884369398,-1.6630508549207996,-1.4180811820430244
2010-03,-1.6106849047200194,-1.6183736256655812,-1.6037145592178523,0.16047432217289795,-1.5744900843712497,-1.4938547708152667,-1.5883574884369398,-1.6630508549207996,-1.4180811820430244
2010-04,-1.6106849047200194,-1.6183736256655812,-1.6037145592178523,0.16047432217289795,-1.5744900843712497,-1.4938547708152667,-1.5883574884369398,-1.6630508549207996,-1.4180811820430244
2010-05,-1.6106849047200194,-1.6183736256655812,-1.6037145592178523,0.16047432217289795,-1.5744900843712497,-1.4938547708152667,-1.5883574884369398,-1.6630508549207996,-1.4180811820430244
2010-06,-1.6106849047200194,-1.6183736256655812,-1.6037145592178523,0.16047432217289795,-1.5744900843712497,-1.4938547708152667,-1.5883574884369398,-1.6630508549207996,-1.4180811820430244
2010-07,-1.6106849047200194,-1.6183736256655812,-1.6037145592178523,0.16047432217289795,-1.5744900843712497,-1.4938547708152667,-1.5883574884369398,-1.6630508549207996,-1.4180811820430244
2010-08,-1.6106849047200194,-1.6183736256655812,-1.6037145592178523,0.16047432217289795,-1.5744900843712497,-1.4938547708152667,-1.5883574884369398,-1.6630508549207996,-1.4180811820430244
2010-09,-1.6106849047200194,-1.6183736256655812,-1.6037145592178523,0.16047432217289795,-1.5744900843712497,-1.4938547708152667,-1.5883574884369398,-1.6630508549207996,-1.4180811820430244
2010-10,-1.6106849047200194,-1.6183736256655812,-1.6037145592178523,0.16047432217289795,-1.5744900843712497,-1.4938547708152667,-1.5883574884369398,-1.6630508549207996,-1.4180811820430244
2010-11,-1.6106849047200194,-1.6183736256655812,-1.6037145592178523,0.16047432217289795,-1.5744900843712497,-1.4938547708152667,-1.5883574884369398,-1.6630508549207996,-1.4180811820430244
2010-12,-1.6106849047200194,-1.6183736256655812,-1.6037145592178523,0.16047432217289795,-1.5744900843712497,-1.4938547708152667,-1.5883574884369398,-1.6630508549207996,-1.4180811820430244
2011-01,-1.2936439826289665,-1.2828592247178694,-1.3029148833746778,1.3348169149645877,-1.2696950003891307,-1.1128581133487252,-1.347739704648201,-1.1455104134866125,-1.21961466073413
2011-02,-1.2936439826289665,-1.2828592247178694,-1.3029148833746778,1.3348169149645877,-1.2696950003891307,-1.1128581133487252,-1.347739704648201,-1.1455104134866125,-1.21961466073413
2011-03,-1.2936439826289665,-1.2828592247178694,-1.3029148833746778,1.3348169149645877,-1.2696950003891307,-1.1128581133487252,-1.347739704648201,-1.1455104134866125,-1.21961466073413
2011-04,-1.2936439826289665,-1.2828592247178694,-1.3029148833746778,1.3348169149645877,-1.2696950003891307,-1.1128581133487252,-1.347739704648201,-1.1455104134866125,-1.21961466073413
2011-05,-1.2936439826289665,-1.2828592247178694,-1.3029148833746778,1.3348169149645877,-1.2696950003891307,-1.1128581133487252,-1.347739704648201,-1.1455104134866125,-1.21961466073413
2011-06,-1.2936439826289665,-1.2828592247178694,-1.3029148833746778,1.3348169149645877,-1.2696950003891307,-1.1128581133487252,-1.347739704648201,-1.1455104134866125,-1.21961466073413
2011-07,-1.2936439826289665,-1.2828592247178694,-1.3029148833746778,1.3348169149645877,-1.2696950003891307,-1.1128581133487252,-1.347739704648201,-1.1455104134866125,-1.21961466073413
2011-08,-1.2936439826289665,-1.2828592247178694,-1.3029148833746778,1.3348169149645877,-1.2696950003891307,-1.1128581133487252,-1.347739704648201,-1.1455104134866125,-1.21961466073413
2011-09,-1.2936439826289665,-1.2828592247178694,-1.3029148833746778,1.3348169149645877,-1.2696950003891307,-1.1128581133487252,-1.347739704648201,-1.1455104134866125,-1.21961466073413
2011-10,-1.2936439826289665,-1.2828592247178694,-1.3029148833746778,1.3348169149645877,-1.2696950003891307,-1.1128581133487252,-1.347739704648201,-1.1455104134866125,-1.21961466073413
2011-11,-1.2936439826289665,-1.2828592247178694,-1.3029148833746778,1.3348169149645877,-1.2696950003891307,-1.1128581133487252,-1.347739704648201,-1.1455104134866125,-1.21961466073413
2011-12,-1.2936439826289665,-1.2828592247178694,-1.3029148833746778,1.3348169149645877,-1.2696950003891307,-1.1128581133487252,-1.347739704648201,-1.1455104134866125,-1.21961466073413
2012-01,-1.0565003265069077,-1.0391045392166218,-1.0718618790859242,1.879091925315029,-1.0991290071294473,-0.8464731319132975,-1.1022972255596213,-1.0986276815913,-1.0568773414327428
2012-02,-1.0565003265069077,-1.0391045392166218,-1.0718618790859242,1.879091925315029,-1.0991290071294473,-0.8464731319132975,-1.1022972255596213,-1.0986276815913,-1.0568773414327428
2012-03,-1.0565003265069077,-1.0391045392166218,-1.0718618790859242,1.879091925315029,-1.0991290071294473,-0.8464731319132975,-1.1022972255596213,-1.0986276815913,-1.0568773414327428
2012-04,-1.0565003265069077,-1.0391045392166218,-1.0718618790859242,1.879091925315029,-1.0991290071294473,-0.8464731319132975,-1.1022972255596213,-1.0986276815913,-1.0568773414327428
2012-05,-1.0565003265069077,-1.0391045392166218,-1.0718618790859242,1.879091925315029,-1.0991290071294473,-0.8464731319132975,-1.1022972255596213,-1.0986276815913,-1.0568773414327428
2012-06,-1.0565003265069077,-1.0391045392166218,-1.0718618790859242,1.879091925315029,-1.0991290071294473,-0.8464731319132975,-1.1022972255596213,-1.0986276815913,-1.0568773414327428
2012-07,-1.0565003265069077,-1.0391045392166218,-1.0718618790859242,1.879091925315029,-1.0991290071294473,-0.8464731319132975,-1.1022972255596213,-1.0986276815913,-1.0568773414327428
2012-08,-1.0565003265069077,-1.0391045392166218,-1.0718618790859242,1.879091925315029,-1.0991290071294473,-0.8464731319132975,-1.1022972255596213,-1.0986276815913,-1.0568773414327428
2012-09,-1.0565003265069077,-1.0391045392166218,-1.0718618790859242,1.879091925315029,-1.0991290071294473,-0.8464731319132975,-1.1022972255596213,-1.0986276815913,-1.0568773414327428
2012-10,-1.0565003265069077,-1.0391045392166218,-1.0718618790859242,1.879091925315029,-1.0991290071294473,-0.8464731319132975,-1.1022972255596213,-1.0986276815913,-1.0568773414327428
2012-11,-1.0565003265069077,-1.0391045392166218,-1.0718618790859242,1.879091925315029,-1.0991290071294473,-0.8464731319132975,-1.1022972255596213,-1.0986276815913,-1.0568773414327428
2012-12,-1.0565003265069077,-1.0391045392166218,-1.0718618790859242,1.879091925315029,-1.0991290071294473,-0.8464731319132975,-1.1022972255596213,-1.0986276815913,-1.0568773414327428
2013-01,-0.8616364157468792,-0.8496008561055617,-0.8726263266389843,0.6818268481702479,-0.8433110247505023,-1.07376422635377,-0.8649318378059924,-0.8882585380828564,-0.9026522204360882
2013-02,-0.8616364157468792,-0.8496008561055617,-0.8726263266389843,0.6818268481702479,-0.8433110247505023,-1.07376422635377,-0.8649318378059924,-0.8882585380828564,-0.9026522204360882
2013-03,-0.8616364157468792,-0.8496008561055617,-0.8726263266389843,0.6818268481702479,-0.8433110247505023,-1.07376422635377,-0.8649318378059924,-0.8882585380828564,-0.9026522204360882
2013-04,-0.8616364157468792,-0.8496008561055617,-0.8726263266389843,0.6818268481702479,-0.8433110247505023,-1.07376422635377,-0.8649318378059924,-0.8882585380828564,-0.9026522204360882
2013-05,-0.8616364157468792,-0.8496008561055617,-0.8726263266389843,0.6818268481702479,-0.8433110247505023,-1.07376422635377,-0.8649318378059924,-0.8882585380828564,-0.9026522204360882
2013-06,-0.8616364157468792,-0.8496008561055617,-0.8726263266389843,0.6818268481702479,-0.8433110247505023,-1.07376422635377,-0.8649318378059924,-0.8882585380828564,-0.9026522204360882
2013-07,-0.8616364157468792,-0.8496008561055617,-0.8726263266389843,0.6818268481702479,-0.8433110247505023,-1.07376422635377,-0.8649318378059924,-0.8882585380828564,-0.9026522204360882
2013-08,-0.8616364157468792,-0.8496008561055617,-0.8726263266389843,0.6818268481702479,-0.8433110247505023,-1.07376422635377,-0.8649318378059924,-0.8882585380828564,-0.9026522204360882
2013-09,-0.8616364157468792,-0.8496008561055617,-0.8726263266389843,0.6818268481702479,-0.8433110247505023,-1.07376422635377,-0.8649318378059924,-0.8882585380828564,-0.9026522204360882
2013-10,-0.8616364157468792,-0.8496008561055617,-0.8726263266389843,0.6818268481702479,-0.8433110247505023,-1.07376422635377,-0.8649318378059924,-0.8882585380828564,-0.9026522204360882
2013-11,-0.8616364157468792,-0.8496008561055617,-0.8726263266389843,0.6818268481702479,-0.8433110247505023,-1.07376422635377,-0.8649318378059924,-0.8882585380828564,-0.9026522204360882
2013-12,-0.8616364157468792,-0.8496008561055617,-0.8726263266389843,0.6818268481702479,-0.8433110247505023,-1.07376422635377,-0.8649318378059924,-0.8882585380828564,-0.9026522204360882
2014-01,-0.6290890381951486,-0.6310843245513788,-0.6278922917293188,0.04031939194843877,-0.6332264652725899,-0.8129570079905392,-0.644279961437638,-0.6845977440580487,-0.7362859843721764
2014-02,-0.6290890381951486,-0.6310843245513788,-0.6278922917293188,0.04031939194843877,-0.6332264652725899,-0.8129570079905392,-0.644279961437638,-0.6845977440580487,-0.7362859843721764
2014-03,-0.6290890381951486,-0.6310843245513788,-0.6278922917293188,0.04031939194843877,-0.6332264652725899,-0.8129570079905392,-0.644279961437638,-0.6845977440580487,-0.7362859843721764
2014-04,-0.6290890381951486,-0.6310843245513788,-0.6278922917293188,0.04031939194843877,-0.6332264652725899,-0.8129570079905392,-0.644279961437638,-0.6845977440580487,-0.7362859843721764
2014-05,-0.6290890381951486,-0.6310843245513788,-0.6278922917293188,0.04031939194843877,-0.6332264652725899,-0.8129570079905392,-0.644279961437638,-0.6845977440580487,-0.7362859843721764
2014-06,-0.6290890381951486,-0.6310843245513788,-0.6278922917293188,0.04031939194843877,-0.6332264652725899,-0.8129570079905392,-0.644279961437638,-0.6845977440580487,-0.7362859843721764
2014-07,-0.6290890381951486,-0.6310843245513788,-0.6278922917293188,0.04031939194843877,-0.6332264652725899,-0.8129570079905392,-0.644279961437638,-0.6845977440580487,-0.7362859843721764
2014-08,-0.6290890381951486,-0.6310843245513788,-0.6278922917293188,0.04031939194843877,-0.6332264652725899,-0.8129570079905392,-0.644279961437638,-0.6845977440580487,-0.7362859843721764
2014-09,-0.6290890381951486,-0.6310843245513788,-0.6278922917293188,0.04031939194843877,-0.6332264652725899,-0.8129570079905392,-0.644279961437638,-0.6845977440580487,-0.7362859843721764
2014-10,-0.6290890381951486,-0.6310843245513788,-0.6278922917293188,0.04031939194843877,-0.6332264652725899,-0.8129570079905392,-0.644279961437638,-0.6845977440580487,-0.7362859843721764
2014-11,-0.6290890381951486,-0.6310843245513788,-0.6278922917293188,0.04031939194843877,-0.6332264652725899,-0.8129570079905392,-0.644279961437638,-0.6845977440580487,-0.7362859843721764
2014-12,-0.6290890381951486,-0.6310843245513788,-0.6278922917293188,0.04031939194843877,-0.6332264652725899,-0.8129570079905392,-0.644279961437638,-0.6845977440580487,-0.7362859843721764
2015-01,-0.36228200247894543,-0.3726087754493724,-0.35346105935939653,-0.20785514329937113,-0.39671744507412504,-0.39920480039927364,-0.3490120540882681,-0.2896511941990111,-0.4952402429376091
2015-02,-0.36228200247894543,-0.3726087754493724,-0.35346105935939653,-0.20785514329937113,-0.39671744507412504,-0.39920480039927364,-0.3490120540882681,-0.2896511941990111,-0.4952402429376091
2015-03,-0.36228200247894543,-0.3726087754493724,-0.35346105935939653,-0.20785514329937113,-0.39671744507412504,-0.39920480039927364,-0.3490120540882681,-0.2896511941990111,-0.4952402429376091
2015-04,-0.36228200247894543,-0.3726087754493724,-0.35346105935939653,-0.20785514329937113,-0.39671744507412504,-0.39920480039927364,-0.3490120540882681,-0.2896511941990111,-0.4952402429376091
2015-05,-0.36228200247894543,-0.3726087754493724,-0.35346105935939653,-0.20785514329937113,-0.39671744507412504,-0.39920480039927364,-0.3490120540882681,-0.2896511941990111,-0.4952402429376091
2015-06,-0.36228200247894543,-0.3726087754493724,-0.35346105935939653,-0.20785514329937113,-0.39671744507412504,-0.39920480039927364,-0.3490120540882681,-0.2896511941990111,-0.4952402429376091
2015-07,-0.36228200247894543,-0.3726087754493724,-0.35346105935939653,-0.20785514329937113,-0.39671744507412504,-0.39920480039927364,-0.3490120540882681,-0.2896511941990111,-0.4952402429376091
2015-08,-0.36228200247894543,-0.3726087754493724,-0.35346105935939653,-0.20785514329937113,-0.39671744507412504,-0.39920480039927364,-0.3490120540882681,-0.2896511941990111,-0.4952402429376091
2015-09,-0.36228200247894543,-0.3726087754493724,-0.35346105935939653,-0.20785514329937113,-0.39671744507412504,-0.39920480039927364,-0.3490120540882681,-0.2896511941990111,-0.4952402429376091
2015-10,-0.36228200247894543,-0.3726087754493724,-0.35346105935939653,-0.20785514329937113,-0.39671744507412504,-0.39920480039927364,-0.3490120540882681,-0.2896511941990111,-0.4952402429376091
2015-11,-0.36228200247894543,-0.3726087754493724,-0.35346105935939653,-0.20785514329937113,-0.39671744507412504,-0.39920480039927364,-0.3490120540882681,-0.2896511941990111,-0.4952402429376091
2015-12,-0.36228200247894543,-0.3726087754493724,-0.35346105935939653,-0.20785514329937113,-0.39671744507412504,-0.39920480039927364,-0.3490120540882681,-0.2896511941990111,-0.4952402429376091
2016-01,-0.07805222874013794,-0.09658433570584432,-0.061355881813925976,-0.06220602557483298,-0.10493010684982684,-0.23531570074295197,-0.029080579499509627,-0.0861822377962398,-0.20877157585582673
2016-02,-0.07805222874013794,-0.09658433570584432,-0.061355881813925976,-0.06220602557483298,-0.10493010684982684,-0.23531570074295197,-0.029080579499509627,-0.0861822377962398,-0.20877157585582673
2016-03,-0.07805222874013794,-0.09658433570584432,-0.061355881813925976,-0.06220602557483298,-0.10493010684982684,-0.23531570074295197,-0.029080579499509627,-0.0861822377962398,-0.20877157585582673
2016-04,-0.07805222874013794,-0.09658433570584432,-0.061355881813925976,-0.06220602557483298,-0.10493010684982684,-0.23531570074295197,-0.029080579499509627,-0.0861822377962398,-0.20877157585582673
2016-05,-0.07805222874013794,-0.09658433570584432,-0.061355881813925976,-0.06220602557483298,-0.10493010684982684,-0.23531570074295197,-0.029080579499509627,-0.0861822377962398,-0.20877157585582673
2016-06,-0.07805222874013794,-0.09658433570584432,-0.061355881813925976,-0.06220602557483298,-0.10493010684982684,-0.23531570074295197,-0.029080579499509627,-0.0861822377962398,-0.20877157585582673
2016-07,-0.07805222874013794,-0.09658433570584432,-0.061355881813925976,-0.06220602557483298,-0.10493010684982684,-0.23531570074295197,-0.029080579499509627,-0.0861822377962398,-0.20877157585582673
2016-08,-0.07805222874013794,-0.09658433570584432,-0.061355881813925976,-0.06220602557483298,-0.10493010684982684,-0.23531570074295197,-0.029080579499509627,-0.0861822377962398,-0.20877157585582673
2016-09,-0.07805222874013794,-0.09658433570584432,-0.061355881813925976,-0.06220602557483298,-0.10493010684982684,-0.23531570074295197,-0.029080579499509627,-0.0861822377962398,-0.20877157585582673
2016-10,-0.07805222874013794,-0.09658433570584432,-0.061355881813925976,-0.06220602557483298,-0.10493010684982684,-0.23531570074295197,-0.029080579499509627,-0.0861822377962398,-0.20877157585582673
2016-11,-0.07805222874013794,-0.09658433570584432,-0.061355881813925976,-0.06220602557483298,-0.10493010684982684,-0.23531570074295197,-0.029080579499509627,-0.0861822377962398,-0.20877157585582673
2016-12,-0.07805222874013794,-0.09658433570584432,-0.061355881813925976,-0.06220602557483298,-0.10493010684982684,-0.23531570074295197,-0.029080579499509627,-0.0861822377962398,-0.20877157585582673
2017-01,0.25252540696948367,0.24261427918603323,0.26195608559583833,0.08855858543100094,0.23007957686113648,-0.08933693751337364,0.38274280886824097,0.25830119189039263,0.1803438606469822
2017-02,0.25252540696948367,0.24261427918603323,0.26195608559583833,0.08855858543100094,0.23007957686113648,-0.08933693751337364,0.38274280886824097,0.25830119189039263,0.1803438606469822
2017-03,0.25252540696948367,0.24261427918603323,0.26195608559583833,0.08855858543100094,0.23007957686113648,-0.08933693751337364,0.38274280886824097,0.25830119189039263,0.1803438606469822
2017-04,0.25252540696948367,0.24261427918603323,0.26195608559583833,0.08855858543100094,0.23007957686113648,-0.08933693751337364,0.38274280886824097,0.25830119189039263,0.1803438606469822
2017-05,0.25252540696948367,0.24261427918603323,0.26195608559583833,0.08855858543100094,0.23007957686113648,-0.08933693751337364,0.38274280886824097,0.25830119189039263,0.1803438606469822
2017-06,0.25252540696948367,0.24261427918603323,0.26195608559583833,0.08855858543100094,0.23007957686113648,-0.08933693751337364,0.38274280886824097,0.25830119189039263,0.1803438606469822
2017-07,0.25252540696948367,0.24261427918603323,0.26195608559583833,0.08855858543100094,0.23007957686113648,-0.08933693751337364,0.38274280886824097,0.25830119189039263,0.1803438606469822
2017-08,0.25252540696948367,0.24261427918603323,0.26195608559583833,0.08855858543100094,0.23007957686113648,-0.08933693751337364,0.38274280886824097,0.25830119189039263,0.1803438606469822
2017-09,0.25252540696948367,0.24261427918603323,0.26195608559583833,0.08855858543100094,0.23007957686113648,-0.08933693751337364,0.38274280886824097,0.25830119189039263,0.1803438606469822
2017-10,0.25252540696948367,0.24261427918603323,0.26195608559583833,0.08855858543100094,0.23007957686113648,-0.08933693751337364,0.38274280886824097,0.25830119189039263,0.1803438606469822
2017-11,0.25252540696948367,0.24261427918603323,0.26195608559583833,0.08855858543100094,0.23007957686113648,-0.08933693751337364,0.38274280886824097,0.25830119189039263,0.1803438606469822
2017-12,0.25252540696948367,0.24261427918603323,0.26195608559583833,0.08855858543100094,0.23007957686113648,-0.08933693751337364,0.38274280886824097,0.25830119189039263,0.1803438606469822
2018-01,0.48537717447415635,0.47739549253836766,0.49329874410574415,0.028006608846771586,0.5032838289878028,0.7557676009495953,0.4746242750579006,0.42097028786282814,0.5471841599990097
2018-02,0.48537717447415635,0.47739549253836766,0.49329874410574415,0.028006608846771586,0.5032838289878028,0.7557676009495953,0.4746242750579006,0.42097028786282814,0.5471841599990097
2018-03,0.48537717447415635,0.47739549253836766,0.49329874410574415,0.028006608846771586,0.5032838289878028,0.7557676009495953,0.4746242750579006,0.42097028786282814,0.5471841599990097
2018-04,0.48537717447415635,0.47739549253836766,0.49329874410574415,0.028006608846771586,0.5032838289878028,0.7557676009495953,0.4746242750579006,0.42097028786282814,0.5471841599990097
2018-05,0.48537717447415635,0.47739549253836766,0.49329874410574415,0.028006608846771586,0.5032838289878028,0.7557676009495953,0.4746242750579006,0.42097028786282814,0.5471841599990097
2018-06,0.48537717447415635,0.47739549253836766,0.49329874410574415,0.028006608846771586,0.5032838289878028,0.7557676009495953,0.4746242750579006,0.42097028786282814,0.5471841599990097
2018-07,0.48537717447415635,0.47739549253836766,0.49329874410574415,0.028006608846771586,0.5032838289878028,0.7557676009495953,0.4746242750579006,0.42097028786282814,0.5471841599990097
2018-08,0.48537717447415635,0.47739549253836766,0.49329874410574415,0.028006608846771586,0.5032838289878028,0.7557676009495953,0.4746242750579006,0.42097028786282814,0.5471841599990097
2018-09,0.48537717447415635,0.47739549253836766,0.49329874410574415,0.028006608846771586,0.5032838289878028,0.7557676009495953,0.4746242750579006,0.42097028786282814,0.5471841599990097
2018-10,0.48537717447415635,0.47739549253836766,0.49329874410574415,0.028006608846771586,0.5032838289878028,0.7557676009495953,0.4746242750579006,0.42097028786282814,0.5471841599990097
2018-11,0.48537717447415635,0.47739549253836766,0.49329874410574415,0.028006608846771586,0.5032838289878028,0.7557676009495953,0.4746242750579006,0.42097028786282814,0.5471841599990097
2018-12,0.48537717447415635,0.47739549253836766,0.49329874410574415,0.028006608846771586,0.5032838289878028,0.7557676009495953,0.4746242750579006,0.42097028786282814,0.5471841599990097
2019-01,0.8053399177718206,0.7974681667610753,0.8133255227759991,0.7278231681602484,0.8202792107770019,1.1836133408280098,0.794008218045236,0.7393822843457698,0.8495042621414117
2019-02,0.8053399177718206,0.7974681667610753,0.8133255227759991,0.7278231681602484,0.8202792107770019,1.1836133408280098,0.794008218045236,0.7393822843457698,0.8495042621414117
2019-03,0.8053399177718206,0.7974681667610753,0.8133255227759991,0.7278231681602484,0.8202792107770019,1.1836133408280098,0.794008218045236,0.7393822843457698,0.8495042621414117
2019-04,0.8053399177718206,0.7974681667610753,0.8133255227759991,0.7278231681602484,0.8202792107770019,1.1836133408280098,0.794008218045236,0.7393822843457698,0.8495042621414117
2019-05,0.8053399177718206,0.7974681667610753,0.8133255227759991,0.7278231681602484,0.8202792107770019,1.1836133408280098,0.794008218045236,0.7393822843457698,0.8495042621414117
2019-06,0.8053399177718206,0.7974681667610753,0.8133255227759991,0.7278231681602484,0.8202792107770019,1.1836133408280098,0.794008218045236,0.7393822843457698,0.8495042621414117
2019-07,0.8053399177718206,0.7974681667610753,0.8133255227759991,0.7278231681602484,0.8202792107770019,1.1836133408280098,0.794008218045236,0.7393822843457698,0.8495042621414117
2019-08,0.8053399177718206,0.7974681667610753,0.8133255227759991,0.7278231681602484,0.8202792107770019,1.1836133408280098,0.794008218045236,0.7393822843457698,0.8495042621414117
2019-09,0.8053399177718206,0.7974681667610753,0.8133255227759991,0.7278231681602484,0.8202792107770019,1.1836133408280098,0.794008218045236,0.7393822843457698,0.8495042621414117
2019-10,0.8053399177718206,0.7974681667610753,0.8133255227759991,0.7278231681602484,0.8202792107770019,1.1836133408280098,0.794008218045236,0.7393822843457698,0.8495042621414117
2019-11,0.8053399177718206,0.7974681667610753,0.8133255227759991,0.7278231681602484,0.8202792107770019,1.1836133408280098,0.794008218045236,0.7393822843457698,0.8495042621414117
2019-12,0.8053399177718206,0.7974681667610753,0.8133255227759991,0.7278231681602484,0.8202792107770019,1.1836133408280098,0.794008218045236,0.7393822843457698,0.8495042621414117
