,1y,1m,2m,3m,3m_average,diff1-2,diff2-3,month_sin,month_cos
2010-01,-1.3877787807814457e-17,0.0,-3.469446951953614e-18,-3.469446951953614e-17,-0.6553457127839691,-0.02572318312429707,-0.025617179140502284,0.6812594871986655,1.2107528277522954
2010-02,-1.3877787807814457e-17,0.0,-3.469446951953614e-18,-3.469446951953614e-17,-0.6553457127839691,-0.02572318312429707,-0.025617179140502284,1.1855080170264962,0.7133708190395334
2010-03,-1.3877787807814457e-17,0.0,-3.469446951953614e-18,-3.469446951953614e-17,-0.6553457127839691,-0.02572318312429707,-0.025617179140502284,1.3687636129463088,0.015778040288952595
2010-04,-1.3877787807814457e-17,0.0,-3.469446951953614e-18,-3.469446951953614e-17,-0.6553457127839691,-0.02572318312429707,-0.025617179140502284,1.1855080170264976,-0.7053820354007986
2010-05,-1.3877787807814457e-17,0.0,-3.469446951953614e-18,-3.469446951953614e-17,-0.6553457127839691,-0.02572318312429707,-0.025617179140502284,0.6812594871986655,-1.2502707088908618
2010-06,3.8163916471489756e-17,0.0,-3.469446951953614e-18,-3.469446951953614e-17,-0.6553457127839691,-0.02572318312429707,-0.025617179140502284,-0.016654033921809603,-1.453675654900248
2010-07,6.245004513516506e-17,0.0,-3.469446951953614e-18,-3.469446951953614e-17,-0.6553457127839691,-0.02572318312429707,-0.025617179140502284,-0.7262037136073767,-1.2502707088908604
2010-08,-1.3877787807814457e-17,0.0,-3.469446951953614e-18,-3.469446951953614e-17,-0.6553457127839691,-0.02572318312429707,-0.025617179140502284,-1.2538736295058936,-0.7053820354007986
2010-09,-1.3877787807814457e-17,0.0,-3.469446951953614e-18,-3.469446951953614e-17,-0.6553457127839691,-0.02572318312429707,-0.025617179140502284,-1.4489158007263132,0.015778040288952595
2010-10,-1.3877787807814457e-17,0.0,-3.469446951953614e-18,-3.469446951953614e-17,-0.6553457127839691,-0.02572318312429707,-0.025617179140502284,-1.2538736295058936,0.7133708190395334
2010-11,-1.3877787807814457e-17,0.0,-3.469446951953614e-18,-3.469446951953614e-17,-0.6553457127839691,-0.02572318312429707,-0.025617179140502284,-0.7262037136073767,1.2107528277522928
2010-12,-1.3877787807814457e-17,0.0,-3.469446951953614e-18,-3.469446951953614e-17,-0.6553457127839691,-0.02572318312429707,-0.025617179140502284,-0.016654033921809603,1.3902147191927885
2011-01,-1.3877787807814457e-17,0.0,-3.469446951953614e-18,-3.469446951953614e-17,-0.6553457127839691,-0.02572318312429707,-0.025617179140502284,0.6812594871986655,1.2107528277522954
2011-02,-1.3877787807814457e-17,0.0,-3.469446951953614e-18,-3.469446951953614e-17,-0.6553457127839691,-0.02572318312429707,-0.025617179140502284,1.1855080170264962,0.7133708190395334
2011-03,-1.3877787807814457e-17,0.0,-3.469446951953614e-18,-3.469446951953614e-17,-0.6553457127839691,-0.02572318312429707,-0.025617179140502284,1.3687636129463088,0.015778040288952595
2011-04,-1.3877787807814457e-17,0.0,-3.469446951953614e-18,-3.469446951953614e-17,-0.6553457127839691,-0.02572318312429707,-0.025617179140502284,1.1855080170264976,-0.7053820354007986
2011-05,-1.3877787807814457e-17,0.0,-3.469446951953614e-18,-3.469446951953614e-17,-0.6553457127839691,-0.02572318312429707,-0.025617179140502284,0.6812594871986655,-1.2502707088908618
2011-06,-1.3877787807814457e-17,0.0,-3.469446951953614e-18,-3.469446951953614e-17,-0.6553457127839691,-0.02572318312429707,-0.025617179140502284,-0.016654033921809603,-1.453675654900248
2011-07,-1.3877787807814457e-17,0.0,-3.469446951953614e-18,-3.469446951953614e-17,-0.6553457127839691,-0.02572318312429707,-0.025617179140502284,-0.7262037136073767,-1.2502707088908604
2011-08,-1.3877787807814457e-17,0.0,-3.469446951953614e-18,-3.469446951953614e-17,-0.6553457127839691,-0.02572318312429707,-0.025617179140502284,-1.2538736295058936,-0.7053820354007986
2011-09,-1.3877787807814457e-17,0.0,-3.469446951953614e-18,-3.469446951953614e-17,2.08377967030346,3.91931157400073,-0.025617179140502284,-1.4489158007263132,0.015778040288952595
2011-10,-1.3877787807814457e-17,0.0,1.0408340855860843e-17,-3.469446951953614e-17,2.1567508217101117,-2.31503055441597,3.919320020136116,-1.2538736295058936,0.7133708190395334
2011-11,-1.3877787807814457e-17,0.0,1.0408340855860843e-17,1.8388068845354155e-16,2.1567508217101117,-1.2037270880632729,-2.3149555353041,-0.7262037136073767,1.2107528277522928
2011-12,-1.3877787807814457e-17,0.0,-3.469446951953614e-18,1.7694179454963432e-16,1.261870122871208,-0.02572318312429707,-1.2036278687399558,-0.016654033921809603,1.3902147191927885
2012-01,-1.3877787807814457e-17,0.0,-3.469446951953614e-18,-3.469446951953614e-17,-0.6553457127839691,-0.02572318312429707,-0.025617179140502284,0.6812594871986655,1.2107528277522954
2012-02,-1.3877787807814457e-17,0.0,-3.469446951953614e-18,-3.469446951953614e-17,-0.6553457127839691,-0.02572318312429707,-0.025617179140502284,1.1855080170264962,0.7133708190395334
2012-03,-1.3877787807814457e-17,0.0,-3.469446951953614e-18,-3.469446951953614e-17,-0.6553457127839691,-0.02572318312429707,-0.025617179140502284,1.3687636129463088,0.015778040288952595
2012-04,-1.3877787807814457e-17,0.0,-3.469446951953614e-18,-3.469446951953614e-17,-0.6553457127839691,-0.02572318312429707,-0.025617179140502284,1.1855080170264976,-0.7053820354007986
2012-05,-1.3877787807814457e-17,0.0,-3.469446951953614e-18,-3.469446951953614e-17,-0.6553457127839691,-0.02572318312429707,-0.025617179140502284,0.6812594871986655,-1.2502707088908618
2012-06,-1.3877787807814457e-17,0.0,-3.469446951953614e-18,-3.469446951953614e-17,-0.6553457127839691,-0.02572318312429707,-0.025617179140502284,-0.016654033921809603,-1.453675654900248
2012-07,-1.3877787807814457e-17,0.0,-3.469446951953614e-18,-3.469446951953614e-17,-0.6553457127839691,-0.02572318312429707,-0.025617179140502284,-0.7262037136073767,-1.2502707088908604
2012-08,6.245004513516506e-17,0.0,-3.469446951953614e-18,-3.469446951953614e-17,0.24079550998500207,0.3819571129339742,-0.025617179140502284,-1.2538736295058936,-0.7053820354007986
2012-09,5.898059818321144e-17,0.0,6.938893903907228e-18,-3.469446951953614e-17,1.261870122871208,0.3819571129339742,0.38206127462351425,-1.4489158007263132,0.015778040288952595
2012-10,-1.3877787807814457e-17,0.0,6.938893903907228e-18,1.1796119636642288e-16,1.7411471970215049,-0.02572318312429707,0.38206127462351425,-1.2538736295058936,0.7133708190395334
2012-11,-1.3877787807814457e-17,0.0,6.938893903907228e-18,1.6306400674181987e-16,1.5455789343064703,-0.8185249030260849,-0.025617179140502284,-0.7262037136073767,1.2107528277522928
2012-12,-1.3877787807814457e-17,0.0,-3.469446951953614e-18,1.6306400674181987e-16,0.8480027009956534,-0.02572318312429707,-0.8184214201110361,-0.016654033921809603,1.3902147191927885
2013-01,-1.3877787807814457e-17,0.0,-3.469446951953614e-18,-3.469446951953614e-17,-0.6553457127839691,-0.02572318312429707,-0.025617179140502284,0.6812594871986655,1.2107528277522954
2013-02,-1.3877787807814457e-17,0.0,-3.469446951953614e-18,-3.469446951953614e-17,-0.6553457127839691,-0.02572318312429707,-0.025617179140502284,1.1855080170264962,0.7133708190395334
2013-03,-1.3877787807814457e-17,0.0,-3.469446951953614e-18,-3.469446951953614e-17,-0.6553457127839691,-0.02572318312429707,-0.025617179140502284,1.3687636129463088,0.015778040288952595
2013-04,-1.3877787807814457e-17,0.0,-3.469446951953614e-18,-3.469446951953614e-17,-0.6553457127839691,-0.02572318312429707,-0.025617179140502284,1.1855080170264976,-0.7053820354007986
