,count,avgTemp,minTemp,maxTemp,precipitation,zindex,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income
2000-01,0.0,54.9,9.5,54.5,3.3,0.88,,,,,,,,,,,,,,,,,
2000-02,0.0,56.0,16.5,59.8,2.88,0.6,,,,,,,,,,,,,,,,,
2000-03,0.0,61.7,27.5,61.3,3.03,-0.88,,,,,,,,,,,,,,,,,
2000-04,0.0,71.1,33.0,72.6,5.16,3.37,,,,,,,,,,,,,,,,,
2000-05,0.0,77.3,45.8,84.0,5.8,2.64,,,,,,,,,,,,,,,,,
2000-06,0.0,87.0,53.4,85.8,5.32,2.57,,,,,,,,,,,,,,,,,
2000-07,3.0,88.5,54.6,89.7,4.34,1.78,,,,,,,,,,,,,,,,,
2000-08,9.0,89.8,55.5,88.1,4.16,1.56,,,,,,,,,,,,,,,,,
2000-09,2.0,83.6,47.7,85.0,3.69,0.83,,,,,,,,,,,,,,,,,
2000-10,0.0,70.2,38.3,66.6,2.34,-0.53,,,,,,,,,,,,,,,,,
2000-11,0.0,57.2,29.0,49.7,2.74,-0.57,,,,,,,,,,,,,,,,,
2000-12,0.0,57.7,11.0,49.3,3.48,0.49,,,,,,,,,,,,,,,,,
2001-01,0.0,52.6,14.5,44.5,1.61,-1.92,,,,,,,,,,,,,,,,,
2001-02,0.0,52.6,15.8,53.4,2.22,-0.61,,,,,,,,,,,,,,,,,
2001-03,0.0,64.3,19.7,58.4,4.92,3.32,,,,,,,,,,,,,,,,,
2001-04,0.0,64.4,32.7,70.8,1.18,-4.19,,,,,,,,,,,,,,,,,
2001-05,0.0,83.8,45.0,79.7,2.94,-1.37,,,,,,,,,,,,,,,,,
2001-06,0.0,86.3,53.7,88.5,4.29,0.7,,,,,,,,,,,,,,,,,
2001-07,1.0,88.8,54.7,89.9,2.4,-1.55,,,,,,,,,,,,,,,,,
