,XGBoost_weather,XGBoost_census,XGBoost_temporal
2010-01,4.3868833e-05,2.4153848,0.13394414
2010-02,4.3868833e-05,2.4153848,0.13394414
2010-03,4.3868833e-05,2.4153848,0.13394414
2010-04,4.3868833e-05,2.4153848,0.13394414
2010-05,4.3868833e-05,2.4153848,0.13394414
2010-06,4.3868833e-05,2.4153848,0.28981543
2010-07,10.999972,2.4153848,3.3766234
2010-08,51.998756,2.4153848,25.750359
2010-09,26.000546,2.4153848,17.111328
2010-10,4.3868833e-05,2.4153848,0.26100314
2010-11,4.3868833e-05,2.4153848,0.25144178
2010-12,4.3868833e-05,2.4153848,0.13394414
2011-01,4.3868833e-05,1.0076923,0.13394414
2011-02,4.3868833e-05,1.0076923,0.13394414
2011-03,4.3868833e-05,1.0076923,0.13394414
2011-04,4.3868833e-05,1.0076923,0.13394414
2011-05,4.3868833e-05,1.0076923,0.13394414
2011-06,4.3868833e-05,1.0076923,0.28981543
2011-07,4.2392978e-05,1.0076923,0.64710003
2011-08,20.000143,1.0076923,9.451049
2011-09,5.9994946,1.0076923,3.1289656
2011-10,0.99992555,1.0076923,0.73899686
2011-11,0.99992555,1.0076923,0.73899686
2011-12,4.3868833e-05,1.0076923,0.13394414
2012-01,4.3868833e-05,1.7692308,0.13394414
2012-02,4.3868833e-05,1.7692308,0.13394414
2012-03,4.3868833e-05,1.7692308,0.13394414
2012-04,4.3868833e-05,1.7692308,0.13394414
2012-05,4.3868833e-05,1.7692308,0.13394414
2012-06,0.99992555,1.7692308,0.28981543
2012-07,4.999789,1.7692308,1.3329728
2012-08,31.999702,1.7692308,25.750359
2012-09,19.998802,1.7692308,17.111328
2012-10,3.0002127,1.7692308,2.6536746
2012-11,4.3868833e-05,1.7692308,0.13888776
2012-12,4.3868833e-05,1.7692308,0.13394414
2013-01,4.3868833e-05,0.7755102,0.13394414
2013-02,4.3868833e-05,0.7755102,0.13394414
2013-03,4.3868833e-05,0.7755102,0.13394414
2013-04,4.3868833e-05,0.7755102,0.13394414
2013-05,4.3868833e-05,0.7755102,0.13394414
2013-06,4.3868833e-05,0.7755102,0.2234
2013-07,1.9995986,0.7755102,0.8001
2013-08,6.0021067,0.7755102,4.4177423
2013-09,6.0002756,0.7755102,4.959043
2013-10,3.9997866,0.7755102,2.6536746
2013-11,4.3868833e-05,0.7755102,0.15560679
2013-12,4.3868833e-05,0.7755102,0.13394414
2014-01,4.3868833e-05,0.7755102,0.13394414
2014-02,4.3868833e-05,0.7755102,0.13394414
2014-03,4.3868833e-05,0.7755102,0.13394414
2014-04,4.3868833e-05,0.7755102,0.13394414
2014-05,4.3868833e-05,0.7755102,0.13394414
2014-06,0.99992555,0.7755102,0.28981543
2014-07,0.00018987544,0.7755102,0.2968
2014-08,8.999429,0.7755102,6.6956
2014-09,9.00061,0.7755102,6.3409185
2014-10,4.3868833e-05,0.7755102,0.45166248
2014-11,4.3868833e-05,0.7755102,0.13888776
2014-12,4.3868833e-05,0.7755102,0.13394414
2015-01,4.3868833e-05,1.3307693,0.13394414
2015-02,4.3868833e-05,1.3307693,0.13394414
2015-03,4.3868833e-05,1.3307693,0.13394414
2015-04,4.3868833e-05,1.3307693,0.13394414
2015-05,4.3868833e-05,1.3307693,0.13394414
2015-06,4.3868833e-05,1.3307693,0.2234
2015-07,1.0000715,1.3307693,1.3329728
2015-08,13.999202,1.3307693,9.3956
2015-09,26.000546,1.3307693,17.111328
2015-10,0.99992555,1.3307693,0.7952
2015-11,4.3868833e-05,1.3307693,0.13888776
2015-12,4.3868833e-05,1.3307693,0.13394414
2016-01,4.3868833e-05,0.82307696,0.13394414
2016-02,4.3868833e-05,0.82307696,0.13394414
2016-03,4.3868833e-05,0.82307696,0.13394414
