year,state,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income,GEO_ID
2009,OH,1410903.0,1666780.0,1890748.0,644059.0,1349986.0,1649105.0,1981254.0,919023.0,11511858.0,5612490.0,5899368.0,9669759.0,1349893.0,21960.0,173463.0,2870.0,4526164.0,
2010,OH,1414239.0,1628016.0,1910555.0,663626.0,1352034.0,1626717.0,1996171.0,921073.0,11512431.0,5616436.0,5895995.0,9598726.0,1391240.0,22785.0,186464.0,2162.0,4552270.0,0400000US39
2011,OH,1402403.0,1620389.0,1925249.0,676472.0,1341773.0,1621059.0,2007803.0,930388.0,11525536.0,5624513.0,5901023.0,9592249.0,1395378.0,21194.0,190485.0,2162.0,4554007.0,0400000US39
2012,OH,1388602.0,1615929.0,1934234.0,691608.0,1329476.0,1614590.0,2016128.0,942994.0,11533561.0,5630373.0,5903188.0,9577732.0,1403238.0,21447.0,196395.0,2164.0,4555709.0,0400000US39
2013,OH,1378975.0,1615651.0,1938040.0,710000.0,1316841.0,1611758.0,2021679.0,956646.0,11549590.0,5642666.0,5906924.0,9569431.0,1402897.0,20709.0,201394.0,2402.0,4557655.0,0400000US39
2014,OH,1367870.0,1617891.0,1936267.0,729549.0,1305791.0,1609669.0,2018293.0,975050.0,11560380.0,5651577.0,5908803.0,9549343.0,1407493.0,21077.0,208725.0,2893.0,4570015.0,0400000US39
2015,OH,1358941.0,1623707.0,1928157.0,752088.0,1297078.0,1610679.0,2010134.0,995193.0,11575977.0,5662893.0,5913084.0,9538328.0,1412045.0,21646.0,216170.0,3060.0,4585084.0,0400000US39
2016,OH,1350800.0,1634471.0,1910887.0,777735.0,1289060.0,1613033.0,1992353.0,1018602.0,11586941.0,5673893.0,5913048.0,9519506.0,1421943.0,21459.0,224520.0,3248.0,4601449.0,0400000US39
2017,OH,1344320.0,1646086.0,1894150.0,801525.0,1282848.0,1622245.0,1975465.0,1043117.0,11609756.0,5686081.0,5923675.0,9503779.0,1428230.0,21872.0,235878.0,3499.0,4633145.0,0400000US39
2018,OH,1339152.0,1660906.0,1878676.0,825233.0,1279016.0,1633555.0,1957713.0,1067628.0,11641879.0,5703967.0,5937912.0,9489832.0,1438271.0,23563.0,249741.0,3591.0,4654075.0,0400000US39
2019,OH,1332687.0,1666668.0,1862811.0,849599.0,1272323.0,1640171.0,1939443.0,1091695.0,11655397.0,5711765.0,5943632.0,9476047.0,1446193.0,22816.0,258199.0,3880.0,4676358.0,0400000US39
2020,OH,1326769.0,1673815.0,1847446.0,873766.0,1267219.0,1645407.0,1923998.0,1116855.0,11675275.0,5721796.0,5953479.0,9394878.0,1442655.0,20442.0,268527.0,3907.0,4717226.0,0400000US39
