,count,avgTemp,minTemp,maxTemp,precipitation,zindex,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income
2000-01,0.0,12.4,28.1,35.6,1.15,-1.05,,,,,,,,,,,,,,,,,
2000-02,0.0,22.1,34.3,44.4,1.53,-1.42,,,,,,,,,,,,,,,,,
2000-03,0.0,35.1,41.6,55.7,4.3,1.39,,,,,,,,,,,,,,,,,
2000-04,0.0,41.6,45.8,60.8,2.57,-0.41,,,,,,,,,,,,,,,,,
2000-05,0.0,55.4,58.3,74.3,4.34,-0.69,,,,,,,,,,,,,,,,,
2000-06,0.0,60.4,64.2,80.3,7.11,3.71,,,,,,,,,,,,,,,,,
2000-07,0.0,69.7,69.1,80.4,2.54,1.1,,,,,,,,,,,,,,,,,
2000-08,0.0,68.4,70.9,80.1,0.12,-2.85,,,,,,,,,,,,,,,,,
2000-09,0.0,57.0,59.6,74.2,1.09,-2.84,,,,,,,,,,,,,,,,,
2000-10,0.0,46.3,53.1,67.6,6.45,3.04,,,,,,,,,,,,,,,,,
2000-11,0.0,21.7,33.2,48.4,3.76,2.65,,,,,,,,,,,,,,,,,
2000-12,0.0,2.8,21.4,29.5,1.97,1.76,,,,,,,,,,,,,,,,,
2001-01,0.0,17.0,25.8,34.8,2.22,2.0,,,,,,,,,,,,,,,,,
2001-02,0.0,5.5,30.3,42.3,4.11,3.76,,,,,,,,,,,,,,,,,
2001-03,0.0,27.1,36.6,44.8,1.52,-0.69,,,,,,,,,,,,,,,,,
2001-04,0.0,42.6,51.2,66.3,1.37,-2.47,,,,,,,,,,,,,,,,,
2001-05,0.0,56.0,57.2,72.9,7.38,1.85,,,,,,,,,,,,,,,,,
2001-06,0.0,62.7,64.7,79.4,2.34,-1.31,,,,,,,,,,,,,,,,,
2001-07,0.0,70.2,73.1,83.2,0.92,-2.67,,,,,,,,,,,,,,,,,
2001-08,0.0,70.3,70.1,83.4,2.32,-1.81,,,,,,,,,,,,,,,,,
2001-09,0.0,58.3,58.8,73.6,3.79,0.38,,,,,,,,,,,,,,,,,
2001-10,0.0,42.2,46.6,64.5,2.21,-0.82,,,,,,,,,,,,,,,,,
2001-11,0.0,37.1,43.2,59.8,1.75,-1.52,,,,,,,,,,,,,,,,,
2001-12,0.0,17.9,30.6,45.3,2.05,-0.58,,,,,,,,,,,,,,,,,
2002-01,0.0,16.9,27.2,42.1,2.16,0.09,,,,,,,,,,,,,,,,,
2002-02,0.0,24.1,28.6,45.0,1.06,-1.35,,,,,,,,,,,,,,,,,
2002-03,0.0,16.3,33.2,49.1,2.7,0.23,,,,,,,,,,,,,,,,,
2002-04,0.0,38.2,50.1,63.7,4.14,0.92,,,,,,,,,,,,,,,,,
2002-05,0.0,48.6,54.9,68.5,3.56,-0.8,,,,,,,,,,,,,,,,,
2002-06,0.0,65.6,66.0,82.8,3.69,-0.06,,,,,,,,,,,,,,,,,
2002-07,1.0,72.1,69.6,87.3,3.48,1.18,,,,,,,,,,,,,,,,,
2002-08,3.0,66.1,69.4,85.7,3.15,0.83,,,,,,,,,,,,,,,,,
2002-09,6.0,59.2,61.1,81.1,2.33,-1.17,,,,,,,,,,,,,,,,,
2002-10,6.0,34.7,47.5,61.0,5.11,2.62,,,,,,,,,,,,,,,,,
2002-11,0.0,29.4,34.9,47.3,0.63,-1.12,,,,,,,,,,,,,,,,,
2002-12,0.0,20.8,30.0,37.3,3.0,1.98,,,,,,,,,,,,,,,,,
2003-01,0.0,10.7,25.2,28.6,0.07,-1.01,,,,,,,,,,,,,,,,,
2003-02,0.0,8.8,27.5,33.0,1.78,0.8,,,,,,,,,,,,,,,,,
2003-03,0.0,22.8,37.0,52.3,2.01,-0.41,,,,,,,,,,,,,,,,,
2003-04,0.0,44.9,47.1,64.0,1.88,-1.51,,,,,,,,,,,,,,,,,
2003-05,0.0,53.3,56.1,69.5,3.71,-1.17,,,,,,,,,,,,,,,,,
2003-06,0.0,62.0,62.2,76.4,5.17,1.76,,,,,,,,,,,,,,,,,
2003-07,6.0,69.9,70.5,82.0,0.91,-0.95,,,,,,,,,,,,,,,,,
2003-08,24.0,72.2,70.0,82.6,4.41,0.93,,,,,,,,,,,,,,,,,
2003-09,20.0,56.8,57.6,73.4,3.08,-0.05,,,,,,,,,,,,,,,,,
2003-10,6.0,47.9,49.5,62.5,1.67,-1.59,,,,,,,,,,,,,,,,,
