,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income
2010-01,3761925.0,1862256.0,1899669.0,3220250.0,66427.0,60612.0,135518.0,12100.0,1499267.0
2010-02,3761925.0,1862256.0,1899669.0,3220250.0,66427.0,60612.0,135518.0,12100.0,1499267.0
2010-03,3761925.0,1862256.0,1899669.0,3220250.0,66427.0,60612.0,135518.0,12100.0,1499267.0
2010-04,3761925.0,1862256.0,1899669.0,3220250.0,66427.0,60612.0,135518.0,12100.0,1499267.0
2010-05,3761925.0,1862256.0,1899669.0,3220250.0,66427.0,60612.0,135518.0,12100.0,1499267.0
2010-06,3761925.0,1862256.0,1899669.0,3220250.0,66427.0,60612.0,135518.0,12100.0,1499267.0
2010-07,3761925.0,1862256.0,1899669.0,3220250.0,66427.0,60612.0,135518.0,12100.0,1499267.0
2010-08,3761925.0,1862256.0,1899669.0,3220250.0,66427.0,60612.0,135518.0,12100.0,1499267.0
2010-09,3761925.0,1862256.0,1899669.0,3220250.0,66427.0,60612.0,135518.0,12100.0,1499267.0
2010-10,3761925.0,1862256.0,1899669.0,3220250.0,66427.0,60612.0,135518.0,12100.0,1499267.0
2010-11,3761925.0,1862256.0,1899669.0,3220250.0,66427.0,60612.0,135518.0,12100.0,1499267.0
2010-12,3761925.0,1862256.0,1899669.0,3220250.0,66427.0,60612.0,135518.0,12100.0,1499267.0
2011-01,3801991.0,1882081.0,1919910.0,3245856.0,68155.0,57114.0,139258.0,13447.0,1509554.0
2011-02,3801991.0,1882081.0,1919910.0,3245856.0,68155.0,57114.0,139258.0,13447.0,1509554.0
2011-03,3801991.0,1882081.0,1919910.0,3245856.0,68155.0,57114.0,139258.0,13447.0,1509554.0
2011-04,3801991.0,1882081.0,1919910.0,3245856.0,68155.0,57114.0,139258.0,13447.0,1509554.0
2011-05,3801991.0,1882081.0,1919910.0,3245856.0,68155.0,57114.0,139258.0,13447.0,1509554.0
2011-06,3801991.0,1882081.0,1919910.0,3245856.0,68155.0,57114.0,139258.0,13447.0,1509554.0
2011-07,3801991.0,1882081.0,1919910.0,3245856.0,68155.0,57114.0,139258.0,13447.0,1509554.0
2011-08,3801991.0,1882081.0,1919910.0,3245856.0,68155.0,57114.0,139258.0,13447.0,1509554.0
2011-09,3801991.0,1882081.0,1919910.0,3245856.0,68155.0,57114.0,139258.0,13447.0,1509554.0
2011-10,3801991.0,1882081.0,1919910.0,3245856.0,68155.0,57114.0,139258.0,13447.0,1509554.0
2011-11,3801991.0,1882081.0,1919910.0,3245856.0,68155.0,57114.0,139258.0,13447.0,1509554.0
2011-12,3801991.0,1882081.0,1919910.0,3245856.0,68155.0,57114.0,139258.0,13447.0,1509554.0
2012-01,3836628.0,1899186.0,1937442.0,3272707.0,69377.0,52637.0,143652.0,14132.0,1512718.0
2012-02,3836628.0,1899186.0,1937442.0,3272707.0,69377.0,52637.0,143652.0,14132.0,1512718.0
2012-03,3836628.0,1899186.0,1937442.0,3272707.0,69377.0,52637.0,143652.0,14132.0,1512718.0
2012-04,3836628.0,1899186.0,1937442.0,3272707.0,69377.0,52637.0,143652.0,14132.0,1512718.0
2012-05,3836628.0,1899186.0,1937442.0,3272707.0,69377.0,52637.0,143652.0,14132.0,1512718.0
2012-06,3836628.0,1899186.0,1937442.0,3272707.0,69377.0,52637.0,143652.0,14132.0,1512718.0
2012-07,3836628.0,1899186.0,1937442.0,3272707.0,69377.0,52637.0,143652.0,14132.0,1512718.0
2012-08,3836628.0,1899186.0,1937442.0,3272707.0,69377.0,52637.0,143652.0,14132.0,1512718.0
2012-09,3836628.0,1899186.0,1937442.0,3272707.0,69377.0,52637.0,143652.0,14132.0,1512718.0
2012-10,3836628.0,1899186.0,1937442.0,3272707.0,69377.0,52637.0,143652.0,14132.0,1512718.0
2012-11,3836628.0,1899186.0,1937442.0,3272707.0,69377.0,52637.0,143652.0,14132.0,1512718.0
2012-12,3836628.0,1899186.0,1937442.0,3272707.0,69377.0,52637.0,143652.0,14132.0,1512718.0
2013-01,3868721.0,1914014.0,1954707.0,3297149.0,70328.0,47411.0,147986.0,14993.0,1516456.0
2013-02,3868721.0,1914014.0,1954707.0,3297149.0,70328.0,47411.0,147986.0,14993.0,1516456.0
2013-03,3868721.0,1914014.0,1954707.0,3297149.0,70328.0,47411.0,147986.0,14993.0,1516456.0
2013-04,3868721.0,1914014.0,1954707.0,3297149.0,70328.0,47411.0,147986.0,14993.0,1516456.0
2013-05,3868721.0,1914014.0,1954707.0,3297149.0,70328.0,47411.0,147986.0,14993.0,1516456.0
2013-06,3868721.0,1914014.0,1954707.0,3297149.0,70328.0,47411.0,147986.0,14993.0,1516456.0
2013-07,3868721.0,1914014.0,1954707.0,3297149.0,70328.0,47411.0,147986.0,14993.0,1516456.0
2013-08,3868721.0,1914014.0,1954707.0,3297149.0,70328.0,47411.0,147986.0,14993.0,1516456.0
2013-09,3868721.0,1914014.0,1954707.0,3297149.0,70328.0,47411.0,147986.0,14993.0,1516456.0
2013-10,3868721.0,1914014.0,1954707.0,3297149.0,70328.0,47411.0,147986.0,14993.0,1516456.0
2013-11,3868721.0,1914014.0,1954707.0,3297149.0,70328.0,47411.0,147986.0,14993.0,1516456.0
2013-12,3868721.0,1914014.0,1954707.0,3297149.0,70328.0,47411.0,147986.0,14993.0,1516456.0
2014-01,3900343.0,1929053.0,1971290.0,3317668.0,70700.0,47155.0,152259.0,14513.0,1522988.0
2014-02,3900343.0,1929053.0,1971290.0,3317668.0,70700.0,47155.0,152259.0,14513.0,1522988.0
2014-03,3900343.0,1929053.0,1971290.0,3317668.0,70700.0,47155.0,152259.0,14513.0,1522988.0
2014-04,3900343.0,1929053.0,1971290.0,3317668.0,70700.0,47155.0,152259.0,14513.0,1522988.0
