,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income
2010-01,-1.6065348324191022,-1.5981390524853047,-1.6143607285116885,-1.579155466266228,-1.6129458005428121,1.7713721910910465,-1.574836214102672,-1.8810968049785906,-1.432489360267655
2010-02,-1.6065348324191022,-1.5981390524853047,-1.6143607285116885,-1.579155466266228,-1.6129458005428121,1.7713721910910465,-1.574836214102672,-1.8810968049785906,-1.432489360267655
2010-03,-1.6065348324191022,-1.5981390524853047,-1.6143607285116885,-1.579155466266228,-1.6129458005428121,1.7713721910910465,-1.574836214102672,-1.8810968049785906,-1.432489360267655
2010-04,-1.6065348324191022,-1.5981390524853047,-1.6143607285116885,-1.579155466266228,-1.6129458005428121,1.7713721910910465,-1.574836214102672,-1.8810968049785906,-1.432489360267655
2010-05,-1.6065348324191022,-1.5981390524853047,-1.6143607285116885,-1.579155466266228,-1.6129458005428121,1.7713721910910465,-1.574836214102672,-1.8810968049785906,-1.432489360267655
2010-06,-1.6065348324191022,-1.5981390524853047,-1.6143607285116885,-1.579155466266228,-1.6129458005428121,1.7713721910910465,-1.574836214102672,-1.8810968049785906,-1.432489360267655
2010-07,-1.6065348324191022,-1.5981390524853047,-1.6143607285116885,-1.579155466266228,-1.6129458005428121,1.7713721910910465,-1.574836214102672,-1.8810968049785906,-1.432489360267655
2010-08,-1.6065348324191022,-1.5981390524853047,-1.6143607285116885,-1.579155466266228,-1.6129458005428121,1.7713721910910465,-1.574836214102672,-1.8810968049785906,-1.432489360267655
2010-09,-1.6065348324191022,-1.5981390524853047,-1.6143607285116885,-1.579155466266228,-1.6129458005428121,1.7713721910910465,-1.574836214102672,-1.8810968049785906,-1.432489360267655
2010-10,-1.6065348324191022,-1.5981390524853047,-1.6143607285116885,-1.579155466266228,-1.6129458005428121,1.7713721910910465,-1.574836214102672,-1.8810968049785906,-1.432489360267655
2010-11,-1.6065348324191022,-1.5981390524853047,-1.6143607285116885,-1.579155466266228,-1.6129458005428121,1.7713721910910465,-1.574836214102672,-1.8810968049785906,-1.432489360267655
2010-12,-1.6065348324191022,-1.5981390524853047,-1.6143607285116885,-1.579155466266228,-1.6129458005428121,1.7713721910910465,-1.574836214102672,-1.8810968049785906,-1.432489360267655
2011-01,-1.3116643161275614,-1.3025188635607157,-1.320627222357974,-1.3751570359665846,-1.2904715938938596,1.6766397229903172,-1.33865113521448,-1.3166158768700271,-1.1311163530348443
2011-02,-1.3116643161275614,-1.3025188635607157,-1.320627222357974,-1.3751570359665846,-1.2904715938938596,1.6766397229903172,-1.33865113521448,-1.3166158768700271,-1.1311163530348443
2011-03,-1.3116643161275614,-1.3025188635607157,-1.320627222357974,-1.3751570359665846,-1.2904715938938596,1.6766397229903172,-1.33865113521448,-1.3166158768700271,-1.1311163530348443
2011-04,-1.3116643161275614,-1.3025188635607157,-1.320627222357974,-1.3751570359665846,-1.2904715938938596,1.6766397229903172,-1.33865113521448,-1.3166158768700271,-1.1311163530348443
2011-05,-1.3116643161275614,-1.3025188635607157,-1.320627222357974,-1.3751570359665846,-1.2904715938938596,1.6766397229903172,-1.33865113521448,-1.3166158768700271,-1.1311163530348443
2011-06,-1.3116643161275614,-1.3025188635607157,-1.320627222357974,-1.3751570359665846,-1.2904715938938596,1.6766397229903172,-1.33865113521448,-1.3166158768700271,-1.1311163530348443
2011-07,-1.3116643161275614,-1.3025188635607157,-1.320627222357974,-1.3751570359665846,-1.2904715938938596,1.6766397229903172,-1.33865113521448,-1.3166158768700271,-1.1311163530348443
2011-08,-1.3116643161275614,-1.3025188635607157,-1.320627222357974,-1.3751570359665846,-1.2904715938938596,1.6766397229903172,-1.33865113521448,-1.3166158768700271,-1.1311163530348443
2011-09,-1.3116643161275614,-1.3025188635607157,-1.320627222357974,-1.3751570359665846,-1.2904715938938596,1.6766397229903172,-1.33865113521448,-1.3166158768700271,-1.1311163530348443
2011-10,-1.3116643161275614,-1.3025188635607157,-1.320627222357974,-1.3751570359665846,-1.2904715938938596,1.6766397229903172,-1.33865113521448,-1.3166158768700271,-1.1311163530348443
2011-11,-1.3116643161275614,-1.3025188635607157,-1.320627222357974,-1.3751570359665846,-1.2904715938938596,1.6766397229903172,-1.33865113521448,-1.3166158768700271,-1.1311163530348443
