year,month,Value
1990,1,34.2
1990,2,32.6
1990,3,41.0
1990,4,49.2
1990,5,48.9
1990,6,57.9
1990,7,67.4
1990,8,65.3
1990,9,62.4
1990,10,46.7
1990,11,38.9
1990,12,24.4
1991,1,31.6
1991,2,41.6
1991,3,37.0
1991,4,42.2
1991,5,47.3
1991,6,53.9
1991,7,66.3
1991,8,66.5
1991,9,61.6
1991,10,50.0
1991,11,39.0
1991,12,34.3
1992,1,35.0
1992,2,40.9
1992,3,44.6
1992,4,48.1
1992,5,57.8
1992,6,61.8
1992,7,64.4
1992,8,66.5
1992,9,57.9
1992,10,50.6
1992,11,36.8
1992,12,28.8
1993,1,26.2
1993,2,29.4
1993,3,40.9
1993,4,43.2
1993,5,54.5
1993,6,55.4
1993,7,57.6
1993,8,61.8
1993,9,59.1
1993,10,50.6
1993,11,33.6
1993,12,33.3
1994,1,36.5
1994,2,33.1
1994,3,42.3
1994,4,46.6
1994,5,53.4
1994,6,57.6
1994,7,68.1
1994,8,65.4
1994,9,61.3
1994,10,46.9
1994,11,31.7
1994,12,31.3
1995,1,35.1
1995,2,40.9
1995,3,38.9
1995,4,42.6
1995,5,51.6
1995,6,56.2
1995,7,64.5
1995,8,62.0
1995,9,60.6
1995,10,47.0
1995,11,43.3
1995,12,34.2
1996,1,33.2
1996,2,35.1
1996,3,40.6
1996,4,45.3
1996,5,48.3
1996,6,57.8
1996,7,68.2
1996,8,66.0
1996,9,55.9
1996,10,47.7
1996,11,39.6
1996,12,34.0
1997,1,32.7
1997,2,35.1
1997,3,40.7
1997,4,43.0
1997,5,55.7
1997,6,56.6
1997,7,64.0
1997,8,66.2
1997,9,59.1
1997,10,46.9
1997,11,40.8
1997,12,32.3
1998,1,35.4
1998,2,35.8
1998,3,39.9
1998,4,44.2
1998,5,48.1
1998,6,56.6
1998,7,68.8
1998,8,67.5
1998,9,62.0
1998,10,46.8
1998,11,38.5
1998,12,30.1
1999,1,34.5
1999,2,33.3
1999,3,37.4
1999,4,42.0
1999,5,48.1
1999,6,56.3
1999,7,63.5
1999,8,64.9
1999,9,58.6
1999,10,50.3
1999,11,43.1
1999,12,34.3
2000,1,32.4
2000,2,37.3
2000,3,38.6
2000,4,47.8
2000,5,51.2
2000,6,60.2
2000,7,64.7
2000,8,65.4
2000,9,57.2
2000,10,47.5
2000,11,33.8
2000,12,33.5
2001,1,32.1
2001,2,33.1
2001,3,41.3
2001,4,41.8
2001,5,55.0
2001,6,56.5
2001,7,64.4
2001,8,67.6
2001,9,60.8
2001,10,49.0
2001,11,40.0
2001,12,31.8
2002,1,31.8
2002,2,35.4
2002,3,37.0
2002,4,45.0
2002,5,50.2
2002,6,59.9
2002,7,68.6
2002,8,63.2
2002,9,58.8
2002,10,46.5
2002,11,40.7
2002,12,35.4
2003,1,39.0
2003,2,35.0
2003,3,41.5
2003,4,41.8
2003,5,51.2
2003,6,61.2
2003,7,70.1
2003,8,66.6
2003,9,61.0
2003,10,52.1
2003,11,34.9
2003,12,34.1
2004,1,32.0
2004,2,34.8
2004,3,44.2
2004,4,47.2
2004,5,51.0
2004,6,59.5
2004,7,67.7
2004,8,66.6
2004,9,56.3
2004,10,48.3
2004,11,38.3
2004,12,35.5
2005,1,33.8
2005,2,36.6
2005,3,42.3
2005,4,44.0
2005,5,52.1
2005,6,55.0
2005,7,67.4
2005,8,66.9
2005,9,56.3
2005,10,48.9
2005,11,37.5
2005,12,31.7
2006,1,35.0
2006,2,33.8
2006,3,36.4
2006,4,44.6
2006,5,53.2
2006,6,60.9
2006,7,69.3
2006,8,64.3
2006,9,59.1
2006,10,47.6
2006,11,38.3
2006,12,32.9
2007,1,30.2
2007,2,36.5
2007,3,43.5
2007,4,44.7
2007,5,53.1
2007,6,58.6
2007,7,69.6
2007,8,64.8
2007,9,56.6
2007,10,46.2
2007,11,39.1
2007,12,30.5
2008,1,28.5
2008,2,35.8
2008,3,36.5
2008,4,40.3
2008,5,51.6
2008,6,56.6
2008,7,66.3
2008,8,65.2
2008,9,59.4
2008,10,48.8
2008,11,42.4
2008,12,30.2
2009,1,34.2
2009,2,35.0
2009,3,36.4
2009,4,43.4
2009,5,53.2
2009,6,58.4
2009,7,68.0
2009,8,65.3
2009,9,61.4
2009,10,45.1
2009,11,38.2
2009,12,28.5
2010,1,36.9
2010,2,37.6
2010,3,39.5
2010,4,42.0
2010,5,46.4
2010,6,55.6
2010,7,65.3
2010,8,63.5
2010,9,58.5
2010,10,50.0
2010,11,36.7
2010,12,33.4
2011,1,33.9
2011,2,32.6
2011,3,37.9
2011,4,39.5
2011,5,46.5
2011,6,54.9
2011,7,62.7
2011,8,66.1
2011,9,62.6
2011,10,49.0
2011,11,37.0
2011,12,32.6
2012,1,34.4
2012,2,34.6
2012,3,38.3
2012,4,45.9
2012,5,50.8
2012,6,55.5
2012,7,66.3
2012,8,67.7
2012,9,61.8
2012,10,48.8
2012,11,40.6
2012,12,31.5
2013,1,29.7
2013,2,35.1
2013,3,40.9
2013,4,44.6
2013,5,52.5
2013,6,59.4
2013,7,69.4
2013,8,66.5
2013,9,58.3
2013,10,46.2
2013,11,39.4
2013,12,29.7
2014,1,36.7
2014,2,35.3
2014,3,41.8
2014,4,45.8
2014,5,53.3
2014,6,58.1
2014,7,70.0
2014,8,66.6
2014,9,60.8
2014,10,52.9
2014,11,38.2
2014,12,36.0
2015,1,38.1
2015,2,41.7
2015,3,45.7
2015,4,44.7
2015,5,53.5
2015,6,65.6
2015,7,67.5
2015,8,66.9
2015,9,58.1
2015,10,54.3
2015,11,35.8
2015,12,32.4
2016,1,33.1
2016,2,40.2
2016,3,41.2
2016,4,50.1
2016,5,53.2
2016,6,60.5
2016,7,64.4
2016,8,66.7
2016,9,57.1
2016,10,48.1
2016,11,43.2
2016,12,27.4
2017,1,26.7
2017,2,34.8
2017,3,41.6
2017,4,42.9
2017,5,52.9
2017,6,59.9
2017,7,69.2
2017,8,69.6
2017,9,59.6
2017,10,47.0
2017,11,39.3
2017,12,32.9
2018,1,37.5
2018,2,33.2
2018,3,38.4
2018,4,45.0
2018,5,55.4
2018,6,58.5
2018,7,69.0
2018,8,66.5
2018,9,57.4
2018,10,48.8
2018,11,39.3
2018,12,32.3
2019,1,35.3
2019,2,28.8
2019,3,37.3
2019,4,46.1
2019,5,52.7
2019,6,59.0
2019,7,64.9
2019,8,67.1
2019,9,56.6
2019,10,43.2
2019,11,40.5
2019,12,34.2
2020,1,34.9
2020,2,35.8
2020,3,38.8
2020,4,46.3
2020,5,52.6
2020,6,57.9
2020,7,66.0
2020,8,67.2
2020,9,62.6
2020,10,51.3
2020,11,38.3
2020,12,34.2
2021,1,34.8
2021,2,33.6
2021,3,39.0
2021,4,46.6
2021,5,52.0
2021,6,65.2
2021,7,71.4
2021,8,66.4
2021,9,59.4
2021,10,47.6
2021,11,41.9
2021,12,32.4
2022,1,34.8
2022,2,35.8
2022,3,41.8
2022,4,40.2
2022,5,47.7
2022,6,58.1
2022,7,69.6
2022,8,70.6
2022,9,62.6
2022,10,54.4
2022,11,33.2
2022,12,30.3
