year,month,Value
1990,1,42.2
1990,2,44.3
1990,3,51.2
1990,4,60.2
1990,5,65.9
1990,6,77.5
1990,7,80.4
1990,8,78.1
1990,9,71.0
1990,10,64.4
1990,11,53.8
1990,12,43.2
1991,1,35.0
1991,2,41.1
1991,3,49.2
1991,4,60.9
1991,5,77.2
1991,6,81.6
1991,7,83.9
1991,8,82.8
1991,9,73.3
1991,10,64.4
1991,11,48.0
1991,12,41.4
1992,1,36.2
1992,2,39.3
1992,3,43.9
1992,4,57.2
1992,5,68.0
1992,6,74.7
1992,7,78.6
1992,8,76.1
1992,9,71.3
1992,10,58.4
1992,11,47.0
1992,12,37.2
1993,1,37.4
1993,2,33.4
1993,3,41.9
1993,4,58.9
1993,5,71.8
1993,6,77.8
1993,7,83.8
1993,8,81.9
1993,9,70.3
1993,10,59.7
1993,11,48.8
1993,12,36.2
1994,1,26.4
1994,2,34.4
1994,3,42.6
1994,4,63.4
1994,5,66.2
1994,6,81.1
1994,7,82.5
1994,8,77.0
1994,9,71.0
1994,10,62.1
1994,11,54.7
1994,12,43.4
1995,1,36.8
1995,2,33.4
1995,3,51.0
1995,4,56.8
1995,5,67.9
1995,6,78.6
1995,7,82.9
1995,8,84.7
1995,9,73.0
1995,10,65.8
1995,11,42.9
1995,12,31.9
1996,1,32.5
1996,2,35.4
1996,3,42.0
1996,4,59.0
1996,5,66.6
1996,6,78.8
1996,7,78.6
1996,8,79.8
1996,9,71.0
1996,10,61.7
1996,11,42.8
1996,12,40.8
1997,1,33.6
1997,2,42.3
1997,3,47.3
1997,4,56.5
1997,5,64.8
1997,6,77.7
1997,7,81.6
1997,8,77.9
1997,9,71.4
1997,10,62.2
1997,11,44.4
1997,12,38.8
1998,1,41.2
1998,2,43.6
1998,3,48.8
1998,4,61.5
1998,5,73.7
1998,6,75.4
1998,7,80.9
1998,8,81.9
1998,9,77.1
1998,10,62.3
1998,11,51.2
1998,12,45.3
1999,1,36.1
1999,2,41.2
1999,3,44.2
1999,4,60.6
1999,5,72.6
1999,6,79.6
1999,7,86.3
1999,8,80.3
1999,9,74.1
1999,10,61.3
1999,11,54.9
1999,12,40.4
2000,1,34.6
2000,2,41.2
2000,3,53.9
2000,4,58.5
2000,5,71.9
2000,6,77.7
2000,7,77.6
2000,8,77.3
2000,9,71.8
2000,10,64.2
2000,11,46.5
2000,12,30.5
2001,1,33.7
2001,2,40.1
2001,3,41.7
2001,4,61.4
2001,5,71.0
2001,6,78.3
2001,7,79.8
2001,8,83.1
2001,9,72.4
2001,10,63.7
2001,11,57.3
2001,12,44.6
2002,1,41.0
2002,2,44.4
2002,3,48.8
2002,4,61.8
2002,5,67.5
2002,6,79.4
2002,7,84.4
2002,8,84.2
2002,9,77.4
2002,10,58.2
2002,11,46.5
2002,12,35.3
2003,1,27.8
2003,2,31.8
2003,3,48.8
2003,4,59.6
2003,5,66.0
2003,6,73.8
2003,7,80.5
2003,8,81.1
2003,9,71.2
2003,10,59.5
2003,11,54.2
2003,12,38.3
2004,1,27.7
2004,2,37.1
2004,3,49.2
2004,4,59.0
2004,5,75.4
2004,6,75.6
2004,7,78.8
2004,8,77.8
2004,9,74.4
2004,10,60.4
2004,11,52.0
2004,12,39.2
2005,1,34.4
2005,2,39.3
2005,3,41.4
2005,4,62.9
2005,5,66.2
2005,6,81.4
2005,7,84.0
2005,8,83.0
2005,9,78.3
2005,10,61.3
2005,11,53.8
2005,12,33.6
2006,1,43.8
2006,2,38.2
2006,3,46.8
2006,4,63.8
2006,5,69.7
2006,6,77.0
2006,7,82.8
2006,8,81.5
2006,9,69.0
2006,10,59.1
2006,11,52.9
2006,12,46.4
2007,1,39.3
2007,2,28.3
2007,3,48.7
2007,4,54.8
2007,5,74.7
2007,6,80.6
2007,7,80.8
2007,8,81.5
2007,9,77.0
2007,10,68.9
2007,11,48.1
2007,12,38.1
2008,1,37.2
2008,2,36.4
2008,3,45.3
2008,4,63.8
2008,5,66.5
2008,6,80.4
2008,7,82.3
2008,8,78.8
2008,9,74.8
2008,10,60.4
2008,11,46.8
2008,12,39.1
2009,1,28.8
2009,2,39.2
2009,3,49.4
2009,4,61.5
2009,5,70.0
2009,6,75.4
2009,7,77.4
2009,8,80.2
2009,9,71.2
2009,10,57.7
2009,11,53.9
2009,12,36.1
2010,1,32.6
2010,2,32.8
2010,3,52.7
2010,4,66.4
2010,5,72.3
2010,6,80.3
2010,7,85.4
2010,8,81.6
2010,9,75.6
2010,10,62.3
2010,11,50.6
2010,12,31.7
2011,1,30.0
2011,2,38.8
2011,3,46.2
2011,4,59.6
2011,5,71.6
2011,6,79.3
2011,7,86.8
2011,8,80.2
2011,9,72.7
2011,10,60.1
2011,11,55.4
2011,12,43.2
2012,1,38.8
2012,2,42.7
2012,3,59.7
2012,4,60.1
2012,5,75.6
2012,6,78.4
2012,7,85.7
2012,8,81.1
2012,9,73.0
2012,10,61.7
2012,11,46.6
2012,12,42.8
2013,1,36.8
2013,2,34.9
2013,3,41.5
2013,4,60.5
2013,5,71.3
2013,6,78.1
2013,7,82.6
2013,8,78.5
2013,9,73.2
2013,10,63.8
2013,11,46.4
2013,12,38.5
2014,1,29.2
2014,2,32.4
2014,3,41.0
2014,4,60.3
2014,5,70.8
2014,6,78.8
2014,7,79.9
2014,8,78.0
2014,9,73.8
2014,10,62.7
2014,11,45.1
2014,12,40.1
2015,1,30.9
2015,2,26.8
2015,3,42.1
2015,4,60.5
2015,5,76.2
2015,6,77.0
2015,7,81.3
