year,month,Value
1990,1,26.3
1990,2,23.5
1990,3,29.1
1990,4,37.4
1990,5,44.5
1990,6,54.5
1990,7,59.4
1990,8,58.3
1990,9,50.5
1990,10,42.7
1990,11,32.5
1990,12,25.6
1991,1,18.2
1991,2,23.7
1991,3,29.7
1991,4,39.2
1991,5,51.5
1991,6,55.2
1991,7,60.1
1991,8,58.7
1991,9,48.5
1991,10,39.5
1991,11,30.5
1991,12,24.0
1992,1,20.2
1992,2,22.5
1992,3,25.0
1992,4,36.4
1992,5,43.6
1992,6,51.5
1992,7,59.5
1992,8,54.6
1992,9,50.0
1992,10,35.6
1992,11,33.4
1992,12,23.3
1993,1,23.4
1993,2,13.7
1993,3,23.8
1993,4,35.9
1993,5,45.6
1993,6,53.8
1993,7,60.8
1993,8,58.5
1993,9,50.9
1993,10,37.3
1993,11,30.8
1993,12,21.4
1994,1,9.2
1994,2,13.8
1994,3,24.9
1994,4,37.5
1994,5,41.5
1994,6,56.6
1994,7,61.7
1994,8,55.9
1994,9,49.6
1994,10,36.4
1994,11,34.1
1994,12,25.7
1995,1,22.7
1995,2,14.5
1995,3,28.4
1995,4,33.3
1995,5,44.9
1995,6,56.6
1995,7,61.4
1995,8,60.1
1995,9,47.8
1995,10,41.9
1995,11,27.8
1995,12,18.3
1996,1,14.8
1996,2,18.6
1996,3,21.5
1996,4,35.2
1996,5,44.6
1996,6,56.9
1996,7,57.6
1996,8,57.5
1996,9,52.7
1996,10,39.3
1996,11,27.5
1996,12,27.2
1997,1,16.6
1997,2,23.7
1997,3,27.9
1997,4,32.7
1997,5,40.5
1997,6,54.0
1997,7,57.4
1997,8,55.7
1997,9,49.4
1997,10,38.8
1997,11,30.2
1997,12,25.4
1998,1,27.5
1998,2,28.0
1998,3,30.4
1998,4,37.5
1998,5,51.0
1998,6,55.8
1998,7,58.2
1998,8,58.6
1998,9,52.2
1998,10,41.3
1998,11,31.8
1998,12,26.7
1999,1,18.0
1999,2,22.3
1999,3,24.1
1999,4,36.6
1999,5,46.1
1999,6,55.0
1999,7,61.8
1999,8,56.7
1999,9,51.6
1999,10,37.4
1999,11,34.7
1999,12,24.4
2000,1,16.6
2000,2,22.0
2000,3,31.2
2000,4,36.5
2000,5,48.0
2000,6,56.8
2000,7,56.2
2000,8,57.2
2000,9,49.4
2000,10,39.9
2000,11,30.1
2000,12,14.3
2001,1,18.5
2001,2,22.9
2001,3,25.0
2001,4,37.1
2001,5,46.2
2001,6,55.3
2001,7,55.8
2001,8,60.2
2001,9,48.4
2001,10,39.7
2001,11,34.2
2001,12,28.3
2002,1,24.9
2002,2,23.4
2002,3,27.7
2002,4,38.1
2002,5,42.4
2002,6,56.4
2002,7,60.6
2002,8,59.5
2002,9,52.4
2002,10,40.5
2002,11,31.8
2002,12,20.3
2003,1,13.4
2003,2,15.8
2003,3,25.6
2003,4,35.9
2003,5,46.3
2003,6,54.1
2003,7,58.8
2003,8,60.8
2003,9,52.2
2003,10,37.5
2003,11,35.3
2003,12,23.1
2004,1,12.3
2004,2,17.0
2004,3,29.7
2004,4,37.7
2004,5,51.4
2004,6,54.0
2004,7,59.6
2004,8,57.9
2004,9,53.7
2004,10,40.8
2004,11,34.2
2004,12,22.6
2005,1,18.2
2005,2,20.8
2005,3,23.2
2005,4,36.4
2005,5,41.1
2005,6,58.1
2005,7,61.7
2005,8,61.0
2005,9,52.8
2005,10,43.7
2005,11,32.2
2005,12,19.3
2006,1,26.7
2006,2,21.3
2006,3,27.2
2006,4,37.2
2006,5,44.9
2006,6,55.0
2006,7,62.0
2006,8,59.2
2006,9,51.2
2006,10,39.1
2006,11,35.2
2006,12,28.2
2007,1,23.4
2007,2,12.0
2007,3,26.0
2007,4,34.9
2007,5,45.5
2007,6,55.0
2007,7,56.8
2007,8,59.7
2007,9,51.7
2007,10,46.7
2007,11,30.8
2007,12,24.7
2008,1,21.2
2008,2,19.0
2008,3,25.8
2008,4,38.6
2008,5,41.4
2008,6,57.2
2008,7,59.7
2008,8,54.8
2008,9,51.9
2008,10,37.3
