year,state,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income,GEO_ID
2009,PA,1438457.0,1769763.0,2096616.0,780604.0,1374284.0,1749396.0,2176516.0,1130960.0,12516596.0,6085440.0,6431156.0,10482799.0,1300350.0,16740.0,296150.0,3026.0,4893127.0,
2010,PA,1445002.0,1766559.0,2126862.0,800512.0,1376640.0,1757115.0,2213670.0,1126345.0,12612705.0,6138935.0,6473770.0,10460096.0,1347052.0,18205.0,332435.0,3012.0,4940581.0,0400000US42
2011,PA,1435876.0,1775648.0,2144736.0,811689.0,1367479.0,1760434.0,2231993.0,1132884.0,12660739.0,6167949.0,6492790.0,10473096.0,1358759.0,18065.0,341880.0,2785.0,4952566.0,0400000US42
2012,PA,1425072.0,1780577.0,2156721.0,828035.0,1357746.0,1764231.0,2242895.0,1144312.0,12699589.0,6190405.0,6509184.0,10475818.0,1372144.0,19247.0,351626.0,3821.0,4959633.0,0400000US42
2013,PA,1413465.0,1789247.0,2162125.0,846968.0,1346915.0,1767950.0,2246878.0,1157833.0,12731381.0,6211805.0,6519576.0,10467433.0,1385799.0,20258.0,363967.0,3510.0,4958427.0,0400000US42
2014,PA,1402838.0,1798269.0,2161976.0,867722.0,1337382.0,1770644.0,2246062.0,1173836.0,12758729.0,6230805.0,6527924.0,10449680.0,1395718.0,22951.0,377735.0,3740.0,4957736.0,0400000US42
2015,PA,1393673.0,1807182.0,2153282.0,891207.0,1328561.0,1776274.0,2236201.0,1193179.0,12779559.0,6245344.0,6534215.0,10430142.0,1403143.0,23641.0,392595.0,4279.0,4958859.0,0400000US42
2016,PA,1384989.0,1817446.0,2135219.0,917388.0,1319279.0,1778092.0,2215705.0,1215859.0,12783977.0,6255042.0,6528935.0,10402743.0,1410563.0,24947.0,401979.0,4463.0,4961929.0,0400000US42
2017,PA,1376558.0,1823579.0,2117675.0,942348.0,1312359.0,1779475.0,2199837.0,1238674.0,12790505.0,6260160.0,6530345.0,10378174.0,1417611.0,24995.0,417525.0,3665.0,5007442.0,0400000US42
2018,PA,1369681.0,1829303.0,2096127.0,968078.0,1305649.0,1782275.0,2178285.0,1261783.0,12791181.0,6263189.0,6527992.0,10341442.0,1423319.0,24847.0,427892.0,4107.0,5025132.0,0400000US42
2019,PA,1362653.0,1834086.0,2073551.0,994823.0,1299738.0,1785179.0,2154603.0,1286897.0,12791530.0,6265113.0,6526417.0,10300602.0,1430664.0,24691.0,436324.0,4198.0,5053106.0,0400000US42
2020,PA,1356222.0,1832405.0,2058910.0,1021605.0,1293360.0,1785373.0,2133511.0,1313499.0,12794885.0,6269142.0,6525743.0,10155004.0,1419582.0,20798.0,449320.0,4268.0,5106601.0,0400000US42
