,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income
2010-01,-1.7675813903618205,-1.7167742343704993,-1.912894394487626,0.9313484564982866,-1.6831880641013344,-1.4932970839342303,-1.561022084737288,-1.5791170882401775,-1.351329817478478
2010-02,-1.7675813903618205,-1.7167742343704993,-1.912894394487626,0.9313484564982866,-1.6831880641013344,-1.4932970839342303,-1.561022084737288,-1.5791170882401775,-1.351329817478478
2010-03,-1.7675813903618205,-1.7167742343704993,-1.912894394487626,0.9313484564982866,-1.6831880641013344,-1.4932970839342303,-1.561022084737288,-1.5791170882401775,-1.351329817478478
2010-04,-1.7675813903618205,-1.7167742343704993,-1.912894394487626,0.9313484564982866,-1.6831880641013344,-1.4932970839342303,-1.561022084737288,-1.5791170882401775,-1.351329817478478
2010-05,-1.7675813903618205,-1.7167742343704993,-1.912894394487626,0.9313484564982866,-1.6831880641013344,-1.4932970839342303,-1.561022084737288,-1.5791170882401775,-1.351329817478478
2010-06,-1.7675813903618205,-1.7167742343704993,-1.912894394487626,0.9313484564982866,-1.6831880641013344,-1.4932970839342303,-1.561022084737288,-1.5791170882401775,-1.351329817478478
2010-07,-1.7675813903618205,-1.7167742343704993,-1.912894394487626,0.9313484564982866,-1.6831880641013344,-1.4932970839342303,-1.561022084737288,-1.5791170882401775,-1.351329817478478
2010-08,-1.7675813903618205,-1.7167742343704993,-1.912894394487626,0.9313484564982866,-1.6831880641013344,-1.4932970839342303,-1.561022084737288,-1.5791170882401775,-1.351329817478478
2010-09,-1.7675813903618205,-1.7167742343704993,-1.912894394487626,0.9313484564982866,-1.6831880641013344,-1.4932970839342303,-1.561022084737288,-1.5791170882401775,-1.351329817478478
2010-10,-1.7675813903618205,-1.7167742343704993,-1.912894394487626,0.9313484564982866,-1.6831880641013344,-1.4932970839342303,-1.561022084737288,-1.5791170882401775,-1.351329817478478
2010-11,-1.7675813903618205,-1.7167742343704993,-1.912894394487626,0.9313484564982866,-1.6831880641013344,-1.4932970839342303,-1.561022084737288,-1.5791170882401775,-1.351329817478478
2010-12,-1.7675813903618205,-1.7167742343704993,-1.912894394487626,0.9313484564982866,-1.6831880641013344,-1.4932970839342303,-1.561022084737288,-1.5791170882401775,-1.351329817478478
2011-01,-1.6186194848174027,-1.5277028225256817,-1.7459757672667149,1.1056783901427036,-1.5068740653509984,-1.5452598050840631,-1.3712088381694831,-1.7539105028172668,-0.9728842899011351
2011-02,-1.6186194848174027,-1.5277028225256817,-1.7459757672667149,1.1056783901427036,-1.5068740653509984,-1.5452598050840631,-1.3712088381694831,-1.7539105028172668,-0.9728842899011351
2011-03,-1.6186194848174027,-1.5277028225256817,-1.7459757672667149,1.1056783901427036,-1.5068740653509984,-1.5452598050840631,-1.3712088381694831,-1.7539105028172668,-0.9728842899011351
2011-04,-1.6186194848174027,-1.5277028225256817,-1.7459757672667149,1.1056783901427036,-1.5068740653509984,-1.5452598050840631,-1.3712088381694831,-1.7539105028172668,-0.9728842899011351
2011-05,-1.6186194848174027,-1.5277028225256817,-1.7459757672667149,1.1056783901427036,-1.5068740653509984,-1.5452598050840631,-1.3712088381694831,-1.7539105028172668,-0.9728842899011351
2011-06,-1.6186194848174027,-1.5277028225256817,-1.7459757672667149,1.1056783901427036,-1.5068740653509984,-1.5452598050840631,-1.3712088381694831,-1.7539105028172668,-0.9728842899011351
2011-07,-1.6186194848174027,-1.5277028225256817,-1.7459757672667149,1.1056783901427036,-1.5068740653509984,-1.5452598050840631,-1.3712088381694831,-1.7539105028172668,-0.9728842899011351
2011-08,-1.6186194848174027,-1.5277028225256817,-1.7459757672667149,1.1056783901427036,-1.5068740653509984,-1.5452598050840631,-1.3712088381694831,-1.7539105028172668,-0.9728842899011351
2011-09,-1.6186194848174027,-1.5277028225256817,-1.7459757672667149,1.1056783901427036,-1.5068740653509984,-1.5452598050840631,-1.3712088381694831,-1.7539105028172668,-0.9728842899011351
2011-10,-1.6186194848174027,-1.5277028225256817,-1.7459757672667149,1.1056783901427036,-1.5068740653509984,-1.5452598050840631,-1.3712088381694831,-1.7539105028172668,-0.9728842899011351
2011-11,-1.6186194848174027,-1.5277028225256817,-1.7459757672667149,1.1056783901427036,-1.5068740653509984,-1.5452598050840631,-1.3712088381694831,-1.7539105028172668,-0.9728842899011351
2011-12,-1.6186194848174027,-1.5277028225256817,-1.7459757672667149,1.1056783901427036,-1.5068740653509984,-1.5452598050840631,-1.3712088381694831,-1.7539105028172668,-0.9728842899011351
2012-01,-1.3450086713123737,-1.2815044680354355,-1.2505827584594027,1.1433136482401405,-1.2312074787941836,-1.0996426525873595,-1.1698395780564872,-0.37076633132083747,-0.7727759714831793
2012-02,-1.3450086713123737,-1.2815044680354355,-1.2505827584594027,1.1433136482401405,-1.2312074787941836,-1.0996426525873595,-1.1698395780564872,-0.37076633132083747,-0.7727759714831793
2012-03,-1.3450086713123737,-1.2815044680354355,-1.2505827584594027,1.1433136482401405,-1.2312074787941836,-1.0996426525873595,-1.1698395780564872,-0.37076633132083747,-0.7727759714831793
2012-04,-1.3450086713123737,-1.2815044680354355,-1.2505827584594027,1.1433136482401405,-1.2312074787941836,-1.0996426525873595,-1.1698395780564872,-0.37076633132083747,-0.7727759714831793
2012-05,-1.3450086713123737,-1.2815044680354355,-1.2505827584594027,1.1433136482401405,-1.2312074787941836,-1.0996426525873595,-1.1698395780564872,-0.37076633132083747,-0.7727759714831793
2012-06,-1.3450086713123737,-1.2815044680354355,-1.2505827584594027,1.1433136482401405,-1.2312074787941836,-1.0996426525873595,-1.1698395780564872,-0.37076633132083747,-0.7727759714831793
2012-07,-1.3450086713123737,-1.2815044680354355,-1.2505827584594027,1.1433136482401405,-1.2312074787941836,-1.0996426525873595,-1.1698395780564872,-0.37076633132083747,-0.7727759714831793
2012-08,-1.3450086713123737,-1.2815044680354355,-1.2505827584594027,1.1433136482401405,-1.2312074787941836,-1.0996426525873595,-1.1698395780564872,-0.37076633132083747,-0.7727759714831793
2012-09,-1.3450086713123737,-1.2815044680354355,-1.2505827584594027,1.1433136482401405,-1.2312074787941836,-1.0996426525873595,-1.1698395780564872,-0.37076633132083747,-0.7727759714831793
2012-10,-1.3450086713123737,-1.2815044680354355,-1.2505827584594027,1.1433136482401405,-1.2312074787941836,-1.0996426525873595,-1.1698395780564872,-0.37076633132083747,-0.7727759714831793
2012-11,-1.3450086713123737,-1.2815044680354355,-1.2505827584594027,1.1433136482401405,-1.2312074787941836,-1.0996426525873595,-1.1698395780564872,-0.37076633132083747,-0.7727759714831793
2012-12,-1.3450086713123737,-1.2815044680354355,-1.2505827584594027,1.1433136482401405,-1.2312074787941836,-1.0996426525873595,-1.1698395780564872,-0.37076633132083747,-0.7727759714831793
2013-01,-0.9317064616471133,-0.9266597757876313,-0.5282672981345141,1.0286472813969498,-0.8463521841765632,-0.7063914141424075,-0.90690131094241,-0.9692698385189876,-0.8058109736352548
2013-02,-0.9317064616471133,-0.9266597757876313,-0.5282672981345141,1.0286472813969498,-0.8463521841765632,-0.7063914141424075,-0.90690131094241,-0.9692698385189876,-0.8058109736352548
2013-03,-0.9317064616471133,-0.9266597757876313,-0.5282672981345141,1.0286472813969498,-0.8463521841765632,-0.7063914141424075,-0.90690131094241,-0.9692698385189876,-0.8058109736352548
