year,month,Value
1990,1,1.23
1990,2,-0.04
1990,3,-2.44
1990,4,1.27
1990,5,2.89
1990,6,-1.94
1990,7,1.53
1990,8,1.18
1990,9,-0.97
1990,10,2.26
1990,11,-1.79
1990,12,0.85
1991,1,-0.5
1991,2,-1.64
1991,3,1.38
1991,4,-0.35
1991,5,-1.11
1991,6,-2.37
1991,7,-1.44
1991,8,2.48
1991,9,2.67
1991,10,-0.36
1991,11,0.63
1991,12,-0.92
1992,1,0.01
1992,2,-1.4
1992,3,-0.12
1992,4,-1.37
1992,5,-2.28
1992,6,1.04
1992,7,0.86
1992,8,3.4
1992,9,1.67
1992,10,-0.74
1992,11,1.25
1992,12,2.98
1993,1,-1.31
1993,2,1.13
1993,3,2.73
1993,4,0.8
1993,5,-2.82
1993,6,-2.27
1993,7,-1.11
1993,8,-2.93
1993,9,0.07
1993,10,0.14
1993,11,-1.1
1993,12,2.12
1994,1,1.53
1994,2,-0.86
1994,3,3.1
1994,4,-2.26
1994,5,-0.08
1994,6,-1.34
1994,7,-2.12
1994,8,1.61
1994,9,0.47
1994,10,-3.01
1994,11,-0.04
1994,12,0.67
1995,1,-0.35
1995,2,-0.26
1995,3,-1.95
1995,4,-1.23
1995,5,-0.17
1995,6,-0.63
1995,7,-1.65
1995,8,-2.44
1995,9,-0.6
1995,10,2.68
1995,11,1.23
1995,12,-1.24
1996,1,2.12
1996,2,-0.25
1996,3,-1.05
1996,4,2.17
1996,5,-0.2
1996,6,-1.17
1996,7,3.08
1996,8,-0.67
1996,9,2.65
1996,10,4.6
1996,11,-0.99
1996,12,3.07
1997,1,0.16
1997,2,-1.77
1997,3,0.74
1997,4,0.79
1997,5,-0.48
1997,6,-1.7
1997,7,-1.77
1997,8,1.58
1997,9,-2.18
1997,10,-1.81
1997,11,1.02
1997,12,-0.72
1998,1,2.39
1998,2,2.59
1998,3,1.5
1998,4,1.05
1998,5,1.59
1998,6,7.64
1998,7,-0.46
1998,8,-0.5
1998,9,-1.36
1998,10,0.47
1998,11,-1.98
1998,12,-2.54
1999,1,2.93
1999,2,2.13
1999,3,0.47
1999,4,-3.02
1999,5,0.09
1999,6,-3.43
1999,7,-2.52
1999,8,-1.95
1999,9,2.58
1999,10,2.58
1999,11,-1.45
1999,12,-1.26
2000,1,0.09
2000,2,-0.32
2000,3,0.53
2000,4,2.02
2000,5,-0.11
2000,6,1.66
2000,7,1.93
2000,8,0.13
2000,9,0.75
2000,10,-1.91
2000,11,-0.3
2000,12,0.79
2001,1,-1.05
2001,2,-1.03
2001,3,5.82
2001,4,-2.25
2001,5,0.2
2001,6,2.7
2001,7,0.69
2001,8,0.43
2001,9,-0.44
2001,10,-2.26
2001,11,-3.99
2001,12,-2.27
2002,1,-1.29
2002,2,-2.01
2002,3,0.13
2002,4,-0.9
2002,5,2.18
2002,6,0.94
