,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income
2010-01,1056389.0,509859.0,546530.0,866678.0,62082.0,4521.0,30991.0,357.0,410305.0
2010-02,1056389.0,509859.0,546530.0,866678.0,62082.0,4521.0,30991.0,357.0,410305.0
2010-03,1056389.0,509859.0,546530.0,866678.0,62082.0,4521.0,30991.0,357.0,410305.0
2010-04,1056389.0,509859.0,546530.0,866678.0,62082.0,4521.0,30991.0,357.0,410305.0
2010-05,1056389.0,509859.0,546530.0,866678.0,62082.0,4521.0,30991.0,357.0,410305.0
2010-06,1056389.0,509859.0,546530.0,866678.0,62082.0,4521.0,30991.0,357.0,410305.0
2010-07,1056389.0,509859.0,546530.0,866678.0,62082.0,4521.0,30991.0,357.0,410305.0
2010-08,1056389.0,509859.0,546530.0,866678.0,62082.0,4521.0,30991.0,357.0,410305.0
2010-09,1056389.0,509859.0,546530.0,866678.0,62082.0,4521.0,30991.0,357.0,410305.0
2010-10,1056389.0,509859.0,546530.0,866678.0,62082.0,4521.0,30991.0,357.0,410305.0
2010-11,1056389.0,509859.0,546530.0,866678.0,62082.0,4521.0,30991.0,357.0,410305.0
2010-12,1056389.0,509859.0,546530.0,866678.0,62082.0,4521.0,30991.0,357.0,410305.0
2011-01,1053959.0,508799.0,545160.0,863294.0,62682.0,4606.0,31476.0,459.0,410475.0
2011-02,1053959.0,508799.0,545160.0,863294.0,62682.0,4606.0,31476.0,459.0,410475.0
2011-03,1053959.0,508799.0,545160.0,863294.0,62682.0,4606.0,31476.0,459.0,410475.0
2011-04,1053959.0,508799.0,545160.0,863294.0,62682.0,4606.0,31476.0,459.0,410475.0
2011-05,1053959.0,508799.0,545160.0,863294.0,62682.0,4606.0,31476.0,459.0,410475.0
2011-06,1053959.0,508799.0,545160.0,863294.0,62682.0,4606.0,31476.0,459.0,410475.0
2011-07,1053959.0,508799.0,545160.0,863294.0,62682.0,4606.0,31476.0,459.0,410475.0
2011-08,1053959.0,508799.0,545160.0,863294.0,62682.0,4606.0,31476.0,459.0,410475.0
2011-09,1053959.0,508799.0,545160.0,863294.0,62682.0,4606.0,31476.0,459.0,410475.0
2011-10,1053959.0,508799.0,545160.0,863294.0,62682.0,4606.0,31476.0,459.0,410475.0
2011-11,1053959.0,508799.0,545160.0,863294.0,62682.0,4606.0,31476.0,459.0,410475.0
2011-12,1053959.0,508799.0,545160.0,863294.0,62682.0,4606.0,31476.0,459.0,410475.0
2012-01,1052471.0,508521.0,543950.0,859686.0,64711.0,4784.0,31863.0,350.0,410639.0
2012-02,1052471.0,508521.0,543950.0,859686.0,64711.0,4784.0,31863.0,350.0,410639.0
2012-03,1052471.0,508521.0,543950.0,859686.0,64711.0,4784.0,31863.0,350.0,410639.0
2012-04,1052471.0,508521.0,543950.0,859686.0,64711.0,4784.0,31863.0,350.0,410639.0
2012-05,1052471.0,508521.0,543950.0,859686.0,64711.0,4784.0,31863.0,350.0,410639.0
2012-06,1052471.0,508521.0,543950.0,859686.0,64711.0,4784.0,31863.0,350.0,410639.0
2012-07,1052471.0,508521.0,543950.0,859686.0,64711.0,4784.0,31863.0,350.0,410639.0
2012-08,1052471.0,508521.0,543950.0,859686.0,64711.0,4784.0,31863.0,350.0,410639.0
2012-09,1052471.0,508521.0,543950.0,859686.0,64711.0,4784.0,31863.0,350.0,410639.0
2012-10,1052471.0,508521.0,543950.0,859686.0,64711.0,4784.0,31863.0,350.0,410639.0
2012-11,1052471.0,508521.0,543950.0,859686.0,64711.0,4784.0,31863.0,350.0,410639.0
2012-12,1052471.0,508521.0,543950.0,859686.0,64711.0,4784.0,31863.0,350.0,410639.0
2013-01,1051695.0,508455.0,543240.0,855594.0,66569.0,4616.0,32384.0,383.0,410058.0
2013-02,1051695.0,508455.0,543240.0,855594.0,66569.0,4616.0,32384.0,383.0,410058.0
2013-03,1051695.0,508455.0,543240.0,855594.0,66569.0,4616.0,32384.0,383.0,410058.0
2013-04,1051695.0,508455.0,543240.0,855594.0,66569.0,4616.0,32384.0,383.0,410058.0
2013-05,1051695.0,508455.0,543240.0,855594.0,66569.0,4616.0,32384.0,383.0,410058.0
2013-06,1051695.0,508455.0,543240.0,855594.0,66569.0,4616.0,32384.0,383.0,410058.0
