,1y,1m,2m,3m,3m_average,diff1-2,diff2-3,month_sin,month_cos
2010-01,-6.938893903907228e-18,0.0,0.0,-3.469446951953614e-18,-0.4114230663418858,-0.005913881105630407,-0.0058500932230223035,0.6812594871986655,1.2107528277522954
2010-02,-6.938893903907228e-18,0.0,0.0,-3.469446951953614e-18,-0.4114230663418858,-0.005913881105630407,-0.0058500932230223035,1.1855080170264962,0.7133708190395334
2010-03,-6.938893903907228e-18,0.0,0.0,-3.469446951953614e-18,-0.4114230663418858,-0.005913881105630407,-0.0058500932230223035,1.3687636129463088,0.015778040288952595
2010-04,-6.938893903907228e-18,0.0,0.0,-3.469446951953614e-18,-0.4114230663418858,-0.005913881105630407,-0.0058500932230223035,1.1855080170264976,-0.7053820354007986
2010-05,-6.938893903907228e-18,0.0,0.0,-3.469446951953614e-18,-0.4114230663418858,-0.005913881105630407,-0.0058500932230223035,0.6812594871986655,-1.2502707088908618
2010-06,-6.938893903907228e-18,0.0,0.0,-3.469446951953614e-18,-0.4114230663418858,-0.005913881105630407,-0.0058500932230223035,-0.016654033921809603,-1.453675654900248
2010-07,-6.938893903907228e-18,0.0,0.0,-3.469446951953614e-18,-0.4114230663418858,-0.005913881105630407,-0.0058500932230223035,-0.7262037136073767,-1.2502707088908604
2010-08,-6.938893903907228e-18,0.0,0.0,-3.469446951953614e-18,-0.4114230663418858,-0.005913881105630407,-0.0058500932230223035,-1.2538736295058936,-0.7053820354007986
2010-09,-6.938893903907228e-18,0.0,0.0,-3.469446951953614e-18,-0.4114230663418858,-0.005913881105630407,-0.0058500932230223035,-1.4489158007263132,0.015778040288952595
2010-10,-6.938893903907228e-18,0.0,0.0,-3.469446951953614e-18,-0.4114230663418858,-0.005913881105630407,-0.0058500932230223035,-1.2538736295058936,0.7133708190395334
2010-11,-6.938893903907228e-18,0.0,0.0,-3.469446951953614e-18,-0.4114230663418858,-0.005913881105630407,-0.0058500932230223035,-0.7262037136073767,1.2107528277522928
2010-12,-6.938893903907228e-18,0.0,0.0,-3.469446951953614e-18,-0.4114230663418858,-0.005913881105630407,-0.0058500932230223035,-0.016654033921809603,1.3902147191927885
2011-01,-6.938893903907228e-18,0.0,0.0,-3.469446951953614e-18,-0.4114230663418858,-0.005913881105630407,-0.0058500932230223035,0.6812594871986655,1.2107528277522954
2011-02,-6.938893903907228e-18,0.0,0.0,-3.469446951953614e-18,-0.4114230663418858,-0.005913881105630407,-0.0058500932230223035,1.1855080170264962,0.7133708190395334
2011-03,-6.938893903907228e-18,0.0,0.0,-3.469446951953614e-18,-0.4114230663418858,-0.005913881105630407,-0.0058500932230223035,1.3687636129463088,0.015778040288952595
2011-04,-6.938893903907228e-18,0.0,0.0,-3.469446951953614e-18,-0.4114230663418858,-0.005913881105630407,-0.0058500932230223035,1.1855080170264976,-0.7053820354007986
2011-05,-6.938893903907228e-18,0.0,0.0,-3.469446951953614e-18,-0.4114230663418858,-0.005913881105630407,-0.0058500932230223035,0.6812594871986655,-1.2502707088908618
2011-06,-6.938893903907228e-18,0.0,0.0,-3.469446951953614e-18,-0.4114230663418858,-0.005913881105630407,-0.0058500932230223035,-0.016654033921809603,-1.453675654900248
2011-07,-6.938893903907228e-18,0.0,0.0,-3.469446951953614e-18,-0.4114230663418858,-0.005913881105630407,-0.0058500932230223035,-0.7262037136073767,-1.2502707088908604
2011-08,-6.938893903907228e-18,0.0,0.0,-3.469446951953614e-18,-0.4114230663418858,-0.005913881105630407,-0.0058500932230223035,-1.2538736295058936,-0.7053820354007986
2011-09,-6.938893903907228e-18,2.42861286636753e-17,0.0,-3.469446951953614e-18,2.516605906464447,2.506107272645098,-0.0058500932230223035,-1.4489158007263132,0.015778040288952595
2011-10,-6.938893903907228e-18,0.0,0.0,-3.469446951953614e-18,2.516605906464447,-2.4569002434817326,2.5061436347933235,-1.2538736295058936,0.7133708190395334
2011-11,-6.938893903907228e-18,0.0,0.0,3.8163916471489756e-17,2.516605906464447,-0.005913881105630407,-2.456863615257187,-0.7262037136073767,1.2107528277522928
2011-12,-6.938893903907228e-18,0.0,0.0,-3.469446951953614e-18,-0.4114230663418858,-0.005913881105630407,-0.0058500932230223035,-0.016654033921809603,1.3902147191927885
2012-01,-6.938893903907228e-18,0.0,0.0,-3.469446951953614e-18,-0.4114230663418858,-0.005913881105630407,-0.0058500932230223035,0.6812594871986655,1.2107528277522954
2012-02,-6.938893903907228e-18,0.0,0.0,-3.469446951953614e-18,-0.4114230663418858,-0.005913881105630407,-0.0058500932230223035,1.1855080170264962,0.7133708190395334
2012-03,-6.938893903907228e-18,0.0,0.0,-3.469446951953614e-18,-0.4114230663418858,-0.005913881105630407,-0.0058500932230223035,1.3687636129463088,0.015778040288952595
2012-04,-6.938893903907228e-18,0.0,0.0,-3.469446951953614e-18,-0.4114230663418858,-0.005913881105630407,-0.0058500932230223035,1.1855080170264976,-0.7053820354007986
2012-05,-6.938893903907228e-18,0.0,0.0,-3.469446951953614e-18,-0.4114230663418858,-0.005913881105630407,-0.0058500932230223035,0.6812594871986655,-1.2502707088908618
