,count,avgTemp,minTemp,maxTemp,precipitation,zindex
2010-01,0.0,25.7,20.5,36.3,3.29,-0.56
2010-02,0.0,25.8,24.5,38.3,4.76,1.79
2010-03,0.0,42.0,34.9,52.2,14.75,9.98
2010-04,0.0,52.4,40.6,63.4,1.95,-2.91
2010-05,0.0,60.5,49.8,72.0,2.73,-1.46
2010-06,0.0,69.3,59.1,78.6,3.77,-0.09
2010-07,0.0,73.3,64.9,85.0,3.7,0.01
2010-08,0.0,70.8,60.9,80.8,3.2,-1.0
2010-09,0.0,63.6,55.6,75.4,2.94,-1.24
2010-10,0.0,51.4,44.2,62.8,4.36,0.35
2010-11,0.0,40.8,34.8,51.8,3.67,-0.94
2010-12,0.0,25.4,22.6,38.0,4.2,0.28
2011-01,0.0,22.5,16.6,33.8,4.06,0.21
2011-02,0.0,28.6,18.4,39.2,4.56,1.54
2011-03,0.0,36.3,28.9,47.0,2.52,-1.84
2011-04,0.0,49.7,40.6,57.7,5.35,1.02
2011-05,0.0,61.0,50.1,67.7,3.4,-0.52
2011-06,0.0,68.0,56.4,76.0,4.41,1.05
2011-07,0.0,74.3,63.6,84.1,2.73,-0.41
2011-08,1.0,69.4,62.0,80.7,8.16,3.85
2011-09,0.0,64.4,57.6,75.4,6.36,2.92
2011-10,0.0,50.8,46.3,63.5,7.47,4.5
2011-11,0.0,44.9,38.1,57.5,4.52,0.03
2011-12,0.0,35.3,29.9,48.1,3.99,-0.34
2012-01,0.0,30.0,24.5,42.5,3.3,-0.62
2012-02,0.0,34.3,26.2,45.1,1.17,-3.02
2012-03,0.0,47.7,35.8,55.2,1.41,-3.74
2012-04,0.0,47.7,38.8,61.3,3.22,-1.34
2012-05,0.0,63.7,51.9,69.4,4.58,0.46
2012-06,0.0,66.5,56.1,75.3,4.23,0.92
2012-07,0.0,74.1,63.7,83.5,3.78,0.76
2012-08,0.0,69.8,63.0,82.0,4.17,0.26
2012-09,2.0,62.0,53.9,72.7,4.53,0.87
2012-10,0.0,52.2,46.7,64.1,3.93,0.35
2012-11,0.0,37.8,32.7,49.2,0.99,-2.68
2012-12,0.0,35.8,30.2,45.1,5.82,1.46
2013-01,0.0,29.0,22.0,38.9,1.86,-1.98
2013-02,0.0,27.4,23.0,37.5,4.79,1.83
2013-03,0.0,33.8,29.5,44.8,2.49,-1.78
2013-04,0.0,48.7,37.2,58.2,1.8,-2.53
2013-05,0.0,58.9,46.8,70.1,3.58,-0.29
2013-06,0.0,67.4,58.4,77.4,10.19,6.66
2013-07,0.0,72.7,68.4,84.3,2.88,-0.49
2013-08,0.0,67.6,59.5,78.6,3.32,-0.53
2013-09,1.0,61.0,51.5,72.7,3.18,-0.53
2013-10,0.0,53.4,43.5,64.6,0.89,-3.24
2013-11,0.0,37.4,31.8,50.8,3.98,-1.04
2013-12,0.0,30.8,24.9,41.0,4.21,0.05
2014-01,0.0,19.6,16.8,35.4,3.31,-0.54
2014-02,0.0,22.8,18.3,36.2,4.23,1.13
2014-03,0.0,30.3,22.6,42.8,5.91,2.04
2014-04,0.0,47.7,37.1,57.0,4.57,0.46
2014-05,0.0,59.0,47.9,68.0,3.25,-0.56
2014-06,0.0,67.6,55.6,77.1,2.31,-1.08
2014-07,0.0,69.1,63.5,81.1,4.67,1.37
2014-08,0.0,66.9,58.2,79.0,2.54,-1.11
2014-09,0.0,62.5,53.7,75.1,0.86,-2.9
2014-10,0.0,53.0,46.6,64.0,4.44,0.16
2014-11,0.0,36.7,32.4,50.4,5.14,0.44
2014-12,0.0,34.0,30.6,44.3,6.01,1.65
2015-01,0.0,22.5,16.9,34.1,3.71,-0.14
2015-02,0.0,16.1,7.0,28.4,2.67,-0.84
2015-03,0.0,31.6,22.4,41.3,4.15,0.31
2015-04,0.0,48.4,36.8,57.5,2.5,-1.73
2015-05,0.0,63.4,49.4,73.1,1.03,-3.2
2015-06,0.0,67.1,55.2,73.8,5.34,1.48
2015-07,0.0,70.4,62.7,81.9,3.12,-0.28
2015-08,0.0,68.9,62.7,82.4,2.53,-1.69
2015-09,0.0,66.6,56.7,78.6,4.0,-0.53
2015-10,0.0,50.7,42.6,62.2,4.02,0.14
2015-11,0.0,45.5,37.8,56.4,2.59,-2.28
2015-12,0.0,42.3,37.3,53.3,5.22,0.13
2016-01,0.0,25.4,22.8,39.8,3.2,-0.64
2016-02,0.0,30.7,23.1,43.0,5.26,2.35
2016-03,0.0,43.3,33.6,52.3,2.66,-2.19
2016-04,0.0,47.0,36.1,56.4,3.99,-0.05
2016-05,0.0,57.4,47.6,68.2,3.45,-0.34
2016-06,0.0,67.4,56.2,77.6,1.44,-2.01
2016-07,0.0,73.0,63.7,83.9,2.6,-1.43
2016-08,2.0,73.4,63.8,84.1,2.85,-1.98
2016-09,0.0,66.2,57.1,75.7,2.75,-1.77
2016-10,0.0,53.6,44.8,64.6,6.32,2.12
2016-11,0.0,42.6,35.5,54.8,3.21,-1.26
2016-12,0.0,31.2,25.7,42.8,3.53,-0.45
2017-01,0.0,31.8,27.0,41.5,4.84,0.86
2017-02,0.0,36.6,25.6,44.8,2.32,-1.52
2017-03,0.0,35.3,25.4,42.8,3.72,-0.27
2017-04,0.0,53.7,41.8,61.1,6.56,1.99
2017-05,0.0,57.1,47.8,65.2,6.33,2.73
2017-06,0.0,66.8,56.7,76.8,3.75,0.32
2017-07,0.0,71.4,62.1,80.0,3.6,0.74
2017-08,0.0,67.4,59.8,79.7,1.89,-1.74
2017-09,1.0,63.8,57.2,75.5,3.16,-1.08
2017-10,0.0,56.2,49.9,69.2,7.41,2.94
2017-11,0.0,39.2,33.4,52.7,2.75,-1.22
2017-12,0.0,28.0,22.5,37.6,2.78,-1.04
2018-01,0.0,23.1,18.8,36.4,5.79,1.93
2018-02,0.0,34.3,28.9,46.4,5.68,2.48
2018-03,0.0,33.0,29.8,44.7,5.5,1.25
2018-04,0.0,43.2,34.8,53.9,5.4,1.65
2018-05,0.0,64.0,50.7,72.1,2.33,-1.91
2018-06,0.0,66.6,56.2,75.5,2.7,-0.94
2018-07,0.0,71.6,64.1,83.5,2.51,-1.48
2018-08,0.0,72.1,66.5,83.7,4.54,-0.53
2018-09,0.0,66.7,58.9,74.1,7.91,3.05
2018-10,0.0,52.3,43.9,61.4,6.56,3.64
2018-11,0.0,36.7,33.5,48.4,9.6,5.26
2018-12,0.0,33.5,27.0,43.5,4.66,0.53
2019-01,0.0,25.8,20.3,37.8,6.42,2.56
2019-02,0.0,30.2,23.6,39.6,3.51,0.22
2019-03,0.0,34.7,26.8,44.9,3.45,-0.7
2019-04,0.0,50.5,40.0,58.4,7.08,2.83
2019-05,0.0,60.7,47.2,65.5,4.05,0.45
2019-06,0.0,65.8,57.2,75.8,4.8,1.41
2019-07,0.0,73.2,64.9,84.8,4.66,1.63
2019-08,0.0,69.6,61.5,81.0,4.04,0.48
2019-09,0.0,65.1,53.2,74.6,1.63,-1.65
2019-10,0.0,53.7,46.6,62.8,7.05,3.37
2019-11,0.0,36.5,30.7,49.4,3.12,-0.65
2019-12,0.0,32.6,26.0,42.2,7.3,3.06
2020-01,0.0,32.2,27.0,43.6,1.5,-2.54
2020-02,0.0,33.3,27.3,43.5,3.3,-0.31
2020-03,0.0,42.5,33.3,51.8,4.46,-0.34
2020-04,0.0,45.1,35.6,52.5,5.4,1.68
2020-05,0.0,56.0,46.1,67.0,3.17,-0.46
2020-06,0.0,67.2,57.9,78.3,2.84,-0.73
2020-07,0.0,74.9,66.6,84.3,1.73,-2.11
2020-08,0.0,71.6,64.5,83.1,1.78,-3.08
2020-09,0.0,62.1,54.1,74.9,1.17,-3.13
2020-10,0.0,52.2,45.5,63.6,5.81,1.49
2020-11,0.0,44.8,36.8,58.1,5.38,0.31
2020-12,0.0,32.1,27.2,44.1,7.98,3.6
2021-01,0.0,29.4,23.9,38.8,2.29,-1.55
2021-02,0.0,26.6,23.8,38.0,3.64,0.38
2021-03,0.0,40.7,29.2,51.1,2.8,-1.77
2021-04,0.0,49.4,38.5,59.0,3.49,-0.89
2021-05,0.0,57.0,47.2,68.9,5.12,1.33
2021-06,0.0,68.6,59.4,79.7,2.31,-1.42
2021-07,0.0,71.2,63.3,79.2,7.35,4.28
2021-08,0.0,72.6,65.5,81.7,5.26,1.52
2021-09,1.0,64.3,57.8,75.1,7.47,3.83
2021-10,0.0,57.7,50.2,66.7,5.94,2.47
2021-11,0.0,39.0,32.7,53.2,2.21,-1.7
2021-12,0.0,37.6,30.9,46.3,1.97,-2.19
2022-01,0.0,22.5,17.3,36.8,3.44,-0.41
2022-02,0.0,29.7,22.0,42.9,5.97,3.3
2022-03,0.0,39.4,30.6,50.6,3.11,-1.5
2022-04,0.0,47.0,38.6,58.2,3.62,-0.7
2022-05,0.0,60.5,50.4,70.0,1.86,-2.23
2022-06,0.0,67.1,56.2,76.4,3.91,0.14
2022-07,0.0,72.4,64.2,84.7,1.12,-2.78
2022-08,1.0,71.4,65.2,84.7,2.9,-2.3
2022-09,0.0,63.0,54.4,72.8,6.36,1.7
2022-10,0.0,49.4,45.1,63.7,5.35,1.73
2022-11,0.0,42.8,36.7,56.8,3.08,-1.21
2022-12,0.0,30.6,26.9,44.0,6.3,2.05
2023-01,0.0515411824153612,27.215233014254345,23.46369139125773,38.68001472442832,4.291947319979693,0.4334092986013824
2023-02,0.0570240219095102,31.119962812781715,25.911682316739583,40.59788294923593,4.053473456786526,0.2489342710790284
2023-03,0.0608491930342735,39.16564552887207,32.22551827783997,47.552100174215695,4.142751017156376,0.2556563391795769
2023-04,0.0616009747434778,47.92341147111953,39.76151887321362,56.44616877996084,4.1580424509327125,0.2588105113295943
