year,month,Unnamed: 0,fips,state,count,avgTemp,minTemp,maxTemp,precipitation,zindex,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income
2000,1,2000-01,45,,0,26.8,32.9,54.0,5.8,2.37,,,,,,,,,,,,,,,,,
2000,2,2000-02,45,,0,33.0,35.7,63.4,1.62,-2.4,,,,,,,,,,,,,,,,,
2000,3,2000-03,45,,0,42.3,44.5,71.2,4.08,-0.75,,,,,,,,,,,,,,,,,
2000,4,2000-04,45,,0,46.1,47.8,73.0,2.79,-0.38,,,,,,,,,,,,,,,,,
2000,5,2000-05,45,,0,57.2,60.0,86.7,1.21,-3.2,,,,,,,,,,,,,,,,,
2000,6,2000-06,45,,0,66.2,66.5,90.3,3.79,-1.7,,,,,,,,,,,,,,,,,
2000,7,2000-07,45,,0,68.5,68.8,90.8,4.83,-1.18,,,,,,,,,,,,,,,,,
2000,8,2000-08,45,,0,68.7,68.4,89.1,4.1,-1.67,,,,,,,,,,,,,,,,,
2000,9,2000-09,45,,0,62.2,62.6,81.8,7.63,2.96,,,,,,,,,,,,,,,,,
2000,10,2000-10,45,,0,52.3,48.2,77.0,0.02,-2.42,,,,,,,,,,,,,,,,,
2000,11,2000-11,45,,0,42.2,39.6,64.2,3.5,0.84,,,,,,,,,,,,,,,,,
2000,12,2000-12,45,,0,28.1,28.1,49.0,1.87,-1.04,,,,,,,,,,,,,,,,,
2001,1,2001-01,45,,0,28.0,31.4,55.2,2.02,-1.57,,,,,,,,,,,,,,,,,
2001,2,2001-02,45,,0,30.9,39.5,63.1,2.4,-1.72,,,,,,,,,,,,,,,,,
2001,3,2001-03,45,,0,35.3,40.7,63.9,6.38,1.94,,,,,,,,,,,,,,,,,
2001,4,2001-04,45,,0,47.5,50.4,76.6,0.96,-2.8,,,,,,,,,,,,,,,,,
2001,5,2001-05,45,,0,58.9,57.3,84.2,2.61,-1.66,,,,,,,,,,,,,,,,,
2001,6,2001-06,45,,0,68.9,66.7,87.3,5.4,0.39,,,,,,,,,,,,,,,,,
2001,7,2001-07,45,,0,68.2,68.5,88.2,5.24,-0.14,,,,,,,,,,,,,,,,,
2001,8,2001-08,45,,0,72.7,69.2,90.6,2.66,-2.87,,,,,,,,,,,,,,,,,
2001,9,2001-09,45,,0,63.6,60.4,82.1,3.72,-0.56,,,,,,,,,,,,,,,,,
2001,10,2001-10,45,,0,53.6,46.5,75.3,0.88,-2.16,,,,,,,,,,,,,,,,,
2001,11,2001-11,45,,0,46.9,44.8,73.1,0.98,-3.07,,,,,,,,,,,,,,,,,
2001,12,2001-12,45,,0,38.6,39.8,64.2,1.47,-4.02,,,,,,,,,,,,,,,,,
2002,1,2002-01,45,,0,34.7,34.9,59.0,3.49,-1.72,,,,,,,,,,,,,,,,,
2002,2,2002-02,45,,0,34.9,34.7,61.0,2.06,-2.66,,,,,,,,,,,,,,,,,
2002,3,2002-03,45,,0,39.3,43.0,69.0,4.28,-0.17,,,,,,,,,,,,,,,,,
2002,4,2002-04,45,,0,50.0,55.1,79.6,1.84,-2.47,,,,,,,,,,,,,,,,,
2002,5,2002-05,45,,0,55.3,56.0,81.2,3.49,-0.23,,,,,,,,,,,,,,,,,
2002,6,2002-06,45,,0,64.6,66.2,89.4,3.01,-1.75,,,,,,,,,,,,,,,,,
2002,7,2002-07,45,,1,72.5,70.7,93.2,3.25,-3.0,,,,,,,,,,,,,,,,,
2002,8,2002-08,45,,0,72.6,68.4,90.8,5.94,-0.19,,,,,,,,,,,,,,,,,
2002,9,2002-09,45,,0,65.6,67.1,84.5,5.4,0.26,,,,,,,,,,,,,,,,,
2002,10,2002-10,45,,0,51.1,58.0,74.8,4.73,1.07,,,,,,,,,,,,,,,,,
2002,11,2002-11,45,,0,41.7,40.4,63.2,4.42,1.99,,,,,,,,,,,,,,,,,
2002,12,2002-12,45,,0,31.8,33.4,55.0,4.63,1.82,,,,,,,,,,,,,,,,,
2003,1,2003-01,45,,0,23.5,30.1,53.0,1.76,-1.75,,,,,,,,,,,,,,,,,
2003,2,2003-02,45,,0,25.2,35.6,57.6,4.14,0.39,,,,,,,,,,,,,,,,,
2003,3,2003-03,45,,0,36.8,46.5,67.4,7.52,2.5,,,,,,,,,,,,,,,,,
2003,4,2003-04,45,,0,44.2,50.0,72.2,6.0,2.97,,,,,,,,,,,,,,,,,
2003,5,2003-05,45,,1,54.0,60.2,80.1,5.72,2.4,,,,,,,,,,,,,,,,,
2003,6,2003-06,45,,0,64.2,65.5,86.4,6.39,2.55,,,,,,,,,,,,,,,,,
