year,month,Value
1990,1,17.8
1990,2,13.5
1990,3,24.5
1990,4,30.7
1990,5,42.1
1990,6,54.6
1990,7,58.1
1990,8,58.0
1990,9,50.0
1990,10,32.5
1990,11,23.7
1990,12,2.9
1991,1,3.6
1991,2,18.7
1991,3,23.7
1991,4,35.4
1991,5,47.6
1991,6,58.5
1991,7,59.0
1991,8,59.2
1991,9,46.9
1991,10,31.2
1991,11,17.3
1991,12,16.3
1992,1,16.0
1992,2,21.3
1992,3,26.2
1992,4,31.7
1992,5,43.5
1992,6,51.5
1992,7,53.7
1992,8,52.6
1992,9,45.0
1992,10,33.7
1992,11,22.9
1992,12,7.2
1993,1,2.7
1993,2,4.4
1993,3,22.1
1993,4,32.1
1993,5,43.5
1993,6,50.6
1993,7,56.4
1993,8,55.9
1993,9,41.8
1993,10,32.0
1993,11,17.9
1993,12,14.5
1994,1,0.5
1994,2,1.9
1994,3,24.4
1994,4,31.4
1994,5,46.6
1994,6,55.2
1994,7,55.8
1994,8,55.5
1994,9,48.6
1994,10,38.4
1994,11,23.6
1994,12,14.2
1995,1,9.9
1995,2,14.9
1995,3,20.7
1995,4,29.3
1995,5,42.2
1995,6,54.5
1995,7,58.6
1995,8,60.5
1995,9,45.9
1995,10,35.3
1995,11,19.4
1995,12,12.4
1996,1,-0.4
1996,2,12.0
1996,3,13.5
1996,4,29.4
1996,5,42.5
1996,6,55.0
1996,7,56.3
1996,8,56.9
1996,9,46.9
1996,10,33.6
1996,11,14.0
1996,12,2.6
1997,1,1.2
1997,2,13.6
1997,3,20.4
1997,4,28.3
1997,5,40.6
1997,6,55.7
1997,7,59.8
1997,8,57.5
1997,9,49.3
1997,10,35.8
1997,11,19.6
1997,12,18.8
1998,1,9.2
1998,2,24.5
1998,3,17.8
1998,4,34.0
1998,5,46.4
1998,6,50.6
1998,7,61.2
1998,8,59.6
1998,9,52.0
1998,10,37.8
1998,11,27.3
1998,12,13.6
1999,1,7.0
1999,2,22.2
1999,3,25.0
1999,4,33.8
1999,5,44.2
1999,6,53.8
1999,7,60.7
1999,8,57.3
1999,9,43.6
1999,10,33.4
1999,11,28.4
1999,12,17.4
2000,1,9.8
2000,2,18.1
2000,3,26.2
2000,4,31.6
2000,5,45.0
2000,6,51.4
2000,7,60.1
2000,8,59.2
2000,9,46.6
2000,10,37.6
2000,11,15.5
2000,12,0.7
2001,1,12.6
2001,2,2.4
2001,3,20.0
2001,4,34.2
2001,5,45.5
2001,6,53.9
2001,7,62.3
2001,8,59.0
2001,9,48.6
2001,10,34.0
2001,11,27.3
2001,12,14.9
2002,1,13.4
2002,2,16.8
2002,3,11.7
2002,4,31.0
2002,5,38.6
2002,6,56.1
2002,7,63.2
2002,8,57.0
2002,9,49.3
2002,10,29.3
2002,11,23.0
2002,12,16.2
2003,1,8.8
2003,2,7.8
2003,3,19.4
2003,4,35.2
2003,5,43.1
2003,6,52.0
2003,7,60.0
2003,8,60.4
2003,9,45.2
2003,10,37.3
2003,11,17.6
2003,12,17.7
2004,1,6.1
2004,2,12.5
2004,3,26.9
2004,4,32.9
2004,5,42.7
2004,6,49.4
2004,7,57.8
2004,8,52.5
2004,9,50.0
2004,10,36.6
2004,11,24.8
2004,12,16.3
2005,1,6.7
2005,2,17.0
2005,3,22.6
2005,4,35.1
2005,5,41.8
2005,6,56.8
2005,7,60.4
2005,8,56.9
2005,9,50.6
2005,10,35.8
2005,11,24.9
2005,12,11.8
2006,1,23.0
2006,2,12.3
2006,3,22.2
2006,4,36.9
2006,5,44.1
2006,6,55.0
2006,7,62.8
2006,8,58.6
2006,9,44.9
2006,10,31.7
2006,11,21.3
2006,12,15.2
2007,1,9.4
2007,2,5.9
2007,3,28.2
2007,4,31.1
2007,5,47.2
2007,6,55.8
2007,7,62.6
2007,8,59.4
2007,9,48.3
2007,10,37.8
2007,11,22.6
2007,12,9.0
2008,1,4.6
2008,2,7.2
2008,3,20.4
2008,4,28.6
2008,5,40.9
2008,6,51.6
2008,7,59.3
2008,8,57.9
2008,9,46.3
2008,10,35.0
2008,11,24.6
2008,12,3.5
2009,1,5.6
2009,2,13.0
2009,3,18.3
2009,4,31.0
2009,5,41.8
2009,6,51.8
2009,7,55.4
2009,8,54.2
2009,9,50.0
2009,10,31.4
2009,11,27.0
2009,12,5.3
2010,1,6.5
2010,2,5.2
2010,3,27.1
2010,4,36.9
2010,5,43.1
2010,6,54.7
2010,7,59.8
2010,8,60.0
2010,9,46.1
2010,10,38.0
2010,11,21.2
2010,12,8.6
2011,1,3.3
2011,2,6.0
2011,3,18.2
2011,4,32.7
2011,5,42.2
2011,6,53.0
2011,7,64.1
2011,8,58.5
2011,9,45.0
2011,10,38.0
2011,11,21.4
2011,12,15.9
2012,1,13.5
2012,2,13.9
2012,3,32.4
2012,4,36.8
2012,5,44.9
2012,6,56.5
2012,7,64.4
2012,8,55.3
2012,9,45.4
2012,10,32.9
2012,11,22.9
2012,12,11.4
2013,1,9.2
2013,2,13.7
2013,3,16.3
2013,4,25.5
2013,5,43.2
2013,6,53.4
2013,7,59.1
2013,8,59.4
2013,9,52.2
2013,10,34.3
2013,11,20.0
2013,12,2.9
2014,1,6.4
2014,2,2.5
2014,3,17.3
2014,4,30.0
2014,5,43.4
2014,6,52.8
2014,7,56.5
2014,8,58.0
2014,9,47.2
2014,10,36.5
2014,11,14.6
2014,12,14.8
2015,1,12.2
2015,2,7.0
2015,3,23.9
2015,4,33.3
2015,5,42.3
2015,6,55.8
2015,7,59.0
2015,8,56.8
2015,9,52.2
2015,10,39.1
2015,11,25.0
2015,12,16.1
2016,1,11.0
2016,2,21.4
2016,3,26.8
2016,4,33.9
2016,5,43.1
2016,6,56.4
2016,7,59.4
2016,8,57.4
2016,9,49.6
2016,10,38.7
2016,11,29.8
2016,12,6.2
2017,1,8.4
2017,2,18.9
2017,3,24.2
2017,4,33.2
2017,5,42.6
2017,6,53.6
2017,7,61.0
2017,8,54.6
2017,9,48.4
2017,10,34.5
2017,11,22.6
2017,12,11.7
2018,1,7.0
2018,2,-0.1
2018,3,21.3
2018,4,24.7
2018,5,49.0
2018,6,57.4
2018,7,59.8
2018,8,56.4
2018,9,49.6
2018,10,31.8
2018,11,19.6
2018,12,15.6
2019,1,8.5
2019,2,-2.8
2019,3,15.7
2019,4,32.9
2019,5,40.0
2019,6,53.8
2019,7,60.7
2019,8,57.1
2019,9,51.2
2019,10,29.6
2019,11,20.8
2019,12,14.7
2020,1,11.2
2020,2,13.0
2020,3,25.4
2020,4,28.1
2020,5,42.6
2020,6,57.4
2020,7,60.4
2020,8,58.4
2020,9,46.0
2020,10,29.3
2020,11,24.7
2020,12,16.7
2021,1,18.2
2021,2,2.3
2021,3,26.5
2021,4,30.1
2021,5,42.1
2021,6,57.1
2021,7,61.9
2021,8,58.1
2021,9,50.4
2021,10,39.2
2021,11,26.0
2021,12,13.8
2022,1,6.2
2022,2,6.2
2022,3,20.4
2022,4,27.3
2022,5,42.9
2022,6,54.5
2022,7,61.1
2022,8,59.2
2022,9,49.8
2022,10,35.1
2022,11,17.7
2022,12,5.7
