year,month,Value
1990,1,-1.07
1990,2,-0.85
1990,3,-1.11
1990,4,-1.23
1990,5,0.89
1990,6,0.13
1990,7,-0.17
1990,8,-0.86
1990,9,-2.2
1990,10,-0.54
1990,11,-1.7
1990,12,-0.4
1991,1,-1.12
1991,2,0.54
1991,3,-2.14
1991,4,0.92
1991,5,3.99
1991,6,1.25
1991,7,-0.2
1991,8,-0.97
1991,9,-0.58
1991,10,0.66
1991,11,0.71
1991,12,-1.23
1992,1,0.44
1992,2,0.46
1992,3,-0.89
1992,4,-1.77
1992,5,-3.37
1992,6,0.89
1992,7,4.58
1992,8,2.02
1992,9,0.09
1992,10,-0.91
1992,11,1.69
1992,12,0.13
1993,1,0.44
1993,2,0.97
1993,3,0.35
1993,4,1.48
1993,5,1.38
1993,6,5.24
1993,7,9.79
1993,8,3.78
1993,9,2.42
1993,10,-0.12
1993,11,2.53
1993,12,1.52
1994,1,1.87
1994,2,1.63
1994,3,-0.26
1994,4,1.78
1994,5,-2.4
1994,6,-0.32
1994,7,3.33
1994,8,0.87
1994,9,-0.38
1994,10,3.89
1994,11,0.46
1994,12,0.32
1995,1,0.18
1995,2,0.18
1995,3,2.87
1995,4,4.89
1995,5,6.46
1995,6,0.99
1995,7,3.37
1995,8,1.43
1995,9,1.19
1995,10,5.28
1995,11,0.54
1995,12,-0.09
1996,1,2.03
1996,2,0.28
1996,3,0.8
1996,4,-0.36
1996,5,6.09
1996,6,-1.39
1996,7,0.51
1996,8,-0.19
1996,9,6.35
1996,10,3.99
1996,11,2.45
1996,12,3.14
1997,1,3.47
1997,2,2.42
1997,3,0.89
1997,4,4.09
1997,5,1.88
1997,6,0.4
1997,7,5.47
1997,8,2.42
1997,9,0.42
1997,10,1.62
1997,11,-0.43
1997,12,-0.72
1998,1,0.29
1998,2,0.93
1998,3,2.19
1998,4,-0.43
1998,5,-0.56
1998,6,3.07
1998,7,2.12
1998,8,2.87
1998,9,-2.05
1998,10,9.65
1998,11,2.36
1998,12,0.18
1999,1,1.37
1999,2,0.48
1999,3,0.26
1999,4,3.66
1999,5,2.61
1999,6,3.47
1999,7,3.23
1999,8,3.62
1999,9,3.57
1999,10,-1.07
1999,11,-2.19
1999,12,-0.67
2000,1,0.0
2000,2,0.81
2000,3,-0.55
2000,4,1.53
2000,5,0.93
2000,6,-0.41
2000,7,0.95
2000,8,-1.35
2000,9,-2.33
2000,10,-0.02
2000,11,3.34
2000,12,0.08
2001,1,1.44
2001,2,1.46
2001,3,-0.63
2001,4,3.89
2001,5,0.17
2001,6,0.57
2001,7,4.07
2001,8,-1.84
2001,9,0.44
2001,10,-0.33
2001,11,0.21
2001,12,-1.31
2002,1,-0.6
2002,2,-1.24
2002,3,-0.68
2002,4,-1.59
2002,5,-1.58
2002,6,-4.76
2002,7,-3.84
2002,8,1.28
2002,9,-0.71
2002,10,1.79
2002,11,-1.65
2002,12,-0.9
2003,1,-0.19
2003,2,0.03
2003,3,-0.68
2003,4,-0.38
2003,5,0.11
2003,6,0.57
2003,7,-2.04
2003,8,-3.51
2003,9,0.26
2003,10,-1.47
2003,11,0.25
2003,12,-0.71
2004,1,-0.54
2004,2,-0.48
2004,3,-0.42
2004,4,-3.09
2004,5,0.99
2004,6,-0.87
2004,7,0.05
2004,8,-0.57
2004,9,4.55
2004,10,2.65
2004,11,-0.86
2004,12,-1.1
2005,1,-0.19
2005,2,-0.42
2005,3,-1.47
2005,4,-0.74
2005,5,1.95
2005,6,2.55
2005,7,-0.69
2005,8,-0.31
2005,9,0.62
2005,10,-0.77
2005,11,0.55
2005,12,0.9
2006,1,-0.4
2006,2,-0.69
2006,3,0.64
2006,4,-0.22
2006,5,-3.14
2006,6,-3.76
2006,7,-5.33
2006,8,0.44
2006,9,4.1
2006,10,-0.7
2006,11,-0.95
2006,12,0.6
2007,1,-0.99
2007,2,0.82
2007,3,0.56
2007,4,0.81
2007,5,2.53
2007,6,-0.19
2007,7,-2.4
2007,8,3.5
2007,9,-0.51
2007,10,3.11
2007,11,-1.54
2007,12,0.48
2008,1,-0.62
2008,2,-0.46
2008,3,-0.47
2008,4,0.01
2008,5,3.01
2008,6,3.67
2008,7,3.16
2008,8,0.76
2008,9,1.76
2008,10,4.27
2008,11,1.89
2008,12,1.53
2009,1,0.68
2009,2,2.46
2009,3,3.6
2009,4,1.91
2009,5,-1.56
2009,6,1.31
2009,7,4.01
2009,8,4.04
2009,9,0.26
2009,10,7.82
2009,11,-1.09
2009,12,3.16
2010,1,1.66
2010,2,1.68
2010,3,1.9
2010,4,1.6
2010,5,3.06
2010,6,3.68
2010,7,5.3
2010,8,3.0
2010,9,4.81
2010,10,-0.06
2010,11,-0.21
2010,12,2.01
2011,1,2.14
2011,2,2.72
2011,3,1.72
2011,4,2.48
2011,5,4.72
2011,6,3.19
2011,7,4.04
2011,8,2.88
2011,9,-1.1
2011,10,-0.29
2011,11,-1.02
2011,12,-0.57
2012,1,-0.04
2012,2,1.91
2012,3,-4.82
2012,4,0.24
2012,5,-0.58
2012,6,-3.27
2012,7,-3.85
2012,8,-3.49
2012,9,-3.76
2012,10,-0.58
2012,11,-1.34
2012,12,0.19
2013,1,-0.27
2013,2,0.14
2013,3,-1.47
2013,4,1.59
2013,5,3.79
2013,6,0.32
2013,7,1.53
2013,8,1.43
2013,9,0.46
2013,10,9.47
2013,11,0.25
2013,12,1.93
2014,1,0.45
2014,2,0.78
2014,3,1.32
2014,4,1.92
2014,5,0.53
2014,6,5.48
2014,7,0.45
2014,8,6.13
2014,9,1.2
2014,10,-1.19
2014,11,0.43
2014,12,1.02
2015,1,-0.13
2015,2,-0.12
2015,3,-2.81
2015,4,-2.78
2015,5,5.29
2015,6,1.46
2015,7,2.74
2015,8,4.25
2015,9,-0.28
2015,10,0.37
2015,11,0.73
2015,12,2.37
2016,1,-0.14
2016,2,0.61
2016,3,-1.0
2016,4,3.59
2016,5,0.37
2016,6,-2.66
2016,7,0.73
2016,8,1.22
2016,9,0.76
2016,10,-0.32
2016,11,-0.77
2016,12,2.46
2017,1,0.88
2017,2,-0.28
2017,3,-1.36
2017,4,-0.3
2017,5,-1.11
2017,6,-2.71
2017,7,-2.0
2017,8,2.07
2017,9,1.66
2017,10,0.13
2017,11,-1.4
2017,12,-0.36
2018,1,-0.67
2018,2,0.94
2018,3,0.86
2018,4,0.94
2018,5,-1.07
