,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income
2010-01,799462.0,400246.0,399216.0,692330.0,8874.0,68215.0,7126.0,241.0,315468.0
2010-02,799462.0,400246.0,399216.0,692330.0,8874.0,68215.0,7126.0,241.0,315468.0
2010-03,799462.0,400246.0,399216.0,692330.0,8874.0,68215.0,7126.0,241.0,315468.0
2010-04,799462.0,400246.0,399216.0,692330.0,8874.0,68215.0,7126.0,241.0,315468.0
2010-05,799462.0,400246.0,399216.0,692330.0,8874.0,68215.0,7126.0,241.0,315468.0
2010-06,799462.0,400246.0,399216.0,692330.0,8874.0,68215.0,7126.0,241.0,315468.0
2010-07,799462.0,400246.0,399216.0,692330.0,8874.0,68215.0,7126.0,241.0,315468.0
2010-08,799462.0,400246.0,399216.0,692330.0,8874.0,68215.0,7126.0,241.0,315468.0
2010-09,799462.0,400246.0,399216.0,692330.0,8874.0,68215.0,7126.0,241.0,315468.0
2010-10,799462.0,400246.0,399216.0,692330.0,8874.0,68215.0,7126.0,241.0,315468.0
2010-11,799462.0,400246.0,399216.0,692330.0,8874.0,68215.0,7126.0,241.0,315468.0
2010-12,799462.0,400246.0,399216.0,692330.0,8874.0,68215.0,7126.0,241.0,315468.0
2011-01,807697.0,404695.0,403002.0,697042.0,9347.0,69154.0,7672.0,197.0,318466.0
2011-02,807697.0,404695.0,403002.0,697042.0,9347.0,69154.0,7672.0,197.0,318466.0
2011-03,807697.0,404695.0,403002.0,697042.0,9347.0,69154.0,7672.0,197.0,318466.0
2011-04,807697.0,404695.0,403002.0,697042.0,9347.0,69154.0,7672.0,197.0,318466.0
2011-05,807697.0,404695.0,403002.0,697042.0,9347.0,69154.0,7672.0,197.0,318466.0
2011-06,807697.0,404695.0,403002.0,697042.0,9347.0,69154.0,7672.0,197.0,318466.0
2011-07,807697.0,404695.0,403002.0,697042.0,9347.0,69154.0,7672.0,197.0,318466.0
2011-08,807697.0,404695.0,403002.0,697042.0,9347.0,69154.0,7672.0,197.0,318466.0
2011-09,807697.0,404695.0,403002.0,697042.0,9347.0,69154.0,7672.0,197.0,318466.0
2011-10,807697.0,404695.0,403002.0,697042.0,9347.0,69154.0,7672.0,197.0,318466.0
2011-11,807697.0,404695.0,403002.0,697042.0,9347.0,69154.0,7672.0,197.0,318466.0
2011-12,807697.0,404695.0,403002.0,697042.0,9347.0,69154.0,7672.0,197.0,318466.0
2012-01,815871.0,409334.0,406537.0,701466.0,10331.0,71532.0,8060.0,157.0,320467.0
2012-02,815871.0,409334.0,406537.0,701466.0,10331.0,71532.0,8060.0,157.0,320467.0
2012-03,815871.0,409334.0,406537.0,701466.0,10331.0,71532.0,8060.0,157.0,320467.0
2012-04,815871.0,409334.0,406537.0,701466.0,10331.0,71532.0,8060.0,157.0,320467.0
2012-05,815871.0,409334.0,406537.0,701466.0,10331.0,71532.0,8060.0,157.0,320467.0
2012-06,815871.0,409334.0,406537.0,701466.0,10331.0,71532.0,8060.0,157.0,320467.0
2012-07,815871.0,409334.0,406537.0,701466.0,10331.0,71532.0,8060.0,157.0,320467.0
2012-08,815871.0,409334.0,406537.0,701466.0,10331.0,71532.0,8060.0,157.0,320467.0
2012-09,815871.0,409334.0,406537.0,701466.0,10331.0,71532.0,8060.0,157.0,320467.0
2012-10,815871.0,409334.0,406537.0,701466.0,10331.0,71532.0,8060.0,157.0,320467.0
2012-11,815871.0,409334.0,406537.0,701466.0,10331.0,71532.0,8060.0,157.0,320467.0
2012-12,815871.0,409334.0,406537.0,701466.0,10331.0,71532.0,8060.0,157.0,320467.0
2013-01,825198.0,414382.0,410816.0,706667.0,11531.0,71766.0,8597.0,226.0,323136.0
2013-02,825198.0,414382.0,410816.0,706667.0,11531.0,71766.0,8597.0,226.0,323136.0
2013-03,825198.0,414382.0,410816.0,706667.0,11531.0,71766.0,8597.0,226.0,323136.0
2013-04,825198.0,414382.0,410816.0,706667.0,11531.0,71766.0,8597.0,226.0,323136.0
2013-05,825198.0,414382.0,410816.0,706667.0,11531.0,71766.0,8597.0,226.0,323136.0
2013-06,825198.0,414382.0,410816.0,706667.0,11531.0,71766.0,8597.0,226.0,323136.0
2013-07,825198.0,414382.0,410816.0,706667.0,11531.0,71766.0,8597.0,226.0,323136.0
2013-08,825198.0,414382.0,410816.0,706667.0,11531.0,71766.0,8597.0,226.0,323136.0
2013-09,825198.0,414382.0,410816.0,706667.0,11531.0,71766.0,8597.0,226.0,323136.0
2013-10,825198.0,414382.0,410816.0,706667.0,11531.0,71766.0,8597.0,226.0,323136.0
