year,month,Value
1990,1,28.5
1990,2,25.1
1990,3,36.0
1990,4,45.0
1990,5,54.2
1990,6,67.5
1990,7,71.0
1990,8,71.7
1990,9,65.0
1990,10,47.3
1990,11,36.7
1990,12,15.1
1991,1,14.2
1991,2,30.9
1991,3,35.8
1991,4,47.4
1991,5,58.1
1991,6,69.3
1991,7,72.4
1991,8,72.8
1991,9,60.8
1991,10,45.5
1991,11,26.7
1991,12,27.3
1992,1,27.4
1992,2,31.3
1992,3,38.3
1992,4,44.3
1992,5,59.0
1992,6,63.7
1992,7,64.2
1992,8,64.9
1992,9,59.8
1992,10,47.7
1992,11,29.4
1992,12,17.2
1993,1,13.0
1993,2,13.7
1993,3,32.5
1993,4,43.2
1993,5,56.1
1993,6,61.6
1993,7,66.7
1993,8,68.0
1993,9,55.0
1993,10,46.0
1993,11,28.2
1993,12,23.6
1994,1,9.8
1994,2,12.2
1994,3,36.2
1994,4,45.1
1994,5,60.3
1994,6,67.5
1994,7,68.8
1994,8,69.0
1994,9,62.5
1994,10,49.5
1994,11,34.0
1994,12,23.4
1995,1,19.2
1995,2,26.0
1995,3,31.1
1995,4,39.1
1995,5,52.5
1995,6,65.6
1995,7,71.6
1995,8,73.7
1995,9,59.5
1995,10,46.4
1995,11,29.8
1995,12,21.9
1996,1,10.3
1996,2,23.1
1996,3,24.2
1996,4,42.4
1996,5,52.2
1996,6,67.4
1996,7,69.6
1996,8,71.2
1996,9,58.8
1996,10,46.9
1996,11,22.0
1996,12,11.5
1997,1,10.6
1997,2,22.8
1997,3,31.9
1997,4,39.5
1997,5,53.1
1997,6,68.0
1997,7,71.4
1997,8,69.4
1997,9,63.1
1997,10,49.7
1997,11,30.0
1997,12,28.0
1998,1,19.3
1998,2,32.7
1998,3,26.4
1998,4,46.9
1998,5,59.3
1998,6,61.7
1998,7,73.4
1998,8,72.2
1998,9,66.9
1998,10,48.4
1998,11,36.0
1998,12,25.6
1999,1,17.6
1999,2,32.9
1999,3,36.8
1999,4,44.7
1999,5,55.9
1999,6,65.1
1999,7,73.3
1999,8,71.0
1999,9,57.1
1999,10,47.8
1999,11,42.4
1999,12,29.1
2000,1,21.1
2000,2,30.1
2000,3,39.3
2000,4,45.0
2000,5,58.1
2000,6,64.4
2000,7,73.0
2000,8,73.2
2000,9,62.3
2000,10,50.1
2000,11,24.4
2000,12,10.5
2001,1,22.7
2001,2,12.4
2001,3,29.8
2001,4,46.1
2001,5,57.8
2001,6,66.0
2001,7,74.6
2001,8,73.4
2001,9,62.1
2001,10,47.5
2001,11,40.8
2001,12,24.7
2002,1,24.1
2002,2,29.6
2002,3,22.2
2002,4,44.5
2002,5,52.4
2002,6,70.4
2002,7,77.3
2002,8,70.4
2002,9,62.7
2002,10,39.5
2002,11,34.5
2002,12,27.3
2003,1,19.8
2003,2,18.8
2003,3,32.1
2003,4,47.9
2003,5,55.0
2003,6,63.9
2003,7,74.4
2003,8,74.8
2003,9,60.0
2003,10,51.8
2003,11,27.6
2003,12,26.6
2004,1,16.1
2004,2,22.9
2004,3,38.4
2004,4,47.9
2004,5,55.6
2004,6,62.1
2004,7,70.8
2004,8,66.1
2004,9,63.1
2004,10,48.8
2004,11,36.6
2004,12,27.2
2005,1,16.8
2005,2,29.3
2005,3,34.9
2005,4,48.2
2005,5,54.0
2005,6,67.9
2005,7,74.4
2005,8,71.0
2005,9,65.5
2005,10,49.2
2005,11,36.8
2005,12,20.1
2006,1,32.2
2006,2,23.3
2006,3,32.4
2006,4,50.2
2006,5,58.2
2006,6,69.1
2006,7,78.2
2006,8,72.2
2006,9,56.8
2006,10,44.4
2006,11,33.7
2006,12,27.0
2007,1,20.1
2007,2,15.2
2007,3,40.2
2007,4,42.9
2007,5,60.0
2007,6,68.2
2007,7,76.5
2007,8,71.4
2007,9,62.6
2007,10,50.2
2007,11,34.9
2007,12,19.4
2008,1,16.2
2008,2,19.1
2008,3,32.2
2008,4,42.1
2008,5,53.0
2008,6,63.8
2008,7,72.7
2008,8,71.2
2008,9,60.3
2008,10,47.2
2008,11,34.2
2008,12,14.1
2009,1,16.7
2009,2,23.4
2009,3,30.0
2009,4,42.3
2009,5,55.8
