,1y,1m,2m,3m,3m_average,diff1-2,diff2-3,month_sin,month_cos
2010-01,0.0,0.0,0.0,4.0,1.3333333333333333,0.0,-4.0,0.49999999999999994,0.8660254037844387
2010-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844386,0.5000000000000001
2010-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17
2010-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844388,-0.4999999999999998
2010-05,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,-0.8660254037844387
2010-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2246467991473532e-16,-1.0
2010-07,15.0,1.0,0.0,0.0,0.3333333333333333,1.0,0.0,-0.5000000000000001,-0.8660254037844386
2010-08,53.0,3.0,1.0,0.0,1.3333333333333333,2.0,1.0,-0.8660254037844384,-0.5000000000000004
2010-09,18.0,34.0,3.0,1.0,12.666666666666666,31.0,2.0,-1.0,-1.8369701987210297e-16
2010-10,4.0,33.0,34.0,3.0,23.333333333333332,-1.0,31.0,-0.8660254037844386,0.5
2010-11,0.0,6.0,33.0,34.0,24.333333333333332,-27.0,-1.0,-0.5000000000000004,0.8660254037844384
2010-12,0.0,0.0,6.0,33.0,13.0,-6.0,-27.0,-2.4492935982947064e-16,1.0
2011-01,0.0,0.0,0.0,6.0,2.0,0.0,-6.0,0.49999999999999994,0.8660254037844387
2011-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844386,0.5000000000000001
2011-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17
2011-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844388,-0.4999999999999998
2011-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,-0.8660254037844387
2011-06,1.0,1.0,0.0,0.0,0.3333333333333333,1.0,0.0,1.2246467991473532e-16,-1.0
2011-07,3.0,1.0,1.0,0.0,0.6666666666666666,0.0,1.0,-0.5000000000000001,-0.8660254037844386
2011-08,34.0,6.0,1.0,1.0,2.6666666666666665,5.0,0.0,-0.8660254037844384,-0.5000000000000004
2011-09,33.0,8.0,6.0,1.0,5.0,2.0,5.0,-1.0,-1.8369701987210297e-16
2011-10,6.0,3.0,8.0,6.0,5.666666666666667,-5.0,2.0,-0.8660254037844386,0.5
2011-11,0.0,1.0,3.0,8.0,4.0,-2.0,-5.0,-0.5000000000000004,0.8660254037844384
2011-12,0.0,0.0,1.0,3.0,1.3333333333333333,-1.0,-2.0,-2.4492935982947064e-16,1.0
2012-01,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,-1.0,0.49999999999999994,0.8660254037844387
2012-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844386,0.5000000000000001
2012-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17
2012-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844388,-0.4999999999999998
2012-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,-0.8660254037844387
2012-06,1.0,1.0,0.0,0.0,0.3333333333333333,1.0,0.0,1.2246467991473532e-16,-1.0
2012-07,6.0,38.0,1.0,0.0,13.0,37.0,1.0,-0.5000000000000001,-0.8660254037844386
2012-08,8.0,328.0,38.0,1.0,122.33333333333333,290.0,37.0,-0.8660254037844384,-0.5000000000000004
2012-09,3.0,359.0,328.0,38.0,241.66666666666666,31.0,290.0,-1.0,-1.8369701987210297e-16
2012-10,1.0,84.0,359.0,328.0,257.0,-275.0,31.0,-0.8660254037844386,0.5
2012-11,0.0,24.0,84.0,359.0,155.66666666666666,-60.0,-275.0,-0.5000000000000004,0.8660254037844384
2012-12,0.0,8.0,24.0,84.0,38.666666666666664,-16.0,-60.0,-2.4492935982947064e-16,1.0
