year,month,Value
1990,1,17.5
1990,2,18.4
1990,3,30.1
1990,4,37.3
1990,5,40.6
1990,6,51.7
1990,7,58.3
1990,8,55.2
1990,9,51.6
1990,10,35.8
1990,11,25.4
1990,12,8.4
1991,1,12.2
1991,2,22.4
1991,3,25.5
1991,4,30.7
1991,5,39.4
1991,6,49.4
1991,7,57.6
1991,8,56.8
1991,9,47.5
1991,10,37.0
1991,11,25.4
1991,12,17.0
1992,1,14.1
1992,2,25.0
1992,3,31.1
1992,4,38.9
1992,5,45.3
1992,6,49.8
1992,7,55.2
1992,8,56.0
1992,9,47.5
1992,10,39.4
1992,11,21.4
1992,12,13.5
1993,1,16.7
1993,2,19.0
1993,3,29.3
1993,4,32.7
1993,5,43.6
1993,6,47.2
1993,7,52.9
1993,8,53.5
1993,9,44.9
1993,10,35.9
1993,11,20.6
1993,12,17.0
1994,1,19.8
1994,2,18.9
1994,3,29.3
1994,4,35.2
1994,5,43.8
1994,6,53.8
1994,7,58.4
1994,8,58.6
1994,9,48.8
1994,10,35.7
1994,11,20.6
1994,12,20.1
1995,1,21.2
1995,2,26.9
1995,3,28.7
1995,4,31.9
1995,5,39.1
1995,6,46.1
1995,7,54.6
1995,8,57.0
1995,9,47.7
1995,10,34.0
1995,11,28.8
1995,12,21.2
1996,1,18.5
1996,2,22.5
1996,3,27.3
1996,4,32.5
1996,5,42.9
1996,6,52.2
1996,7,59.2
1996,8,56.1
1996,9,45.0
1996,10,34.9
1996,11,26.7
1996,12,20.9
1997,1,18.2
1997,2,18.9
1997,3,27.6
1997,4,30.6
1997,5,43.6
1997,6,51.3
1997,7,54.8
1997,8,56.8
1997,9,49.6
1997,10,34.7
1997,11,26.3
1997,12,16.4
1998,1,21.8
1998,2,22.7
1998,3,25.9
1998,4,31.4
1998,5,40.5
1998,6,45.9
1998,7,59.0
1998,8,57.1
1998,9,50.0
1998,10,35.8
1998,11,27.3
1998,12,15.7
1999,1,21.5
1999,2,22.3
1999,3,28.3
1999,4,30.1
1999,5,39.1
1999,6,49.4
1999,7,57.8
1999,8,55.5
1999,9,45.1
1999,10,35.2
1999,11,28.0
1999,12,17.3
2000,1,22.3
2000,2,25.9
2000,3,27.0
2000,4,36.8
2000,5,44.8
2000,6,51.8
2000,7,58.3
2000,8,58.9
2000,9,47.3
2000,10,37.6
2000,11,19.3
2000,12,19.8
2001,1,16.1
2001,2,21.7
2001,3,30.1
2001,4,34.6
2001,5,44.4
2001,6,51.0
2001,7,58.2
2001,8,57.6
2001,9,49.3
2001,10,37.8
2001,11,28.0
2001,12,15.3
2002,1,15.5
2002,2,15.7
2002,3,23.0
2002,4,35.7
2002,5,41.1
2002,6,52.4
2002,7,60.6
2002,8,55.0
2002,9,47.9
2002,10,34.2
2002,11,24.4
2002,12,19.4
2003,1,24.0
2003,2,20.6
2003,3,28.8
2003,4,33.1
2003,5,43.2
2003,6,50.9
2003,7,61.2
2003,8,58.5
2003,9,46.8
2003,10,40.0
2003,11,24.6
2003,12,20.7
2004,1,14.1
2004,2,17.9
2004,3,31.9
2004,4,35.7
2004,5,43.0
2004,6,51.1
2004,7,57.3
2004,8,54.2
2004,9,45.7
2004,10,38.0
2004,11,25.9
2004,12,20.2
2005,1,23.9
2005,2,23.6
2005,3,27.5
2005,4,32.8
2005,5,42.4
2005,6,47.6
2005,7,58.7
2005,8,54.8
2005,9,46.0
2005,10,37.4
2005,11,27.4
2005,12,18.2
2006,1,18.9
2006,2,18.7
2006,3,25.4
2006,4,34.9
2006,5,43.9
2006,6,53.0
2006,7,60.5
2006,8,55.2
2006,9,43.6
2006,10,35.5
2006,11,26.2
2006,12,17.4
2007,1,10.5
2007,2,23.1
2007,3,29.8
2007,4,35.0
2007,5,43.1
2007,6,51.9
2007,7,61.0
2007,8,58.5
2007,9,47.3
2007,10,35.4
2007,11,27.1
2007,12,15.0
2008,1,12.4
2008,2,19.8
2008,3,24.6
2008,4,28.7
2008,5,38.8
2008,6,49.4
2008,7,58.9
2008,8,56.7
2008,9,46.5
2008,10,36.1
2008,11,29.6
2008,12,16.5
2009,1,18.7
2009,2,22.1
2009,3,26.4
2009,4,32.2
2009,5,44.6
2009,6,48.5
2009,7,58.0
2009,8,54.0
2009,9,49.4
2009,10,33.0
2009,11,25.9
2009,12,11.2
2010,1,17.3
2010,2,20.1
2010,3,26.4
2010,4,31.7
2010,5,36.6
2010,6,50.8
2010,7,58.0
2010,8,54.9
2010,9,47.1
2010,10,39.0
2010,11,23.6
2010,12,23.7
2011,1,14.8
2011,2,17.3
2011,3,27.9
2011,4,31.0
2011,5,38.2
2011,6,48.1
2011,7,57.7
2011,8,57.4
2011,9,48.6
2011,10,37.0
2011,11,24.3
2011,12,15.9
2012,1,19.2
2012,2,20.9
2012,3,29.5
2012,4,35.6
2012,5,43.0
2012,6,52.0
2012,7,58.9
2012,8,58.6
2012,9,49.0
2012,10,37.1
2012,11,28.9
2012,12,18.4
2013,1,9.1
2013,2,16.4
2013,3,28.6
2013,4,32.0
2013,5,41.9
2013,6,53.0
2013,7,60.2
2013,8,57.3
2013,9,49.3
2013,10,33.6
2013,11,27.0
2013,12,12.5
2014,1,19.1
2014,2,24.8
2014,3,28.1
2014,4,33.7
2014,5,42.7
2014,6,50.5
2014,7,60.1
2014,8,54.7
2014,9,50.6
2014,10,39.5
2014,11,25.7
2014,12,22.5
2015,1,22.3
2015,2,27.0
2015,3,31.4
2015,4,33.5
2015,5,42.2
2015,6,55.1
2015,7,56.2
2015,8,56.8
2015,9,51.1
2015,10,42.6
2015,11,23.3
2015,12,16.7
2016,1,17.1
2016,2,22.0
2016,3,29.9
2016,4,35.6
2016,5,41.5
2016,6,55.2
2016,7,58.6
2016,8,55.5
2016,9,47.3
2016,10,40.6
2016,11,29.9
2016,12,17.2
2017,1,17.1
2017,2,26.9
2017,3,32.6
2017,4,33.2
2017,5,41.5
2017,6,53.7
2017,7,60.6
2017,8,57.2
2017,9,47.5
2017,10,33.4
2017,11,30.4
2017,12,18.8
2018,1,21.7
2018,2,20.5
2018,3,27.4
2018,4,35.0
2018,5,44.4
2018,6,53.3
2018,7,61.5
2018,8,57.9
2018,9,50.3
2018,10,37.0
2018,11,23.2
2018,12,17.9
2019,1,17.6
2019,2,17.4
2019,3,28.0
2019,4,36.4
2019,5,38.7
2019,6,48.9
2019,7,58.4
2019,8,57.4
2019,9,48.8
2019,10,27.8
2019,11,26.0
2019,12,20.2
2020,1,19.0
2020,2,19.0
2020,3,30.0
2020,4,34.0
2020,5,44.4
2020,6,50.3
2020,7,58.1
2020,8,60.0
2020,9,48.0
2020,10,37.2
2020,11,26.3
2020,12,15.8
2021,1,17.4
2021,2,21.6
2021,3,26.2
2021,4,33.2
2021,5,42.4
2021,6,56.3
2021,7,61.8
2021,8,56.2
2021,9,49.5
2021,10,36.1
2021,11,30.2
2021,12,21.4
2022,1,17.9
2022,2,16.8
2022,3,27.7
2022,4,32.1
2022,5,40.1
2022,6,52.3
2022,7,61.0
2022,8,58.7
2022,9,52.3
2022,10,37.3
2022,11,20.9
2022,12,18.6
