year,month,Value
1990,1,-1.63
1990,2,-1.21
1990,3,-1.95
1990,4,-1.16
1990,5,-1.84
1990,6,-2.29
1990,7,-2.29
1990,8,-2.0
1990,9,0.31
1990,10,-0.66
1990,11,-0.59
1990,12,-0.92
1991,1,-1.3
1991,2,-2.47
1991,3,-0.04
1991,4,0.12
1991,5,1.42
1991,6,-0.68
1991,7,-1.29
1991,8,0.1
1991,9,1.47
1991,10,0.15
1991,11,0.97
1991,12,-1.0
1992,1,-1.37
1992,2,-0.29
1992,3,-0.12
1992,4,-3.38
1992,5,-0.14
1992,6,-1.59
1992,7,-0.55
1992,8,-0.72
1992,9,-1.46
1992,10,0.18
1992,11,0.03
1992,12,0.69
1993,1,4.6
1993,2,4.28
1993,3,1.09
1993,4,-0.37
1993,5,1.62
1993,6,1.79
1993,7,0.76
1993,8,0.83
1993,9,-1.31
1993,10,1.96
1993,11,0.03
1993,12,-1.38
1994,1,-1.72
1994,2,0.57
1994,3,-2.16
1994,4,0.8
1994,5,-1.34
1994,6,-2.87
1994,7,-3.47
1994,8,-1.01
1994,9,0.03
1994,10,2.21
1994,11,2.31
1994,12,-0.05
1995,1,2.0
1995,2,-0.51
1995,3,2.33
1995,4,1.91
1995,5,5.7
1995,6,4.28
1995,7,4.17
1995,8,0.91
1995,9,-0.51
1995,10,-2.03
1995,11,-2.34
1995,12,-1.01
1996,1,0.27
1996,2,0.04
1996,3,-0.7
1996,4,-1.03
1996,5,-0.15
1996,6,-1.81
1996,7,-1.76
1996,8,-3.12
1996,9,0.89
1996,10,0.62
1996,11,1.29
1996,12,1.35
1997,1,3.67
1997,2,1.25
1997,3,-1.84
1997,4,2.14
1997,5,0.57
1997,6,2.31
1997,7,1.55
1997,8,2.93
1997,9,5.5
1997,10,0.02
1997,11,-0.46
1997,12,-1.21
1998,1,0.16
1998,2,2.66
1998,3,0.97
1998,4,1.06
1998,5,1.14
1998,6,3.99
1998,7,4.45
1998,8,0.16
1998,9,2.05
1998,10,2.35
1998,11,-0.17
1998,12,-1.07
1999,1,-0.22
1999,2,-0.65
1999,3,-2.94
1999,4,3.5
1999,5,1.03
1999,6,1.37
1999,7,1.95
1999,8,2.25
1999,9,-0.15
1999,10,-2.73
1999,11,-3.22
1999,12,-1.88
2000,1,-0.23
2000,2,0.5
2000,3,-0.66
2000,4,-2.62
2000,5,-2.01
2000,6,-2.44
2000,7,-3.37
2000,8,-0.04
2000,9,-0.47
2000,10,3.58
2000,11,-0.11
2000,12,-0.9
2001,1,-0.17
2001,2,0.43
2001,3,-0.79
2001,4,0.41
2001,5,-1.49
2001,6,-1.62
2001,7,-1.23
2001,8,-0.47
2001,9,-2.39
2001,10,-2.0
2001,11,0.37
2001,12,-0.2
2002,1,-1.81
2002,2,-2.39
2002,3,-1.7
2002,4,-2.02
2002,5,-3.38
2002,6,-4.1
2002,7,-3.57
2002,8,-3.38
2002,9,3.18
2002,10,0.59
2002,11,-0.45
2002,12,-1.32
2003,1,-2.82
2003,2,-0.35
2003,3,-1.28
2003,4,-0.93
2003,5,-1.35
2003,6,-2.24
2003,7,-3.47
2003,8,-1.11
2003,9,-1.29
2003,10,-2.62
2003,11,0.83
2003,12,1.36
2004,1,-0.92
2004,2,1.93
2004,3,-3.23
2004,4,0.59
2004,5,-1.47
2004,6,-1.03
2004,7,-1.23
2004,8,-1.02
2004,9,0.61
2004,10,5.14
2004,11,2.03
2004,12,1.32
2005,1,5.23
2005,2,3.34
2005,3,1.58
2005,4,1.6
2005,5,2.23
2005,6,3.48
2005,7,1.47
2005,8,0.6
2005,9,-0.09
2005,10,0.3
2005,11,-1.58
2005,12,-0.59
2006,1,-0.01
2006,2,-1.6
2006,3,1.88
2006,4,-0.55
2006,5,-2.09
2006,6,-1.94
2006,7,-1.12
2006,8,-1.27
2006,9,1.26
2006,10,4.56
2006,11,-0.79
2006,12,-0.44
2007,1,-1.16
2007,2,-0.42
2007,3,-2.24
2007,4,-1.48
2007,5,-2.33
2007,6,-2.79
2007,7,-2.36
2007,8,-0.98
2007,9,0.82
2007,10,-0.75
2007,11,-2.71
2007,12,1.81
2008,1,1.2
2008,2,1.31
2008,3,-0.89
2008,4,-1.12
2008,5,0.25
2008,6,-0.02
2008,7,-1.29
2008,8,-1.25
2008,9,-1.2
2008,10,-1.02
2008,11,-0.99
2008,12,0.85
2009,1,-0.14
2009,2,-0.47
2009,3,-1.61
2009,4,0.74
2009,5,-0.35
2009,6,1.57
2009,7,-0.95
2009,8,-2.36
2009,9,-1.09
2009,10,-0.41
2009,11,-2.23
2009,12,0.36
2010,1,0.64
2010,2,-0.09
2010,3,-0.26
2010,4,0.64
