,count,avgTemp,minTemp,maxTemp,precipitation,zindex,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income,1y,1m,2m,3m,3m_average,diff1-2,diff2-3,month_sin,month_cos
2010-01,0.0,27.0,12.7,27.6,2.51,-0.59,68360.0,85899.0,115286.0,38125.0,64139.0,84830.0,118507.0,49112.0,624258.0,307670.0,316588.0,596947.0,5494.0,1832.0,7396.0,87.0,256612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,0.8660254037844387
2010-02,0.0,29.9,17.3,29.8,3.11,0.85,68360.0,85899.0,115286.0,38125.0,64139.0,84830.0,118507.0,49112.0,624258.0,307670.0,316588.0,596947.0,5494.0,1832.0,7396.0,87.0,256612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844386,0.5000000000000001
2010-03,0.0,38.0,26.2,45.6,3.94,0.72,68360.0,85899.0,115286.0,38125.0,64139.0,84830.0,118507.0,49112.0,624258.0,307670.0,316588.0,596947.0,5494.0,1832.0,7396.0,87.0,256612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17
2010-04,0.0,44.7,34.2,58.2,3.32,-1.25,68360.0,85899.0,115286.0,38125.0,64139.0,84830.0,118507.0,49112.0,624258.0,307670.0,316588.0,596947.0,5494.0,1832.0,7396.0,87.0,256612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844388,-0.4999999999999998
2010-05,0.0,50.2,42.7,69.4,2.34,-2.3,68360.0,85899.0,115286.0,38125.0,64139.0,84830.0,118507.0,49112.0,624258.0,307670.0,316588.0,596947.0,5494.0,1832.0,7396.0,87.0,256612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,-0.8660254037844387
2010-06,0.0,65.4,51.2,72.4,5.73,2.1,68360.0,85899.0,115286.0,38125.0,64139.0,84830.0,118507.0,49112.0,624258.0,307670.0,316588.0,596947.0,5494.0,1832.0,7396.0,87.0,256612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2246467991473532e-16,-1.0
2010-07,0.0,73.1,58.2,80.6,3.98,-0.54,68360.0,85899.0,115286.0,38125.0,64139.0,84830.0,118507.0,49112.0,624258.0,307670.0,316588.0,596947.0,5494.0,1832.0,7396.0,87.0,256612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5000000000000001,-0.8660254037844386
2010-08,0.0,69.3,54.4,76.4,4.52,0.55,68360.0,85899.0,115286.0,38125.0,64139.0,84830.0,118507.0,49112.0,624258.0,307670.0,316588.0,596947.0,5494.0,1832.0,7396.0,87.0,256612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844384,-0.5000000000000004
2010-09,0.0,63.8,49.1,69.4,3.4,-0.74,68360.0,85899.0,115286.0,38125.0,64139.0,84830.0,118507.0,49112.0,624258.0,307670.0,316588.0,596947.0,5494.0,1832.0,7396.0,87.0,256612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16
2010-10,0.0,51.1,35.8,54.7,9.16,7.01,68360.0,85899.0,115286.0,38125.0,64139.0,84830.0,118507.0,49112.0,624258.0,307670.0,316588.0,596947.0,5494.0,1832.0,7396.0,87.0,256612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844386,0.5
2010-11,0.0,34.8,27.2,42.9,3.17,-0.84,68360.0,85899.0,115286.0,38125.0,64139.0,84830.0,118507.0,49112.0,624258.0,307670.0,316588.0,596947.0,5494.0,1832.0,7396.0,87.0,256612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5000000000000004,0.8660254037844384
2010-12,0.0,32.5,13.8,27.8,4.03,0.97,68360.0,85899.0,115286.0,38125.0,64139.0,84830.0,118507.0,49112.0,624258.0,307670.0,316588.0,596947.0,5494.0,1832.0,7396.0,87.0,256612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4492935982947064e-16,1.0
