,count,avgTemp,minTemp,maxTemp,precipitation,zindex
2010-01,0.0,27.0,12.7,27.6,2.51,-0.59
2010-02,0.0,29.9,17.3,29.8,3.11,0.85
2010-03,0.0,38.0,26.2,45.6,3.94,0.72
2010-04,0.0,44.7,34.2,58.2,3.32,-1.25
2010-05,0.0,50.2,42.7,69.4,2.34,-2.3
2010-06,0.0,65.4,51.2,72.4,5.73,2.1
2010-07,0.0,73.1,58.2,80.6,3.98,-0.54
2010-08,0.0,69.3,54.4,76.4,4.52,0.55
2010-09,0.0,63.8,49.1,69.4,3.4,-0.74
2010-10,0.0,51.1,35.8,54.7,9.16,7.01
2010-11,0.0,34.8,27.2,42.9,3.17,-0.84
2010-12,0.0,32.5,13.8,27.8,4.03,0.97
2011-01,0.0,25.4,7.0,24.4,2.29,-0.9
2011-02,0.0,28.6,6.6,28.6,3.56,1.62
2011-03,0.0,39.4,17.9,37.0,4.7,2.59
2011-04,0.0,43.5,31.8,51.6,6.22,4.25
2011-05,0.0,50.8,45.9,66.5,6.77,2.97
2011-06,0.0,63.3,51.1,72.9,4.96,1.32
2011-07,0.0,71.8,56.6,80.3,3.43,-1.17
2011-08,1.0,72.5,55.3,76.4,10.08,8.29
2011-09,0.0,63.2,51.2,70.4,6.11,2.97
2011-10,0.0,50.0,39.0,56.4,4.48,1.47
2011-11,0.0,36.0,30.1,50.2,2.06,-2.98
2011-12,0.0,26.8,19.4,36.4,3.56,0.31
2012-01,0.0,31.0,12.6,30.2,2.95,0.02
2012-02,0.0,31.7,16.4,34.8,1.22,-2.41
2012-03,0.0,42.6,27.5,49.8,1.77,-3.13
2012-04,0.0,49.6,31.3,54.1,3.3,-0.6
2012-05,0.0,58.0,46.1,68.9,5.56,1.33
2012-06,0.0,68.7,50.9,73.6,3.87,-0.23
2012-07,0.0,73.2,55.7,80.3,3.54,-1.02
2012-08,1.0,73.0,54.9,79.4,3.29,-1.76
2012-09,0.0,63.6,45.4,69.0,5.51,1.47
2012-10,0.0,50.9,40.5,58.2,5.18,1.98
2012-11,0.0,41.2,24.2,42.0,1.13,-3.37
2012-12,0.0,27.8,20.4,34.5,5.03,2.36
2013-01,0.0,19.7,8.8,28.5,1.87,-1.48
2013-02,0.0,27.6,13.8,29.3,1.92,-1.21
2013-03,0.0,41.0,21.3,37.7,2.38,-0.99
2013-04,0.0,45.0,29.5,52.1,2.62,-1.31
2013-05,0.0,56.0,42.0,68.2,5.98,2.19
2013-06,0.0,69.2,51.1,72.8,7.96,5.5
2013-07,0.0,74.6,59.4,80.0,6.33,2.72
2013-08,0.0,71.0,53.0,75.2,3.41,-0.33
2013-09,1.0,61.4,45.5,67.5,4.41,1.06
2013-10,0.0,46.4,37.2,58.3,2.37,-1.14
2013-11,0.0,38.0,22.7,40.8,3.88,0.49
2013-12,0.0,23.1,13.5,29.3,3.43,0.13
2014-01,0.0,30.4,4.9,24.4,3.11,0.24
2014-02,0.0,35.7,6.7,26.5,3.18,0.97
2014-03,0.0,41.0,6.6,30.8,3.38,0.56
2014-04,0.0,46.7,28.6,52.4,3.25,-0.25
2014-05,0.0,56.5,42.2,65.0,4.68,0.86
2014-06,0.0,66.0,50.7,74.4,4.57,0.68
2014-07,0.0,74.6,55.2,77.8,6.27,3.13
2014-08,0.0,67.7,52.5,74.1,3.48,-0.11
2014-09,0.0,64.2,45.8,69.2,1.85,-2.2
2014-10,0.0,53.1,40.9,57.6,5.13,1.23
2014-11,0.0,37.7,25.5,41.2,2.55,-1.47
2014-12,0.0,31.7,20.6,33.4,4.63,1.81
2015-01,0.0,32.1,0.6,23.8,2.79,-0.21
2015-02,0.0,38.9,-6.8,17.6,1.79,-1.43
2015-03,0.0,44.9,11.2,33.4,1.34,-2.59
2015-04,0.0,47.1,28.4,50.6,2.71,-0.91
2015-05,0.0,53.8,44.5,72.7,3.06,-1.83
2015-06,0.0,70.0,49.5,70.2,8.63,6.57
