year,state,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income,GEO_ID
2009,WA,792161.0,1013899.0,1083842.0,333947.0,755312.0,962312.0,1098144.0,426138.0,6465755.0,3223849.0,3241906.0,5201398.0,220417.0,91437.0,424531.0,28884.0,2512327.0,
2010,WA,800330.0,1015595.0,1105524.0,346039.0,760451.0,975696.0,1123124.0,434538.0,6561297.0,3267488.0,3293809.0,5199167.0,229885.0,95212.0,457771.0,35706.0,2577375.0,0400000US53
2011,WA,803939.0,1031565.0,1119773.0,359421.0,765279.0,985831.0,1139180.0,447857.0,6652845.0,3314698.0,3338147.0,5256224.0,233549.0,94243.0,470798.0,37084.0,2602568.0,0400000US53
2012,WA,807520.0,1045055.0,1132804.0,374667.0,768383.0,997433.0,1150299.0,462553.0,6738714.0,3360046.0,3378668.0,5304864.0,238255.0,93416.0,484047.0,39246.0,2619995.0,0400000US53
2013,WA,811343.0,1058154.0,1140665.0,391377.0,773557.0,1006641.0,1157900.0,479942.0,6819579.0,3401539.0,3418040.0,5350938.0,245041.0,94194.0,498941.0,40695.0,2629126.0,0400000US53
2014,WA,814436.0,1072432.0,1146964.0,409676.0,775759.0,1019754.0,1161287.0,498815.0,6899123.0,3443508.0,3455615.0,5392302.0,250484.0,95117.0,518072.0,42608.0,2645396.0,0400000US53
2015,WA,817336.0,1090388.0,1150703.0,429298.0,779240.0,1032112.0,1167369.0,519018.0,6985464.0,3487725.0,3497739.0,5434177.0,253224.0,93266.0,535501.0,44159.0,2668912.0,0400000US53
2016,WA,820830.0,1101751.0,1156155.0,450695.0,783765.0,1047297.0,1170506.0,542147.0,7073146.0,3529431.0,3543715.0,5470566.0,256990.0,94026.0,552032.0,44870.0,2696606.0,0400000US53
2017,WA,826453.0,1125401.0,1160873.0,468161.0,788923.0,1064530.0,1174747.0,560879.0,7169967.0,3580888.0,3589079.0,5500837.0,261743.0,94754.0,578822.0,46071.0,2755697.0,0400000US53
2018,WA,835742.0,1155754.0,1165143.0,489026.0,797133.0,1089691.0,1177374.0,584473.0,7294336.0,3645665.0,3648671.0,5545997.0,269854.0,95048.0,607429.0,48043.0,2800423.0,0400000US53
2019,WA,841024.0,1183370.0,1169241.0,509666.0,802522.0,1107588.0,1182689.0,608007.0,7404107.0,3703301.0,3700806.0,5581128.0,281683.0,94449.0,631333.0,49090.0,2848396.0,0400000US53
2020,WA,845478.0,1207747.0,1176410.0,529372.0,807991.0,1127853.0,1186382.0,631232.0,7512465.0,3759007.0,3753458.0,5523881.0,290245.0,91766.0,662902.0,51117.0,2905822.0,0400000US53
