,count,avgTemp,minTemp,maxTemp,precipitation,zindex,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income,1y,1m,2m,3m,3m_average,diff1-2,diff2-3,month_sin,month_cos
2010-01,0.0,32.7,31.5,41.1,6.24,-0.16,800330.0,1015595.0,1105524.0,346039.0,760451.0,975696.0,1123124.0,434538.0,6561297.0,3267488.0,3293809.0,5199167.0,229885.0,95212.0,457771.0,35706.0,2577375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,0.8660254037844387
2010-02,0.0,31.9,31.4,45.6,3.38,-1.92,800330.0,1015595.0,1105524.0,346039.0,760451.0,975696.0,1123124.0,434538.0,6561297.0,3267488.0,3293809.0,5199167.0,229885.0,95212.0,457771.0,35706.0,2577375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844386,0.5000000000000001
2010-03,0.0,47.4,31.1,50.8,3.72,-1.05,800330.0,1015595.0,1105524.0,346039.0,760451.0,975696.0,1123124.0,434538.0,6561297.0,3267488.0,3293809.0,5199167.0,229885.0,95212.0,457771.0,35706.0,2577375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17
2010-04,0.0,58.6,34.9,54.2,4.04,1.76,800330.0,1015595.0,1105524.0,346039.0,760451.0,975696.0,1123124.0,434538.0,6561297.0,3267488.0,3293809.0,5199167.0,229885.0,95212.0,457771.0,35706.0,2577375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844388,-0.4999999999999998
2010-05,0.0,66.2,38.4,59.0,4.28,3.5,800330.0,1015595.0,1105524.0,346039.0,760451.0,975696.0,1123124.0,434538.0,6561297.0,3267488.0,3293809.0,5199167.0,229885.0,95212.0,457771.0,35706.0,2577375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,-0.8660254037844387
2010-06,0.0,76.0,45.6,66.2,3.28,2.4,800330.0,1015595.0,1105524.0,346039.0,760451.0,975696.0,1123124.0,434538.0,6561297.0,3267488.0,3293809.0,5199167.0,229885.0,95212.0,457771.0,35706.0,2577375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2246467991473532e-16,-1.0
2010-07,0.0,77.9,50.7,77.8,0.41,0.71,800330.0,1015595.0,1105524.0,346039.0,760451.0,975696.0,1123124.0,434538.0,6561297.0,3267488.0,3293809.0,5199167.0,229885.0,95212.0,457771.0,35706.0,2577375.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5000000000000001,-0.8660254037844386
2010-08,0.0,76.0,50.6,76.4,0.74,0.07,800330.0,1015595.0,1105524.0,346039.0,760451.0,975696.0,1123124.0,434538.0,6561297.0,3267488.0,3293809.0,5199167.0,229885.0,95212.0,457771.0,35706.0,2577375.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844384,-0.5000000000000004
2010-09,0.0,70.0,47.0,67.1,3.46,2.28,800330.0,1015595.0,1105524.0,346039.0,760451.0,975696.0,1123124.0,434538.0,6561297.0,3267488.0,3293809.0,5199167.0,229885.0,95212.0,457771.0,35706.0,2577375.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16
2010-10,1.0,58.0,39.1,58.0,4.29,0.86,800330.0,1015595.0,1105524.0,346039.0,760451.0,975696.0,1123124.0,434538.0,6561297.0,3267488.0,3293809.0,5199167.0,229885.0,95212.0,457771.0,35706.0,2577375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844386,0.5
