,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65
2010-01,687439.0,823685.0,960296.0,324488.0,656154.0,793429.0,962076.0,430380.0
2010-02,687439.0,823685.0,960296.0,324488.0,656154.0,793429.0,962076.0,430380.0
2010-03,687439.0,823685.0,960296.0,324488.0,656154.0,793429.0,962076.0,430380.0
2010-04,687439.0,823685.0,960296.0,324488.0,656154.0,793429.0,962076.0,430380.0
2010-05,687439.0,823685.0,960296.0,324488.0,656154.0,793429.0,962076.0,430380.0
2010-06,687439.0,823685.0,960296.0,324488.0,656154.0,793429.0,962076.0,430380.0
2010-07,687439.0,823685.0,960296.0,324488.0,656154.0,793429.0,962076.0,430380.0
2010-08,687439.0,823685.0,960296.0,324488.0,656154.0,793429.0,962076.0,430380.0
2010-09,687439.0,823685.0,960296.0,324488.0,656154.0,793429.0,962076.0,430380.0
2010-10,687439.0,823685.0,960296.0,324488.0,656154.0,793429.0,962076.0,430380.0
2010-11,687439.0,823685.0,960296.0,324488.0,656154.0,793429.0,962076.0,430380.0
2010-12,687439.0,823685.0,960296.0,324488.0,656154.0,793429.0,962076.0,430380.0
2011-01,685008.0,823449.0,970850.0,331437.0,653473.0,794096.0,970990.0,435590.0
2011-02,685008.0,823449.0,970850.0,331437.0,653473.0,794096.0,970990.0,435590.0
2011-03,685008.0,823449.0,970850.0,331437.0,653473.0,794096.0,970990.0,435590.0
2011-04,685008.0,823449.0,970850.0,331437.0,653473.0,794096.0,970990.0,435590.0
2011-05,685008.0,823449.0,970850.0,331437.0,653473.0,794096.0,970990.0,435590.0
2011-06,685008.0,823449.0,970850.0,331437.0,653473.0,794096.0,970990.0,435590.0
2011-07,685008.0,823449.0,970850.0,331437.0,653473.0,794096.0,970990.0,435590.0
2011-08,685008.0,823449.0,970850.0,331437.0,653473.0,794096.0,970990.0,435590.0
2011-09,685008.0,823449.0,970850.0,331437.0,653473.0,794096.0,970990.0,435590.0
2011-10,685008.0,823449.0,970850.0,331437.0,653473.0,794096.0,970990.0,435590.0
2011-11,685008.0,823449.0,970850.0,331437.0,653473.0,794096.0,970990.0,435590.0
2011-12,685008.0,823449.0,970850.0,331437.0,653473.0,794096.0,970990.0,435590.0
2012-01,682512.0,823455.0,975525.0,340779.0,651264.0,794731.0,976070.0,442883.0
2012-02,682512.0,823455.0,975525.0,340779.0,651264.0,794731.0,976070.0,442883.0
2012-03,682512.0,823455.0,975525.0,340779.0,651264.0,794731.0,976070.0,442883.0
2012-04,682512.0,823455.0,975525.0,340779.0,651264.0,794731.0,976070.0,442883.0
2012-05,682512.0,823455.0,975525.0,340779.0,651264.0,794731.0,976070.0,442883.0
2012-06,682512.0,823455.0,975525.0,340779.0,651264.0,794731.0,976070.0,442883.0
2012-07,682512.0,823455.0,975525.0,340779.0,651264.0,794731.0,976070.0,442883.0
2012-08,682512.0,823455.0,975525.0,340779.0,651264.0,794731.0,976070.0,442883.0
2012-09,682512.0,823455.0,975525.0,340779.0,651264.0,794731.0,976070.0,442883.0
2012-10,682512.0,823455.0,975525.0,340779.0,651264.0,794731.0,976070.0,442883.0
2012-11,682512.0,823455.0,975525.0,340779.0,651264.0,794731.0,976070.0,442883.0
2012-12,682512.0,823455.0,975525.0,340779.0,651264.0,794731.0,976070.0,442883.0
2013-01,678153.0,823667.0,979682.0,351404.0,646991.0,796551.0,979574.0,450849.0
2013-02,678153.0,823667.0,979682.0,351404.0,646991.0,796551.0,979574.0,450849.0
2013-03,678153.0,823667.0,979682.0,351404.0,646991.0,796551.0,979574.0,450849.0
2013-04,678153.0,823667.0,979682.0,351404.0,646991.0,796551.0,979574.0,450849.0
2013-05,678153.0,823667.0,979682.0,351404.0,646991.0,796551.0,979574.0,450849.0
2013-06,678153.0,823667.0,979682.0,351404.0,646991.0,796551.0,979574.0,450849.0
2013-07,678153.0,823667.0,979682.0,351404.0,646991.0,796551.0,979574.0,450849.0
2013-08,678153.0,823667.0,979682.0,351404.0,646991.0,796551.0,979574.0,450849.0
2013-09,678153.0,823667.0,979682.0,351404.0,646991.0,796551.0,979574.0,450849.0
2013-10,678153.0,823667.0,979682.0,351404.0,646991.0,796551.0,979574.0,450849.0
2013-11,678153.0,823667.0,979682.0,351404.0,646991.0,796551.0,979574.0,450849.0
2013-12,678153.0,823667.0,979682.0,351404.0,646991.0,796551.0,979574.0,450849.0
2014-01,673683.0,826567.0,978463.0,363337.0,642978.0,798694.0,980308.0,460662.0
2014-02,673683.0,826567.0,978463.0,363337.0,642978.0,798694.0,980308.0,460662.0
2014-03,673683.0,826567.0,978463.0,363337.0,642978.0,798694.0,980308.0,460662.0
2014-04,673683.0,826567.0,978463.0,363337.0,642978.0,798694.0,980308.0,460662.0
2014-05,673683.0,826567.0,978463.0,363337.0,642978.0,798694.0,980308.0,460662.0
2014-06,673683.0,826567.0,978463.0,363337.0,642978.0,798694.0,980308.0,460662.0
2014-07,673683.0,826567.0,978463.0,363337.0,642978.0,798694.0,980308.0,460662.0
2014-08,673683.0,826567.0,978463.0,363337.0,642978.0,798694.0,980308.0,460662.0
2014-09,673683.0,826567.0,978463.0,363337.0,642978.0,798694.0,980308.0,460662.0
2014-10,673683.0,826567.0,978463.0,363337.0,642978.0,798694.0,980308.0,460662.0
2014-11,673683.0,826567.0,978463.0,363337.0,642978.0,798694.0,980308.0,460662.0
2014-12,673683.0,826567.0,978463.0,363337.0,642978.0,798694.0,980308.0,460662.0
2015-01,669864.0,828571.0,976393.0,376557.0,639459.0,801190.0,978443.0,471640.0
2015-02,669864.0,828571.0,976393.0,376557.0,639459.0,801190.0,978443.0,471640.0
2015-03,669864.0,828571.0,976393.0,376557.0,639459.0,801190.0,978443.0,471640.0
2015-04,669864.0,828571.0,976393.0,376557.0,639459.0,801190.0,978443.0,471640.0
2015-05,669864.0,828571.0,976393.0,376557.0,639459.0,801190.0,978443.0,471640.0
2015-06,669864.0,828571.0,976393.0,376557.0,639459.0,801190.0,978443.0,471640.0
2015-07,669864.0,828571.0,976393.0,376557.0,639459.0,801190.0,978443.0,471640.0
2015-08,669864.0,828571.0,976393.0,376557.0,639459.0,801190.0,978443.0,471640.0
2015-09,669864.0,828571.0,976393.0,376557.0,639459.0,801190.0,978443.0,471640.0
2015-10,669864.0,828571.0,976393.0,376557.0,639459.0,801190.0,978443.0,471640.0
2015-11,669864.0,828571.0,976393.0,376557.0,639459.0,801190.0,978443.0,471640.0
2015-12,669864.0,828571.0,976393.0,376557.0,639459.0,801190.0,978443.0,471640.0
2016-01,665341.0,832339.0,970198.0,391177.0,636157.0,802475.0,973068.0,484043.0
2016-02,665341.0,832339.0,970198.0,391177.0,636157.0,802475.0,973068.0,484043.0
2016-03,665341.0,832339.0,970198.0,391177.0,636157.0,802475.0,973068.0,484043.0
2016-04,665341.0,832339.0,970198.0,391177.0,636157.0,802475.0,973068.0,484043.0
2016-05,665341.0,832339.0,970198.0,391177.0,636157.0,802475.0,973068.0,484043.0
2016-06,665341.0,832339.0,970198.0,391177.0,636157.0,802475.0,973068.0,484043.0
2016-07,665341.0,832339.0,970198.0,391177.0,636157.0,802475.0,973068.0,484043.0
2016-08,665341.0,832339.0,970198.0,391177.0,636157.0,802475.0,973068.0,484043.0
2016-09,665341.0,832339.0,970198.0,391177.0,636157.0,802475.0,973068.0,484043.0
2016-10,665341.0,832339.0,970198.0,391177.0,636157.0,802475.0,973068.0,484043.0
2016-11,665341.0,832339.0,970198.0,391177.0,636157.0,802475.0,973068.0,484043.0
2016-12,665341.0,832339.0,970198.0,391177.0,636157.0,802475.0,973068.0,484043.0
2017-01,661454.0,836492.0,963214.0,402955.0,632496.0,805052.0,967785.0,493769.0
2017-02,661454.0,836492.0,963214.0,402955.0,632496.0,805052.0,967785.0,493769.0
2017-03,661454.0,836492.0,963214.0,402955.0,632496.0,805052.0,967785.0,493769.0
2017-04,661454.0,836492.0,963214.0,402955.0,632496.0,805052.0,967785.0,493769.0
2017-05,661454.0,836492.0,963214.0,402955.0,632496.0,805052.0,967785.0,493769.0
2017-06,661454.0,836492.0,963214.0,402955.0,632496.0,805052.0,967785.0,493769.0
2017-07,661454.0,836492.0,963214.0,402955.0,632496.0,805052.0,967785.0,493769.0
2017-08,661454.0,836492.0,963214.0,402955.0,632496.0,805052.0,967785.0,493769.0
2017-09,661454.0,836492.0,963214.0,402955.0,632496.0,805052.0,967785.0,493769.0
2017-10,661454.0,836492.0,963214.0,402955.0,632496.0,805052.0,967785.0,493769.0
2017-11,661454.0,836492.0,963214.0,402955.0,632496.0,805052.0,967785.0,493769.0
2017-12,661454.0,836492.0,963214.0,402955.0,632496.0,805052.0,967785.0,493769.0
2018-01,659584.0,839240.0,955792.0,417760.0,629359.0,807389.0,962335.0,506935.0
2018-02,659584.0,839240.0,955792.0,417760.0,629359.0,807389.0,962335.0,506935.0
2018-03,659584.0,839240.0,955792.0,417760.0,629359.0,807389.0,962335.0,506935.0
2018-04,659584.0,839240.0,955792.0,417760.0,629359.0,807389.0,962335.0,506935.0
2018-05,659584.0,839240.0,955792.0,417760.0,629359.0,807389.0,962335.0,506935.0
2018-06,659584.0,839240.0,955792.0,417760.0,629359.0,807389.0,962335.0,506935.0
2018-07,659584.0,839240.0,955792.0,417760.0,629359.0,807389.0,962335.0,506935.0
2018-08,659584.0,839240.0,955792.0,417760.0,629359.0,807389.0,962335.0,506935.0
2018-09,659584.0,839240.0,955792.0,417760.0,629359.0,807389.0,962335.0,506935.0
2018-10,659584.0,839240.0,955792.0,417760.0,629359.0,807389.0,962335.0,506935.0
2018-11,659584.0,839240.0,955792.0,417760.0,629359.0,807389.0,962335.0,506935.0
2018-12,659584.0,839240.0,955792.0,417760.0,629359.0,807389.0,962335.0,506935.0
2019-01,655551.0,841930.0,949601.0,432812.0,625352.0,809654.0,955057.0,520759.0
2019-02,655551.0,841930.0,949601.0,432812.0,625352.0,809654.0,955057.0,520759.0
2019-03,655551.0,841930.0,949601.0,432812.0,625352.0,809654.0,955057.0,520759.0
2019-04,655551.0,841930.0,949601.0,432812.0,625352.0,809654.0,955057.0,520759.0
2019-05,655551.0,841930.0,949601.0,432812.0,625352.0,809654.0,955057.0,520759.0
2019-06,655551.0,841930.0,949601.0,432812.0,625352.0,809654.0,955057.0,520759.0
2019-07,655551.0,841930.0,949601.0,432812.0,625352.0,809654.0,955057.0,520759.0
2019-08,655551.0,841930.0,949601.0,432812.0,625352.0,809654.0,955057.0,520759.0
2019-09,655551.0,841930.0,949601.0,432812.0,625352.0,809654.0,955057.0,520759.0
2019-10,655551.0,841930.0,949601.0,432812.0,625352.0,809654.0,955057.0,520759.0
2019-11,655551.0,841930.0,949601.0,432812.0,625352.0,809654.0,955057.0,520759.0
2019-12,655551.0,841930.0,949601.0,432812.0,625352.0,809654.0,955057.0,520759.0
2020-01,652668.0,845732.0,943247.0,448136.0,621653.0,812153.0,948723.0,534663.0
2020-02,652668.0,845732.0,943247.0,448136.0,621653.0,812153.0,948723.0,534663.0
2020-03,652668.0,845732.0,943247.0,448136.0,621653.0,812153.0,948723.0,534663.0
2020-04,652668.0,845732.0,943247.0,448136.0,621653.0,812153.0,948723.0,534663.0
2020-05,652668.0,845732.0,943247.0,448136.0,621653.0,812153.0,948723.0,534663.0
2020-06,652668.0,845732.0,943247.0,448136.0,621653.0,812153.0,948723.0,534663.0
2020-07,652668.0,845732.0,943247.0,448136.0,621653.0,812153.0,948723.0,534663.0
2020-08,652668.0,845732.0,943247.0,448136.0,621653.0,812153.0,948723.0,534663.0
2020-09,652668.0,845732.0,943247.0,448136.0,621653.0,812153.0,948723.0,534663.0
2020-10,652668.0,845732.0,943247.0,448136.0,621653.0,812153.0,948723.0,534663.0
2020-11,652668.0,845732.0,943247.0,448136.0,621653.0,812153.0,948723.0,534663.0
2020-12,652668.0,845732.0,943247.0,448136.0,621653.0,812153.0,948723.0,534663.0
2021-01,652486.3536103393,845575.2204543914,943332.3935332004,449207.8100012377,621443.0823502856,812187.6024452283,949055.2206697846,535661.5476630584
2021-02,652307.2031427652,845419.2687019409,943417.6000994354,450193.71277207904,621236.4432608923,812222.0568277966,949384.127550001,536582.7319716602
2021-03,652127.8312825878,845265.5104239255,943502.281948734,451187.2477691781,621029.2538028335,812256.4215368626,949707.2882706648,537512.4455885877
2021-04,651948.2779380374,845113.9268049902,943586.4409703414,452180.85781686415,620821.5815736215,812290.6967090018,950024.7847395622,538443.8374633683
2021-05,651768.5423327165,844964.4871948231,943670.0803868606,453175.15395111416,620613.4242087755,812324.8825776638,950336.7160981996,539377.4600447767
2021-06,651588.6242903629,844817.1612693676,943753.2034063572,454170.0872487296,620404.7805972436,812358.9793755271,950643.1798913392,540313.2747927967
2021-07,651408.5236256684,844671.9191325217,943835.8132171108,455165.6621089122,620195.6496027748,812392.9873346647,950944.2719550328,541251.2903575657
2021-08,651228.2401532677,844528.7313110279,943917.9129877172,456161.8786229107,619986.0300868695,812426.9066865444,951240.0864455168,542191.5116352617
2021-09,651047.7736876053,844387.5687485003,943999.5058672082,457158.7372303274,619775.9209083616,812460.7376620314,951530.7158686464,543133.9438348683
2021-10,650867.1240429374,844248.4027995288,944080.594985174,458156.2383429071,619565.3209234192,812494.480491389,951816.2511088252,544078.5921535667
2021-11,650686.2910333317,844111.2052238659,944161.1834518814,459154.3823749337,619354.2289855387,812528.1354042807,952096.7814574254,545025.4618026791
2021-12,650505.2744726671,843975.9481806963,944241.2743583953,460153.1697407743,619142.6439455382,812561.7026297717,952372.3946407104,545974.5580056289
2022-01,650324.0741746337,843842.6042229872,944320.8707766952,461152.600855078,618930.5646515513,812595.1823963302,952643.176847268,546925.8859981344
2022-02,650142.6899527324,843711.1462919186,944399.9757597946,462152.67613276,618717.9899490209,812628.5749318292,952909.2127549648,547879.4510282249
2022-03,649961.1216202748,843581.5477113925,944478.5923418568,463153.3959890028,618504.918680693,812661.8804635481,953170.5855574234,548835.2583562703
2022-04,649779.3689903832,843453.7821826197,944556.7235383128,464154.7608392568,618291.3496866103,812695.099218174,953427.3769900408,549793.3132550102
2022-05,649597.4318759899,843327.8237787825,944634.3723459748,465156.77109924,618077.2818041056,812728.2314218034,953679.6673555472,550753.621009583
2022-06,649415.3100898374,843203.6469397746,944711.5417431536,466159.4271849382,617862.7138677962,812761.2772999435,953927.5355491182,551716.186917555
2022-07,649233.0034444784,843081.2264670132,944788.2346897708,467162.7295126056,617647.6447095769,812794.2370775144,954171.059083046,552681.0162889499
2022-08,649050.5117522748,842960.5375183265,944864.4541274736,468166.6784987647,617432.0731586135,812827.1109788498,954410.31411098,553648.1144462776
2022-09,648867.8348253987,842841.555602912,944940.2029797476,469171.2745602061,617215.9980413376,812859.899227699,954645.3754517396,554617.4867245639
2022-10,648684.9724758312,842724.2565763666,945015.4841520276,470176.51811398927,616999.4181814387,812892.6020472284,954876.3166127132,555589.1384713799
2022-11,648501.9245153624,842608.6166357879,945090.300531811,471182.4095774426,616782.3323998587,812925.2196600229,955103.2098128428,556563.0750468713
2022-12,648318.6907555915,842494.6123149432,945164.6549887666,472188.9493681633,616564.7395147854,812957.7522880874,955326.12600521,557539.3018237886
2023-01,648135.2710079267,842382.220479508,945238.5503748464,473196.1379040177,616346.6383416456,812990.2001528484,955545.1348992236,558517.8241875155
2023-02,647951.6650835845,842271.4183223714,945311.9895243936,474203.9756031417,616128.0276930993,813022.5634751555,955760.3049824174,559498.6475361001
2023-03,647767.8727935897,842162.1833590079,945384.975254252,475212.4628839403,615908.9063790329,813054.8424752828,955971.7035418698,560481.7772802836
2023-04,647583.8939487756,842054.4934229146,945457.5103638748,476221.6001650886,615689.2732065525,813087.0373729309,956179.3966852436,561467.2188435305
