,count,avgTemp,minTemp,maxTemp,precipitation,zindex
2010-01,0.0,27.7,7.4,22.9,0.89,-0.15
2010-02,0.0,27.2,10.2,29.8,0.57,-0.76
2010-03,0.0,43.4,25.5,49.4,0.73,-2.71
2010-04,0.0,55.6,36.9,63.0,2.34,-1.93
2010-05,0.0,63.4,45.5,69.8,3.15,-0.99
2010-06,0.0,71.9,55.1,75.0,7.12,4.05
2010-07,0.0,73.8,61.3,81.5,7.5,5.87
2010-08,0.0,73.3,60.3,81.3,4.64,0.99
2010-09,0.0,65.6,46.4,67.3,6.31,3.97
2010-10,0.0,54.2,36.9,62.0,2.34,0.36
2010-11,0.0,43.2,26.2,43.5,1.71,0.36
2010-12,0.0,25.3,9.5,24.4,1.72,1.31
2011-01,0.0,27.1,4.4,20.1,0.91,-0.11
2011-02,0.0,36.8,9.2,27.7,1.13,0.38
2011-03,0.0,42.6,18.0,38.0,2.38,1.34
2011-04,0.0,55.0,32.0,51.4,3.71,2.08
2011-05,0.0,62.0,43.2,64.7,3.05,-0.44
2011-06,0.0,69.5,53.4,75.2,4.22,0.21
2011-07,0.0,74.9,62.3,84.1,4.61,1.08
2011-08,1.0,71.6,56.8,79.7,3.04,-1.29
2011-09,1.0,65.1,46.7,67.8,3.08,-0.71
2011-10,0.0,52.2,38.4,61.2,1.51,-1.79
2011-11,0.0,46.7,28.5,44.8,1.95,-1.19
2011-12,0.0,38.5,18.1,33.3,1.45,-0.11
2012-01,0.0,34.9,11.8,29.8,1.02,0.11
2012-02,0.0,37.7,18.0,35.1,1.29,0.7
2012-03,0.0,52.6,35.1,56.1,2.0,-2.0
2012-04,0.0,51.7,33.3,56.8,2.68,-0.35
2012-05,0.0,65.8,46.9,72.2,4.81,1.14
2012-06,1.0,67.5,54.6,79.7,3.34,-1.49
2012-07,2.0,75.3,62.5,87.2,3.19,-1.64
2012-08,21.0,70.8,54.6,79.6,2.34,-2.85
2012-09,20.0,63.9,44.1,71.3,1.5,-3.32
2012-10,0.0,52.9,34.4,55.3,3.78,1.48
2012-11,0.0,39.5,25.5,43.3,1.11,-2.28
2012-12,0.0,39.2,17.9,32.3,1.74,-0.12
