year,month,tavg,tmax,tmin,pcp,zndx
2000,1,21.1,32.4,9.8,0.38,0.0
2000,2,30.1,42.0,18.1,0.72,0.81
2000,3,39.3,52.3,26.2,1.27,-0.55
2000,4,45.0,58.3,31.6,2.63,1.53
2000,5,58.1,71.1,45.0,3.24,0.93
2000,6,64.4,77.4,51.4,2.7,-0.41
2000,7,73.0,85.9,60.1,2.52,0.95
2000,8,73.2,87.2,59.2,1.46,-1.35
2000,9,62.3,77.9,46.6,0.61,-2.33
2000,10,50.1,62.6,37.6,1.31,-0.02
2000,11,24.4,33.2,15.5,1.86,3.34
2000,12,10.5,20.3,0.7,0.42,0.08
2001,1,22.7,32.7,12.6,0.82,1.44
2001,2,12.4,22.4,2.4,0.87,1.46
2001,3,29.8,39.5,20.0,0.46,-0.63
2001,4,46.1,58.0,34.2,3.84,3.89
2001,5,57.8,70.1,45.5,2.48,0.17
2001,6,66.0,78.0,53.9,3.2,0.57
2001,7,74.6,86.8,62.3,3.8,4.07
2001,8,73.4,87.7,59.0,0.7,-1.84
2001,9,62.1,75.5,48.6,1.8,0.44
2001,10,47.5,61.0,34.0,0.96,-0.33
2001,11,40.8,54.2,27.3,1.19,0.21
2001,12,24.7,34.5,14.9,0.06,-1.31
2002,1,24.1,34.9,13.4,0.28,-0.6
2002,2,29.6,42.3,16.8,0.18,-1.24
2002,3,22.2,32.6,11.7,0.95,-0.68
2002,4,44.5,57.9,31.0,1.29,-1.59
2002,5,52.4,66.2,38.6,1.64,-1.58
2002,6,70.4,84.6,56.1,1.55,-4.76
2002,7,77.3,91.4,63.2,1.79,-3.84
2002,8,70.4,83.8,57.0,3.27,1.28
2002,9,62.7,76.2,49.3,1.59,-0.71
2002,10,39.5,49.6,29.3,1.46,1.79
2002,11,34.5,45.9,23.0,0.06,-1.65
2002,12,27.3,38.3,16.2,0.24,-0.9
2003,1,19.8,30.9,8.8,0.45,-0.19
2003,2,18.8,29.9,7.8,0.63,0.03
2003,3,32.1,44.9,19.4,0.94,-0.68
2003,4,47.9,60.5,35.2,2.28,-0.38
2003,5,55.0,66.8,43.1,2.79,0.11
2003,6,63.9,75.8,52.0,3.61,0.57
2003,7,74.4,88.7,60.0,1.63,-2.04
2003,8,74.8,89.2,60.4,1.12,-3.51
2003,9,60.0,74.7,45.2,1.81,0.26
2003,10,51.8,66.2,37.3,0.84,-1.47
2003,11,27.6,37.5,17.6,0.74,0.25
2003,12,26.6,35.6,17.7,0.29,-0.71
2004,1,16.1,26.2,6.1,0.33,-0.54
2004,2,22.9,33.2,12.5,0.46,-0.48
2004,3,38.4,50.0,26.9,1.61,-0.42
2004,4,47.9,62.9,32.9,0.88,-3.09
2004,5,55.6,68.6,42.7,3.7,0.99
2004,6,62.1,74.8,49.4,2.64,-0.87
2004,7,70.8,83.8,57.8,2.86,0.05
2004,8,66.1,79.8,52.5,1.78,-0.57
2004,9,63.1,76.1,50.0,3.88,4.55
2004,10,48.8,61.1,36.6,2.2,2.65
2004,11,36.6,48.4,24.8,0.36,-0.86
2004,12,27.2,38.1,16.3,0.09,-1.1
2005,1,16.8,26.8,6.7,0.37,-0.19
2005,2,29.3,41.5,17.0,0.39,-0.42
2005,3,34.9,47.3,22.6,0.69,-1.47
2005,4,48.2,61.3,35.1,2.07,-0.74
2005,5,54.0,66.2,41.8,3.7,1.95
2005,6,67.9,78.9,56.8,5.04,2.55
2005,7,74.4,88.5,60.4,1.66,-0.69
2005,8,71.0,85.0,56.9,1.93,-0.31
2005,9,65.5,80.3,50.6,2.14,0.62
2005,10,49.2,62.7,35.8,0.9,-0.77
2005,11,36.8,48.6,24.9,1.07,0.55
2005,12,20.1,28.5,11.8,0.74,0.9
2006,1,32.2,41.4,23.0,0.3,-0.4
2006,2,23.3,34.2,12.3,0.29,-0.69
2006,3,32.4,42.6,22.2,1.35,0.64
2006,4,50.2,63.6,36.9,2.36,-0.22
2006,5,58.2,72.2,44.1,1.2,-3.14
2006,6,69.1,83.2,55.0,1.77,-3.76
2006,7,78.2,93.6,62.8,0.75,-5.33
2006,8,72.2,85.7,58.6,3.05,0.44
2006,9,56.8,68.7,44.9,3.4,4.1
2006,10,44.4,57.1,31.7,0.38,-0.7
2006,11,33.7,46.1,21.3,0.35,-0.95
2006,12,27.0,38.8,15.2,0.73,0.6
2007,1,20.1,30.9,9.4,0.19,-0.99
2007,2,15.2,24.5,5.9,0.9,0.82
2007,3,40.2,52.2,28.2,2.13,0.56
2007,4,42.9,54.7,31.1,2.21,0.81
2007,5,60.0,72.8,47.2,4.53,2.53
2007,6,68.2,80.6,55.8,3.22,-0.19
2007,7,76.5,90.4,62.6,0.93,-2.4
2007,8,71.4,83.3,59.4,4.0,3.5
2007,9,62.6,76.8,48.3,1.49,-0.51
2007,10,50.2,62.6,37.8,2.68,3.11
2007,11,34.9,47.2,22.6,0.05,-1.54
2007,12,19.4,29.7,9.0,0.61,0.48
2008,1,16.2,27.9,4.6,0.23,-0.62
2008,2,19.1,30.9,7.2,0.38,-0.46
2008,3,32.2,44.1,20.4,0.9,-0.47
2008,4,42.1,55.7,28.6,1.72,0.01
2008,5,53.0,65.1,40.9,4.06,3.01
2008,6,63.8,75.9,51.6,5.04,3.67
2008,7,72.7,86.0,59.3,2.96,3.16
2008,8,71.2,84.5,57.9,1.56,0.76
2008,9,60.3,74.3,46.3,2.11,1.76
2008,10,47.2,59.3,35.0,2.86,4.27
2008,11,34.2,43.8,24.6,1.15,1.89
2008,12,14.1,24.8,3.5,0.71,1.53
2009,1,16.7,27.8,5.6,0.4,0.68
2009,2,23.4,33.9,13.0,1.0,2.46
2009,3,30.0,41.7,18.3,1.75,3.6
2009,4,42.3,53.6,31.0,1.86,1.91
2009,5,55.8,69.9,41.8,1.27,-1.56
2009,6,63.2,74.6,51.8,3.49,1.31
2009,7,67.9,80.4,55.4,3.45,4.01
2009,8,67.4,80.5,54.2,2.87,4.04
2009,9,63.0,75.9,50.0,1.3,0.26
2009,10,39.5,47.6,31.4,3.94,7.82
2009,11,40.0,52.9,27.0,0.11,-1.09
2009,12,13.5,21.8,5.3,1.15,3.16
2010,1,14.8,23.1,6.5,0.61,1.66
2010,2,14.6,24.0,5.2,0.6,1.68
2010,3,36.3,45.5,27.1,1.19,1.9
2010,4,49.3,61.8,36.9,2.38,1.6
2010,5,54.2,65.4,43.1,3.69,3.06
2010,6,65.9,77.1,54.7,4.92,3.68
2010,7,72.4,85.0,59.8,3.73,5.3
2010,8,73.6,87.1,60.0,2.02,3.0
2010,9,59.1,72.2,46.1,3.26,4.81
2010,10,51.6,65.2,38.0,1.0,-0.06
2010,11,32.1,43.0,21.2,0.33,-0.21
2010,12,17.7,26.7,8.6,0.95,2.01
2011,1,13.0,22.6,3.3,0.93,2.14
2011,2,16.3,26.6,6.0,1.13,2.72
2011,3,27.3,36.4,18.2,1.05,1.72
2011,4,43.1,53.4,32.7,2.29,2.48
2011,5,53.0,63.8,42.2,4.5,4.72
2011,6,64.7,76.3,53.0,4.52,3.19
2011,7,75.9,87.7,64.1,3.15,4.04
2011,8,71.6,84.7,58.5,2.32,2.88
2011,9,59.9,74.8,45.0,0.63,-1.1
2011,10,51.3,64.6,38.0,1.11,-0.29
2011,11,34.4,47.4,21.4,0.24,-1.02
2011,12,26.8,37.7,15.9,0.26,-0.57
2012,1,25.4,37.3,13.5,0.41,-0.04
2012,2,25.7,37.6,13.9,1.13,1.91
2012,3,47.0,61.6,32.4,0.37,-4.82
2012,4,50.2,63.5,36.8,3.06,0.24
2012,5,58.3,71.8,44.9,2.79,-0.58
2012,6,70.4,84.4,56.5,2.18,-3.27
2012,7,78.7,93.1,64.4,1.54,-3.85
2012,8,71.0,86.6,55.3,1.12,-3.49
2012,9,62.6,79.8,45.4,0.2,-3.76
2012,10,45.6,58.3,32.9,0.83,-0.58
2012,11,34.9,46.8,22.9,0.32,-1.34
2012,12,21.4,31.3,11.4,0.63,0.19
2013,1,19.4,29.6,9.2,0.45,-0.27
2013,2,23.8,33.8,13.7,0.7,0.14
2013,3,28.1,40.0,16.3,0.67,-1.47
2013,4,36.9,48.3,25.5,2.33,1.59
2013,5,55.9,68.5,43.2,4.82,3.79
2013,6,65.3,77.2,53.4,3.12,0.32
2013,7,71.8,84.5,59.1,2.47,1.53
2013,8,71.6,83.8,59.4,2.41,1.43
2013,9,65.8,79.5,52.2,1.91,0.46
2013,10,44.3,54.4,34.3,5.01,9.47
2013,11,32.1,44.1,20.0,0.3,0.25
2013,12,13.5,24.2,2.9,0.75,1.93
2014,1,18.3,30.2,6.4,0.24,0.45
2014,2,13.9,25.3,2.5,0.36,0.78
2014,3,29.4,41.5,17.3,0.76,1.32
2014,4,43.4,56.9,30.0,1.97,1.92
2014,5,55.6,67.8,43.4,2.42,0.53
2014,6,64.2,75.6,52.8,5.89,5.48
2014,7,69.5,82.4,56.5,1.04,0.45
2014,8,69.3,80.5,58.0,4.04,6.13
2014,9,60.5,73.8,47.2,1.61,1.2
2014,10,50.3,64.0,36.5,0.57,-1.19
